VanillaAvgRet,VarDiscRet,AvgDiscRet,MaxVanillaIw,VarRet,J,MaxNormIw,BatchSize,VarNormIw,ESSClassic,AvgVanillaIw,AvgRet,eRenyi2,IterType,Delta,VarJ,MinVanillaIw,AvgNormIw,AvgEpLen,MinNormIw,ESSRenyi,VarVanillaIw,EpsThisIter,Bound
-108.384703775,53.9750073883,-108.384703775,1.20293,53.9750073883,-107.935,0.0120184,100,3.01194e-06,97.1045355817,1.0009,-108.384703775,1.02215,1,0.5,4.73991,0.376668,0.01,16.76,0.00376328,97.8329268142,0.0301739,100,-125.705
-107.393654206,6.14691302081,-107.393654206,1.26293,6.14691302081,-107.312,0.012522,100,6.55652e-07,99.3551206768,1.00856,-107.393654206,1.00699,1,0.5,2.37349,0.802426,0.01,18.32,0.00795613,99.3059152227,0.0066693,100,-118.879
-106.72911083,5.71266288338,-106.72911083,1.4965,5.71266288338,-106.646,0.0148497,100,1.10311e-06,98.9197272717,1.00776,-106.72911083,1.00748,1,0.5,2.42216,0.826277,0.01,16.71,0.00819914,99.2573513508,0.011203,100,-117.974
-107.077627055,6.33892984213,-107.077627055,1.11867,6.33892984213,-107.022,0.0112503,100,5.73094e-07,99.4358344427,0.994349,-107.077627055,1.00455,1,0.5,2.42261,0.756434,0.01,17.47,0.00760733,99.5467556969,0.00566635,100,-118.534
-107.274037144,4.76375735746,-107.274037144,1.08523,4.76375735746,-107.234,0.0107995,100,3.55544e-07,99.6492419164,1.00488,-107.274037144,1.0033,1,0.5,2.12682,0.79909,0.01,17.19,0.00795206,99.6707823233,0.00359026,100,-118.574
-107.073672111,6.23014267341,-107.073672111,1.10516,6.23014267341,-107.054,0.0110332,100,1.70915e-07,99.8310925861,1.00166,-107.073672111,1.00162,1,0.5,2.45708,0.841458,0.01,16.84,0.00840061,99.8378288441,0.00171484,100,-118.536
-107.168763224,5.78159390321,-107.168763224,1.1517,5.78159390321,-107.074,0.0115542,100,1.04882e-06,98.9723229412,0.996785,-107.168763224,1.00842,1,0.5,2.35723,0.672827,0.01,16.25,0.00674997,99.1646445268,0.0104209,100,-118.502
-106.605779857,3.34484120173,-106.605779857,1.13841,3.34484120173,-106.596,0.0113572,100,1.09287e-07,99.8919496836,1.00237,-106.605779857,1.00082,1,0.5,1.81289,0.917677,0.01,16.27,0.00915504,99.9183844602,0.00109807,100,-117.822
-107.362919473,7.01878318871,-107.362919473,1.06699,7.01878318871,-107.328,0.0107097,100,3.90286e-07,99.6150978098,0.996284,-107.362919473,1.00309,1,0.5,2.57546,0.737854,0.01,17.44,0.00740606,99.6921982842,0.00387391,100,-119.117
-106.993403247,5.34541711582,-106.993403247,1.14721,5.34541711582,-106.952,0.0114903,100,3.61552e-07,99.6433251432,0.998421,-106.993403247,1.00377,1,0.5,2.25361,0.830349,0.01,15.32,0.00831662,99.6239669721,0.00360411,100,-118.304
-106.748557654,6.17613276904,-106.748557654,1.38276,6.17613276904,-106.693,0.0137808,100,5.40975e-07,99.4672868192,1.00339,-106.748557654,1.00488,1,0.5,2.49763,0.888689,0.01,17.98,0.00885682,99.5142330154,0.00544654,100,-118.219
-107.316506485,5.44666293992,-107.316506485,1.09593,5.44666293992,-107.277,0.0110183,100,3.35972e-07,99.6684995355,0.994645,-107.316506485,1.00357,1,0.5,2.29069,0.834349,0.01,16.33,0.00838841,99.6443448865,0.00332384,100,-118.596
-107.205001113,6.20702236836,-107.205001113,1.16367,6.20702236836,-107.134,0.0115776,100,5.90944e-07,99.4183585732,1.00511,-107.205001113,1.00625,1,0.5,2.39187,0.746641,0.01,16.44,0.00742848,99.3791150995,0.00596993,100,-118.626
-106.958741565,6.83651542674,-106.958741565,1.27012,6.83651542674,-106.879,0.0126557,100,6.93415e-07,99.3182335636,1.0036,-106.958741565,1.00689,1,0.5,2.51369,0.734618,0.01,16.21,0.00731986,99.3161792894,0.00698411,100,-118.412
-106.688897107,6.10125632146,-106.688897107,1.1612,6.10125632146,-106.575,0.0115693,100,1.15019e-06,98.8741402073,1.0037,-106.688897107,1.00938,1,0.5,2.29207,0.595772,0.01,16.06,0.00593579,99.0703205392,0.0115871,100,-118.07
-106.907837138,5.356371945,-106.907837138,1.16794,5.356371945,-106.864,0.0116807,100,3.27757e-07,99.6765908344,0.999894,-106.907837138,1.00393,1,0.5,2.2538,0.818669,0.01,18.18,0.00818755,99.6081744978,0.00327688,100,-118.371
-106.513710333,4.11972210521,-106.513710333,1.11694,4.11972210521,-106.481,0.0112837,100,4.39715e-07,99.5666190769,0.989877,-106.513710333,1.00294,1,0.5,2.0121,0.747622,0.01,15.94,0.00755267,99.706678223,0.00430857,100,-117.768
-106.518673042,6.4780732793,-106.518673042,1.09466,6.4780732793,-106.472,0.0109732,100,4.12742e-07,99.5930283884,0.997581,-106.518673042,1.00407,1,0.5,2.44784,0.767395,0.01,18.24,0.00769256,99.5948701199,0.00410747,100,-118.459
-106.541887963,4.24145791089,-106.541887963,1.06679,4.24145791089,-106.521,0.0106932,100,1.84481e-07,99.8176921353,0.997631,-106.541887963,1.00191,1,0.5,2.04093,0.834884,0.01,17.83,0.00836867,99.809438233,0.00183608,100,-117.913
-106.567707594,3.56099175755,-106.567707594,1.12469,3.56099175755,-106.512,0.011312,100,6.94015e-07,99.3176122162,0.994246,-106.567707594,1.00474,1,0.5,1.79056,0.663968,0.01,15.5,0.00667811,99.5281889484,0.00686051,100,-117.88
-106.498310544,3.37808708623,-106.498310544,1.09053,3.37808708623,-106.479,0.0108929,100,1.57998e-07,99.8438250491,1.00114,-106.498310544,1.00168,1,0.5,1.82191,0.876724,0.01,17.3,0.00875728,99.8323157633,0.00158358,100,-117.635
-107.017806574,4.95518686835,-107.017806574,1.21067,4.95518686835,-106.968,0.0121186,100,4.67188e-07,99.5396116323,0.999023,-107.017806574,1.00448,1,0.5,2.16538,0.785533,0.01,16.22,0.00786302,99.5543048479,0.00466275,100,-118.291
