AvgVanillaIw,ESSRenyi,VarNormIw,VarRet,BatchSize,AvgNormIw,VarJ,AvgEpLen,ESSClassic,MinNormIw,MaxNormIw,MaxVanillaIw,J,VarVanillaIw,AvgRet,AvgDiscRet,MinVanillaIw,eRenyi2,VarDiscRet,Bound
2.277488,4.676268265000546,0.00089602894,3680974.578020517,100,0.01,31.92578,200.0,10.131007365483052,,0.13240542,30.155176,1429.916,46.476593,-1439.2221432774563,-1.1596057447604835e-13,,21.384573,3680974.5780205172,1577.383
2.3445158,1.6046513734758983,0.0028752575,71.80134968111764,100,0.01,8.959861,200.0,3.3938512538214605,,0.3862441,90.555534,6.687755,158.04585,-9.805306702104833,-2.2382096176443156e-15,,62.318832,71.80134968111763,1.332262
2.3104658,1.9411191009528694,0.0022268447,53.32203250354407,100,0.01,7.492393,200.0,4.339193093316607,,0.31524307,72.83583,5.988842,118.87452,-8.435154857126076,-6.572520305780927e-16,,51.516674,53.32203250354407,4.0340366
0.9745527,73.35087692452306,2.3326296e-05,57.03008550103032,100,0.01,8.557105,200.0,81.23936642025902,0.00775372,0.047243923,4.6041694,0.61464006,0.22154216,-8.282065332532175,-7.460698725481052e-16,0.75564086,1.3633102,57.03008550103032,-0.97293216
0.9816598,33.82382387467931,0.00019371248,50.36803138871508,100,0.01,8.517324,200.0,34.27294659051892,5.993974e-23,0.04188226,4.1114135,2.561284,1.8667217,-8.236258786744518,-2.486899575160351e-16,5.884044e-21,2.956496,50.36803138871508,0.30852318
5928431000000000.0,2.385484593865989e-16,0.010000002,57.7574173527248,100,0.01,,200.0,1.0,,1.0,5.9284306e+17,7.59723,3.5146284e+33,-8.600012950801087,-4.440892098500626e-16,,4.1920204e+17,57.75741735272481,4.503965e+16
1.0,100.0,3.5044917e-18,53.25827091021694,100,0.009999998,7.2612457,200.0,100.0,0.01,0.01,1.0,1.4901161e-08,,-8.902784251692486,7.815970093361102e-16,1.0,1.0,53.25827091021694,-1.328872
1.0,100.0,3.5044917e-18,61.716394497388606,100,0.009999998,7.8165994,200.0,100.0,0.01,0.01,1.0,1.4901161e-08,,-8.264246489512951,-3.375077994860476e-16,1.0,1.0,61.716394497388606,-1.3489751
1.0,100.0,3.5044917e-18,54.52278384224783,100,0.009999998,7.346942,200.0,100.0,0.01,0.01,1.0,2.9802322e-08,,-8.972953317706393,-1.403321903126198e-15,1.0,1.0,54.52278384224783,-1.2926352
1.0,100.0,3.5044917e-18,56.533428134162314,100,0.009999998,7.481182,200.0,100.0,0.01,0.01,1.0,4.4703484e-08,,-8.698976684285343,1.5099033134902129e-15,1.0,1.0,56.533428134162314,-1.3174822
1.0,100.0,3.5044917e-18,46.995203208732455,100,0.009999998,6.8209424,200.0,100.0,0.01,0.01,1.0,-1.4901161e-08,,-7.829426072954501,-7.105427357601002e-16,1.0,1.0,46.995203208732455,-1.3819541
1.0,100.0,3.5044917e-18,55.95241518752337,100,0.009999998,7.4426394,200.0,100.0,0.01,0.01,1.0,,,-8.9143046356303,8.171241461241152e-16,1.0,1.0,55.95241518752337,-1.2963444
1.0,100.0,3.5044917e-18,52.09541258684749,100,0.009999998,7.1815357,200.0,100.0,0.01,0.01,1.0,2.6077032e-08,,-8.420158104750374,-1.723066134218243e-15,1.0,1.0,52.09541258684749,-1.3344396
1.0,100.0,3.5044917e-18,53.857144872414985,100,0.009999998,7.3019567,200.0,100.0,0.01,0.01,1.0,8.940697e-08,,-6.993431847603989,1.5187850976872141e-15,1.0,1.0,53.857144872414985,-1.4281745
1.0,100.0,3.5044917e-18,59.03877300453565,100,0.009999998,7.645154,200.0,100.0,0.01,0.01,1.0,5.9604645e-08,,-8.714172396993648,-6.217248937900876e-16,1.0,1.0,59.03877300453565,-1.3310392
1.0,100.0,3.5044917e-18,57.33610196135113,100,0.009999998,7.5341053,200.0,100.0,0.01,0.01,1.0,-1.0430813e-07,,-8.746748350756796,5.861977570020827e-16,1.0,1.0,57.33610196135113,-1.3228287
1.0,100.0,3.5044917e-18,52.994122698358446,100,0.009999998,7.243216,200.0,100.0,0.01,0.01,1.0,9.313226e-09,,-8.014952745621251,5.595524044110789e-16,1.0,1.0,52.99412269835843,-1.3430492
1.0,100.0,3.5044917e-18,54.49410111443816,100,0.009999998,7.345009,200.0,100.0,0.01,0.01,1.0,,,-8.036541496486201,1.5276668818842154e-15,1.0,1.0,54.49410111443817,-1.296253
1.0,100.0,3.5044917e-18,67.26732381241884,100,0.009999998,8.160555,200.0,100.0,0.01,0.01,1.0,-1.4901161e-08,,-8.46429545254347,-1.483257960899209e-15,1.0,1.0,67.26732381241882,-1.325756
1.0,100.0,3.5044917e-18,53.15903304869131,100,0.009999998,7.2544775,200.0,100.0,0.01,0.01,1.0,8.195639e-08,,-9.178936218295705,1.1901590823981679e-15,1.0,1.0,53.159033048691306,-1.3027923
1.0,100.0,3.5044917e-18,46.605296455469926,100,0.009999998,6.7925873,200.0,100.0,0.01,0.01,1.0,-7.450581e-09,,-7.94167726150775,5.329070518200751e-16,1.0,1.0,46.60529645546991,-1.3810115
1.0,100.0,3.5044917e-18,49.612964005032694,100,0.009999998,7.0083404,200.0,100.0,0.01,0.01,1.0,-1.8626451e-08,,-8.65141615687506,8.881784197001253e-17,1.0,1.0,49.612964005032694,-1.2861454
1.0,100.0,3.5044917e-18,64.3400300639197,100,0.009999998,7.9810166,200.0,100.0,0.01,0.01,1.0,-7.4505806e-08,,-9.208768402025935,1.1723955140041654e-15,1.0,1.0,64.34003006391971,-1.2848603
1.0,100.0,3.5044917e-18,47.499112023167015,100,0.009999998,6.857414,200.0,100.0,0.01,0.01,1.0,-2.9802322e-08,,-8.16168252620278,,1.0,1.0,47.499112023167015,-1.3858778
1.0,100.0,3.5044917e-18,57.9073923243601,100,0.009999998,7.5715466,200.0,100.0,0.01,0.01,1.0,5.2154064e-08,,-8.109406381465778,4.440892098500626e-16,1.0,1.0,57.9073923243601,-1.3501937
1.0,100.0,3.5044917e-18,61.603140828449355,100,0.009999998,7.8094244,200.0,100.0,0.01,0.01,1.0,,,-8.962741202901674,9.85878045867139e-16,1.0,1.0,61.60314082844936,-1.2866957
1.0,100.0,3.5044917e-18,49.75398092281666,100,0.009999998,7.0182934,200.0,100.0,0.01,0.01,1.0,-3.7252903e-09,,-8.571725328720362,-2.042810365310288e-16,1.0,1.0,49.75398092281666,-1.3321301
1.0,100.0,3.5044917e-18,60.05995741995574,100,0.009999998,7.710989,200.0,100.0,0.01,0.01,1.0,3.7252903e-08,,-9.061224053170525,2.895461648222408e-15,1.0,1.0,60.05995741995574,-1.2997372
1.0,100.0,3.5044917e-18,57.11704757558103,100,0.009999998,7.519699,200.0,100.0,0.01,0.01,1.0,7.450581e-09,,-8.880315431490645,-2.842170943040401e-16,1.0,1.0,57.11704757558103,-1.3120095
1.0,100.0,3.5044917e-18,58.26229634904547,100,0.009999998,7.594713,200.0,100.0,0.01,0.01,1.0,5.9604645e-08,,-8.346183098472514,3.375077994860476e-16,1.0,1.0,58.26229634904547,-1.3754113
1.0,100.0,3.5044917e-18,58.67802820253424,100,0.009999998,7.6217613,200.0,100.0,0.01,0.01,1.0,2.9802322e-08,,-9.581152001857436,3.552713678800501e-16,1.0,1.0,58.67802820253424,-1.2377473
1.0,100.0,3.5044917e-18,57.163904162064746,100,0.009999998,7.5227833,200.0,100.0,0.01,0.01,1.0,7.4505806e-08,,-8.643445304992829,-8.171241461241152e-16,1.0,1.0,57.163904162064746,-1.3361328
1.0,100.0,3.5044917e-18,55.738880796033136,100,0.009999998,7.4284244,200.0,100.0,0.01,0.01,1.0,2.9802322e-08,,-8.021107409596645,4.529709940470639e-16,1.0,1.0,55.738880796033136,-1.3956786
1.0,100.0,3.5044917e-18,50.96084173008663,100,0.009999998,7.1029034,200.0,100.0,0.01,0.01,1.0,-5.9604645e-08,,-9.220431498225272,-6.217248937900876e-16,1.0,1.0,50.960841730086635,-1.1862118
1.0,100.0,3.5044917e-18,53.51272361707701,100,0.009999998,7.2785707,200.0,100.0,0.01,0.01,1.0,-5.9604645e-08,,-8.733071732566184,2.220446049250313e-16,1.0,1.0,53.51272361707701,-1.2918236
1.0,100.0,3.5044917e-18,51.14358397784018,100,0.009999998,7.1156273,200.0,100.0,0.01,0.01,1.0,-7.543713e-08,,-7.337069234949928,-1.5720758028692217e-15,1.0,1.0,51.14358397784018,-1.3135673
1.0,100.0,3.5044917e-18,46.92647994139677,100,0.009999998,6.815953,200.0,100.0,0.01,0.01,1.0,-8.940697e-08,,-7.849698187697252,7.371880883511039e-16,1.0,1.0,46.92647994139677,-1.4145662
1.0,100.0,3.5044917e-18,59.298479457504634,100,0.009999998,7.661951,200.0,100.0,0.01,0.01,1.0,-2.9802322e-08,,-8.233961911757012,-4.529709940470639e-16,1.0,1.0,59.29847945750464,-1.3665869
1.0,100.0,3.5044917e-18,55.67521848956565,100,0.009999998,7.424181,200.0,100.0,0.01,0.01,1.0,-7.8231096e-08,,-8.259853613521663,2.886579864025407e-15,1.0,1.0,55.67521848956566,-1.3529239
1.0,100.0,3.5044917e-18,58.86692500599348,100,0.009999998,7.63402,200.0,100.0,0.01,0.01,1.0,2.9802322e-08,,-7.404398264640646,6.039613253960852e-16,1.0,1.0,58.86692500599348,-1.4299517
1.0,100.0,3.5044917e-18,49.22092259681696,100,0.009999998,6.980595,200.0,100.0,0.01,0.01,1.0,-5.9604645e-08,,-8.473667337422905,-1.4566126083082053e-15,1.0,1.0,49.22092259681696,-1.3533465
1.0,100.0,3.5044917e-18,58.03393979571839,100,0.009999998,7.5798154,200.0,100.0,0.01,0.01,1.0,4.4703484e-08,,-8.683844003704563,9.059419880941278e-16,1.0,1.0,58.03393979571839,-1.3347483
1.0,100.0,3.5044917e-18,44.82073011318666,100,0.009999998,6.6612706,200.0,100.0,0.01,0.01,1.0,7.4505806e-08,,-7.419095508496132,-5.329070518200751e-16,1.0,1.0,44.82073011318667,-1.4327312
