AvgEpLen,VarJ,MinVanillaIw,BatchSize,eRenyi2,MinNormIw,VarDiscRet,AvgNormIw,EpsThisIter,Bound,Delta,ESSClassic,J,IterType,AvgDiscRet,AvgRet,AvgVanillaIw,MaxNormIw,MaxVanillaIw,VarNormIw,ESSRenyi,VarRet,VanillaAvgRet,VarVanillaIw
61.44,9.85111,0.00231871,100,1.39799,2.60342e-05,4581.01101113,0.01,100,-139.892,0.8,62.9573415065,-110.617,1,-128.287298725,-128.287298725,0.89064,0.0239913,2.13676,5.9432e-05,71.5313070896,4581.01101113,-128.287298725,0.471439
28.45,6.89242,0.129708,100,1.11548,0.00125278,1385.4627661,0.01,100,-133.882,0.8,90.5211664902,-109.188,1,-113.808704947,-113.808704947,1.03536,0.0154918,1.60396,1.05772e-05,89.6471846006,1385.4627661,-113.808704947,0.113384
22.4,110.547,2.94666e-06,100,4.74024,2.36966e-08,89.348150758,0.01,100,-109.229,0.8,20.8775585361,-95.8941,1,-107.334280374,-107.334280374,1.2435,0.14564,18.1103,0.000382811,21.095999052,89.348150758,-107.334280374,5.91936
22.4,95.1217,0.0552173,200,4.2384,7.06961e-08,237.888317734,0.01,100,-137.609,0.8,3.46576705691,-116.325,,-110.750939538,-107.334280374,7810.52,0.4345,339367.0,0.0028135,47.1875756941,89.348150758,-107.334280374,1.71635e+09
19.87,7.86868,0.0600727,200,1.1907,0.000294585,62.1842050312,0.005,100,-113.068,0.8,171.829213269,-107.193,1,-109.121823398,-109.121823398,1.01962,0.00919181,1.87442,4.11926e-06,167.96868336,62.1842050312,-109.121823398,0.171299
26.33,6.46494,1.0,200,1.0,0.01,42.2176759139,0.01,100,-115.925,0.8,100.0,-108.873,2,-108.87281043,-108.87281043,1.0,0.01,1.0,3.50449e-18,200.0,42.2176759139,-108.87281043,
19.16,6.15271,0.0434079,200,1.22104,0.000220014,26.0332248819,0.005,100,-112.607,0.8,157.11639599,-107.097,1,-107.536828026,-107.536828026,0.986478,0.0168348,3.32143,6.85783e-06,163.794636564,26.0332248819,-107.536828026,0.266945
18.24,4.84759,1.0,200,1.0,0.01,23.7365122253,0.01,100,-113.155,0.8,100.0,-107.17,2,-107.170376069,-107.170376069,1.0,0.01,1.0,3.50449e-18,200.0,23.7365122253,-107.170376069,
22.91,8.03369,0.312133,200,1.07387,0.00155629,180.907773758,0.005,100,-115.85,0.8,186.848026807,-107.21,1,-108.337458465,-108.337458465,1.00281,0.00875419,1.75576,1.76856e-06,186.242375062,180.907773758,-108.337458465,0.0711406
17.33,4.46379,1.0,200,1.0,0.01,20.1267046195,0.01,100,-114.151,0.8,100.0,-107.582,2,-107.581724526,-107.581724526,1.0,0.01,1.0,3.50449e-18,200.0,20.1267046195,-107.581724526,
21.0,7.45467,0.160805,200,1.06716,0.000803252,439.515541867,0.005,100,-119.078,0.8,185.868673781,-107.689,1,-109.485965545,-109.485965545,1.00096,0.00727995,1.45739,1.91025e-06,187.413193911,439.515541867,-109.485965545,0.0765574
19.49,3.18568,1.0,200,1.0,0.01,10.251034762,0.01,100,-113.47,0.8,100.0,-107.552,2,-107.551921772,-107.551921772,1.0,0.01,1.0,3.50449e-18,200.0,10.251034762,-107.551921772,
17.82,3.34778,0.496522,200,1.04573,0.00247976,9.96344374087,0.005,100,-111.943,0.8,190.33948237,-107.335,1,-107.513140182,-107.513140182,1.00115,0.00918707,1.83953,1.27523e-06,191.253957522,9.96344374087,-107.513140182,0.0511269
18.02,3.79803,1.0,200,1.0,0.01,14.5707677968,0.01,100,-112.903,0.8,100.0,-107.174,2,-107.17421417,-107.17421417,1.0,0.01,1.0,3.50449e-18,200.0,14.5707677968,-107.17421417,
19.06,5.22686,0.101402,200,1.12823,0.000508468,25.5202766825,0.005,100,-111.847,0.8,173.960182657,-106.548,1,-107.048836729,-107.048836729,0.997134,0.0104269,2.0794,3.76102e-06,177.268354863,25.5202766825,-107.048836729,0.14958
16.57,2.6641,1.0,200,1.0,0.01,7.16910234904,0.01,100,-113.212,0.8,100.0,-107.486,2,-107.485511626,-107.485511626,1.0,0.01,1.0,3.50449e-18,200.0,7.16910234904,-107.485511626,
21.45,10.0875,0.0627319,200,1.3299,0.000323434,17.140282907,0.005,100,-111.182,0.8,142.007433915,-106.348,1,-107.09663974,-107.09663974,0.969777,0.0376752,7.30732,1.02607e-05,150.387527273,17.140282907,-107.09663974,0.385995
22.06,5.90765,1.0,200,1.0,0.01,35.2528929423,0.01,100,-112.266,0.8,100.0,-106.337,2,-106.336846752,-106.336846752,1.0,0.01,1.0,3.50449e-18,200.0,35.2528929423,-106.336846752,
23.72,8.53616,0.0862044,200,1.24157,0.000429682,20.4340430555,0.005,100,-110.314,0.8,157.277749924,-105.642,1,-106.670567319,-106.670567319,1.00312,0.0177251,3.55606,6.825e-06,161.08594939,20.4340430555,-106.670567319,0.274705
34.36,16.8384,1.0,200,1.0,0.01,286.396092373,0.01,100,-118.994,0.8,100.0,-107.115,2,-107.114825745,-107.114825745,1.0,0.01,1.0,3.50449e-18,200.0,286.396092373,-107.114825745,
26.26,10.3917,0.547634,200,1.02651,0.00274138,56.6501484567,0.005,100,-115.198,0.8,194.785880804,-106.687,1,-106.713261471,-106.713261471,0.998829,0.00739082,1.47643,6.72573e-07,194.834948692,56.6501484567,-106.713261471,0.02684
33.74,11.5947,1.0,200,1.0,0.01,135.794494377,0.01,100,-116.708,0.8,100.0,-106.48,2,-106.479822337,-106.479822337,1.0,0.01,1.0,3.50449e-18,200.0,135.794494377,-106.479822337,
26.04,10.5256,0.0755857,200,1.30967,0.000357736,24.6032616295,0.005,100,-112.297,0.8,137.979951668,-104.02,1,-105.289663296,-105.289663296,1.05645,0.0321821,6.79973,1.12936e-05,152.710770144,24.6032616295,-105.289663296,0.504182
35.2,36.6111,1.0,200,1.0,0.01,1353.91316019,0.01,100,-132.398,0.8,100.0,-109.021,2,-109.021418089,-109.021418089,1.0,0.01,1.0,3.50449e-18,200.0,1353.91316019,-109.021418089,
36.05,9.6072,0.209086,200,1.06474,0.00106692,65.7584141511,0.005,100,-122.567,0.8,185.627438041,-105.511,1,-105.659345026,-105.659345026,0.979854,0.0109995,2.15557,1.9454e-06,187.839736488,65.7584141511,-105.659345026,0.0747122
24.78,4.34155,1.0,200,1.0,0.01,19.0394715205,0.01,100,-112.007,0.8,100.0,-106.18,2,-106.179887055,-106.179887055,1.0,0.01,1.0,3.50449e-18,200.0,19.0394715205,-106.179887055,
27.94,6.95643,0.183705,200,1.2657,0.000966044,30.2816482077,0.005,100,-109.715,0.8,159.716646478,-104.809,1,-105.433347567,-105.433347567,0.950809,0.0151267,2.87652,6.33712e-06,158.015418949,30.2816482077,-105.433347567,0.22916
36.48,8.76666,1.0,200,1.0,0.01,77.6306546903,0.01,100,-110.462,0.8,100.0,-104.568,2,-104.567801412,-104.567801412,1.0,0.01,1.0,3.50449e-18,200.0,77.6306546903,-104.567801412,
48.7,219.174,0.00407805,200,9.5575,1.5397e-05,169.117942353,0.005,100,-86.3268,0.8,6.3626680052,-71.8863,1,-102.901439183,-102.901439183,1.3243,0.378351,100.21,0.000764657,20.925966264,169.117942353,-102.901439183,53.6414
94.59,41.3192,1.0,200,1.0,0.01,1724.52072607,0.01,100,-116.262,0.8,100.0,-99.7656,2,-99.7656178145,-99.7656178145,1.0,0.01,1.0,3.50449e-18,200.0,1724.52072607,-99.7656178145,
48.7,39.1659,0.00997903,300,45.342,3.83096e-06,1974.22591073,0.005,100,-179.027,0.8,34.8815935587,-99.0014,,-97.5908522063,-102.901439183,13.0242,0.0941385,245.215,0.000118937,6.61638842341,169.117942353,-102.901439183,807.006
29.62,306.556,7.88383e-06,300,20.0794,1.8873e-08,37.809264071,0.00333333,100,-81.17,0.8,3.3390373038,-64.0801,1,-105.517167864,-105.517167864,1.39243,0.534791,223.398,0.000990483,14.9406833033,37.809264071,-105.517167864,172.838
72.53,20.0624,1.0,300,1.0,0.01,406.566356605,0.01,100,-107.853,0.8,100.0,-100.077,2,-100.076898645,-100.076898645,1.0,0.01,1.0,3.50449e-18,300.0,406.566356605,-100.076898645,
