MaxVanillaIw,AvgVanillaIw,AvgRet,MinVanillaIw,Bound,VarJ,BatchSize,AvgNormIw,AvgDiscRet,VarRet,VarDiscRet,AvgEpLen,VarNormIw,MaxNormIw,eRenyi2,MinNormIw,ESSRenyi,J,ESSClassic,VarVanillaIw
5.8160677,1.2151595,215.6018611185439,1.7634346e-07,90.961426,66.56779,100,0.01,184.50096623515583,30539.976892376162,12369.93182061497,22.57,9.429311e-05,0.047862586,1.9483612,1.4511959e-09,51.32518659097587,157.82361,51.719624316839884,1.3923439
8.708779,0.9382081,165.12592391420156,2.8868777e-10,99.31573,33.92613,100,0.01,150.20102823279834,7320.224025480972,3660.67771494449,17.52,0.0003742302,0.092823535,4.1474247,3.0770122e-12,24.111347953155864,147.59427,21.254530033314396,3.294103
1.9347072,0.9907207,151.82855095839128,0.09542958,118.28017,29.731585,100,0.009999999,141.0847890701027,1027.51456045295,735.2295805377296,16.19,1.8896702e-05,0.019528281,1.1770251,0.00096323394,84.95995686275384,145.34789,84.24051175296249,0.18547635
0.04175199,0.0014951822,156.62632489113136,,123.01878,163.22653,100,0.01,145.23412868783225,985.8293443155503,697.7219906984413,16.67,0.0014547913,0.27924347,,,inf,200.00989,6.49248055884779,3.252288e-05
12106.553,121.27051,252.47751473853364,,101.69952,0.17830373,100,0.01,212.27161117683963,31840.058530682778,17284.945461097468,26.26,0.009965902,0.99830973,738.98035,,0.13532159610104652,310.45013,1.003387197309026,1465638.5
2.8602035,1.0470514,393.3319225165807,0.21511778,236.40637,107.05351,100,0.009999999,318.73821945078447,24539.274840916238,9583.247572592043,40.35,1.6397791e-05,0.027316744,1.1443353,0.0020545102,87.3869770756028,330.69537,86.0334959808908,0.17977174
1.3702346,1.0013162,394.93271973786875,0.4379725,236.66702,97.68303,100,0.01,319.7342455497611,24680.90753667514,9755.207350645604,40.51,3.5837343e-06,0.013684335,1.0316948,0.004373968,96.92789274645291,322.0176,96.5736698544438,0.035931733
8.879768,0.08879768,393.43244455056265,,233.56857,,100,0.01,318.13067767879045,27317.11713351674,10109.462748804333,40.36,0.0100000035,1.0,0.06284786,,1591.1440699716916,394.89255,1.0,0.7885034
3.599213e-36,3.5992132e-38,374.23247559210284,,227.45477,,100,0.01,306.48547702349146,21451.562625389146,8830.161291327899,38.44,0.010000003,1.0,76.93555,,1.299789291970247,289.32062,inf,
2.2135725,1.0122046,344.7450424507447,0.048081,205.45772,103.047714,100,0.010000002,285.7491204454759,21256.720385262775,9114.124036105057,35.49,3.3039738e-05,0.021868823,1.3217226,0.0004750126,75.6588394425282,307.4689,75.35263576889722,0.33851135
1.5745012,1.0271153,349.93201324148106,0.24011455,215.15521,88.65505,100,0.01,290.30344089620166,18679.87110471644,7983.886231761722,36.01,7.783723e-06,0.01532935,1.0772157,0.0023377563,92.83192088832425,296.13046,92.84542995174297,0.082115635
1.4043678,1.0010452,378.2298493327014,0.4131989,237.58794,87.81733,100,0.01,310.358783141672,17943.783810282916,7486.719922888847,38.84,5.114874e-06,0.014029015,1.0486143,0.0041276747,95.36395171941658,313.8309,95.18032496157055,0.051255718
2.428163,1.0190382,408.1252094546333,0.40432408,241.8122,109.52916,100,0.01,327.73011456073715,28238.005388239395,10436.245234370266,41.83,1.4452114e-05,0.023827989,1.1142468,0.003967703,89.7467203310588,338.2428,87.48325759712183,0.15007636
2.2638767,0.9746141,369.0219133853726,0.05274901,237.06929,79.873245,100,0.010000002,304.86840736205943,15107.350299716116,6498.683214976016,37.92,2.6766687e-05,0.023228442,1.2602704,0.00054122973,79.34805372045213,315.5815,79.05198422400584,0.25424945
