Bound,EpsThisIter,J,AvgNormIw,AvgVanillaIw,AvgRet,eRenyi2,MinNormIw,VarJ,VanillaAvgRet,VarDiscRet,VarRet,AvgEpLen,BatchSize,ESSClassic,ESSRenyi,VarNormIw,MaxVanillaIw,MinVanillaIw,IterType,Delta,VarVanillaIw,MaxNormIw,AvgDiscRet
4218.869,100,4624.13,0.0049999994,1.0,4611.70013986943,1.0,0.005,192.15694,4611.70013986943,58660.73705623633,58660.73705623633,495.92,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4611.70013986943
4294.204,100,4625.098,0.0033333336,1.0,4627.035029306112,1.0,0.0033333334,179.249,4627.035029306112,22764.0447098489,22764.0447098489,497.58,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4627.035029306112
4320.1943,100,4606.7695,0.0024999997,1.0,4551.780651615089,1.0,0.0025,261.29782,4551.780651615089,174428.27300114324,174428.27300114324,489.75,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4551.780651615089
4369.7944,100,4636.7427,0.002,1.018763,4599.901732091864,1.0846428,0.0003314449,107.629135,4599.901732091864,93635.33336581379,93635.33336581379,494.7,500,458.5559588801206,460.9812694046794,3.6224284e-07,1.6908201,0.1688319,1,0.4,0.09399096,0.0033193592,4599.901732091864
4040.099,100,4613.2446,0.009999998,1.0,4613.244792805412,1.0,0.01,234.69542,4613.244792805412,55638.32313976241,55638.32313976241,496.12,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4613.244792805412
4217.619,100,4622.9185,0.0049999994,1.0,4632.59318817021,1.0,0.005,197.1507,4632.59318817021,22694.61129135985,22694.61129135985,497.84,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4632.59318817021
4291.822,100,4622.7476,0.0033333336,1.0,4622.403829130746,1.0,0.0033333334,197.02441,4622.403829130746,39109.98339448803,39109.98339448803,497.1,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4622.403829130746
4340.959,100,4627.549,0.0024999997,1.0,4641.954854173693,1.0,0.0025,175.9956,4641.954854173693,7237.649764136529,7237.649764136529,499.17,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4641.954854173693
4380.4893,100,4641.286,0.002,0.9930739,4644.458749023735,1.0351224,0.0007474797,94.9401,4644.458749023735,6783.005809326488,6783.005809326488,499.17,500,480.76150281325874,483.0346658780206,1.6038705e-07,1.3872966,0.37115127,1,0.4,0.039543252,0.0027939444,4644.458749023735
4071.8704,100,4644.999,0.009999998,1.0,4644.999166782857,1.0,0.01,114.661125,4644.999166782857,13279.97444834106,13279.97444834106,498.86,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4644.999166782857
4236.211,100,4641.492,0.0049999994,1.0,4637.985300670452,1.0,0.005,133.88634,4637.985300670452,22908.420488527303,22908.420488527303,498.44,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4637.985300670452
4313.9062,100,4644.8306,0.0033333336,1.0,4651.50674754778,1.0,0.0033333334,110.726074,4651.50674754778,871.539335495823,871.539335495823,500.0,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4651.50674754778
4357.664,100,4644.253,0.0024999997,1.0,4642.522262477408,1.0,0.0025,111.74649,4642.522262477408,13297.301884523964,13297.301884523964,498.81,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4642.522262477408
4391.6543,100,4649.5723,0.0020000003,1.0076846,4653.400131853571,1.0124059,0.0011617577,67.29877,4653.400131853571,1154.9774320160195,1154.9774320160195,499.73,500,494.2731257312668,493.87307369314453,4.6438434e-08,1.2428393,0.58534265,1,0.4,0.011788724,0.0024667229,4653.400131853571
4083.0752,100,4656.205,0.009999998,1.0,4656.205132004912,1.0,0.01,23.763687,4656.205132004912,570.4164457243243,570.4164457243243,500.0,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4656.205132004912
4234.736,100,4640.0,0.0049999994,1.0,4623.794770570888,1.0,0.005,221.6219,4623.794770570888,98123.83994910597,98123.83994910597,496.65,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4623.794770570888
4310.843,100,4641.7397,0.0033333336,1.0,4645.218433716225,1.0,0.0033333334,187.77763,4645.218433716225,7606.693157128154,7606.693157128154,499.15,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4645.218433716225
4358.1245,100,4644.6895,0.0024999997,1.0,4653.539243851742,1.0,0.0025,163.11952,4653.539243851742,551.700308656935,551.700308656935,500.0,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4653.539243851742
4391.421,100,4649.586,0.0019999999,1.005402,4645.263919158306,1.0145162,0.00088723516,77.054985,4645.263919158306,4523.073692185442,4523.073692185442,499.17,500,492.2811686930663,492.8457357774548,6.2844855e-08,1.248431,0.446014,1,0.4,0.015881412,0.0024834464,4645.263919158306
4070.7544,100,4643.877,0.009999998,1.0,4643.87695614929,1.0,0.01,117.71256,4643.87695614929,13996.209290108758,13996.209290108758,498.75,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4643.87695614929
4240.489,100,4645.775,0.0049999994,1.0,4647.673078148844,1.0,0.005,90.87354,4647.673078148844,2679.345693670962,2679.345693670962,499.53,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4647.673078148844
4309.305,100,4640.2285,0.0033333336,1.0,4629.1354810906005,1.0,0.0033333334,188.00548,4629.1354810906005,90239.9757526996,90239.9757526996,496.79,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4629.1354810906005
4357.632,100,4644.22,0.0024999997,1.0,4656.195980132137,1.0,0.0025,163.3016,4656.195980132137,444.7354768052063,444.7354768052063,500.0,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4656.195980132137
4393.338,100,4651.975,0.002,0.99779457,4649.476788300442,1.0180651,0.0006310791,55.68703,4649.476788300442,1068.5319158190011,1068.5319158190011,499.94,500,489.8810832459599,491.1277309096129,8.278906e-08,1.2587445,0.31484362,1,0.4,0.020606073,0.0025230534,4649.476788300442
4066.6736,100,4639.8413,0.009999998,1.0,4639.84146587674,1.0,0.01,167.28476,4639.84146587674,28266.85867113824,28266.85867113824,498.21,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4639.84146587674
4242.006,100,4647.297,0.0049999994,1.0,4654.752710691645,1.0,0.005,119.56633,4654.752710691645,501.8724929523555,501.8724929523555,500.0,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4654.752710691645
4310.795,100,4641.7134,0.0033333336,1.0,4630.547237032512,1.0,0.0033333334,140.38037,4630.547237032512,30647.170010973037,30647.170010973037,497.58,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4630.547237032512
4354.9385,100,4641.525,0.0024999997,1.0,4640.957599331734,1.0,0.0025,135.9434,4640.957599331734,14951.587473043717,14951.587473043717,498.75,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4640.957599331734
4390.814,100,4649.2686,0.002,1.0002354,4653.661307850984,1.0166428,0.0007878385,70.32084,4653.661307850984,413.97192646366796,413.97192646366796,500.0,500,491.3871850762327,491.8148199307288,7.025124e-08,1.3042352,0.394012,1,0.4,0.01757108,0.0026078564,4653.661307850984
4085.3545,100,4658.4854,0.009999998,1.0,4658.486014699915,1.0,0.01,20.992897,4658.486014699915,445.1526952988101,445.1526952988101,500.0,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4658.486014699915
4252.5127,100,4657.8047,0.0049999994,1.0,4657.123648431392,1.0,0.005,20.952253,4657.123648431392,440.7709172672631,440.7709172672631,500.0,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4657.123648431392
4325.558,100,4656.4775,0.0033333336,1.0,4653.822041863895,1.0,0.0033333334,22.897875,4653.822041863895,691.2805230867685,691.2805230867685,500.0,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4653.822041863895
4370.1426,100,4656.7295,0.0024999997,1.0,4657.487921340511,1.0,0.0025,22.206333,4657.487921340511,402.80845891548944,402.80845891548944,500.0,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4657.487921340511
4398.82,100,4655.8076,0.002,0.998427,4644.7408739564535,1.0051291,0.001233352,38.935863,4644.7408739564535,14497.412606498478,14497.412606498478,498.77,500,496.76995239809577,497.4485372586144,2.6060503e-08,1.2052909,0.61570597,1,0.4,0.0064946446,0.0024143797,4644.7408739564535
