EpsThisIter,Bound,VarDiscRet,J,MinNormIw,AvgRet,VarVanillaIw,VanillaAvgRet,ESSClassic,Delta,IterType,MinVanillaIw,VarNormIw,ESSRenyi,BatchSize,AvgDiscRet,AvgNormIw,AvgEpLen,MaxVanillaIw,VarJ,eRenyi2,AvgVanillaIw,MaxNormIw,VarRet
100,673.6262,83958.67826312238,1237.4349,3.0090003e-08,148.23435896617477,97.45682,148.23435896617477,4.646246613863707,0.6,1,6.5242143e-06,0.002073005,6.642349258739678,100,148.23435896617477,0.01,15.83,79.31735,2472.8127,15.054914,2.1682332,0.3658156,83958.67826312238
100,2540.2664,1374407.4803402517,4111.8887,3.043032e-17,752.5331054274332,37.225742,752.5331054274332,4.40066903408074,0.6,1,3.9634895e-15,0.0021943247,6.747589399722999,100,752.5331054274332,0.01,76.22,52.70384,4747.8237,14.820107,1.3024803,0.4046421,1374407.4803402517
100,-inf,4758924.4148101425,94.369804,7.512333e-17,752.5331054274332,6.365546e+26,752.5331054274332,1.0021224895452916,0.6,,0.01897395,0.009978606,nan,200,2326.3987681029744,0.01,76.22,252302940000000.0,62.251453,nan,2525706600000.0,0.99894,1374407.4803402517
100,3158.6982,745277.7042971404,4544.258,1.9227794e-20,459.6682088898561,94.47213,459.6682088898561,5.414137478864506,0.6,1,6.219162e-18,0.0009030231,8.68149957088268,200,459.6682088898561,0.005000001,46.95,83.59299,3155.3296,23.037495,1.6172323,0.25844458,745277.7042971404
100,1905.2263,3799165.0636486355,2313.4746,0.01,2313.4747321699247,,2313.4747321699247,100.0,0.6,2,1.0,3.5044917e-18,200.0,200,2313.4747321699247,0.009999998,232.08,1.0,1939.3744,1.0,1.0,0.01,3799165.0636486355
100,-inf,3769043.599853725,4878.463,6.5338964e-20,459.6682088898561,1.2978118e+32,459.6682088898561,1.2895604727243135,0.6,,0.011962727,0.0038716472,2660155.629941095,300,1956.814854025216,0.0049999994,46.95,1.6079337e+17,1914.017,0.00011277536,915436000000000.0,0.87823385,745277.7042971404
100,3209.1963,724921.7458990064,4519.9697,7.925599e-23,565.4307393622828,122.540344,565.4307393622828,7.151528791466018,0.6,1,4.106254e-20,0.00045651142,9.70040008821775,300,565.4307393622828,0.0033333334,57.54,111.39015,3769.1206,30.92656,1.7270005,0.21499734,724921.7458990064
100,2400.2773,4120476.9759628614,2808.5256,0.01,2808.525647598649,,2808.525647598649,100.0,0.6,2,1.0,3.5044917e-18,300.0,300,2808.525647598649,0.009999998,281.5,1.0,2019.7208,1.0,1.0,0.01,4120476.9759628614
100,2474.639,4030420.879554118,2763.314,0.005,2718.1025488259143,,2718.1025488259143,200.00000010221265,0.6,2,1.0,2.179301e-19,300.0,300,2718.1025488259143,0.0049999994,272.5,1.0,2009.1637,1.0,1.0,0.005,4030420.879554118
100,-inf,3963924.6267232066,1003.974,3.5595603e-22,565.4307393622828,inf,565.4307393622828,,0.6,,0.008977454,0.0031084814,9667017.012328107,400,2821.794536683258,0.0033333334,57.54,2.4353096e+19,528.94403,4.137781e-05,8.406894e+16,0.9656002,724921.7458990064
100,3285.9763,434894.71116101777,4557.4824,8.5540065e-36,483.02621245406584,146.74124,483.02621245406584,6.504143297899645,0.6,1,5.3221495e-33,0.0003790681,10.308803207658615,400,483.02621245406584,0.0025000004,49.32,144.10532,4185.029,38.80179,1.5554552,0.23161277,434894.71116101777
100,2919.0432,4151109.1486419495,3327.2915,0.01,3327.2916002318875,,3327.2916002318875,100.0,0.6,2,1.0,3.5044917e-18,400.0,400,3327.2916002318875,0.009999998,333.25,1.0,2027.2144,1.0,1.0,0.01,4151109.1486419495
100,2811.0916,4087149.4738761745,3099.7666,0.005,2872.2413116131206,,2872.2413116131206,200.00000010221265,0.6,2,1.0,2.179301e-19,400.0,400,2872.2413116131206,0.0049999994,287.85,1.0,2032.1677,1.0,1.0,0.005,4087149.4738761745
100,2857.9436,4274253.7850274835,3093.6458,0.0033333334,3081.404977872564,,3081.404977872564,299.999969473632,0.6,2,1.0,5.4391416e-20,400.0,400,3081.404977872564,0.0033333336,308.71,1.0,2040.5186,1.0,1.0,0.0033333334,4274253.7850274835
100,-inf,4378576.961469358,119.92321,3.6932365e-35,483.02621245406584,inf,483.02621245406584,,0.6,,0.0069393697,0.0025000002,15748564.808518957,500,2901.7448447770216,0.0025,49.32,1.87894e+32,6.833021e-05,3.1748925e-05,4.69735e+29,1.0,434894.71116101777
100,3281.0278,1051718.5385857911,4469.105,1.083152e-31,677.4030828890961,139.35693,677.4030828890961,9.84340453502154,0.6,1,9.050952e-29,0.00019958083,11.807530904323976,500,677.4030828890961,0.002,68.73,142.97835,4456.7217,42.345856,1.6712246,0.17110609,1051718.5385857911
100,2913.8198,4148841.4206292606,3322.068,0.01,3322.068301027073,,3322.068301027073,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,3322.068301027073,0.009999998,332.67,1.0,2026.6605,1.0,1.0,0.01,4148841.4206292606
100,3043.7908,3862281.9037743164,3332.4658,0.005,3342.8637246546964,,3342.8637246546964,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,3342.8637246546964,0.0049999994,334.81,1.0,1991.3849,1.0,1.0,0.005,3862281.9037743164
100,3052.1726,4214986.924156825,3287.8748,0.0033333334,3198.6909821140725,,3198.6909821140725,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,3198.6909821140725,0.0033333336,320.4,1.0,2009.643,1.0,1.0,0.0033333334,4214986.924156825
100,3082.8362,4089761.114241123,3286.9604,0.0025,3284.2190574731726,,3284.2190574731726,400.0,0.6,2,1.0,5.434597e-20,500.0,500,3284.2190574731726,0.0024999997,328.95,1.0,2010.278,1.0,1.0,0.0025,4089761.114241123
100,4519.899,4189792.9647717783,4908.1064,2.2659902e-11,3187.1103945177265,2.857926,3187.1103945177265,112.80766765202824,0.6,1,1.0328201e-08,1.3756805e-05,110.59138742739307,500,3187.1103945177265,0.002,319.24,9.4658985,347.86038,4.5211477,0.9115839,0.020768024,4189792.9647717783
100,4463.141,565488.3613618709,4871.389,0.01,4871.3894138766855,,4871.3894138766855,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4871.3894138766855,0.009999998,487.18,1.0,748.22015,1.0,1.0,0.01,565488.3613618709
100,4626.525,114500.75205114993,4915.2,0.005,4959.01223832897,,4959.01223832897,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4959.01223832897,0.0049999994,495.94,1.0,581.81964,1.0,1.0,0.005,114500.75205114993
100,4662.773,384678.58027800935,4898.475,0.0033333334,4865.023125315096,,4865.023125315096,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4865.023125315096,0.0033333336,486.57,1.0,594.28906,1.0,1.0,0.0033333334,384678.58027800935
100,4694.022,416296.6994094663,4898.146,0.0025,4897.159639476172,,4897.159639476172,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4897.159639476172,0.0024999997,489.77,1.0,606.56274,1.0,1.0,0.0025,416296.6994094663
100,4766.1646,699500.0535794827,4972.463,5.3704654e-05,4810.917775092139,0.27024242,4810.917775092139,393.408090982706,0.6,1,0.026790664,1.0859516e-06,391.61222555752147,500,4810.917775092139,0.0019999999,481.17,2.2577329,212.64305,1.2767732,0.9977036,0.004525859,699500.0535794827
100,4509.702,249980.69869567375,4917.95,0.01,4917.950145483472,,4917.950145483472,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4917.950145483472,0.009999998,491.84,1.0,497.47452,1.0,1.0,0.01,249980.69869567375
100,4660.85,35344.768103965114,4949.5254,0.005,4981.100133439594,,4981.100133439594,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4981.100133439594,0.0049999994,498.13,1.0,377.138,1.0,1.0,0.005,35344.768103965114
100,4730.6,0.08727739782294684,4966.3022,0.0033333334,4999.855447221891,,4999.855447221891,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.855447221891,0.0033333336,500.0,1.0,308.84464,1.0,1.0,0.0033333334,0.08727739782294684
100,4750.163,346699.2603349077,4954.287,0.0025,4918.244118793938,,4918.244118793938,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4918.244118793938,0.0024999997,491.86,1.0,397.2151,1.0,1.0,0.0025,346699.2603349077
100,4792.9385,3249.9602909437594,4982.5615,0.00030340985,4994.196944903666,0.08200407,4994.196944903666,462.2458198207404,0.6,1,0.15185761,3.2735701e-07,463.5173421273683,500,4994.196944903666,0.002,499.44,1.478752,214.40916,1.0787083,1.0010065,0.0029545303,3249.9602909437594
100,4591.6504,0.013309609803112195,4999.899,0.01,4999.899247555798,,4999.899247555798,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.899247555798,0.009999998,500.0,1.0,0.11479971,1.0,1.0,0.01,0.013309609803112195
100,4711.2197,0.016971577348301282,4999.895,0.005,4999.890862595168,,4999.890862595168,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.890862595168,0.0049999994,500.0,1.0,0.12250848,1.0,1.0,0.005,0.016971577348301282
100,4764.193,0.012627243728227284,4999.895,0.0033333334,4999.895493877209,,4999.895493877209,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.895493877209,0.0033333336,500.0,1.0,0.11905483,1.0,1.0,0.0033333334,0.012627243728227284
100,4795.7715,0.01002631036256961,4999.8955,0.0025,4999.896347616025,,4999.896347616025,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.896347616025,0.0024999997,500.0,1.0,0.11450067,1.0,1.0,0.0025,0.01002631036256961
100,4817.3237,0.01997157121093095,4999.898,0.002,4999.905547540917,,4999.905547540917,500.00000664260017,0.6,1,1.0,5.431875e-20,500.0,500,4999.905547540917,0.0020000003,500.0,1.0,0.12025383,1.0,1.0,0.002,0.01997157121093095
100,4591.6587,0.010576098928430304,4999.907,0.01,4999.907297159044,,4999.907297159044,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.907297159044,0.009999998,500.0,1.0,0.102321,1.0,1.0,0.01,0.010576098928430304
100,4709.9307,675.6913420484187,4998.606,0.005,4997.305023644325,,4997.305023644325,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4997.305023644325,0.0049999994,499.75,1.0,18.334812,1.0,1.0,0.005,675.6913420484187
100,4763.342,0.0066715030809623346,4999.044,0.0033333334,4999.919016340821,,4999.919016340821,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.919016340821,0.0033333336,500.0,1.0,14.983174,1.0,1.0,0.0033333334,0.0066715030809623346
100,4795.1304,0.012957869831833465,4999.2544,0.0025,4999.887226250703,,4999.887226250703,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.887226250703,0.0024999997,500.0,1.0,12.981071,1.0,1.0,0.0025,0.012957869831833465
100,4816.8276,0.013676228980896007,4999.425,0.0018453599,4999.900915913182,0.00027418704,4999.900915913182,499.8629641980317,0.6,1,0.9218567,1.0987079e-09,499.8739679524637,500,4999.900915913182,0.002,500.0,1.0228255,10.717372,1.0002521,0.9991077,0.0020474778,0.013676228980896007
100,4517.6274,305230.91426577297,4925.876,0.01,4925.876011905968,,4925.876011905968,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4925.876011905968,0.009999998,492.62,1.0,549.70776,1.0,1.0,0.01,305230.91426577297
100,4649.2124,249989.8524847451,4937.8877,0.005,4949.8994272581385,,4949.8994272581385,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4949.8994272581385,0.0049999994,495.01,1.0,524.384,1.0,1.0,0.005,249989.8524847451
100,4722.8574,0.024464350061432348,4958.5596,0.0033333334,4999.90243116951,,4999.90243116951,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.90243116951,0.0033333336,500.0,1.0,429.1546,1.0,1.0,0.0033333334,0.024464350061432348
100,4764.768,0.015123118276441624,4968.892,0.0025,4999.889516158261,,4999.889516158261,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.889516158261,0.0024999997,500.0,1.0,372.08942,1.0,1.0,0.0025,0.015123118276441624
100,4797.7085,0.01300772767431726,4983.582,0.0005605471,4999.895981609525,0.035328597,4999.895981609525,482.4439464044889,0.6,1,0.27588013,1.4585112e-07,482.40593852265897,500,4999.895981609525,0.002,500.0,1.4490128,245.11488,1.0364715,0.98432446,0.002944177,0.01300772767431726
100,4591.6377,0.018761539420130573,4999.886,0.01,4999.886373096944,,4999.886373096944,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.886373096944,0.009999998,500.0,1.0,0.13629168,1.0,1.0,0.01,0.018761539420130573
100,4711.207,0.021436931212994666,4999.8823,0.005,4999.878982815777,,4999.878982815777,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.878982815777,0.0049999994,500.0,1.0,0.14111397,1.0,1.0,0.005,0.021436931212994666
100,4764.1826,0.023113616878846804,4999.885,0.0033333334,4999.888606545694,,4999.888606545694,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.888606545694,0.0033333336,500.0,1.0,0.14461458,1.0,1.0,0.0033333334,0.023113616878846804
100,4795.762,0.01248024910877791,4999.886,0.0025,4999.890486663194,,4999.890486663194,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.890486663194,0.0024999997,500.0,1.0,0.13703759,1.0,1.0,0.0025,0.01248024910877791
100,4817.3154,0.009042924154699369,4999.8896,0.002,4999.902220196207,,4999.902220196207,500.00000664260017,0.6,1,1.0,5.431875e-20,500.0,500,4999.902220196207,0.0020000003,500.0,1.0,0.12982817,1.0,1.0,0.002,0.009042924154699369
100,4591.6357,0.04393692283583322,4999.8843,0.01,4999.884276360462,,4999.884276360462,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.884276360462,0.009999998,500.0,1.0,0.20856759,1.0,1.0,0.01,0.04393692283583322
100,4711.1973,0.02363315576594181,4999.8726,0.005,4999.86127163489,,4999.86127163489,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.86127163489,0.0049999994,500.0,1.0,0.18324602,1.0,1.0,0.005,0.02363315576594181
100,4764.1772,0.041204064586322586,4999.8794,0.0033333334,4999.890000443252,,4999.890000443252,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.890000443252,0.0033333336,500.0,1.0,0.18987127,1.0,1.0,0.0033333334,0.041204064586322586
100,4795.7637,0.009141379975435647,4999.8877,0.0025,4999.913979387702,,4999.913979387702,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.913979387702,0.0024999997,500.0,1.0,0.1718607,1.0,1.0,0.0025,0.009141379975435647
100,4817.32,0.007890072106835996,4999.894,0.002,4999.9186961512,,4999.9186961512,500.00000664260017,0.6,1,1.0,5.431875e-20,500.0,500,4999.9186961512,0.0020000003,500.0,1.0,0.15921226,1.0,1.0,0.002,0.007890072106835996
100,4591.6714,0.006192316710099414,4999.9194,0.01,4999.919701064644,,4999.919701064644,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.919701064644,0.009999998,500.0,1.0,0.07828871,1.0,1.0,0.01,0.006192316710099414
100,4711.228,0.01386618333270247,4999.9033,0.005,4999.887557988765,,4999.887557988765,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.887557988765,0.0049999994,500.0,1.0,0.100924045,1.0,1.0,0.005,0.01386618333270247
100,4764.201,0.013475976063723034,4999.9033,0.0033333334,4999.901469459267,,4999.901469459267,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.901469459267,0.0033333336,500.0,1.0,0.106005944,1.0,1.0,0.0033333334,0.013475976063723034
100,4795.7754,0.020328042547514497,4999.8994,0.0025,4999.889661868717,,4999.889661868717,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.889661868717,0.0024999997,500.0,1.0,0.116151474,1.0,1.0,0.0025,0.020328042547514497
100,4813.4595,240100.29874388798,4997.8667,0.00041501716,4950.905802171142,0.021250349,4950.905802171142,489.63311112759055,0.6,1,0.20767926,8.486173e-08,490.1086784547528,500,4950.905802171142,0.002,495.11,1.198849,45.49993,1.0201819,1.0008225,0.0023957274,240100.29874388798
100,4591.658,0.011924506821442091,4999.9067,0.01,4999.907157705781,,4999.907157705781,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.907157705781,0.009999998,500.0,1.0,0.10866136,1.0,1.0,0.01,0.011924506821442091
100,4711.2344,0.007768571107223622,4999.9097,0.005,4999.91261183038,,4999.91261183038,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.91261183038,0.0049999994,500.0,1.0,0.09878103,1.0,1.0,0.005,0.007768571107223622
