Bound,VarJ,VarNormIw,AvgVanillaIw,MinVanillaIw,MaxNormIw,AvgRet,BatchSize,ESSRenyi,MaxVanillaIw,Delta,eRenyi2,VarRet,VarVanillaIw,AvgEpLen,AvgNormIw,AvgDiscRet,VarDiscRet,IterType,J,ESSClassic,VanillaAvgRet,EpsThisIter,MinNormIw
167.28572,285.49973,0.0018601188,2.3576949,0.0055221184,0.42981,153.81207101247344,100,29.09611566567282,101.33608,0.4,3.4368849,10464.200774744022,103.39889,16.78,0.01,153.81207101247344,10464.200774744022,1,282.70447,5.15060894037416,153.81207101247344,100,2.3421684e-05
376.2513,724.8791,0.0067293425,1.3418596,5.828534e-12,0.82146287,189.99533284397538,100,10.143692376926799,110.22878,0.4,9.858343,14376.928148713414,121.167694,20.66,0.01,189.99533284397538,14376.928148713414,1,665.3669,1.4788416452392346,189.99533284397538,100,4.3436243e-14
-inf,0.014745696,0.009999611,1715730300.0,0.009072041,0.9999807,189.99533284397538,200,nan,171569730000.0,0.4,nan,14376.928148713414,2.9436153e+20,20.66,0.01,340.852717618819,35377.62384481848,,212.60333,1.000038580232173,189.99533284397538,100,5.2875683e-14
459.29904,1548.3596,0.0030290035,1.8141097,4.1280135e-09,0.77807266,206.59720678456705,200,10.866968923032408,282.30182,0.4,18.404396,19274.471249974336,398.73724,22.43,0.005,206.59720678456705,19274.471249974336,1,812.3383,1.645354886588294,206.59720678456705,100,1.137752e-11
203.64067,157.33987,3.5044917e-18,1.0,1.0,0.01,318.38970617847883,200,200.0,1.0,0.4,1.0,25005.895865508628,,34.41,0.009999998,318.38970617847883,25005.895865508628,2,318.3897,100.0,318.38970617847883,100,0.01
-inf,2162.6274,0.0012120695,3767900.5,0.003542308,0.32146186,206.59720678456705,300,nan,242247260.0,0.4,nan,19274.471249974336,688313600000000.0,22.43,0.005,344.9787369014586,30857.160465748344,,416.20245,4.061707627189699,206.59720678456705,100,4.700639e-12
459.38345,1634.5742,0.0022588593,2.2049456,8.201703e-18,0.82319325,193.18937115447468,300,9.47292097328857,544.52893,0.4,31.669218,18627.35847348137,988.38837,20.99,0.0033333332,193.18937115447468,18627.35847348137,1,837.50836,1.4733347192457606,193.18937115447468,100,1.239895e-20
223.28143,147.5104,3.5044917e-18,1.0,1.0,0.01,326.2815637319096,300,300.0,1.0,0.4,1.0,21979.111802887808,,35.26,0.009999998,326.2815637319096,21979.111802887808,2,326.2816,100.0,326.2815637319096,100,0.01
218.73491,166.98422,2.179301e-19,1.0,1.0,0.005,326.0298501383077,300,300.0,1.0,0.4,1.0,34351.62629455541,,35.25,0.0049999994,326.0298501383077,34351.62629455541,2,326.1557,200.00000010221265,326.0298501383077,100,0.005
-inf,1987.5908,0.0025127495,474047150000000.0,0.0018364498,0.8573401,193.18937115447468,400,4.7245790018612996e+38,1.2192589e+17,0.4,8.466363e-37,18627.35847348137,5.0820074e+31,20.99,0.0033333334,361.53085212817234,38101.552724749,,824.7823,1.3251249358675492,193.18937115447468,100,1.2913271e-20
457.57986,1863.3292,0.0016871142,2.421724,9.547963e-24,0.82130605,185.663927804608,400,9.334080955199392,795.59064,0.4,42.85371,15684.086827630257,1583.12,20.21,0.0025,185.663927804608,15684.086827630257,1,838.50665,1.4800375919785556,185.663927804608,100,9.856576e-27
226.78561,130.21442,3.5044917e-18,1.0,1.0,0.01,330.8585729744037,400,400.0,1.0,0.4,1.0,17127.06486906637,,35.74,0.009999998,330.8585729744037,17127.06486906637,2,330.85858,100.0,330.8585729744037,100,0.01
257.4,136.94191,2.179301e-19,1.0,1.0,0.005,331.12283963084394,400,400.0,1.0,0.4,1.0,20757.921050263933,,35.79,0.0049999994,331.12283963084394,20757.921050263933,2,330.9907,200.00000010221265,331.12283963084394,100,0.005
262.4579,130.54787,5.4391416e-20,1.0,1.0,0.0033333334,305.65199559678945,400,400.0,1.0,0.4,1.0,13327.30427389959,,33.02,0.0033333336,305.65199559678945,13327.30427389959,2,322.54443,299.999969473632,305.65199559678945,100,0.0033333334
130.89142,10.210999,0.0024855395,2.6259562e+20,0.0012569278,0.9971071,185.663927804608,500,323.564537150717,1.0473438e+23,0.4,1.5452868,15684.086827630257,inf,20.21,0.0025,335.71059939825784,33338.86870200567,,222.72952,,185.663927804608,100,1.1966383e-26
314.3669,1426.0078,0.00035642067,2.0723124,5.4912643e-09,0.4000412,232.61718442683144,500,42.22680752471066,414.50513,0.4,11.840819,26512.88530774186,382.66016,25.24,0.002,232.61718442683144,26512.88530774186,1,493.4618,5.560068175068895,232.61718442683144,100,5.2996496e-12
230.19324,157.5917,3.5044917e-18,1.0,1.0,0.01,348.74864801993505,500,500.0,1.0,0.4,1.0,25086.005439892197,,37.67,0.009999998,348.74864801993505,25086.005439892197,2,348.74866,100.0,348.74864801993505,100,0.01
260.47223,144.48708,2.179301e-19,1.0,1.0,0.005,339.858511987667,500,500.0,1.0,0.4,1.0,17048.856613268792,,36.71,0.0049999994,339.858511987667,17048.856613268792,2,344.3036,200.00000010221265,339.858511987667,100,0.005
272.26752,154.99298,5.4391416e-20,1.0,1.0,0.0033333334,352.9519065116681,500,500.0,1.0,0.4,1.0,30571.28662632309,,38.15,0.0033333336,352.9519065116681,30571.28662632309,2,347.18637,299.999969473632,352.9519065116681,100,0.0033333334
287.5122,159.34517,5.434597e-20,1.0,1.0,0.0025,368.0162380182268,500,500.0,1.0,0.4,1.0,29464.296728136596,,39.76,0.0024999997,368.0162380182268,29464.296728136596,2,352.39383,400.0,368.0162380182268,100,0.0025
637.7345,2685.6206,0.00090024195,3.394435,9.751723e-13,0.66559136,375.6191281476513,500,17.042889838128826,1129.6532,0.4,29.337748,33984.78609044488,2593.189,40.58,0.0020000006,375.6191281476513,33984.78609044488,1,981.60724,2.216210612641945,375.6191281476513,100,5.7457125e-16
