Bound,VarJ,VarNormIw,AvgVanillaIw,MinVanillaIw,MaxNormIw,AvgRet,BatchSize,ESSRenyi,MaxVanillaIw,Delta,eRenyi2,VarRet,VarVanillaIw,AvgEpLen,AvgNormIw,AvgDiscRet,VarDiscRet,IterType,J,ESSClassic,VanillaAvgRet,EpsThisIter,MinNormIw
366.75467,248.41269,3.5044917e-18,1.0,1.0,0.01,544.1508004799723,500,500.0,1.0,0.4,1.0,62332.18740971413,,58.79,0.009999998,544.1508004799723,62332.18740971413,2,544.15076,100.0,544.1508004799723,100,0.01
397.0489,258.36807,2.179301e-19,1.0,1.0,0.005,500.82299195243735,500,500.0,1.0,0.4,1.0,71576.36889264047,,54.11,0.0049999994,500.82299195243735,71576.36889264047,2,522.4869,200.00000010221265,500.82299195243735,100,0.005
410.75873,251.73547,5.4391416e-20,1.0,1.0,0.0033333334,494.5614860493936,500,500.0,1.0,0.4,1.0,56650.75980858037,,53.45,0.0033333336,494.5614860493936,56650.75980858037,2,513.1784,299.999969473632,494.5614860493936,100,0.0033333334
422.85852,247.20712,5.434597e-20,1.0,1.0,0.0025,507.213521618011,500,500.0,1.0,0.4,1.0,54855.09671053775,,54.78,0.0024999997,507.213521618011,54855.09671053775,2,511.68716,400.0,507.213521618011,100,0.0025
724.80963,3581.8862,0.0004201707,1.5006533,5.395195e-15,0.44639826,486.9293035123852,500,22.639756737306225,334.94452,0.4,22.085043,35342.55664413979,236.55196,52.6,0.002,486.9293035123852,35342.55664413979,1,1098.1864,4.724442314435152,486.9293035123852,100,7.190462e-18
501.56995,287.41895,3.5044917e-18,1.0,1.0,0.01,669.8904498667129,500,500.0,1.0,0.4,1.0,83444.08169488733,,72.42,0.009999998,669.8904498667129,83444.08169488733,2,669.89044,100.0,669.8904498667129,100,0.01
559.307,295.1525,2.179301e-19,1.0,1.0,0.005,727.7516095976608,500,500.0,1.0,0.4,1.0,90854.95302841898,,78.73,0.0049999994,727.7516095976608,90854.95302841898,2,698.82104,200.00000010221265,727.7516095976608,100,0.005
577.1862,293.25836,5.4391416e-20,1.0,1.0,0.0033333334,701.4859219845856,500,500.0,1.0,0.4,1.0,84612.77011851124,,75.76,0.0033333336,701.4859219845856,84612.77011851124,2,699.70935,299.999969473632,701.4859219845856,100,0.0033333334
602.2041,295.58905,5.434597e-20,1.0,1.0,0.0025,734.121202225242,500,500.0,1.0,0.4,1.0,91517.19897103302,,79.38,0.0024999997,734.121202225242,91517.19897103302,2,708.31226,400.0,734.121202225242,100,0.0025
770.5992,2286.6335,0.00011401002,1.1988169,4.2506474e-07,0.22507982,728.775182140609,500,75.38068982314391,134.91475,0.4,6.6329985,100950.9061691737,40.962727,78.81,0.0019999999,728.775182140609,100950.9061691737,1,1045.5618,16.98052212759928,728.775182140609,100,7.091404e-10
643.2406,273.9904,3.5044917e-18,1.0,1.0,0.01,850.9733662145927,500,500.0,1.0,0.4,1.0,75829.02222787568,,92.25,0.009999998,850.9733662145927,75829.02222787568,2,850.9733,100.0,850.9733662145927,100,0.01
665.32306,293.9092,2.179301e-19,1.0,1.0,0.005,773.4513217874128,500,500.0,1.0,0.4,1.0,95646.13576776927,,83.78,0.0049999994,773.4513217874128,95646.13576776927,2,812.2123,200.00000010221265,773.4513217874128,100,0.005
699.16345,282.1516,5.4391416e-20,1.0,1.0,0.0033333334,832.869361369223,500,500.0,1.0,0.4,1.0,66443.30527173907,,90.12,0.0033333336,832.869361369223,66443.30527173907,2,819.098,299.999969473632,832.869361369223,100,0.0033333334
713.8389,278.913,5.434597e-20,1.0,1.0,0.0025,813.5273203656482,500,500.0,1.0,0.4,1.0,73048.4119812676,,88.06,0.0024999997,813.5273203656482,73048.4119812676,2,817.7053,400.0,813.5273203656482,100,0.0025
1394.9392,6315.8374,0.0011426415,3.5684032,2.6598397e-11,0.75462574,880.7125518005206,500,17.332061603186606,1346.4045,0.4,28.84827,132598.6141033953,3637.4578,95.32,0.0020000003,880.7125518005206,132598.6141033953,1,2129.8547,1.7477073798835068,880.7125518005206,100,1.490773e-14
658.3364,346.36502,3.5044917e-18,1.0,1.0,0.01,950.4798774327818,500,500.0,1.0,0.4,1.0,121180.51754123294,,103.09,0.009999998,950.4798774327818,121180.51754123294,2,950.47986,100.0,950.4798774327818,100,0.01
767.0555,335.6757,2.179301e-19,1.0,1.0,0.005,996.7843672885751,500,500.0,1.0,0.4,1.0,105369.28483414266,,108.04,0.0049999994,996.7843672885751,105369.28483414266,2,973.6321,200.00000010221265,996.7843672885751,100,0.005
816.6531,346.17288,5.4391416e-20,1.0,1.0,0.0033333334,1008.7021605205026,500,500.0,1.0,0.4,1.0,134677.4326881999,,109.12,0.0033333336,1008.7021605205026,134677.4326881999,2,985.32214,299.999969473632,1008.7021605205026,100,0.0033333334
836.2358,353.26816,5.434597e-20,1.0,1.0,0.0025,973.2639640217537,500,500.0,1.0,0.4,1.0,140987.38771001215,,105.61,0.0024999997,973.2639640217537,140987.38771001215,2,982.3075,400.0,973.2639640217537,100,0.0025
1049.8269,3809.7107,0.00022766614,1.460186,5.675573e-06,0.3323993,957.2387369530759,500,77.90529661155468,242.6824,0.4,6.418049,109846.92716158644,121.354195,103.79,0.002,957.2387369530759,109846.92716158644,1,1380.8152,8.650115810784113,957.2387369530759,100,7.773767e-09
778.8684,388.10455,3.5044917e-18,1.0,1.0,0.01,1068.9855828839798,500,500.0,1.0,0.4,1.0,152146.60551532227,,115.96,0.009999998,1068.9855828839798,152146.60551532227,2,1068.9856,100.0,1068.9855828839798,100,0.01
900.27856,382.0254,2.179301e-19,1.0,1.0,0.005,1154.9413141132854,500,500.0,1.0,0.4,1.0,138956.9961618817,,125.23,0.0049999994,1154.9413141132854,138956.9961618817,2,1111.9634,200.00000010221265,1154.9413141132854,100,0.005
927.33545,374.89935,5.4391416e-20,1.0,1.0,0.0033333334,1076.5993119297182,500,500.0,1.0,0.4,1.0,130230.38776312936,,116.98,0.0033333336,1076.5993119297182,130230.38776312936,2,1100.1754,299.999969473632,1076.5993119297182,100,0.0033333334
915.87585,372.64474,5.434597e-20,1.0,1.0,0.0025,1100.8422087409845,500,500.0,1.0,0.4,1.0,135159.1856180557,,119.64,0.0024999997,1100.8422087409845,135159.1856180557,2,1100.342,400.0,1100.8422087409845,100,0.0025
980.81433,557.6691,5.0464078e-06,1.0377934,0.004742655,0.0149684725,1087.1140702708565,500,259.1116007420409,7.7670913,0.4,1.9296705,107385.64702042406,1.3587646,118.17,0.002,1087.1140702708565,107385.64702042406,1,1210.0084,221.32915188890965,1087.1140702708565,100,9.139882e-06
921.51447,309.83444,3.5044917e-18,1.0,1.0,0.01,1162.5306972001836,500,500.0,1.0,0.4,1.0,96967.05698674652,,126.53,0.009999998,1162.5306972001836,96967.05698674652,2,1162.5306,100.0,1162.5306972001836,100,0.01
971.55084,344.71674,2.179301e-19,1.0,1.0,0.005,1166.2565412053996,500,500.0,1.0,0.4,1.0,143085.78934079476,,126.64,0.0049999994,1166.2565412053996,143085.78934079476,2,1164.3936,200.00000010221265,1166.2565412053996,100,0.005
1009.6285,336.2212,5.4391416e-20,1.0,1.0,0.0033333334,1172.4642895249335,500,500.0,1.0,0.4,1.0,102455.94003090798,,127.81,0.0033333336,1172.4642895249335,102455.94003090798,2,1167.0839,299.999969473632,1172.4642895249335,100,0.0033333334
1041.2634,337.86197,5.434597e-20,1.0,1.0,0.0025,1216.4920498546426,500,500.0,1.0,0.4,1.0,116805.9897041012,,132.42,0.0024999997,1216.4920498546426,116805.9897041012,2,1179.4359,400.0,1216.4920498546426,100,0.0025
1470.5844,5048.883,0.00076485396,1.8329682,5.776381e-06,0.61775535,1193.0576137061457,500,35.50565702781932,566.16296,0.4,14.082263,121625.80528187542,642.434,129.62,0.0019999999,1193.0576137061457,121625.80528187542,1,1945.0422,2.606459817691881,1193.0576137061457,100,6.3027614e-09
995.28845,317.4542,3.5044917e-18,1.0,1.0,0.01,1278.7960271784086,500,500.0,1.0,0.4,1.0,101795.12871043249,,138.98,0.009999998,1278.7960271784086,101795.12871043249,2,1278.7959,100.0,1278.7960271784086,100,0.01
1085.8365,318.0773,2.179301e-19,1.0,1.0,0.005,1301.9503803169332,500,500.0,1.0,0.4,1.0,102324.35775564102,,141.46,0.0049999994,1301.9503803169332,102324.35775564102,2,1290.3732,200.00000010221265,1301.9503803169332,100,0.005
1105.8881,334.49704,5.4391416e-20,1.0,1.0,0.0033333334,1310.9427056459974,500,500.0,1.0,0.4,1.0,134380.18674976408,,142.73,0.0033333336,1310.9427056459974,134380.18674976408,2,1297.2299,299.999969473632,1310.9427056459974,100,0.0033333334
1145.0492,326.6495,5.434597e-20,1.0,1.0,0.0025,1351.3352807881975,500,500.0,1.0,0.4,1.0,89837.5592965719,,146.7,0.0024999997,1351.3352807881975,89837.5592965719,2,1310.7561,400.0,1351.3352807881975,100,0.0025
1413.8085,3473.4346,0.0006279891,2.1688092,0.00011181165,0.5597113,1322.972386099852,500,68.28705497617973,606.9534,0.4,7.322032,131475.28391700517,738.4731,143.54,0.002,1322.972386099852,131475.28391700517,1,1814.8611,3.1709133258953925,1322.972386099852,100,1.03108796e-07
945.9916,376.2447,3.5044917e-18,1.0,1.0,0.01,1354.883926196113,500,500.0,1.0,0.4,1.0,142989.98150425352,,147.5,0.009999998,1354.883926196113,142989.98150425352,2,1354.8839,100.0,1354.883926196113,100,0.01
1066.8201,361.8408,2.179301e-19,1.0,1.0,0.005,1357.017521474947,500,500.0,1.0,0.4,1.0,121510.23196278774,,147.48,0.0049999994,1357.017521474947,121510.23196278774,2,1355.9507,200.00000010221265,1357.017521474947,100,0.005
1126.0503,355.2967,5.4391416e-20,1.0,1.0,0.0033333334,1374.4718586324875,500,500.0,1.0,0.4,1.0,117799.04617627904,,149.87,0.0033333336,1374.4718586324875,117799.04617627904,2,1362.1244,299.999969473632,1374.4718586324875,100,0.0033333334
1162.6724,353.06198,5.434597e-20,1.0,1.0,0.0025,1382.1011095548615,500,500.0,1.0,0.4,1.0,120812.60171618224,,150.45,0.0024999997,1382.1011095548615,120812.60171618224,2,1367.1185,400.0,1382.1011095548615,100,0.0025
1394.406,3392.2417,0.0006864048,2.4444618,0.00034818996,0.5844932,1330.940410875277,500,85.2448487918018,714.38574,0.4,5.865457,115253.74600643748,1025.3849,145.08,0.0020000006,1330.940410875277,115253.74600643748,1,1837.2745,2.902623167107068,1330.940410875277,100,2.8488066e-07
1037.685,441.5369,3.5044917e-18,1.0,1.0,0.01,1437.6330203750313,500,500.0,1.0,0.4,1.0,196924.07922975704,,156.68,0.009999998,1437.6330203750313,196924.07922975704,2,1437.6329,100.0,1437.6330203750313,100,0.01
1076.3466,477.87686,2.179301e-19,1.0,1.0,0.005,1473.0180614778274,500,500.0,1.0,0.4,1.0,263789.6221669949,,159.95,0.0049999994,1473.0180614778274,263789.6221669949,2,1455.3254,200.00000010221265,1473.0180614778274,100,0.005
1121.6277,440.8554,5.4391416e-20,1.0,1.0,0.0033333334,1382.536849642999,500,500.0,1.0,0.4,1.0,124036.08921952662,,150.68,0.0033333336,1382.536849642999,124036.08921952662,2,1431.0626,299.999969473632,1382.536849642999,100,0.0033333334
1164.1602,409.9183,5.434597e-20,1.0,1.0,0.0025,1435.3669636449858,500,500.0,1.0,0.4,1.0,89957.30669480603,,156.08,0.0024999997,1435.3669636449858,89957.30669480603,2,1432.1387,400.0,1435.3669636449858,100,0.0025
1215.2336,701.17786,2.106361e-06,0.9965593,0.069320194,0.008648155,1380.6948381630896,500,344.23340451953743,4.3092,0.4,1.4525028,124353.96795057051,0.5229728,150.56,0.002,1380.6948381630896,124353.96795057051,1,1504.1042,327.75342385782307,1380.6948381630896,100,0.00013911905
1022.0846,393.30954,3.5044917e-18,1.0,1.0,0.01,1447.4364753808131,500,500.0,1.0,0.4,1.0,156254.94599899507,,157.64,0.009999998,1447.4364753808131,156254.94599899507,2,1447.4364,100.0,1447.4364753808131,100,0.01
1146.3174,412.61447,2.179301e-19,1.0,1.0,0.005,1460.3027057562338,500,500.0,1.0,0.4,1.0,187602.25416505648,,159.45,0.0049999994,1460.3027057562338,187602.25416505648,2,1453.8695,200.00000010221265,1460.3027057562338,100,0.005
1200.075,420.8475,5.4391416e-20,1.0,1.0,0.0033333334,1445.8310348152256,500,500.0,1.0,0.4,1.0,192720.62305369464,,157.7,0.0033333336,1445.8310348152256,192720.62305369464,2,1451.1902,299.999969473632,1445.8310348152256,100,0.0033333334
1213.4583,401.69583,5.434597e-20,1.0,1.0,0.0025,1370.1509911999667,500,500.0,1.0,0.4,1.0,110277.57257354277,,149.45,0.0024999997,1370.1509911999667,110277.57257354277,2,1430.9304,400.0,1370.1509911999667,100,0.0025
2141.3296,6930.73,0.0012116911,3.774149,1.0147967e-06,0.77857226,1380.0710586541607,500,36.05371721094493,1469.2239,0.4,13.868196,135630.74552322566,4314.8916,150.6,0.0019999996,1380.0710586541607,135630.74552322566,1,2865.6965,1.6484409358800132,1380.0710586541607,100,5.377619e-10
1087.459,474.90527,3.5044917e-18,1.0,1.0,0.01,1496.9469060509798,500,500.0,1.0,0.4,1.0,227813.15317916116,,163.18,0.009999998,1496.9469060509798,227813.15317916116,2,1496.9469,100.0,1496.9469060509798,100,0.01
1179.5585,421.35745,2.179301e-19,1.0,1.0,0.005,1441.27356115349,500,500.0,1.0,0.4,1.0,129292.40821535417,,157.18,0.0049999994,1441.27356115349,129292.40821535417,2,1469.1102,200.00000010221265,1441.27356115349,100,0.005
1234.6439,435.03836,5.4391416e-20,1.0,1.0,0.0033333334,1476.9359736901802,500,500.0,1.0,0.4,1.0,214798.05570843455,,160.79,0.0033333336,1476.9359736901802,214798.05570843455,2,1471.7188,299.999969473632,1476.9359736901802,100,0.0033333334
1273.8921,438.3566,5.434597e-20,1.0,1.0,0.0025,1506.718482263283,500,500.0,1.0,0.4,1.0,201951.7435039476,,164.4,0.0024999997,1506.718482263283,201951.7435039476,2,1480.4688,400.0,1506.718482263283,100,0.0025
1469.5026,3134.6926,0.0002505494,1.6741413,0.045001104,0.3535938,1413.0750811785638,500,210.35545891028522,295.98297,0.4,2.376929,146678.65799752902,175.55678,154.08,0.0019999999,1413.0750811785638,146678.65799752902,1,1754.3645,7.872518222449668,1413.0750811785638,100,5.3760225e-05
1065.4784,375.57376,3.5044917e-18,1.0,1.0,0.01,1448.0776937458313,500,500.0,1.0,0.4,1.0,142480.44319451056,,157.72,0.009999998,1448.0776937458313,142480.44319451056,2,1448.0778,100.0,1448.0776937458313,100,0.01
1196.6895,385.407,2.179301e-19,1.0,1.0,0.005,1486.378159919765,500,500.0,1.0,0.4,1.0,156856.59632490142,,161.62,0.0049999994,1486.378159919765,156856.59632490142,2,1467.228,200.00000010221265,1486.378159919765,100,0.005
1255.962,405.997,5.4391416e-20,1.0,1.0,0.0033333334,1496.111653401487,500,500.0,1.0,0.4,1.0,198855.96424932597,,162.87,0.0033333336,1496.111653401487,198855.96424932597,2,1476.8558,299.999969473632,1496.111653401487,100,0.0033333334
1296.4465,401.97552,5.434597e-20,1.0,1.0,0.0025,1520.4174129705432,500,500.0,1.0,0.4,1.0,151932.67202447815,,165.76,0.0024999997,1520.4174129705432,151932.67202447815,2,1487.7462,400.0,1520.4174129705432,100,0.0025
1511.4126,5865.213,0.00028569187,1.8483435,0.0003838588,0.37236446,1451.7832116103593,500,72.65906817150926,344.12872,0.4,6.8814535,152049.32402434092,244.00755,158.11,0.002,1451.7832116103593,152049.32402434092,1,1996.5493,6.917531423347263,1451.7832116103593,100,4.153544e-07
1124.0073,463.48364,3.5044917e-18,1.0,1.0,0.01,1580.9755724109411,500,500.0,1.0,0.4,1.0,216986.951631026,,172.19,0.009999998,1580.9755724109411,216986.951631026,2,1580.9755,100.0,1580.9755724109411,100,0.01
1226.4636,423.40042,2.179301e-19,1.0,1.0,0.005,1518.202525962754,500,500.0,1.0,0.4,1.0,143180.34451081435,,165.65,0.0049999994,1518.202525962754,143180.34451081435,2,1549.589,200.00000010221265,1518.202525962754,100,0.005
1258.0758,409.12262,5.4391416e-20,1.0,1.0,0.0033333334,1466.5411722920364,500,500.0,1.0,0.4,1.0,140414.25430913467,,160.12,0.0033333336,1466.5411722920364,140414.25430913467,2,1521.9065,299.999969473632,1466.5411722920364,100,0.0033333334
1313.0032,442.3363,5.434597e-20,1.0,1.0,0.0025,1600.2303767363785,500,500.0,1.0,0.4,1.0,278687.567820807,,174.38,0.0024999997,1600.2303767363785,278687.567820807,2,1541.4873,400.0,1600.2303767363785,100,0.0025
2158.07,10679.618,0.0009616317,2.462916,5.996907e-07,0.69317853,1589.305978293226,500,20.604356952500662,853.62024,0.4,24.266712,263550.46959169867,1458.3035,173.12,0.002,1589.305978293226,263550.46959169867,1,3208.2063,2.075316494923545,1589.305978293226,100,4.869761e-10
1226.1211,537.8136,3.5044917e-18,1.0,1.0,0.01,1646.2560235142819,500,500.0,1.0,0.4,1.0,292165.10387725016,,179.23,0.009999998,1646.2560235142819,292165.10387725016,2,1646.256,100.0,1646.2560235142819,100,0.01
1321.7849,550.03864,2.179301e-19,1.0,1.0,0.005,1668.725990172422,500,500.0,1.0,0.4,1.0,318776.98223304533,,181.63,0.0049999994,1668.725990172422,318776.98223304533,2,1657.491,200.00000010221265,1668.725990172422,100,0.005
1352.4337,532.0299,5.4391416e-20,1.0,1.0,0.0033333334,1564.627916087918,500,500.0,1.0,0.4,1.0,240740.61831324274,,170.5,0.0033333336,1564.627916087918,240740.61831324274,2,1626.5366,299.999969473632,1564.627916087918,100,0.0033333334
1387.1141,556.2991,5.434597e-20,1.0,1.0,0.0025,1694.2018548356855,500,500.0,1.0,0.4,1.0,389164.9451861605,,184.06,0.0024999997,1694.2018548356855,389164.9451861605,2,1643.4529,400.0,1694.2018548356855,100,0.0025
1413.4844,702.4798,1.590772e-06,1.0217488,0.07857908,0.011253793,1528.7721136616208,500,381.7070898909647,5.7492747,0.4,1.3099049,163965.34451464107,0.41517976,166.45,0.002,1528.7721136616208,163965.34451464107,1,1675.8936,357.93605696654,1528.7721136616208,100,0.00015381293
1133.7844,527.5926,3.5044917e-18,1.0,1.0,0.01,1591.84229122654,500,500.0,1.0,0.4,1.0,281165.59962393064,,173.45,0.009999998,1591.84229122654,281165.59962393064,2,1591.8423,100.0,1591.84229122654,100,0.01
1292.2988,557.77936,2.179301e-19,1.0,1.0,0.005,1640.5467363134535,500,500.0,1.0,0.4,1.0,346157.14413851406,,178.56,0.0049999994,1640.5467363134535,346157.14413851406,2,1616.1946,200.00000010221265,1640.5467363134535,100,0.005
1342.418,570.7039,5.4391416e-20,1.0,1.0,0.0033333334,1731.0989218539628,500,500.0,1.0,0.4,1.0,349566.8188800801,,187.96,0.0033333336,1731.0989218539628,349566.8188800801,2,1654.496,299.999969473632,1731.0989218539628,100,0.0033333334
1356.2363,540.6316,5.434597e-20,1.0,1.0,0.0025,1542.5277590171734,500,500.0,1.0,0.4,1.0,184463.3738999797,,168.37,0.0024999997,1542.5277590171734,184463.3738999797,2,1626.5039,400.0,1542.5277590171734,100,0.0025
1665.9062,5729.048,0.00056808937,2.2527997,0.00032706658,0.53040516,1554.1419088248379,500,71.60810797706357,597.4483,0.4,6.9824495,208667.61252726422,720.7784,169.13,0.002,1554.1419088248379,208667.61252726422,1,2304.6736,3.502914930026534,1554.1419088248379,100,2.9036454e-07
1193.7957,486.51953,3.5044917e-18,1.0,1.0,0.01,1617.850915693801,500,500.0,1.0,0.4,1.0,239092.18146657798,,176.35,0.009999998,1617.850915693801,239092.18146657798,2,1617.8508,100.0,1617.850915693801,100,0.01
1281.2168,506.22397,2.179301e-19,1.0,1.0,0.005,1613.2790821364601,500,500.0,1.0,0.4,1.0,278599.747658484,,175.79,0.0049999994,1613.2790821364601,278599.747658484,2,1615.565,200.00000010221265,1613.2790821364601,100,0.005
1282.2821,534.17175,5.4391416e-20,1.0,1.0,0.0033333334,1605.6244021670939,500,500.0,1.0,0.4,1.0,346895.96427841403,,175.13,0.0033333336,1605.6244021670939,346895.96427841403,2,1612.2515,299.999969473632,1605.6244021670939,100,0.0033333334
1360.8405,571.4921,5.434597e-20,1.0,1.0,0.0025,1749.655073639531,500,500.0,1.0,0.4,1.0,440641.43698006193,,190.06,0.0024999997,1749.655073639531,440641.43698006193,2,1646.6023,400.0,1749.655073639531,100,0.0025
1900.5168,8272.526,0.00076421286,2.4153764,1.4350582e-05,0.61691403,1629.5084683830437,500,34.61277205532017,745.0398,0.4,14.445535,260572.46726847635,1114.6124,177.38,0.0019999999,1629.5084683830437,260572.46726847635,1,2871.957,2.6086351708414113,1629.5084683830437,100,1.1882688e-08
1175.5895,607.9585,3.5044917e-18,1.0,1.0,0.01,1661.968476370945,500,500.0,1.0,0.4,1.0,373347.0462868175,,181.13,0.009999998,1661.968476370945,373347.0462868175,2,1661.9684,100.0,1661.968476370945,100,0.01
1307.9321,609.3109,2.179301e-19,1.0,1.0,0.005,1659.4958576821402,500,500.0,1.0,0.4,1.0,376669.7650697573,,180.9,0.0049999994,1659.4958576821402,376669.7650697573,2,1660.7322,200.00000010221265,1659.4958576821402,100,0.005
1398.1138,602.3071,5.4391416e-20,1.0,1.0,0.0033333334,1737.0569188124623,500,500.0,1.0,0.4,1.0,345372.0630894026,,188.94,0.0033333336,1737.0569188124623,345372.0630894026,2,1686.1738,299.999969473632,1737.0569188124623,100,0.0033333334
1419.662,585.8208,5.434597e-20,1.0,1.0,0.0025,1617.9961814139128,500,500.0,1.0,0.4,1.0,283773.80151225184,,176.45,0.0024999997,1617.9961814139128,283773.80151225184,2,1669.1293,400.0,1617.9961814139128,100,0.0025
2380.3452,9747.455,0.0009306463,2.4115117,1.4318323e-12,0.6803817,1685.7595403264222,500,22.102656139889955,820.37427,0.4,22.621716,350357.9082870782,1353.0178,183.72,0.0019999996,1685.7595403264222,350357.9082870782,1,3441.6045,2.1441162952849115,1685.7595403264222,100,1.1874977e-15
