VarJ,AvgDiscRet,MinNormIw,ESSRenyi,Bound,MaxNormIw,Delta,VarVanillaIw,BatchSize,IterType,VarRet,AvgNormIw,AvgRet,VarDiscRet,MinVanillaIw,ESSClassic,EpsThisIter,eRenyi2,VarNormIw,AvgEpLen,VanillaAvgRet,AvgVanillaIw,J,MaxVanillaIw
74.8215,-1440.71148367,2.88928e-10,43.7765599253,-1300.7,0.0355493,0.8,1.61422,100,1,139465.810687,0.01,-1440.71148367,139465.810687,3.27213e-08,44.5236924204,100,2.28433,0.000125858,500.0,-1440.71148367,1.13251,-1151.16,4.02598
41.5517,-1190.16787266,0.000231168,80.1981059399,-1251.61,0.0213808,0.8,0.288647,100,1,39189.7138726,0.01,-1190.16787266,39189.7138726,0.0246663,79.936996435,100,1.24691,2.53521e-05,500.0,-1190.16787266,1.06703,-1141.07,2.2814
15.5259,-1137.75791154,0.00550804,98.3110430646,-1205.22,0.0124035,0.8,0.0153351,100,1,657.430594362,0.01,-1137.75791154,657.430594362,0.557246,98.5383775836,100,1.01718,1.49826e-06,500.0,-1137.75791154,1.01169,-1136.38,1.25485
280.039,-1134.85230198,0.000421395,56.9149077279,-1204.66,0.0656441,0.8,0.837781,100,1,7380.22545768,0.01,-1134.85230198,7380.22545768,0.0430443,55.7132834018,100,1.75701,8.02933e-05,500.0,-1134.85230198,1.02147,-1094.47,6.70534
852.623,-1115.8349033,1.1695e-07,8.81929584309,-1020.45,0.402999,0.8,86.3177,100,1,11113.2873288,0.01,-1115.8349033,11113.2873288,2.48383e-05,5.01379257405,100,11.3388,0.00191363,500.0,-1115.8349033,2.12383,-805.952,85.5903
744.037,-1065.36546738,1.19605e-07,307.759429402,-inf,0.412147,0.8,2.44898e+07,200,,11113.2873288,0.01,-1115.8349033,75186.275952,0.0116836,3.78675270567,100,0.649858,0.00256645,500.0,-1115.8349033,976.846,-939.866,40260.4
706.732,-1122.82973375,1.62152e-06,26.7597793556,-1088.8,0.187292,0.8,37.728,200,1,14029.3306809,0.005,-1122.82973375,14029.3306809,0.000572428,15.3269260754,100,7.4739,0.000302737,500.0,-1122.82973375,1.7651,-899.395,66.1179
195.595,-1086.33097142,0.01,200.0,-1184.37,0.01,0.8,,200,2,38643.8371764,0.01,-1086.33097142,38643.8371764,1.0,100.0,100,1.0,3.50449e-18,500.0,-1086.33097142,1.0,-1086.33,1.0
1096.52,-1097.31237093,1.25308e-06,nan,-inf,0.144736,0.8,46609.1,300,,14029.3306809,0.005,-1122.82973375,64113.7833416,0.0151245,14.5629291042,100,nan,0.000319937,500.0,-1122.82973375,60.3494,-967.741,1746.95
753.358,-1119.16239832,1.16415e-08,35.0169528543,-1077.4,0.176869,0.8,44.1651,300,1,7634.20312276,0.00333333,-1119.16239832,7634.20312276,5.97024e-06,18.6767193741,100,8.56728,0.000167924,500.0,-1119.16239832,1.70947,-911.823,90.7055
291.465,-1110.98800751,0.01,300.0,-1209.19,0.01,0.8,,300,2,85809.6697553,0.01,-1110.98800751,85809.6697553,1.0,100.0,100,1.0,3.50449e-18,500.0,-1110.98800751,1.0,-1110.99,1.0
302.324,-1137.05222971,0.005,300.0,-1193.86,0.005,0.8,,300,2,98492.7344657,0.005,-1137.05222971,98492.7344657,1.0,200.000000102,100,1.0,2.1793e-19,500.0,-1137.05222971,1.0,-1124.02,1.0
127.934,-1091.95834863,5.44892e-08,16.6713992944,-1412.12,0.82785,0.8,9.37771e+07,400,,7634.20312276,0.00333333,-1119.16239832,62420.9099999,0.0110247,1.45290006538,100,23.9932,0.00229079,500.0,-1119.16239832,674.427,-1132.79,167497.0
994.269,-1145.80358515,5.74047e-10,30.9970833519,-1088.38,0.240501,0.8,96.4825,400,1,15131.5035956,0.0025,-1145.80358515,15131.5035956,4.00609e-07,12.26314219,100,12.9044,0.000198108,500.0,-1145.80358515,1.74467,-912.399,167.838
273.612,-1100.33881365,0.01,400.0,-1198.44,0.01,0.8,,400,2,75619.7380598,0.01,-1100.33881365,75619.7380598,1.0,100.0,100,1.0,3.50449e-18,500.0,-1100.33881365,1.0,-1100.34,1.0
245.787,-1059.54741261,0.005,400.0,-1149.31,0.005,0.8,,400,2,45583.248445,0.005,-1059.54741261,45583.248445,1.0,200.000000102,100,1.0,2.1793e-19,500.0,-1059.54741261,1.0,-1079.94,1.0
245.294,-1039.04050635,0.00333333,400.0,-1122.95,0.00333333,0.8,,400,2,59161.2054135,0.00333333,-1039.04050635,59161.2054135,1.0,299.999969474,100,1.0,5.43914e-20,500.0,-1039.04050635,1.0,-1066.31,1.0
778.571,-1075.40490073,,21.7903784528,-931.261,0.170552,0.8,23.1127,400,1,55879.6974302,0.0025,-1075.40490073,55879.6974302,,17.3318003486,100,18.3567,0.000138339,500.0,-1075.40490073,1.02186,-721.102,69.7122
359.4,-811.524206767,0.01,400.0,-909.588,0.01,0.8,,400,2,130472.896525,0.01,-811.524206767,130472.896525,1.0,100.0,100,1.0,3.50449e-18,500.0,-811.524206767,1.0,-811.524,1.0
299.965,-782.427502395,0.005,400.0,-866.318,0.005,0.8,,400,2,50874.7638954,0.005,-782.427502395,50874.7638954,1.0,200.000000102,100,1.0,2.1793e-19,500.0,-782.427502395,1.0,-796.976,1.0
282.331,-769.68634667,0.00333333,400.0,-844.499,0.00333333,0.8,,400,2,59270.5392961,0.00333333,-769.68634667,59270.5392961,1.0,299.999969474,100,1.0,5.43914e-20,500.0,-769.68634667,1.0,-787.879,1.0
214.408,-810.294761933,1.14965e-25,97.8140471453,-732.084,0.0371597,0.8,3.22035,400,1,102909.042524,0.0025,-810.294761933,102909.042524,4.46348e-23,90.7084324384,100,4.08939,2.13642e-05,500.0,-810.294761933,0.970616,-632.918,14.4271
79.5919,-619.58277916,0.01,400.0,-661.229,0.01,0.8,,400,2,6398.85308403,0.01,-619.58277916,6398.85308403,1.0,100.0,100,1.0,3.50449e-18,500.0,-619.58277916,1.0,-619.583,1.0
154.204,-644.639999626,0.005,400.0,-701.419,0.005,0.8,,400,2,41322.2165449,0.005,-644.639999626,41322.2165449,1.0,200.000000102,100,1.0,2.1793e-19,500.0,-644.639999626,1.0,-632.111,1.0
171.215,-639.108427779,0.00333333,400.0,-691.051,0.00333333,0.8,,400,2,40761.049117,0.00333333,-639.108427779,40761.049117,1.0,299.999969474,100,1.0,5.43914e-20,500.0,-639.108427779,1.0,-634.444,1.0
89.6157,-635.38813679,1.02976e-06,214.135177584,-649.382,0.0165192,0.8,1.15963,400,1,25342.5013709,0.0025,-635.38813679,25342.5013709,0.000437293,197.40343558,100,1.86798,6.4305e-06,500.0,-635.38813679,1.06164,-582.38,7.01501
145.447,-601.68276663,0.01,400.0,-699.731,0.01,0.8,,400,2,21368.592694,0.01,-601.68276663,21368.592694,1.0,100.0,100,1.0,3.50449e-18,500.0,-601.68276663,1.0,-601.683,1.0
110.236,-587.319335184,0.005,400.0,-663.832,0.005,0.8,,400,2,3076.60842158,0.005,-587.319335184,3076.60842158,1.0,200.000000102,100,1.0,2.1793e-19,500.0,-587.319335184,1.0,-594.501,1.0
98.653,-589.597438547,0.00333333,400.0,-649.475,0.00333333,0.8,,400,2,4926.5550119,0.00333333,-589.597438547,4926.5550119,1.0,299.999969474,100,1.0,5.43914e-20,500.0,-589.597438547,1.0,-592.867,1.0
72.0038,-594.462279296,7.61987e-05,274.910297271,-630.055,0.00970551,0.8,0.547577,400,1,22630.1698838,0.0025,-594.462279296,22630.1698838,0.0326473,270.988550568,100,1.45502,2.98294e-06,500.0,-594.462279296,1.07112,-570.92,4.15832
