Delta,MinVanillaIw,VarNormIw,MaxVanillaIw,ESSRenyi,AvgVanillaIw,MaxNormIw,VarRet,ESSClassic,AvgEpLen,J,IterType,AvgRet,AvgDiscRet,Bound,eRenyi2,VanillaAvgRet,VarJ,VarVanillaIw,EpsThisIter,AvgNormIw,BatchSize,VarDiscRet,MinNormIw
0.2,4.95142e-10,0.000216645,8.25131,28.3010467929,1.34402,0.0613929,22064.8357928,31.7986577454,388.84,-123.681,1,-316.368276557,-316.368276557,-280.502,3.53344,-316.368276557,136.043,3.91345,100,0.01,100,22064.8357928,3.68404e-12
0.2,0.00568004,2.72268e-05,1.80343,77.7061344398,1.00245,0.0179902,18303.6872874,78.768366681,195.49,-116.462,1,-149.189334296,-149.189334296,-211.105,1.2869,-149.189334296,124.756,0.273605,100,0.01,100,18303.6872874,5.66614e-05
0.2,0.415284,6.16533e-06,1.35511,93.8151572744,1.00857,0.0134359,4127.00339364,94.2474383019,124.79,-83.1255,1,-88.5940015908,-88.5940015908,-169.26,1.06593,-88.5940015908,57.888,0.0627149,100,0.01,100,4127.00339364,0.00411755
0.2,0.428235,2.38257e-06,1.44889,96.4824971375,1.00288,0.0144473,10936.1851188,97.6956214733,145.18,-104.575,1,-107.910472807,-107.910472807,-189.51,1.03646,-107.910472807,99.1634,0.0239631,100,0.01,100,10936.1851188,0.00427005
0.2,0.397886,4.20756e-06,1.28561,96.5003777829,0.965355,0.0133175,6183.81533407,96.0010708858,121.1,-84.1329,1,-87.554372182,-87.554372182,-169.06,1.03627,-87.554372182,69.5051,0.0392107,100,0.01,100,6183.81533407,0.00412166
0.2,0.391589,8.78158e-06,2.06621,92.0585400714,1.01825,0.0202918,8077.7111425,92.0015946752,131.57,-88.925,1,-95.9576056086,-95.9576056086,-175.876,1.08627,-95.9576056086,71.1013,0.091051,100,0.01,100,8077.7111425,0.00384569
0.2,0.425312,3.77225e-06,1.58203,97.0895275793,0.99158,0.0159547,4885.22529025,96.3999361725,117.3,-82.0346,1,-84.384115904,-84.384115904,-166.704,1.02998,-84.384115904,65.6224,0.0370899,100,0.01,100,4885.22529025,0.00428924
0.2,0.242942,5.58729e-06,1.39297,92.9911194818,1.04576,0.0133201,8057.28498466,94.7585137165,131.03,-89.7148,1,-96.1172503436,-96.1172503436,-176.23,1.07537,-96.1172503436,73.5857,0.0611039,100,0.01,100,8057.28498466,0.0023231
0.2,0.590836,2.24456e-06,1.65738,97.3125448217,1.02208,0.0162157,9086.60970068,97.8262126632,133.92,-95.5976,1,-98.3218130535,-98.3218130535,-180.17,1.02762,-98.3218130535,87.477,0.023448,100,0.01,100,9086.60970068,0.00578069
0.2,0.0504404,1.89101e-05,1.56123,87.8051578547,0.970087,0.0160937,7143.79452061,84.2310719981,124.95,-74.3035,1,-90.7350126646,-90.7350126646,-163.337,1.13889,-90.7350126646,46.6791,0.177957,100,0.01,100,7143.79452061,0.000519958
0.2,0.665046,1.43154e-06,1.57088,97.7896911629,0.998468,0.0157329,7117.74616625,98.6025719383,120.63,-85.7705,1,-87.4436500193,-87.4436500193,-170.137,1.0226,-87.4436500193,78.6391,0.0142715,100,0.01,100,7117.74616625,0.00666066
0.2,0.215749,6.16515e-06,1.39098,94.4101705292,0.986567,0.0140992,8175.28640769,94.247577791,128.03,-89.0371,1,-93.6291280743,-93.6291280743,-174.9,1.05921,-93.6291280743,77.3425,0.0600063,100,0.01,100,8175.28640769,0.00218687
0.2,0.754702,6.12792e-07,1.30796,99.4053295075,0.982865,0.0133076,7088.3055863,99.3970093722,122.65,-88.9851,1,-89.4932244909,-89.4932244909,-172.663,1.00598,-89.4932244909,82.5151,0.00591972,100,0.01,100,7088.3055863,0.00767859
0.2,0.40265,3.56574e-06,1.18872,96.3932485951,1.00038,0.0118827,7207.15778177,96.5902735737,119.75,-84.3571,1,-87.3501099591,-87.3501099591,-169.332,1.03742,-87.3501099591,78.1601,0.0356844,100,0.01,100,7207.15778177,0.00402498
0.2,0.330663,2.87521e-06,1.47608,97.0628692241,1.01892,0.0144867,9174.77192482,97.2322987365,130.16,-92.6429,1,-95.8236227866,-95.8236227866,-177.324,1.03026,-95.8236227866,89.6909,0.0298505,100,0.01,100,9174.77192482,0.00324522
0.2,0.489131,3.09154e-06,1.23371,97.1901927976,1.0096,0.0122198,7075.47595582,97.0302573596,123.67,-87.2721,1,-89.8408399205,-89.8408399205,-171.897,1.02891,-89.8408399205,77.7734,0.031512,100,0.01,100,7075.47595582,0.00484479
0.2,0.155793,6.64312e-06,1.59028,92.0645010615,1.03752,0.0153277,7048.45520402,93.8291844517,123.29,-84.1064,1,-90.0307893674,-90.0307893674,-171.056,1.08619,-90.0307893674,61.5028,0.0715096,100,0.01,100,7048.45520402,0.00150159
0.2,0.423616,2.78032e-06,1.52436,97.8401269637,1.00175,0.0152169,4868.38314018,97.321202319,115.84,-80.6872,1,-82.9468267679,-82.9468267679,-165.024,1.02208,-82.9468267679,61.8564,0.0279009,100,0.01,100,4868.38314018,0.00422875
0.2,0.64954,1.82767e-06,1.28417,97.4814469809,1.00138,0.012824,6009.85391932,98.2227492887,117.84,-82.9611,1,-85.1175928487,-85.1175928487,-167.46,1.02584,-85.1175928487,68.132,0.0183273,100,0.01,100,6009.85391932,0.00648643
0.2,0.775578,6.85819e-07,1.35982,99.3306442904,1.00718,0.0135012,2612.02794247,99.3255916426,104.83,-73.5189,1,-74.1013398156,-74.1013398156,-157.219,1.00674,-74.1013398156,47.5359,0.00695709,100,0.01,100,2612.02794247,0.00770045
0.2,0.808853,2.07341e-06,1.67454,98.4165216082,1.00224,0.016708,9187.52494007,97.9886163861,130.48,-94.3478,1,-95.6598305193,-95.6598305193,-178.439,1.01609,-95.6598305193,91.3438,0.0208271,100,0.01,100,9187.52494007,0.00807046
0.2,0.731608,4.21396e-07,1.17328,99.3355374719,1.00727,0.0116481,6017.74033683,99.5845509545,117.25,-83.7866,1,-84.3469024381,-84.3469024381,-167.494,1.00669,-84.3469024381,75.1748,0.00427544,100,0.01,100,6017.74033683,0.00726329
0.2,0.233683,6.07481e-06,1.29937,95.8307834193,0.953364,0.0136293,5933.60323009,94.3271073845,121.24,-83.9154,1,-87.4705882587,-87.4705882587,-169.138,1.04351,-87.4705882587,67.6833,0.0552141,100,0.01,100,5933.60323009,0.00245114
0.2,0.218342,6.78639e-06,1.43541,93.8044776874,1.04464,0.0137407,7171.4451701,93.7044415718,120.6,-82.1037,1,-87.4635569444,-87.4635569444,-168.25,1.06605,-87.4635569444,68.2712,0.0740577,100,0.01,100,7171.4451701,0.00209012
0.2,0.220721,1.12797e-05,2.01693,90.5211440793,1.05075,0.0191951,11304.7847227,89.9548241332,136.09,-92.1796,1,-101.296565547,-101.296565547,-179.868,1.10471,-101.296565547,88.8591,0.124537,100,0.01,100,11304.7847227,0.0021006
0.2,0.706588,7.95579e-07,1.25111,99.1847176745,0.997783,0.0125389,8199.77431535,99.2185235307,126.0,-91.1771,1,-91.8432012635,-91.8432012635,-174.947,1.00822,-91.8432012635,87.9206,0.00792055,100,0.01,100,8199.77431535,0.00708159
0.2,0.792873,3.74051e-06,1.79935,97.2744938742,1.01248,0.0177716,10318.050615,96.4291511911,132.09,-95.5019,1,-97.8169013222,-97.8169013222,-180.098,1.02802,-97.8169013222,96.1616,0.0383447,100,0.01,100,10318.050615,0.00783098
0.2,0.321143,4.22378e-06,1.58232,96.6617693998,0.976428,0.0162052,7104.04413858,95.9862785062,122.0,-85.2206,1,-88.3374245562,-88.3374245562,-170.077,1.03454,-88.3374245562,75.4361,0.04027,100,0.01,100,7104.04413858,0.00328896
0.2,0.0870981,6.91687e-06,2.04385,94.3229842313,0.993404,0.0205742,9349.26080895,93.5911802262,127.36,-87.9313,1,-93.7333918077,-93.7333918077,-173.833,1.06019,-93.7333918077,84.2714,0.0682592,100,0.01,100,9349.26080895,0.000876764
0.2,0.284503,4.02273e-06,1.16172,97.2648278979,0.995808,0.0116661,3768.75224639,96.170003259,108.37,-75.2846,1,-77.587834003,-77.587834003,-159.877,1.02812,-77.587834003,49.8346,0.0398908,100,0.01,100,3768.75224639,0.00285701
0.2,0.852001,7.54692e-07,1.47012,99.4846338927,1.00124,0.014683,8203.8402452,99.2583846428,124.49,-90.8713,1,-91.2523252147,-91.2523252147,-174.515,1.00518,-91.2523252147,88.5541,0.00756561,100,0.01,100,8203.8402452,0.00850947
0.2,0.478839,2.18481e-06,1.17833,97.9099697409,1.00745,0.0116962,3760.17971479,97.8828310917,105.92,-73.1392,1,-75.2377638783,-75.2377638783,-157.451,1.02135,-75.2377638783,53.2634,0.0221747,100,0.01,100,3760.17971479,0.00475299
0.2,0.319821,5.87688e-06,1.44349,94.9601525682,0.977944,0.0147604,8270.32762994,94.5017244038,122.78,-84.6729,1,-89.935611625,-89.935611625,-170.286,1.05307,-89.935611625,79.0865,0.056205,100,0.01,100,8270.32762994,0.00327034
0.2,0.820855,1.57475e-06,1.84066,98.7308334477,1.01236,0.0181819,8244.04658903,98.464930045,122.7,-88.7227,1,-89.8283298734,-89.8283298734,-172.686,1.01285,-89.8283298734,86.6025,0.0161392,100,0.01,100,8244.04658903,0.00810834
0.2,0.820828,1.41836e-06,1.54867,98.5276423532,1.00203,0.0154552,7127.69966862,98.6152734689,120.85,-86.5132,1,-87.7712648205,-87.7712648205,-170.562,1.01494,-87.7712648205,79.0922,0.0142414,100,0.01,100,7127.69966862,0.00819161
0.2,0.945751,1.37904e-07,1.1155,99.8148062653,0.994949,0.0112117,4924.96334898,99.8636622103,110.6,-78.7535,1,-78.9125080855,-78.9125080855,-162.258,1.00186,-78.9125080855,68.9773,0.00136514,100,0.01,100,4924.96334898,0.00950553
0.2,0.572647,3.6103e-06,1.4225,96.6316162459,0.992648,0.0143303,6051.79004537,96.5491530636,116.41,-81.2528,1,-84.0000929017,-84.0000929017,-166.121,1.03486,-84.0000929017,67.8897,0.0355741,100,0.01,100,6051.79004537,0.00576888
0.2,0.731683,2.51627e-07,1.13758,99.776280872,0.994662,0.0114368,2591.54559471,99.7514926842,103.29,-72.73,1,-72.9106844668,-72.9106844668,-156.252,1.00224,-72.9106844668,49.3273,0.00248948,100,0.01,100,2591.54559471,0.0073561
0.2,0.660806,2.17751e-06,1.6071,97.9093526418,0.997319,0.0161142,3743.18567424,97.8897852712,108.29,-75.256,1,-77.0175241627,-77.0175241627,-159.569,1.02135,-77.0175241627,51.9522,0.0216585,100,0.01,100,3743.18567424,0.00662583
0.2,0.52334,1.73738e-06,1.16253,97.7973068052,1.00818,0.011531,4880.86792464,98.3090981674,112.27,-78.1834,1,-80.329854514,-80.329854514,-162.546,1.02252,-80.329854514,61.2455,0.0176591,100,0.01,100,4880.86792464,0.00519095
0.2,0.75028,8.21093e-07,1.17442,99.1640232331,1.01409,0.0115811,181.506433944,99.1936661827,97.52,-67.2804,1,-67.4653083953,-67.4653083953,-89.5938,1.00843,-67.4653083953,13.4281,0.00844387,100,0.01,100,181.506433944,0.00739859
0.2,0.309204,3.65899e-06,1.32468,95.2496704882,1.03117,0.0128463,3787.46962751,96.5042351093,104.45,-68.9041,1,-73.8440721895,-73.8440721895,-154.367,1.04987,-73.8440721895,38.6412,0.0389067,100,0.01,100,3787.46962751,0.00299857
0.2,0.407515,4.65924e-06,1.29226,96.1649496827,0.976637,0.0132318,6045.28370946,95.5907429345,114.82,-79.996,1,-83.0154018471,-83.0154018471,-165.072,1.03988,-83.0154018471,67.2251,0.0444407,100,0.01,100,6045.28370946,0.00417263
0.2,0.471847,5.07641e-06,1.52805,95.9298194093,0.993916,0.0153741,6029.19661856,95.2148645583,116.07,-80.3391,1,-83.8157232001,-83.8157232001,-165.516,1.04243,-83.8157232001,65.5855,0.0501483,100,0.01,100,6029.19661856,0.00474735
