MinNormIw,EpsThisIter,Bound,IterType,BatchSize,VarJ,VanillaAvgRet,J,AvgNormIw,VarRet,AvgEpLen,AvgVanillaIw,MaxVanillaIw,VarVanillaIw,renyi2,ESSClassic,VarDiscRet,AvgDiscRet,ESSRenyi,MinVanillaIw,AvgRet,MaxNormIw,SamplesThisIter,VarNormIw,delta
,100,5.58768,1,100,18.8897,-4.55134022352,1817.85,5.52486e-05,35.7093111622,500.0,8.22712e+17,4.87943e+21,inf,nan,2.9991335936,35.7093111622,-4.55134022352,nan,,-4.55134022352,0.327675,50000,1.77993e-05,0.8
,100,2.36399,1,100,12.5483,-5.87872533759,1141.09,5.52486e-05,28.2393825051,500.0,5.29484e+18,2.40875e+22,inf,nan,2.84955668049,28.2393825051,-5.87872533759,nan,,-5.87872533759,0.251339,50000,1.10208e-05,0.8
,100,2.44813,1,100,54.7742,-4.46333460706,1267.76,5.52486e-05,62.5521695472,500.0,9.69539,1378.78,2092.83,nan,0.781071860286,62.5521695472,-4.46333460706,nan,,-4.46333460706,0.00785688,50000,6.7959e-08,0.8
,100,16.6072,1,100,34.5803,-2.78664780506,3840.25,5.52486e-05,64.8836711131,500.0,1.291e+18,6.37175e+21,inf,nan,2.86999247212,64.8836711131,-2.78664780506,nan,,-2.78664780506,0.272681,50000,1.288e-05,0.8
,100,6.18405,1,100,17.8036,-5.25446524512,1818.0,5.52486e-05,41.6758403965,500.0,1.14013e+19,6.50588e+22,inf,nan,2.99388922909,41.6758403965,-5.25446524512,nan,,-5.25446524512,0.315263,50000,1.6505e-05,0.8
,100,2.19763,1,100,29.0896,-2.80880952868,765.016,5.52486e-05,18.7868251062,500.0,116420.0,7.0122e+08,8.14898e+13,nan,3.00002374918,18.7868251062,-2.80880952868,nan,,-2.80880952868,0.332773,50000,1.83523e-05,0.8
,100,1.87693,1,100,44.3992,-2.40417065906,557.833,5.52486e-05,13.9240376364,500.0,11.808,8065.92,17088.0,nan,4.56922015298,13.9240376364,-2.40417065906,nan,,-2.40417065906,0.0377398,50000,3.74095e-07,0.8
,100,1.48606,1,100,26.2861,-3.3091340119,632.626,5.52486e-05,14.7204714891,500.0,1.35204e+08,4.68565e+11,5.63514e+19,nan,5.86999621658,14.7204714891,-3.3091340119,nan,,-3.3091340119,0.19147,50000,9.40949e-06,0.8
,100,0.193143,1,100,35.3603,-3.85398773312,313.4,5.52486e-05,15.3626774887,500.0,11.1674,23148.7,90009.1,nan,2.99204189391,15.3626774887,-3.85398773312,nan,,-3.85398773312,0.114523,50000,2.20304e-06,0.8
,100,1.05993,1,100,23.6538,-4.24666485136,592.308,5.52486e-05,15.1657883486,500.0,2.27609e+16,1.37324e+20,inf,nan,3.00000024334,15.1657883486,-4.24666485136,nan,,-4.24666485136,0.333333,50000,1.84142e-05,0.8
,100,1.08242,1,100,33.0067,-3.80449720704,528.116,5.52486e-05,19.7115317173,500.0,19.7252,7507.83,32640.6,nan,4.16112805764,19.7115317173,-3.80449720704,nan,,-3.80449720704,0.0210288,50000,2.56069e-07,0.8
,100,2.69606,1,100,24.0944,-2.68510190344,956.428,5.52486e-05,16.8958464029,500.0,5.73851e+20,5.08717e+24,inf,nan,1.99912941875,16.8958464029,-2.68510190344,nan,,-2.68510190344,0.489777,50000,2.65162e-05,0.8
,100,2.45183,1,100,33.8536,-3.85025792747,933.135,5.52486e-05,21.0187060893,500.0,7.817e+16,4.13618e+20,inf,nan,2.94213201552,21.0187060893,-3.85025792747,nan,,-3.85025792747,0.292335,50000,1.44409e-05,0.8
,100,3.64921,1,100,25.754,-3.33446359236,1092.28,5.52486e-05,16.0346312622,500.0,1.31195e+17,7.80865e+20,inf,nan,2.99980673766,16.0346312622,-3.33446359236,nan,,-3.33446359236,0.328836,50000,1.79217e-05,0.8
4.62428e-44,100,2.34477,1,100,32.1692,-2.24941601385,808.953,5.52486e-05,21.9565536889,500.0,28.3086,67266.4,779503.0,nan,2.96402210914,21.9565536889,-2.24941601385,nan,2.39894e-38,-2.24941601385,0.131281,50000,2.96909e-06,0.8
,100,1.56029,1,100,19.7952,-2.54423098688,535.12,5.52486e-05,12.6203996053,500.0,23.2393,16128.2,109618.0,nan,1.76884952099,12.6203996053,-2.54423098688,nan,,-2.54423098688,0.0383428,50000,6.19552e-07,0.8
,100,-0.192243,1,100,22.8647,-4.09751262724,255.899,5.52486e-05,13.637927615,500.0,21.909,63217.0,664951.0,nan,2.99765130928,13.637927615,-4.09751262724,nan,,-4.09751262724,0.159416,50000,4.22851e-06,0.8
,100,1.31464,1,100,38.9764,-3.02215637543,580.631,5.52486e-05,20.8398842626,500.0,10.3749,12477.8,28912.7,nan,2.70748274225,20.8398842626,-3.02215637543,nan,,-3.02215637543,0.0664466,50000,8.19899e-07,0.8
,100,1.93248,1,100,57.9872,-2.63070908286,546.372,5.52486e-05,14.0174585945,500.0,9.38575,12390.2,31756.8,nan,2.47199386397,14.0174585945,-2.63070908286,nan,,-2.63070908286,0.0729343,50000,1.10038e-06,0.8
,100,7.07338,1,100,15.7218,-3.10903633774,1547.06,5.52486e-05,17.5586381591,500.0,3.07615e+10,2.76452e+14,8.44463e+24,nan,2.00000003791,17.5586381591,-3.10903633774,nan,,-3.10903633774,0.496517,50000,2.72401e-05,0.8
