ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
98.1541500529,-114.484,16.71,7.3249400622,1.01881,1.31813,0.0212686,-107.042818317,0.0129887,0.01,7.3249400622,1,2.06518e-06,0.7,-106.899,100,2.71143,1.01482,100,-107.042818317,0.513973,-107.042818317,0.00506464,97.9964219385
99.0428792233,-114.6,18.34,6.59669156199,1.00966,1.19986,0.0103284,-107.094444519,0.0120962,0.01,6.59669156199,1,1.04972e-06,0.7,-107.023,100,2.48932,0.991928,100,-107.094444519,0.706739,-107.094444519,0.00712491,98.9714680203
99.0544691606,-114.252,15.96,5.4667900467,1.00955,1.27506,0.0101183,-106.873691908,0.0126595,0.01,5.4667900467,1,9.97414e-07,0.7,-106.805,100,2.27749,1.0072,100,-106.873691908,0.728955,-106.873691908,0.00723745,99.0221905819
99.3131692172,-114.441,17.12,4.05180265135,1.00692,1.26053,0.00871542,-106.975077396,0.0126115,0.01,4.05180265135,1,8.72402e-07,0.7,-106.921,100,1.95915,0.999507,100,-106.975077396,0.729653,-106.975077396,0.00730013,99.143731954
95.2442090938,-131.862,20.15,666.189882602,1.04993,1.29558,0.0594586,-109.579783239,0.0129075,0.01,666.189882602,1,5.90164e-06,0.7,-107.461,100,5.98039,1.00374,100,-109.579783239,0.14914,-109.579783239,0.00148584,94.4798857513
99.1596157879,-113.78,17.09,5.27610353859,1.00848,1.30513,0.0107045,-106.45444637,0.0132913,0.01,5.27610353859,1,1.11019e-06,0.7,-106.393,100,2.29044,0.981939,100,-106.45444637,0.635385,-106.45444637,0.00647071,98.9128704108
96.9735083138,-114.032,16.84,9.30556527751,1.03121,1.69246,0.0343752,-106.707267126,0.0174241,0.01,9.30556527751,1,3.64341e-06,0.7,-106.497,100,3.65554,0.971334,100,-106.707267126,0.480104,-106.707267126,0.00494273,96.5185854009
99.8429028422,-114.121,18.37,5.39699880762,1.00157,1.06924,0.00112455,-106.682651578,0.010711,0.01,5.39699880762,1,1.12847e-07,0.7,-106.671,100,2.29128,0.998258,100,-106.682651578,0.905993,-106.682651578,0.00907574,99.8883915416
98.7282189593,-114.929,16.76,5.7987720702,1.01288,1.38603,0.0140565,-107.41392331,0.0139115,0.01,5.7987720702,1,1.41605e-06,0.7,-107.31,100,2.25995,0.996323,100,-107.41392331,0.537448,-107.41392331,0.00539432,98.6174664706
99.062938196,-114.25,16.28,6.06560695017,1.00946,1.1432,0.0108144,-106.868832788,0.0115032,0.01,6.06560695017,1,1.09497e-06,0.7,-106.799,100,2.38798,0.993804,100,-106.868832788,0.646823,-106.868832788,0.00650855,98.9276183422
99.532286738,-113.953,19.1,5.60715608074,1.0047,1.14212,0.00531045,-106.655094339,0.0114668,0.01,5.60715608074,1,5.35295e-07,0.7,-106.619,100,2.35154,0.996023,100,-106.655094339,0.72394,-106.655094339,0.00726831,99.4728467635
98.4306795155,-114.35,17.86,5.99888298207,1.01594,1.4774,0.0160404,-106.927386503,0.0150779,0.01,5.99888298207,1,1.67072e-06,0.7,-106.798,100,2.47626,0.979842,100,-106.927386503,0.384366,-106.927386503,0.00392274,98.3728882952
99.2718227154,-113.853,17.81,5.99374175011,1.00734,1.21456,0.00633689,-106.527630127,0.0121436,0.01,5.99374175011,1,6.33488e-07,0.7,-106.475,100,2.58419,1.00016,100,-106.527630127,0.739509,-106.527630127,0.00739392,99.3767425017
