AvgEpLen,EpsThisIter,VarDiscRet,eRenyi2,Delta,MinVanillaIw,AvgDiscRet,AvgRet,MaxNormIw,VanillaAvgRet,Bound,AvgNormIw,AvgVanillaIw,MaxVanillaIw,J,IterType,MinNormIw,VarNormIw,VarVanillaIw,ESSClassic,ESSRenyi,VarRet,VarJ,BatchSize
41.84,100,1143.02971371,1.02882,0.5,0.143315,12.782170309,12.782170309,0.0454211,12.782170309,43.8289,0.01,246.874,1121.33,53.9525,1,5.8052e-06,0.000357451,217855.0,22.0324145708,97.1990330394,1143.02971371,106.932,100
41.84,100,866.408226814,1.02831,0.5,0.0008918,-7.80908930203,12.782170309,0.0181298,12.782170309,-11.7496,0.01,3.84871,6.97763,-5.55143,,2.31714e-06,4.37758e-05,6.48432,69.7651325226,194.493506108,1143.02971371,34.6733,200
34.76,100,347.211994205,1.03994,0.5,0.301602,0.146489551918,0.146489551918,0.0454248,0.146489551918,46.7588,0.005,665.837,6049.1,53.9559,1,2.26483e-06,0.000202991,3.59974e+06,22.0287897686,192.318192468,347.211994205,151.237,200
39.32,100,355.981325877,1.0,0.5,1.0,-6.5060098559,-6.5060098559,0.01,-6.5060098559,-10.4987,0.01,1.0,1.0,-6.50601,2,0.01,3.50449e-18,,100.0,200.0,355.981325877,18.7729,200
34.76,100,819.859621811,1.03895,0.5,0.000165314,-7.55291096073,0.146489551918,0.00852318,0.146489551918,-12.936,0.005,1.94507,3.31563,-7.80457,,4.24956e-07,5.03408e-06,0.761816,166.617023054,288.753839359,347.211994205,26.8231,300
33.26,100,384.408195403,1.0469,0.5,0.414021,5.58921848191,5.58921848191,0.0454283,5.58921848191,48.0638,0.00333333,1026.7,13992.3,53.9598,1,1.34418e-06,0.000140698,1.33479e+07,22.0254580712,286.5594959,384.408195403,185.241,300
35.66,100,179.588276694,1.0,0.5,1.0,-5.25700487195,-5.25700487195,0.01,-5.25700487195,-7.6509,0.01,1.0,1.0,-5.257,2,0.01,3.50449e-18,,100.0,300.0,179.588276694,13.3339,300
46.16,100,2907.73786601,1.0,0.5,1.0,-14.6584148422,-14.6584148422,0.005,-14.6584148422,-20.2754,0.005,1.0,1.0,-9.95771,2,0.005,2.1793e-19,,200.000000102,300.0,2907.73786601,39.3741,300
33.26,100,71.1395977868,1.0456,0.5,7.14679e-05,3.48216346966,5.58921848191,0.00534006,5.58921848191,-16.694,0.00333333,1.50769,2.41534,-8.07977,,1.58008e-07,1.4164e-06,0.289768,266.181578642,382.554097748,384.408195403,42.262,400
155.54,100,4155.42863004,1.05272,0.5,0.239935,-25.3640766884,-25.3640766884,0.0454302,-25.3640766884,43.7804,0.0025,1277.56,23215.9,53.961,1,4.69519e-07,0.000107533,2.80818e+07,22.0235902798,379.967971402,4155.42863004,213.907,400
36.4,100,356.620018986,1.0,0.5,1.0,-4.55454005856,-4.55454005856,0.01,-4.55454005856,-8.22218,0.01,1.0,1.0,-4.55454,2,0.01,3.50449e-18,,100.0,400.0,356.620018986,18.7897,400
44.74,100,1552.78699996,1.0,0.5,1.0,-18.0105402549,-18.0105402549,0.005,-18.0105402549,-19.6122,0.005,1.0,1.0,-11.2825,2,0.005,2.1793e-19,,200.000000102,400.0,1552.78699996,31.471,400
39.88,100,796.641467844,1.0,0.5,1.0,11.751692089,11.751692089,0.00333333,11.751692089,-10.4056,0.00333333,1.0,1.0,-3.60446,2,0.00333333,5.43914e-20,,299.999969474,400.0,796.641467844,32.2658,400
155.54,100,1359.27993612,1.05117,0.5,4.3074e-05,4.04368027214,-25.3640766884,0.0072507,-25.3640766884,-7.13735,0.0025,1.43703,4.1678,-1.0986,,7.49356e-08,1.31576e-06,0.434741,330.579835096,475.658300685,4155.42863004,39.0006,500
48.06,100,2726.84023476,1.05576,0.5,0.158353,-12.7632967955,-12.7632967955,0.0454215,-12.7632967955,44.834,0.002,1073.56,24381.4,53.953,1,2.95005e-07,8.69508e-05,2.50534e+07,22.0320389215,473.590760297,2726.84023476,239.11,500
42.9,100,478.348632048,1.0,0.5,1.0,-4.0529246754,-4.0529246754,0.01,-4.0529246754,-8.23918,0.01,1.0,1.0,-4.05293,2,0.01,3.50449e-18,,100.0,500.0,478.348632048,21.7616,500
40.82,100,1010.51238899,1.0,0.5,1.0,16.882060249,16.882060249,0.005,16.882060249,-0.361713,0.005,1.0,1.0,6.41457,2,0.005,2.1793e-19,,200.000000102,500.0,1010.51238899,29.0956,500
