eRenyi2,AvgVanillaIw,VanillaAvgRet,Bound,VarRet,MaxVanillaIw,VarNormIw,AvgNormIw,VarVanillaIw,MinNormIw,J,MaxNormIw,VarJ,ESSRenyi,VarDiscRet,AvgEpLen,ESSClassic,AvgDiscRet,MinVanillaIw,AvgRet,BatchSize
39.24665,0.5258002,111.84176680219848,703.2401,38126.43863718084,47.38517,0.008119586,0.01,22.447866,,1673.1044,0.901201,1623.2156,2.547988127065823,38126.43863718084,12.19,1.228744788655206,111.84176680219848,,111.84176680219848,100
5.2809796,2.2447686,224.08835054979374,390.52005,80378.79573686396,126.62723,0.0031757373,0.010000003,160.02496,1.2511025e-16,835.3519,0.56409925,1670.7501,18.935880640183218,80378.79573686396,23.42,3.0826334112377523,224.08835054979374,2.8084357e-14,224.08835054979374,100
19.720072,1.465337,648.4153171436558,2512.2158,965062.1715160937,87.30382,0.004619166,0.01,99.18332,,4380.9214,0.5957934,4000.877,5.070975453421642,965062.1715160937,65.84,2.1399647497505474,648.4153171436558,,648.4153171436558,100
8.060243,1.1589367,1420.4416142297987,3573.517,3187944.2824694305,17.455074,0.00076920376,0.01,10.33144,2.2082101e-18,4768.222,0.15061283,868.6288,12.40657438074857,3187944.2824694305,142.91,11.607505613728202,1420.4416142297987,2.5591758e-16,1420.4416142297987,100
1.6499169,0.9940929,4435.003475007484,4389.277,1582527.8675202134,2.9994745,6.673993e-05,0.010000002,0.65953773,0.00019525773,4929.804,0.030172981,227.29764,60.60911356853572,1582527.8675202134,443.72,60.21464768501468,4435.003475007484,0.019410431,4435.003475007484,100
1.01226,1.0115285,4986.730844436877,4569.6294,17426.80150487149,1.1556315,1.1122169e-06,0.01,0.011380089,0.0051220767,4993.0117,0.011424608,69.202446,98.78885260141611,17426.80150487149,498.69,98.91088874183014,4986.730844436877,0.51811266,4986.730844436877,100
1.0000008,0.99991363,4999.945852692306,4579.1357,0.003937800641968834,1.001255,1.2694401e-10,0.01,1.2692134e-06,0.009953496,4999.9463,0.0100134155,0.062352143,99.99991655356695,0.003937800641968834,500.0,99.99987410423614,4999.945852692306,0.99526364,4999.945852692306,100
1.000001,0.9998381,4999.934247788374,4579.124,0.006958640482124342,1.0024832,1.4861301e-10,0.009999999,1.4856561e-06,0.009956777,4999.9346,0.010026456,0.08284754,99.99990463265931,0.006958640482124342,500.0,99.99985501818959,4999.934247788374,0.9955165,4999.934247788374,100
1.0164511,1.000612,4983.520036055073,4568.019,26894.92407993932,1.14547,1.6133677e-06,0.01,0.016153429,0.0046600318,4992.277,0.011447694,76.45531,98.38151387245341,26894.92407993932,498.37,98.42787593023164,4983.520036055073,0.4662884,4983.520036055073,100
1.1111648,0.95461446,4886.7136935963945,4536.0483,429167.5142871735,1.5022115,1.2682878e-05,0.01,0.11557767,0.0010019058,4979.6323,0.015736315,114.63288,89.99565074005008,429167.5142871735,488.72,88.84461829558754,4886.7136935963945,0.09564337,4886.7136935963945,100
