AvgEpLen,MinNormIw,MaxVanillaIw,J,VanillaAvgRet,VarDiscRet,VarNormIw,eRenyi2,AvgNormIw,VarRet,AvgRet,ESSRenyi,VarVanillaIw,MinVanillaIw,MaxNormIw,VarJ,Delta,Bound,EpsThisIter,IterType,AvgVanillaIw,BatchSize,AvgDiscRet,ESSClassic
11.8,,126.088936,474.5838,107.9389303763378,10041.270214612372,0.006853129,45.69409,0.01,10041.270214612372,107.9389303763378,2.1884667375496227,160.11562,,0.82490605,313.95493,0.85,329.7971,100,1,1.5285248,100,107.9389303763378,1.4525179383808562
11.8,nan,inf,nan,107.9389303763378,83144.10892066853,nan,4.5910172e-05,nan,10041.270214612372,107.9389303763378,4356333.053833644,nan,0.00793091,nan,nan,0.85,nan,100,,inf,200,302.24730856140616,nan
13.67,3.2445494e-28,302.6918,3846.7817,126.63630776968343,169666.7862749742,0.0043153707,74.79401,0.005000001,169666.7862749742,126.63630776968343,2.674011057388253,458.11865,1.0571444e-25,0.9290108,3809.0828,0.85,2788.7295,100,1,1.6291081,200,126.63630776968343,1.1577305288673108
77.97,0.01,1.0,769.75446,769.7544954448346,1044164.5793085997,3.5044917e-18,1.0,0.009999998,1044164.5793085997,769.7544954448346,200.0,,1.0,0.01,1016.7217,0.85,559.7126,100,2,1.0,200,769.7544954448346,100.0
13.67,3.4686444e-28,9.4594465e+24,4852.9653,126.63630776968343,1402877.776164319,0.004931881,3.273621e-06,0.005,169666.7862749742,126.63630776968343,91641643.5207772,inf,0.0033036903,0.99317586,511.1197,0.85,-inf,100,,4.762221e+22,300,932.1912264237636,
11.29,3.7863854e-32,378.62988,3871.3948,102.84150588096502,9708.351240859183,0.002915889,96.029625,0.0033333336,9708.351240859183,102.84150588096502,3.124035944019109,477.91074,1.5328961e-29,0.93524843,4233.794,0.85,2892.5122,100,1,1.3494806,300,102.84150588096502,1.1426166183154796
78.64,0.01,1.0,776.4989,776.4988824469206,1039579.8853922567,3.5044917e-18,1.0,0.009999998,1039579.8853922567,776.4988824469206,300.0,,1.0,0.01,1014.4871,0.85,566.4646,100,2,1.0,300,776.4988824469206,100.0
83.02,0.005,1.0,798.3318,820.1648304660888,960598.2140207007,2.179301e-19,1.0,0.0049999994,960598.2140207007,820.1648304660888,300.0,,1.0,0.005,995.27124,0.85,649.8151,100,2,1.0,300,820.1648304660888,200.00000010221265
11.29,3.5925476e-32,6.523599e+28,1225.3867,102.84150588096502,766433.7461292455,0.0026480183,2.182928e-06,0.0033333334,9708.351240859183,102.84150588096502,183240122.7922491,inf,0.0026411014,0.88737,1929.138,0.85,-inf,100,,2.450537e+26,400,824.2635618479399,
10.17,,678.8771,3930.0667,91.6374966452964,6637.011848366597,0.0022610833,168.14528,0.0024999997,6637.011848366597,91.6374966452964,2.378895218134212,1152.3528,,0.9509478,3857.6262,0.85,2808.304,100,1,1.7847381,400,91.6374966452964,1.1053727813250327
101.23,0.01,1.0,1002.43494,1002.434950486086,1032325.0130022817,3.5044917e-18,1.0,0.009999998,1032325.0130022817,1002.434950486086,400.0,,1.0,0.01,1010.9409,0.85,792.3966,100,2,1.0,400,1002.434950486086,100.0
109.98,0.005,1.0,1046.1407,1089.8466061571492,1307870.6778275534,2.179301e-19,1.0,0.0049999994,1307870.6778275534,1089.8466061571492,400.0,,1.0,0.005,1077.1754,0.85,897.61884,100,2,1.0,400,1089.8466061571492,200.00000010221265
94.58,0.0033333334,1.0,1009.34094,935.7412498553168,874784.2534493553,5.4391416e-20,1.0,0.0033333336,874784.2534493553,935.7412498553168,400.0,,1.0,0.0033333334,1031.9521,0.85,888.07336,100,2,1.0,400,935.7412498553168,299.999969473632
10.17,nan,inf,nan,91.6374966452964,1216376.638211901,nan,1.5205933e-06,nan,6637.011848366597,91.6374966452964,328819023.6842892,nan,0.0014730206,nan,nan,0.85,nan,100,,inf,500,1061.4926685109951,nan
11.56,,748.05426,3930.1765,105.5465617715537,12508.532992138993,0.0018091503,183.76527,0.0020000003,12508.532992138993,105.5465617715537,2.720862266228833,1119.3435,,0.9510182,4281.3574,0.85,2881.2734,100,1,1.5731649,500,105.5465617715537,1.1052581362597211
