AvgEpLen,MinNormIw,MaxVanillaIw,J,VanillaAvgRet,VarDiscRet,VarNormIw,eRenyi2,AvgNormIw,VarRet,AvgRet,ESSRenyi,VarVanillaIw,MinVanillaIw,MaxNormIw,VarJ,Delta,Bound,EpsThisIter,IterType,AvgVanillaIw,BatchSize,AvgDiscRet,ESSClassic
112.98,0.01,1.0,1120.048,1120.047976655075,1493522.0735543463,3.5044917e-18,1.0,0.009999998,1493522.0735543463,1120.047976655075,500.0,,1.0,0.01,1215.9716,0.85,910.0061,100,2,1.0,500,1120.047976655075,100.0
119.05,0.005,1.0,1150.384,1180.720231434224,1459470.2834278708,2.179301e-19,1.0,0.0049999994,1459470.2834278708,1180.720231434224,500.0,,1.0,0.005,1209.4012,0.85,1001.86194,100,2,1.0,500,1180.720231434224,200.00000010221265
96.31,0.0033333334,1.0,1084.6412,953.1549160635193,968796.5114989423,5.4391416e-20,1.0,0.0033333336,968796.5114989423,953.1549160635193,500.0,,1.0,0.0033333334,1141.6865,0.85,963.3735,100,2,1.0,500,953.1549160635193,299.999969473632
106.26,0.0025,1.0,1076.6403,1052.6382385417342,1029643.4010479053,5.434597e-20,1.0,0.0024999997,1029643.4010479053,1052.6382385417342,500.0,,1.0,0.0025,1110.2319,0.85,971.61926,100,2,1.0,500,1052.6382385417342,400.0
110.89,,246.31691,4737.6133,1099.0290243163033,1334630.9438665137,0.0003189694,67.05218,0.002,1334630.9438665137,1099.0290243163033,7.456879391097372,253.12286,,0.27650505,2841.1707,0.85,3968.434,100,1,1.7816449,500,1099.0290243163033,6.2047920492881135
427.4,0.01,1.0,4270.4507,4270.450606066592,1745680.875804438,3.5044917e-18,1.0,0.009999998,1745680.875804438,4270.450606066592,500.0,,1.0,0.01,1314.6194,0.85,4060.409,100,2,1.0,500,4270.450606066592,100.0
387.75,0.005,1.0,4071.4792,3872.5081439579913,2566329.870782746,2.179301e-19,1.0,0.0049999994,2566329.870782746,3872.5081439579913,500.0,,1.0,0.005,1474.4609,0.85,3922.957,100,2,1.0,500,3872.5081439579913,200.00000010221265
406.33,0.0033333334,1.0,4067.3115,4058.975135342021,2162961.3783366736,5.4391416e-20,1.0,0.0033333336,2162961.3783366736,4058.975135342021,500.0,,1.0,0.0033333334,1470.7714,0.85,3946.0437,100,2,1.0,500,4058.975135342021,299.999969473632
401.38,0.0025,1.0,4052.5723,4008.355040771069,2013491.8810635086,5.434597e-20,1.0,0.0024999997,2013491.8810635086,4008.355040771069,500.0,,1.0,0.0025,1456.4915,0.85,3947.5513,100,2,1.0,500,4008.355040771069,400.0
405.32,1.7641872e-18,11.391186,4955.2964,4048.761335676949,2323781.2262522494,1.33148205e-05,4.3057,0.002,2323781.2262522494,4048.761335676949,116.1251411590653,3.6160011,9.19372e-16,0.0218586,199.63531,0.85,4760.3823,100,1,1.0422612,500,4048.761335676949,115.6859007819532
492.07,0.01,1.0,4919.8984,4919.898005322911,317169.2908105823,3.5044917e-18,1.0,0.009999998,317169.2908105823,4919.898005322911,500.0,,1.0,0.01,560.35486,0.85,4709.8564,100,2,1.0,500,4919.898005322911,100.0
483.08,0.005,1.0,4874.8457,4829.793586299775,596470.7318732465,2.179301e-19,1.0,0.0049999994,596470.7318732465,4829.793586299775,500.0,,1.0,0.005,674.0041,0.85,4726.3237,100,2,1.0,500,4829.793586299775,200.00000010221265
491.55,0.0033333334,1.0,4888.1284,4914.693318122544,307663.1222155343,5.4391416e-20,1.0,0.0033333336,307663.1222155343,4914.693318122544,500.0,,1.0,0.0033333334,636.18866,0.85,4766.861,100,2,1.0,500,4914.693318122544,299.999969473632
492.29,0.0025,1.0,4896.6724,4922.304884411646,300388.50812551344,5.434597e-20,1.0,0.0024999997,300388.50812551344,4922.304884411646,500.0,,1.0,0.0025,614.91235,0.85,4791.6514,100,2,1.0,500,4922.304884411646,400.0
484.67,7.841581e-06,2.6246195,4987.467,4845.626161532236,562913.4919782865,1.6068758e-06,1.3834059,0.002,562913.4919782865,4845.626161532236,361.42681723589703,0.39024973,0.0038644152,0.0053258166,105.21362,0.85,4876.984,100,1,0.98562145,500,4845.626161532236,356.9094258329094
500.0,0.01,1.0,4999.6597,4999.660035072838,0.17895367917805632,3.5044917e-18,1.0,0.009999998,0.17895367917805632,4999.660035072838,500.0,,1.0,0.01,0.42091116,0.85,4789.6177,100,2,1.0,500,4999.660035072838,100.0
499.95,0.005,1.0,4999.3623,4999.065165849159,36.5663438138257,2.179301e-19,1.0,0.0049999994,36.5663438138257,4999.065165849159,500.0,,1.0,0.005,4.2752194,0.85,4850.8403,100,2,1.0,500,4999.065165849159,200.00000010221265
499.35,0.0033333334,1.0,4997.249,4993.02146082509,4356.923767421588,5.4391416e-20,1.0,0.0033333336,4356.923767421588,4993.02146082509,500.0,,1.0,0.0033333334,38.195633,0.85,4875.9814,100,2,1.0,500,4993.02146082509,299.999969473632
500.0,0.0025,1.0,4997.8506,4999.653992041207,0.19338062943059833,5.434597e-20,1.0,0.0024999997,0.19338062943059833,4999.653992041207,500.0,,1.0,0.0025,33.095505,0.85,4892.8296,100,2,1.0,500,4999.653992041207,400.0
499.5,0.0013453723,1.128691,4997.877,4994.473902936448,1410.6617154900373,2.8658661e-08,1.0065013,0.002,1410.6617154900373,4994.473902936448,496.770338540911,0.007164875,0.672696,0.0022573487,24.670164,0.85,4903.6387,100,1,1.0000147,500,4994.473902936448,496.45013124643293
500.0,0.01,1.0,4999.724,4999.724093195466,0.09948399235829007,3.5044917e-18,1.0,0.009999998,0.09948399235829007,4999.724093195466,500.0,,1.0,0.01,0.31381214,0.85,4789.682,100,2,1.0,500,4999.724093195466,100.0
497.03,0.005,1.0,4984.72,4969.716576260602,33493.22483996671,2.179301e-19,1.0,0.0049999994,33493.22483996671,4969.716576260602,500.0,,1.0,0.005,129.63142,0.85,4836.198,100,2,1.0,500,4969.716576260602,200.00000010221265
498.28,0.0033333334,1.0,4983.8853,4982.213868178156,25747.908338963374,5.4391416e-20,1.0,0.0033333336,25747.908338963374,4982.213868178156,500.0,,1.0,0.0033333334,140.36052,0.85,4862.6177,100,2,1.0,500,4982.213868178156,299.999969473632
497.18,0.0025,1.0,4980.703,4971.157709471394,56880.958200239926,5.434597e-20,1.0,0.0024999997,56880.958200239926,4971.157709471394,500.0,,1.0,0.0025,169.95357,0.85,4875.682,100,2,1.0,500,4971.157709471394,400.0
500.0,0.0001494089,1.293478,4997.53,4999.7011769512665,0.10704415388240358,2.658982e-07,1.0608946,0.002,0.10704415388240358,4999.7011769512665,471.3003497190662,0.06600397,0.074439555,0.0025961618,20.032623,0.85,4900.7783,100,1,0.9964541,500,4999.7011769512665,468.8928754592141
499.59,0.01,1.0,4995.518,4995.518515710951,1763.3115448301023,3.5044917e-18,1.0,0.009999998,1763.3115448301023,4995.518515710951,500.0,,1.0,0.01,41.781315,0.85,4785.476,100,2,1.0,500,4995.518515710951,100.0
500.0,0.005,1.0,4997.5986,4999.679037052582,0.12259146965010874,2.179301e-19,1.0,0.0049999994,0.12259146965010874,4999.679037052582,500.0,,1.0,0.005,29.618027,0.85,4849.0767,100,2,1.0,500,4999.679037052582,200.00000010221265
500.0,0.0033333334,1.0,4998.292,4999.6782928976845,0.1372943427955413,5.4391416e-20,1.0,0.0033333336,0.1372943427955413,4999.6782928976845,500.0,,1.0,0.0033333334,24.203812,0.85,4877.0244,100,2,1.0,500,4999.6782928976845,299.999969473632
500.0,0.0025,1.0,4998.633,4999.655066894533,0.12079621441337737,5.434597e-20,1.0,0.0024999997,0.12079621441337737,4999.655066894533,500.0,,1.0,0.0025,20.970142,0.85,4893.612,100,2,1.0,500,4999.655066894533,400.0
498.19,0.0007361869,1.2046565,4997.8257,4981.279298987533,18564.10274264091,1.04525895e-07,1.0216187,0.002,18564.10274264091,4981.279298987533,489.41937761895946,0.025384877,0.362797,0.0024444864,25.742523,0.85,4902.8823,100,1,0.9856111,500,4981.279298987533,487.29182837353693
498.29,0.01,1.0,4982.3784,4982.378088469808,25189.100484075396,3.5044917e-18,1.0,0.009999998,25189.100484075396,4982.378088469808,500.0,,1.0,0.01,157.91519,0.85,4772.3364,100,2,1.0,500,4982.378088469808,100.0
498.28,0.005,1.0,4982.3584,4982.338808705855,30005.997889420472,2.179301e-19,1.0,0.0049999994,30005.997889420472,4982.338808705855,500.0,,1.0,0.005,165.29239,0.85,4833.8364,100,2,1.0,500,4982.338808705855,200.00000010221265
500.0,0.0033333334,1.0,4988.104,4999.594734723022,0.20854990513244837,5.4391416e-20,1.0,0.0033333336,0.20854990513244837,4999.594734723022,500.0,,1.0,0.0033333334,135.20529,0.85,4866.8364,100,2,1.0,500,4999.594734723022,299.999969473632
500.0,0.0025,1.0,4990.9814,4999.614100903581,0.11576857842010385,5.434597e-20,1.0,0.0024999997,0.11576857842010385,4999.614100903581,500.0,,1.0,0.0025,117.19737,0.85,4885.9604,100,2,1.0,500,4999.614100903581,400.0
500.0,0.0005419208,1.211695,4996.859,4999.603547618668,0.19037111931246822,1.2077123e-07,1.0306839,0.002,0.19037111931246822,4999.603547618668,485.1147981327326,0.03013812,0.2707149,0.0024255875,40.86664,0.85,4901.495,100,1,0.999094,500,4999.603547618668,485.37446003540293
500.0,0.01,1.0,4999.709,4999.708921015525,0.09075122168752628,3.5044917e-18,1.0,0.009999998,0.09075122168752628,4999.708921015525,500.0,,1.0,0.01,0.29973492,0.85,4789.667,100,2,1.0,500,4999.708921015525,100.0
500.0,0.005,1.0,4999.6772,4999.645675085886,0.22108513828760742,2.179301e-19,1.0,0.0049999994,0.22108513828760742,4999.645675085886,500.0,,1.0,0.005,0.3941447,0.85,4851.1553,100,2,1.0,500,4999.645675085886,200.00000010221265
500.0,0.0033333334,1.0,4999.6646,4999.638517610558,0.08835727719568783,5.4391416e-20,1.0,0.0033333336,0.08835727719568783,4999.638517610558,500.0,,1.0,0.0033333334,0.36477372,0.85,4878.397,100,2,1.0,500,4999.638517610558,299.999969473632
500.0,0.0025,1.0,4999.667,4999.675364870262,0.10068888313873335,5.434597e-20,1.0,0.0024999997,0.10068888313873335,4999.675364870262,500.0,,1.0,0.0025,0.35318974,0.85,4894.646,100,2,1.0,500,4999.675364870262,400.0
500.0,0.002,1.0,4999.6704,4999.680223685027,0.16312904296860545,5.431875e-20,1.0,0.0020000003,0.16312904296860545,4999.680223685027,500.0,,1.0,0.002,0.36349067,0.85,4905.737,100,1,1.0,500,4999.680223685027,500.00000664260017
500.0,0.01,1.0,4999.657,4999.657329676833,0.1239094422632178,3.5044917e-18,1.0,0.009999998,0.1239094422632178,4999.657329676833,500.0,,1.0,0.01,0.3502129,0.85,4789.615,100,2,1.0,500,4999.657329676833,100.0
500.0,0.005,1.0,4999.6655,4999.674085834035,0.10021638548632196,2.179301e-19,1.0,0.0049999994,0.10021638548632196,4999.674085834035,500.0,,1.0,0.005,0.3331763,0.85,4851.1436,100,2,1.0,500,4999.674085834035,200.00000010221265
500.0,0.0033333334,1.0,4999.667,4999.67104082141,0.1297706241256307,5.4391416e-20,1.0,0.0033333336,0.1297706241256307,4999.67104082141,500.0,,1.0,0.0033333334,0.34180722,0.85,4878.3994,100,2,1.0,500,4999.67104082141,299.999969473632
497.62,0.0025,1.0,4993.6895,4975.752546513019,57208.92980109364,5.434597e-20,1.0,0.0024999997,57208.92980109364,4975.752546513019,500.0,,1.0,0.0025,119.4426,0.85,4888.6685,100,2,1.0,500,4975.752546513019,400.0
492.45,0.00042743847,1.6377177,4991.416,4923.918913407828,313489.59976939287,3.3136573e-07,1.0924922,0.002,313489.59976939287,4923.918913407828,457.6691619139921,0.084607765,0.21598566,0.003241065,132.13417,0.85,4893.2344,100,1,1.0106046,500,4923.918913407828,461.818761072325
500.0,0.01,1.0,4999.6904,4999.690140627328,0.11603736569071213,3.5044917e-18,1.0,0.009999998,0.11603736569071213,4999.690140627328,500.0,,1.0,0.01,0.3389228,0.85,4789.6484,100,2,1.0,500,4999.690140627328,100.0
500.0,0.005,1.0,4999.6836,4999.678381038574,0.14449276645718034,2.179301e-19,1.0,0.0049999994,0.14449276645718034,4999.678381038574,500.0,,1.0,0.005,0.35916606,0.85,4851.1616,100,2,1.0,500,4999.678381038574,200.00000010221265
500.0,0.0033333334,1.0,4999.686,4999.6895434734315,0.08075058649619817,5.4391416e-20,1.0,0.0033333336,0.08075058649619817,4999.6895434734315,500.0,,1.0,0.0033333334,0.3356381,0.85,4878.4185,100,2,1.0,500,4999.6895434734315,299.999969473632
499.44,0.0025,1.0,4998.2495,4993.940431939556,3286.471688125327,5.434597e-20,1.0,0.0024999997,3286.471688125327,4993.940431939556,500.0,,1.0,0.0025,28.62998,0.85,4893.2285,100,2,1.0,500,4993.940431939556,400.0
500.0,0.0013620716,1.0753362,4998.907,4999.691537846396,0.09333646036850905,1.5514365e-08,1.0032784,0.0020000003,0.09333646036850905,4999.691537846396,498.3661689742849,0.0038381803,0.6774787,0.0021619648,17.457102,0.85,4904.82,100,1,0.99477684,500,4999.691537846396,498.0719863146496
499.86,0.01,1.0,4998.0903,4998.090327660857,129.02881495271276,3.5044917e-18,1.0,0.009999998,129.02881495271276,4998.090327660857,500.0,,1.0,0.01,11.302152,0.85,4788.0483,100,2,1.0,500,4998.090327660857,100.0
500.0,0.005,1.0,4998.9033,4999.716433295208,0.08712083743645652,2.179301e-19,1.0,0.0049999994,0.08712083743645652,4999.716433295208,500.0,,1.0,0.005,8.035763,0.85,4850.3813,100,2,1.0,500,4999.716433295208,200.00000010221265
500.0,0.0033333334,1.0,4999.163,4999.681330845476,0.14906029885842464,5.4391416e-20,1.0,0.0033333336,0.14906029885842464,4999.681330845476,500.0,,1.0,0.0033333334,6.575155,0.85,4877.8955,100,2,1.0,500,4999.681330845476,299.999969473632
500.0,0.0025,1.0,4999.315,4999.772375906597,0.07437738556628884,5.434597e-20,1.0,0.0024999997,0.07437738556628884,4999.772375906597,500.0,,1.0,0.0025,5.701983,0.85,4894.294,100,2,1.0,500,4999.772375906597,400.0
500.0,0.0017917126,1.0215613,4999.418,4999.698579145549,0.08947981553670772,1.2485911e-09,1.000235,0.0019999999,0.08947981553670772,4999.698579145549,499.882546842119,0.0003113132,0.89465797,0.0020458591,4.708926,0.85,4905.473,100,1,0.99866235,500,4999.698579145549,499.84426482667874
500.0,0.01,1.0,4999.715,4999.715473477005,0.09726644525559436,3.5044917e-18,1.0,0.009999998,0.09726644525559436,4999.715473477005,500.0,,1.0,0.01,0.31033048,0.85,4789.673,100,2,1.0,500,4999.715473477005,100.0
500.0,0.005,1.0,4999.706,4999.696385051346,0.0995791214055764,2.179301e-19,1.0,0.0049999994,0.0995791214055764,4999.696385051346,500.0,,1.0,0.005,0.31231168,0.85,4851.184,100,2,1.0,500,4999.696385051346,200.00000010221265
500.0,0.0033333334,1.0,4999.712,4999.72338293105,0.10449557623167552,5.4391416e-20,1.0,0.0033333336,0.10449557623167552,4999.72338293105,500.0,,1.0,0.0033333334,0.31556088,0.85,4878.4443,100,2,1.0,500,4999.72338293105,299.999969473632
500.0,0.0025,1.0,4999.702,4999.673526861112,0.08474676260942648,5.434597e-20,1.0,0.0024999997,0.08474676260942648,4999.673526861112,500.0,,1.0,0.0025,0.309731,0.85,4894.681,100,2,1.0,500,4999.673526861112,400.0
500.0,0.002,1.0,4999.7065,4999.721810422761,0.07872140818522277,5.431875e-20,1.0,0.0020000003,0.07872140818522277,4999.721810422761,500.0,,1.0,0.002,0.3039652,0.85,4905.773,100,1,1.0,500,4999.721810422761,500.00000664260017
500.0,0.01,1.0,4999.664,4999.663974866131,0.12370476507871712,3.5044917e-18,1.0,0.009999998,0.12370476507871712,4999.663974866131,500.0,,1.0,0.01,0.3499707,0.85,4789.622,100,2,1.0,500,4999.663974866131,100.0
500.0,0.005,1.0,4999.679,4999.695074032846,0.10225266598545561,2.179301e-19,1.0,0.0049999994,0.10225266598545561,4999.695074032846,500.0,,1.0,0.005,0.33480662,0.85,4851.157,100,2,1.0,500,4999.695074032846,200.00000010221265
495.01,0.0033333334,1.0,4983.0254,4949.716490523623,249971.47667742713,5.4391416e-20,1.0,0.0033333336,249971.47667742713,4949.716490523623,500.0,,1.0,0.0033333334,288.176,0.85,4861.758,100,2,1.0,500,4949.716490523623,299.999969473632
500.0,0.0025,1.0,4987.1787,4999.64139773378,0.08509751345770752,5.434597e-20,1.0,0.0024999997,0.08509751345770752,4999.64139773378,500.0,,1.0,0.0025,249.67142,0.85,4882.1577,100,2,1.0,500,4999.64139773378,400.0
499.59,0.00072585716,1.5422227,4992.434,4995.489504301735,1765.018592658041,1.462818e-07,1.0358902,0.002,1765.018592658041,4995.489504301735,482.67662883211887,0.036271952,0.36144435,0.0030971111,143.80913,0.85,4896.8296,100,1,0.99591047,500,4995.489504301735,482.39386358516555
500.0,0.01,1.0,4999.7373,4999.737417031452,0.09506130691202783,3.5044917e-18,1.0,0.009999998,0.09506130691202783,4999.737417031452,500.0,,1.0,0.01,0.30676132,0.85,4789.6953,100,2,1.0,500,4999.737417031452,100.0
500.0,0.005,1.0,4999.7485,4999.759089553093,0.07260160837645636,2.179301e-19,1.0,0.0049999994,0.07260160837645636,4999.759089553093,500.0,,1.0,0.005,0.2882874,0.85,4851.2266,100,2,1.0,500,4999.759089553093,200.00000010221265
500.0,0.0033333334,1.0,4999.728,4999.688274497502,0.08955724975545007,5.4391416e-20,1.0,0.0033333336,0.08955724975545007,4999.688274497502,500.0,,1.0,0.0033333334,0.2928477,0.85,4878.4604,100,2,1.0,500,4999.688274497502,299.999969473632
500.0,0.0025,1.0,4999.7305,4999.7367380741325,0.09336914155245055,5.434597e-20,1.0,0.0024999997,0.09336914155245055,4999.7367380741325,500.0,,1.0,0.0025,0.2957027,0.85,4894.7095,100,2,1.0,500,4999.7367380741325,400.0
500.0,0.002,1.0,4999.72,4999.676627260118,0.10391873892929177,5.431875e-20,1.0,0.0020000003,0.10391873892929177,4999.676627260118,500.0,,1.0,0.002,0.30163965,0.85,4905.7866,100,1,1.0,500,4999.676627260118,500.00000664260017
500.0,0.01,1.0,4999.7256,4999.72557607166,0.08084201219400157,3.5044917e-18,1.0,0.009999998,0.08084201219400157,4999.72557607166,500.0,,1.0,0.01,0.2828895,0.85,4789.6836,100,2,1.0,500,4999.72557607166,100.0
500.0,0.005,1.0,4999.7075,4999.68998707279,0.1003243122019518,2.179301e-19,1.0,0.0049999994,0.1003243122019518,4999.68998707279,500.0,,1.0,0.005,0.29998776,0.85,4851.1855,100,2,1.0,500,4999.68998707279,200.00000010221265
500.0,0.0033333334,1.0,4999.7,4999.684913602501,0.11556212261527644,5.4391416e-20,1.0,0.0033333336,0.11556212261527644,4999.684913602501,500.0,,1.0,0.0033333334,0.31343985,0.85,4878.4326,100,2,1.0,500,4999.684913602501,299.999969473632
499.48,0.0025,1.0,4998.368,4994.373208985629,2810.548046577883,5.434597e-20,1.0,0.0024999997,2810.548046577883,4994.373208985629,500.0,,1.0,0.0025,26.4765,0.85,4893.347,100,2,1.0,500,4994.373208985629,400.0
500.0,0.0015020921,1.0771334,4998.8765,4999.716995702141,0.07209673684739132,1.2120396e-08,1.0024031,0.002,0.07209673684739132,4999.716995702141,498.80131058453634,0.0030062227,0.7480812,0.0021628048,18.32895,0.85,4904.83,100,1,0.9960524,500,4999.716995702141,498.4925415363838
500.0,0.01,1.0,4999.724,4999.724062799269,0.0958791345063383,3.5044917e-18,1.0,0.009999998,0.0958791345063383,4999.724062799269,500.0,,1.0,0.01,0.30807605,0.85,4789.682,100,2,1.0,500,4999.724062799269,100.0
500.0,0.005,1.0,4999.7144,4999.704620613125,0.12868398868328526,2.179301e-19,1.0,0.0049999994,0.12868398868328526,4999.704620613125,500.0,,1.0,0.005,0.3335502,0.85,4851.1924,100,2,1.0,500,4999.704620613125,200.00000010221265
500.0,0.0033333334,1.0,4999.7114,4999.704782602555,0.13472678208732683,5.4391416e-20,1.0,0.0033333336,0.13472678208732683,4999.704782602555,500.0,,1.0,0.0033333334,0.3444573,0.85,4878.444,100,2,1.0,500,4999.704782602555,299.999969473632
500.0,0.0025,1.0,4999.706,4999.692512538402,0.09253576584207525,5.434597e-20,1.0,0.0024999997,0.09253576584207525,4999.692512538402,500.0,,1.0,0.0025,0.33459935,0.85,4894.685,100,2,1.0,500,4999.692512538402,400.0
500.0,0.002,1.0,4999.705,4999.696470389707,0.08159965623828454,5.431875e-20,1.0,0.0020000003,0.08159965623828454,4999.696470389707,500.0,,1.0,0.002,0.32517612,0.85,4905.7715,100,1,1.0,500,4999.696470389707,500.00000664260017
500.0,0.01,1.0,4999.6836,4999.683846697077,0.10725638325981136,3.5044917e-18,1.0,0.009999998,0.10725638325981136,4999.683846697077,500.0,,1.0,0.01,0.3258762,0.85,4789.6416,100,2,1.0,500,4999.683846697077,100.0
500.0,0.005,1.0,4999.705,4999.726285629719,0.09828274846493448,2.179301e-19,1.0,0.0049999994,0.09828274846493448,4999.726285629719,500.0,,1.0,0.005,0.31968746,0.85,4851.183,100,2,1.0,500,4999.726285629719,200.00000010221265
500.0,0.0033333334,1.0,4999.696,4999.67749145123,0.12958518881030603,5.4391416e-20,1.0,0.0033333336,0.12958518881030603,4999.67749145123,500.0,,1.0,0.0033333334,0.33326802,0.85,4878.428,100,2,1.0,500,4999.67749145123,299.999969473632
498.18,0.0025,1.0,4995.121,4981.397373290025,33558.80235624659,5.434597e-20,1.0,0.0024999997,33558.80235624659,4981.397373290025,500.0,,1.0,0.0025,91.48042,0.85,4890.1,100,2,1.0,500,4981.397373290025,400.0
495.01,0.00020366833,1.7702647,4992.615,4949.72518706001,249972.33604841822,2.8401817e-07,1.0589092,0.002,249972.33604841822,4949.72518706001,472.1840271969094,0.069525175,0.10076773,0.003577999,139.45404,0.85,4895.9546,100,1,0.98952776,500,4949.72518706001,466.91328846508975
499.82,0.01,1.0,4997.7876,4997.7877694930785,362.09601177970234,3.5044917e-18,1.0,0.009999998,362.09601177970234,4997.7877694930785,500.0,,1.0,0.01,18.933418,0.85,4787.7456,100,2,1.0,500,4997.7877694930785,100.0
500.0,0.005,1.0,4998.752,4999.716635942062,0.06659355651740542,2.179301e-19,1.0,0.0049999994,0.06659355651740542,4999.716635942062,500.0,,1.0,0.005,13.423869,0.85,4850.23,100,2,1.0,500,4999.716635942062,200.00000010221265
500.0,0.0033333334,1.0,4999.0737,4999.7160317246935,0.054064016930688394,5.4391416e-20,1.0,0.0033333336,0.054064016930688394,4999.7160317246935,500.0,,1.0,0.0033333334,10.97077,0.85,4877.806,100,2,1.0,500,4999.7160317246935,299.999969473632
500.0,0.0025,1.0,4999.2334,4999.714180181711,0.0870448718277213,5.434597e-20,1.0,0.0024999997,0.0870448718277213,4999.714180181711,500.0,,1.0,0.0025,9.506149,0.85,4894.2124,100,2,1.0,500,4999.714180181711,400.0
500.0,0.0017467208,1.0291753,4999.3726,4999.742865490098,0.06563099138656933,1.6050893e-09,1.0004005,0.002,0.06563099138656933,4999.742865490098,499.7998085788697,0.00040058195,0.8726087,0.0020601237,7.68927,0.85,4905.42,100,1,0.99913937,500,4999.742865490098,499.7998801999333
500.0,0.01,1.0,4999.699,4999.699480796477,0.07236549998347967,3.5044917e-18,1.0,0.009999998,0.07236549998347967,4999.699480796477,500.0,,1.0,0.01,0.26765215,0.85,4789.657,100,2,1.0,500,4999.699480796477,100.0
500.0,0.005,1.0,4999.7207,4999.741948371183,0.050064602519790107,2.179301e-19,1.0,0.0049999994,0.050064602519790107,4999.741948371183,500.0,,1.0,0.005,0.24709636,0.85,4851.1987,100,2,1.0,500,4999.741948371183,200.00000010221265
