AvgDiscRet,MaxNormIw,J,eRenyi2,VanillaAvgRet,AvgRet,AvgVanillaIw,MinVanillaIw,VarRet,MaxVanillaIw,VarDiscRet,ESSRenyi,VarJ,Bound,AvgNormIw,ESSClassic,VarVanillaIw,BatchSize,MinNormIw,AvgEpLen,VarNormIw
-2446.1555259310257,0.039927024,-74.90341,2.7527368,-2446.1555259310257,-2446.1555259310257,0.9473761,1.6808966e-11,5454137.527442945,3.7825909,5454137.527442945,36.32748316164775,200.15668,-878.9553,0.01,35.40581833167394,1.6539729,100,1.7742653e-13,200.0,0.00018428222
-86.55048179751077,0.013320936,-16.349981,1.1169466,-86.55048179751077,-86.55048179751077,1.0088606,0.06264342,194733.04641714602,1.3438966,194733.04641714602,89.5297966503896,43.526634,-269.59103,0.01,89.98589095757906,0.11441019,100,0.00062093243,200.0,1.1240932e-05
-9.69229179463311,0.018534407,-8.969199,1.181494,-9.69229179463311,-9.69229179463311,0.9911104,0.0910305,85.27005764144269,1.8369642,85.27005764144269,84.63860180868099,8.6434765,-11.760077,0.009999999,83.03123426627876,0.20277669,100,0.00091846986,200.0,2.0643052e-05
-17.183128450380167,0.0023561295,-10.593918,1.0358838,-17.183128450380167,-17.183128450380167,0.98744744,0.18983372,16690.509136996985,1.163277,16690.509136996985,482.6796283337033,26.266706,-109.06476,0.002,480.3057606051156,0.04006078,500,0.00038449382,200.0,1.6434308e-07
-8.815980928671463,0.00559888,-7.410841,2.075551,-8.815980928671463,-8.815980928671463,1.0430498,2.2502536e-11,65.60420353174476,2.9199553,65.60420353174476,240.89988251094826,9.589006,-8.969272,0.002,250.33167557531223,1.0872447,500,4.3147577e-14,200.0,3.997396e-06
-8.319603882888472,0.0060237693,-8.242513,1.1091993,-8.319603882888472,-8.319603882888472,0.9855167,0.79567856,52.41574636329367,2.9682627,52.41574636329367,450.7756239415225,7.382345,-9.187471,0.002,458.4364186616962,0.088233046,500,0.0016147438,200.0,3.633819e-07
-7.920452341753262,0.0027012408,-7.6938906,1.1305206,-7.920452341753262,-7.920452341753262,1.0147357,0.027151415,53.071028577859465,1.3705227,53.071028577859465,442.27412386194374,7.348625,-8.817941,0.002,440.92240950568794,0.1382405,500,5.351426e-05,200.0,5.3701876e-07
-8.688919059483498,0.018798355,-6.6142535,5.532629,-8.688919059483498,-8.688919059483498,0.82762265,,53.753375218715114,7.7789726,53.753375218715114,90.3729490662742,16.952848,-8.942688,0.002,75.93038755626844,3.83315,500,,200.0,2.2384686e-05
-7.497026231436201,0.008134787,-7.3101497,1.1995528,-7.497026231436201,-7.497026231436201,0.9765248,0.76291335,48.41769880428184,3.9719105,48.41769880428184,416.8220112181988,7.083592,-8.273763,0.002,445.5757069351228,0.1167098,500,0.0015625069,200.0,4.8955417e-07
-7.535734749965621,0.006225457,-7.446798,1.0900006,-7.535734749965621,-7.535734749965621,1.0065769,0.84579396,46.4845304282755,3.1332006,46.4845304282755,458.7153314431928,6.8915887,-8.36262,0.0019999999,472.1195300290126,0.059953228,500,0.0016805351,200.0,2.366893e-07
