AvgRet,Delta,MinVanillaIw,ESSClassic,Bound,AvgDiscRet,VarNormIw,BatchSize,VarJ,MinNormIw,MaxNormIw,AvgVanillaIw,ESSRenyi,EpsThisIter,VanillaAvgRet,IterType,VarVanillaIw,VarRet,J,AvgEpLen,eRenyi2,MaxVanillaIw,AvgNormIw,VarDiscRet
-1499.72488218,0.2,0.00303388,57.4537418105,-1739.38,-1499.72488218,7.48011e-05,100,222.793,2.90203e-05,0.028606,1.04543,59.8663609621,100,-1499.72488218,1,0.817524,164027.372214,-1222.52,500.0,1.67039,2.99057,0.01,164027.372214
-1185.23526095,0.2,0.349883,95.352252272,-1563.65,-1185.23526095,4.9235e-06,100,139.577,0.00336234,0.0174285,1.04059,94.8550732422,100,-1185.23526095,1,0.0533132,43724.1560219,-1160.95,500.0,1.05424,1.81359,0.01,43724.1560219
-1197.17471226,0.2,0.275876,91.6735899004,-1565.22,-1197.17471226,9.17439e-06,100,100.275,0.00282791,0.0146565,0.975549,92.1620981728,100,-1197.17471226,1,0.0873124,49823.4143074,-1156.87,500.0,1.08504,1.42982,0.01,49823.4143074
-1153.00424347,0.2,0.652876,97.3743603338,-1540.63,-1153.00424347,2.72361e-06,100,137.325,0.00641536,0.016431,1.01768,97.8260699709,100,-1153.00424347,1,0.0282075,24356.7781054,-1144.03,500.0,1.02222,1.67215,0.01,24356.7781054
-1151.39286115,0.2,0.542628,97.987035422,-1544.28,-1151.39286115,2.07505e-06,100,85.2842,0.0054806,0.0126678,0.990089,98.3393138012,100,-1151.39286115,1,0.0203412,16219.0711484,-1143.74,500.0,1.01689,1.25422,0.01,16219.0711484
-1156.96928328,0.2,0.447728,97.7427592698,-1546.62,-1156.96928328,2.3327e-06,100,83.3316,0.00449633,0.0124061,0.995762,98.0147836429,100,-1156.96928328,1,0.0231297,21592.7562365,-1146.97,500.0,1.02025,1.23536,0.01,21592.7562365
-1153.50327393,0.2,0.315274,97.1727337094,-1538.68,-1153.50327393,2.93893e-06,100,54.2565,0.00317566,0.012294,0.992783,97.7536127935,100,-1153.50327393,1,0.0289666,12470.6122016,-1142.13,500.0,1.02298,1.22053,0.01,12470.6122016
-1133.25653337,0.2,0.933039,99.8729231681,-1372.69,-1133.25653337,1.28531e-07,100,17.2991,0.00934222,0.0121769,0.998734,99.8665685058,100,-1133.25653337,1,0.00128206,219.605422547,-1132.95,500.0,1.00134,1.21615,0.01,219.605422547
-1133.67400328,0.2,0.535991,99.0740917586,-1521.94,-1133.67400328,9.43995e-07,100,79.2771,0.00542854,0.0126548,0.987358,99.1134080986,100,-1133.67400328,1,0.00920278,10694.1457649,-1129.37,500.0,1.00895,1.24948,0.01,10694.1457649
-1142.09559665,0.2,0.6776,99.4816937332,-1532.45,-1142.09559665,5.2627e-07,100,55.554,0.0067342,0.011474,1.00621,99.4109251182,100,-1142.09559665,1,0.00532823,6823.32909405,-1139.41,500.0,1.00593,1.15452,0.01,6823.32909405
-1144.73159722,0.2,0.577085,98.7583023666,-1536.9,-1144.73159722,1.27002e-06,100,50.3968,0.005847,0.0116756,0.986975,99.1312698081,100,-1144.73159722,1,0.0123716,7296.00992559,-1140.6,500.0,1.00876,1.15235,0.01,7296.00992559
-1132.55437991,0.2,0.707029,99.3981851294,-1398.67,-1132.55437991,6.11576e-07,100,29.7441,0.00714681,0.0115164,0.989293,99.6352909513,100,-1132.55437991,1,0.0059855,935.266320495,-1131.54,500.0,1.00366,1.13931,0.01,935.266320495
-1124.94817803,0.2,0.121294,15.96296873,-1331.33,-1124.94817803,0.000531768,100,554.93,0.000909396,0.2233,1.33378,60.1697470106,100,-1124.94817803,1,9.46001,2778.78328901,-1037.09,500.0,1.66196,29.7834,0.01,2778.78328901
-1135.11160134,0.2,0.570808,98.5385531541,-1512.34,-1135.11160134,1.49813e-06,100,76.5007,0.00564604,0.0134439,1.01099,98.832860039,100,-1135.11160134,1,0.0153124,8328.6145267,-1130.15,500.0,1.01181,1.35916,0.01,8328.6145267
-1128.30878497,0.2,0.801177,98.8535383954,-1357.28,-1128.30878497,1.17148e-06,100,46.2492,0.00803348,0.015598,0.997298,98.9573426618,100,-1128.30878497,1,0.0116516,1094.92047248,-1126.17,500.0,1.01054,1.55559,0.01,1094.92047248
-1127.11990878,0.2,0.7269,99.1368517685,-1391.4,-1127.11990878,8.79455e-07,100,60.3179,0.0072424,0.0126756,1.00367,99.0914440952,100,-1127.11990878,1,0.00885927,2689.83501867,-1124.86,500.0,1.00917,1.27221,0.01,2689.83501867
-1129.69300514,0.2,0.714611,98.4273086298,-1519.65,-1129.69300514,1.61398e-06,100,126.465,0.00714383,0.0162034,1.00032,98.7772433161,100,-1129.69300514,1,0.0161501,21642.1068679,-1125.06,500.0,1.01238,1.62086,0.01,21642.1068679
-1150.43923709,0.2,0.264132,95.9497999964,-1539.91,-1150.43923709,4.26381e-06,100,80.5894,0.00264561,0.0149247,0.99838,97.0185945768,100,-1150.43923709,1,0.0425001,19475.3108718,-1134.19,500.0,1.03073,1.49005,0.01,19475.3108718
-1129.59585429,0.2,0.672111,98.794142705,-1387.27,-1129.59585429,1.23289e-06,100,71.5988,0.00679608,0.0136736,0.988968,98.9373147566,100,-1129.59585429,1,0.0120584,3381.84445192,-1127.04,500.0,1.01074,1.35227,0.01,3381.84445192
-1126.27175925,0.2,0.0422455,11.2060343148,-1363.17,-1126.27175925,0.00080038,100,853.271,0.000306404,0.2816,1.37875,59.1401081873,100,-1126.27175925,1,15.2148,5495.10821394,-989.866,500.0,1.6909,38.8256,0.01,5495.10821394
-1124.36393719,0.2,0.753425,99.3380530744,-1515.1,-1124.36393719,6.73083e-07,100,158.1,0.00761335,0.0115423,0.989611,99.3752064984,100,-1124.36393719,1,0.00659171,25467.4876961,-1121.96,500.0,1.00629,1.14224,0.01,25467.4876961
-1105.24846797,0.2,0.514654,94.0820149683,-1486.68,-1105.24846797,6.35375e-06,100,210.785,0.00497093,0.0176459,1.03533,93.8713333049,100,-1105.24846797,1,0.0681062,35177.1231991,-1082.51,500.0,1.06529,1.82692,0.01,35177.1231991
-1131.46033034,0.2,0.581726,98.9911012729,-1520.79,-1131.46033034,1.02951e-06,100,113.046,0.00571939,0.0115835,1.01711,98.9047808648,100,-1131.46033034,1,0.0106504,21791.500659,-1126.19,500.0,1.01107,1.17817,0.01,21791.500659
-1103.46243829,0.2,0.528735,89.0592915261,-1399.77,-1103.46243829,1.24088e-05,100,200.909,0.00497015,0.0292015,1.06382,92.4197602218,100,-1103.46243829,1,0.140433,15581.5234793,-1083.4,500.0,1.08202,3.10651,0.01,15581.5234793
-1098.42450531,0.2,0.452369,93.7073900187,-1341.64,-1098.42450531,6.78303e-06,100,171.506,0.00459707,0.019582,0.984037,91.6140253659,100,-1098.42450531,1,0.065682,13022.2031057,-1077.25,500.0,1.09154,1.92694,0.01,13022.2031057
-1094.42217946,0.2,0.374616,94.3936829944,-1478.44,-1094.42217946,5.99931e-06,100,223.013,0.00393836,0.0183425,0.951198,94.9634743154,100,-1094.42217946,1,0.0542804,28921.5325326,-1076.06,500.0,1.05304,1.74473,0.01,28921.5325326
-1086.76133299,0.2,0.409944,96.9962200643,-1475.22,-1086.76133299,3.12812e-06,100,265.148,0.00409666,0.014766,1.00068,97.5346157097,100,-1086.76133299,1,0.0313236,61452.2229515,-1078.08,500.0,1.02528,1.4776,0.01,61452.2229515
-1081.86184255,0.2,0.192667,79.3501642953,-1453.3,-1081.86184255,2.62865e-05,100,316.502,0.00182937,0.0291698,1.05319,83.6526723137,100,-1081.86184255,1,0.29157,54155.4847028,-1022.39,500.0,1.19542,3.07212,0.01,54155.4847028
-1038.91946096,0.2,0.101478,75.0644363038,-1398.46,-1038.91946096,3.35544e-05,100,299.399,0.00109131,0.0258621,0.929877,78.5997883544,100,-1038.91946096,1,0.290136,51799.8671079,-956.079,500.0,1.27227,2.40486,0.01,51799.8671079
-976.820349988,0.2,0.0547083,64.8225747922,-1311.93,-976.820349988,5.48154e-05,100,319.716,0.000526019,0.037243,1.04004,72.5425505852,100,-976.820349988,1,0.592932,98349.66789,-851.381,500.0,1.3785,3.87343,0.01,98349.66789
-965.448887529,0.2,0.00576974,69.1748034344,-1297.7,-965.448887529,4.50114e-05,100,315.848,5.69814e-05,0.0289676,1.01257,71.2681714081,100,-965.448887529,1,0.461497,117701.976013,-833.355,500.0,1.40315,2.93316,0.01,117701.976013
-891.635055581,0.2,0.096179,69.5537911922,-1228.05,-891.635055581,4.42158e-05,100,253.071,0.00101068,0.0267856,0.951631,77.1208039987,100,-891.635055581,1,0.400419,121330.883082,-780.292,500.0,1.29667,2.549,0.01,121330.883082
-801.117890375,0.2,0.145209,84.3093732623,-1158.9,-801.117890375,1.87988e-05,100,266.694,0.0013851,0.0283051,1.04837,86.8606040123,100,-801.117890375,1,0.206612,114171.473687,-737.751,500.0,1.15127,2.96741,0.01,114171.473687
-746.921147017,0.2,0.234987,92.2776665318,-1120.76,-746.921147017,8.45314e-06,100,142.455,0.00226799,0.0166118,1.0361,91.5435815937,100,-746.921147017,1,0.0907454,41908.1542207,-711.113,500.0,1.09238,1.72115,0.01,41908.1542207
-703.979427049,0.2,0.258681,91.0056271967,-1076.03,-703.979427049,9.98314e-06,100,167.257,0.00251398,0.0175464,1.02897,92.4174183851,100,-703.979427049,1,0.1057,44698.7387718,-668.823,500.0,1.08205,1.80547,0.01,44698.7387718
-677.161886454,0.2,0.429373,96.6237617373,-1064.05,-677.161886454,3.5295e-06,100,151.438,0.00426698,0.0140998,1.00627,97.2991694329,100,-677.161886454,1,0.0357389,28147.3880353,-666.639,500.0,1.02776,1.41882,0.01,28147.3880353
-674.51986028,0.2,0.246917,92.950222458,-1045.61,-674.51986028,7.66108e-06,100,117.503,0.00230969,0.0152777,1.06905,93.0042233585,100,-674.51986028,1,0.0875555,57970.6537056,-638.399,500.0,1.07522,1.63326,0.01,57970.6537056
