MaxNormIw,VarNormIw,VarVanillaIw,MinNormIw,ESSClassic,AvgNormIw,AvgDiscRet,AvgRet,VarRet,Delta,AvgVanillaIw,Bound,eRenyi2,MaxVanillaIw,BatchSize,AvgEpLen,VarDiscRet,IterType,J,ESSRenyi,MinVanillaIw,EpsThisIter,VarJ,VanillaAvgRet
1.0,0.01,1.75831e-07,,1.0,0.01,-128.287298725,-128.287298725,4581.01101113,1.0,4.19322e-05,-106.38,3.88426e+06,0.00419322,100,61.44,4581.01101113,1,-106.38,2.57448963961e-05,,100,1.19342e-16,-128.287298725
nan,nan,nan,nan,nan,nan,-106.437742423,-128.287298725,4581.01101113,1.0,inf,nan,nan,inf,200,61.44,4.27152342968,,nan,nan,238.48,100,nan,-128.287298725
0.87901,0.00392857,0.000697599,,1.27099332863,0.005,-123.3431484,-123.3431484,3587.6178539,1.0,0.00210696,-108.658,inf,0.370407,200,44.64,3587.6178539,1,-108.658,,,100,1.61769,-123.3431484
0.01,3.50449e-18,,0.01,100.0,0.01,-107.508563154,-107.508563154,8.38903200289,1.0,1.0,-107.509,1.0,1.0,200,15.38,8.38903200289,2,-107.509,200.0,1.0,100,2.88186,-107.508563154
1.0,0.005,0.00103721,,1.0,0.005,-107.266813038,-107.266813038,6.49264241792,1.0,0.00227729,-104.862,9697.56,0.455458,200,15.92,6.49264241792,1,-104.862,0.0206237495971,,100,2.23122e-07,-107.266813038
0.01,3.50449e-18,,0.01,100.0,0.01,-106.914314678,-106.914314678,4.57943644625,1.0,1.0,-106.914,1.0,1.0,200,14.56,4.57943644625,2,-106.914,200.0,1.0,100,2.12923,-106.914314678
nan,nan,nan,nan,nan,nan,-107.134930136,-107.266813038,6.49264241792,1.0,inf,nan,8.47942e-10,inf,300,15.92,4.18764867095,,nan,353797600384.0,2.19559,100,nan,-107.266813038
1.0,0.00333333,2.33316,,1.00000028837,0.00333333,-107.814546811,-107.814546811,12.3857435138,1.0,0.0881885,-103.648,23225.7,26.4565,300,15.69,12.3857435138,1,-103.648,0.0129167501995,,100,8.11161e-06,-107.814546811
0.01,3.50449e-18,,0.01,100.0,0.01,-107.318932212,-107.318932212,4.83451437076,1.0,1.0,-107.319,1.0,1.0,300,14.88,4.83451437076,2,-107.319,300.0,1.0,100,2.18773,-107.318932212
0.005,2.1793e-19,,0.005,200.000000102,0.005,-107.039673544,-107.039673544,4.43293197409,1.0,1.0,-107.179,1.0,1.0,300,15.07,4.43293197409,2,-107.179,300.0,1.0,100,2.14636,-107.039673544
