VarVanillaIw,AvgDiscRet,Delta,VarDiscRet,IterType,AvgRet,MaxVanillaIw,Bound,ESSRenyi,VanillaAvgRet,AvgNormIw,AvgVanillaIw,VarRet,MaxNormIw,EpsThisIter,ESSClassic,BatchSize,MinVanillaIw,MinNormIw,AvgEpLen,VarJ,J,VarNormIw,eRenyi2
1.25048,-1385.32358895,0.6,130372.419906,1,-1385.32358895,4.08648,-1391.39,48.2687293896,-1385.32358895,0.01,1.17774,130372.419906,0.0346977,100,52.8397740814,100,9.48581e-07,8.05428e-09,500.0,173.152,-1160.94,9.01529e-05,2.07173
0.197035,-1189.16759955,0.6,33214.5977199,1,-1189.16759955,1.8204,-1321.75,84.9378655896,-1189.16759955,0.01,1.02574,33214.5977199,0.0177471,100,84.3599619135,100,0.0315634,0.000307712,500.0,47.8776,-1145.94,1.87269e-05,1.17733
0.0638077,-1155.52229952,0.6,12140.7720846,1,-1155.52229952,1.44867,-1306.09,94.5125834136,-1155.52229952,0.01,1.02473,12140.7720846,0.0141371,100,94.3255655454,100,0.268342,0.00261867,500.0,33.9442,-1141.61,6.07656e-06,1.05806
0.00233147,-1135.63229537,0.6,166.915527289,1,-1135.63229537,1.08492,-1235.84,99.7482454951,-1135.63229537,0.01,1.00416,166.915527289,0.0108042,100,99.7715877295,100,0.841219,0.00837737,500.0,11.1064,-1135.37,2.3122e-07,1.00252
0.0323764,-1142.88828184,0.6,7033.15297843,1,-1142.88828184,1.26157,-1299.91,97.7720019138,-1142.88828184,0.01,0.979879,7033.15297843,0.0128747,100,96.7695937339,100,0.499814,0.00510077,500.0,44.0952,-1138.48,3.37196e-06,1.02279
0.00198612,-1132.45095947,0.6,143.029457882,1,-1132.45095947,1.17784,-1226.64,99.7191589914,-1132.45095947,0.01,0.991649,143.029457882,0.0118776,100,99.8003954218,100,0.901171,0.0090876,500.0,13.8971,-1132.2,2.01971e-07,1.00282
0.0364508,-1139.79816444,0.6,7632.36925828,1,-1139.79816444,1.6533,-1294.79,97.3105354568,-1139.79816444,0.01,0.995423,7632.36925828,0.016609,100,96.4860640431,100,0.254516,0.00255686,500.0,42.3183,-1132.59,3.67868e-06,1.02764
0.0394611,-1137.30416384,0.6,8609.10605593,1,-1137.30416384,2.07217,-1294.25,97.1558831221,-1137.30416384,0.01,1.01868,8609.10605593,0.0203416,100,96.3719029173,100,0.532068,0.00522311,500.0,70.9629,-1131.99,3.8027e-06,1.02927
0.00079056,-1134.99466406,0.6,82.6139494757,1,-1134.99466406,1.10092,-1234.75,99.9323944642,-1134.99466406,0.01,1.00119,82.6139494757,0.0109962,100,99.9219372539,100,0.934779,0.0093367,500.0,8.51906,-1134.92,7.88685e-08,1.00068
0.0822434,-1129.58371017,0.6,1277.4193953,1,-1129.58371017,2.63228,-1223.74,92.2158146574,-1129.58371017,0.01,1.00304,1277.4193953,0.026243,100,92.5130645942,100,0.526977,0.0052538,500.0,85.7045,-1123.58,8.17457e-06,1.08441
0.0359267,-1145.04115758,0.6,9135.06837618,1,-1145.04115758,1.25139,-1298.44,97.2250901365,-1145.04115758,0.01,0.97535,9135.06837618,0.0128302,100,96.3959648612,100,0.178484,0.00182995,500.0,32.7133,-1136.2,3.77656e-06,1.02854
212.348,-1119.6090788,0.6,5779.45087716,1,-1119.6090788,146.353,-1109.18,30.7007730413,-1119.6090788,0.01,2.38006,5779.45087716,0.614911,100,2.62389425247,100,0.0895527,0.000376262,500.0,706.004,-924.538,0.00374862,3.25725
3.44041,-1138.69879192,0.6,8097.35259458,,-1119.6090788,11.1666,-1330.33,98.4426118119,-1119.6090788,0.01,2.03726,5779.45087716,0.054812,100,54.9256611322,200,0.0068328,3.35392e-05,500.0,77.2446,-1136.96,8.28932e-05,2.03164
654.031,-1134.69515763,0.6,1938.33282513,1,-1134.69515763,362.116,-1090.44,34.8472771328,-1134.69515763,0.005,2.61111,1938.33282513,0.693414,100,2.07363470552,200,1.17432e-05,2.2487e-08,500.0,988.634,-911.332,0.00239822,5.73933
,-1125.03436177,0.6,3833.54189834,2,-1125.03436177,1.0,-1223.75,200.0,-1125.03436177,0.01,1.0,3833.54189834,0.01,100,100.0,200,1.0,0.01,500.0,61.6053,-1125.03,3.50449e-18,1.0
3.62532e+07,-1121.15637271,0.6,3042.6291134,,-1134.69515763,85155.7,-inf,nan,-1134.69515763,0.005,448.976,1938.33282513,0.948333,100,1.11144154693,300,0.00276155,3.07539e-08,500.0,20.7113,-1132.32,0.00449614,nan
131.914,-1121.69830529,0.6,2494.10812718,1,-1121.69830529,198.661,-1108.38,69.9756799028,-1121.69830529,0.00333333,1.6468,2494.10812718,0.402117,100,6.06308021381,300,0.0143173,2.89801e-05,500.0,1200.76,-981.98,0.000540466,4.2872
,-1131.37025895,0.6,23447.8708903,2,-1131.37025895,1.0,-1291.54,300.0,-1131.37025895,0.01,1.0,23447.8708903,0.01,100,100.0,300,1.0,0.01,500.0,152.359,-1131.37,3.50449e-18,1.0
,-1106.57232773,0.6,11614.8980353,2,-1106.57232773,1.0,-1232.23,300.0,-1106.57232773,0.005,1.0,11614.8980353,0.005,100,200.000000102,300,1.0,0.005,500.0,132.325,-1118.97,2.1793e-19,1.0
38.5536,-1123.95481921,0.6,10986.4569844,,-1121.69830529,69.8457,-1311.66,134.2546534,-1121.69830529,0.00333333,3.1295,2494.10812718,0.0743948,100,60.9334461243,400,0.00503369,5.36154e-06,500.0,526.785,-1152.04,4.37392e-05,2.97941
99.2011,-1135.32015156,0.6,1591.94959054,1,-1135.32015156,197.878,-1122.28,92.1961424184,-1135.32015156,0.0025,1.55998,1591.94959054,0.317116,100,9.60100433432,400,0.0122923,1.96994e-05,500.0,1288.14,-1012.16,0.000254776,4.33858
,-1122.53698315,0.6,9331.64278989,2,-1122.53698315,1.0,-1253.73,400.0,-1122.53698315,0.01,1.0,9331.64278989,0.01,100,100.0,400,1.0,0.01,500.0,96.1162,-1122.54,3.50449e-18,1.0
