Delta,Bound,VanillaAvgRet,ESSClassic,AvgVanillaIw,AvgEpLen,MinNormIw,BatchSize,ESSRenyi,EpsThisIter,VarRet,VarJ,IterType,VarDiscRet,MaxNormIw,eRenyi2,VarNormIw,AvgRet,AvgDiscRet,MaxVanillaIw,AvgNormIw,VarVanillaIw,J,MinVanillaIw
0.35,117.259735,107.9389303763378,9.697980781765034,1.0332254,11.8,4.4604953e-12,100,14.913486005450958,100,10041.270214612372,339.9692,1,10041.270214612372,0.2126756,6.7053404,0.000940548,107.9389303763378,107.9389303763378,21.974184,0.009999999,10.040865,297.1864,4.608697e-10
0.35,141.40948,327.8659834543746,25.025389732090755,0.8716375,33.8,3.1038465e-09,100,28.041173814463786,100,145963.86744797303,1724.8416,1,145963.86744797303,0.08379948,3.5661845,0.00030262044,327.8659834543746,327.8659834543746,7.304277,0.01,2.2991645,787.1959,2.705429e-07
0.35,322.39685,725.3813559324892,30.24648133505538,1.1901904,73.53,8.760739e-08,100,29.430221959641276,100,840333.7645771705,4046.0862,1,840333.7645771705,0.0849634,3.3978677,0.00023294643,725.3813559324892,725.3813559324892,10.112263,0.010000002,3.2998102,1578.406,1.04269475e-05
0.35,2289.3022,1301.825621725372,5.73475628107027,1.856298,131.15,0.00015642296,100,25.006926488124748,100,1691356.7356332075,5709.7056,1,1691356.7356332075,0.33982724,3.998892,0.0016603569,1301.825621725372,1301.825621725372,63.082058,0.01,57.213276,3651.8823,0.02903676
0.35,-2769.5298,1301.825621725372,27.593019399384488,4.676203,131.15,3.390009e-05,200,5.373380608139582,100,1691356.7356332075,1506.3761,,2408322.5534827407,0.07364759,37.220516,0.00026506113,1301.825621725372,1898.7828040729985,34.439106,0.009999999,57.960583,1387.4927,0.01585237
0.35,2486.5562,1029.1490709294983,5.8205085907502925,1.7820325,103.91,1.6071965e-07,200,24.348156419703464,100,1056462.4047922783,6733.8745,1,1056462.4047922783,0.3329859,8.214174,0.0008382227,1029.1490709294983,1029.1490709294983,118.67834,0.005,106.47571,3867.4463,5.728153e-05
0.35,1717.542,2398.9272049927326,100.0,1.0,240.77,0.01,200,200.0,100,2607192.337055665,1606.5865,2,2607192.337055665,0.01,1.0,3.5044917e-18,2398.9272049927326,2398.9272049927326,1.0,0.009999998,,2398.927,1.0
0.35,3460.5798,2703.38652081918,29.816423624717185,0.8990891,271.07,2.1311377e-16,200,36.2658998751537,100,3372181.8717825967,1514.8723,1,3372181.8717825967,0.067076586,5.5148225,0.00014340987,2703.38652081918,2703.38652081918,12.061566,0.005,4.6370792,4592.051,3.8321654e-14
0.35,4039.5742,4720.9594774458665,100.0,1.0,472.32,0.01,200,200.0,100,479444.609425765,688.9486,2,479444.609425765,0.01,1.0,3.5044917e-18,4720.9594774458665,4720.9594774458665,1.0,0.009999998,,4720.9595,1.0
0.35,4357.5347,4692.897051158196,151.00255392804704,1.0144135,469.44,5.9741274e-06,200,149.94291303414073,100,949086.1900335262,272.59634,1,949086.1900335262,0.010721039,1.333841,8.152787e-06,4692.897051158196,4692.897051158196,2.1751132,0.005000001,0.33558002,4913.9893,0.0012120471
