Delta,Bound,VanillaAvgRet,ESSClassic,AvgVanillaIw,AvgEpLen,MinNormIw,BatchSize,ESSRenyi,EpsThisIter,VarRet,VarJ,IterType,VarDiscRet,MaxNormIw,eRenyi2,VarNormIw,AvgRet,AvgDiscRet,MaxVanillaIw,AvgNormIw,VarVanillaIw,J,MinVanillaIw
0.35,4144.2446,4825.630119210946,100.0,1.0,482.65,0.01,200,200.0,100,639606.989614484,795.74554,2,639606.989614484,0.01,1.0,3.5044917e-18,4825.630119210946,4825.630119210946,1.0,0.009999998,,4825.63,1.0
0.35,4433.7314,4822.774815205136,176.84297348497665,1.0560849,482.38,0.0004181025,200,173.8089624058655,100,576376.6647624394,231.27994,1,576376.6647624394,0.008112935,1.1506886,3.2901198e-06,4822.774815205136,4822.774815205136,1.7135895,0.005,0.14678083,4950.572,0.088310346
0.35,4274.5894,4955.974358915742,100.0,1.0,495.66,0.01,200,200.0,100,105655.27485252838,323.41727,2,105655.27485252838,0.01,1.0,3.5044917e-18,4955.974358915742,4955.974358915742,1.0,0.009999998,,4955.9746,1.0
0.35,4481.458,4950.145616442967,194.44534228370432,1.0073435,495.08,0.0019554545,200,193.97518093094862,100,98062.78383730694,191.91406,1,98062.78383730694,0.006450655,1.0310597,7.177559e-07,4950.145616442967,4950.145616442967,1.2996051,0.005,0.029133456,4970.6953,0.3939629
0.35,4278.7803,4960.165597238953,100.0,1.0,496.06,0.01,200,200.0,100,124324.80800591911,350.82983,2,124324.80800591911,0.01,1.0,3.5044917e-18,4960.165597238953,4960.165597238953,1.0,0.009999998,,4960.1655,1.0
0.35,4498.467,4950.336943448678,192.78849199711885,1.0114584,495.08,0.000741874,200,193.11176431114478,100,149877.94848661617,83.91743,1,149877.94848661617,0.006285726,1.0356697,9.398579e-07,4950.336943448678,4950.336943448678,1.2715502,0.005,0.038460795,4988.797,0.15007494
0.35,4311.83,4993.215825261046,100.0,1.0,499.36,0.01,200,200.0,100,4257.027059725327,64.918846,2,4257.027059725327,0.01,1.0,3.5044917e-18,4993.215825261046,4993.215825261046,1.0,0.009999998,,4993.2153,1.0
0.35,4515.0234,4999.749869225851,199.6884895959,0.9993406,500.0,0.0040130923,200,199.7518047022329,100,0.05639322708370197,36.975193,1,0.05639322708370197,0.0052188425,1.0012425,3.9195008e-08,4999.749869225851,4999.749869225851,1.0430802,0.005,0.0015657335,4997.135,0.8020892
0.35,4318.3936,4999.778429627049,100.0,1.0,500.0,0.01,200,200.0,100,0.08198704021218609,0.284928,2,0.08198704021218609,0.01,1.0,3.5044917e-18,4999.778429627049,4999.778429627049,1.0,0.009999998,,4999.779,1.0
0.35,4517.9204,4999.6862314365035,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.22402775843607847,0.39193982,1,0.22402775843607847,0.005,1.0,2.179301e-19,4999.6862314365035,4999.6862314365035,1.0,0.0049999994,,4999.7324,1.0
0.35,4267.2803,4948.665488189289,100.0,1.0,494.93,0.01,200,200.0,100,92378.57649370319,302.41492,2,92378.57649370319,0.01,1.0,3.5044917e-18,4948.665488189289,4948.665488189289,1.0,0.009999998,,4948.6655,1.0
0.35,4488.399,4953.84300956508,190.84748309688993,0.99662936,495.43,0.0011653062,200,192.1202510482483,100,202511.31150155465,148.12155,1,202511.31150155465,0.0065091434,1.0410147,1.2049524e-06,4953.84300956508,4953.84300956508,1.2974406,0.005,0.04787372,4979.992,0.23227566
0.35,4318.39,4999.776028310898,100.0,1.0,500.0,0.01,200,200.0,100,0.07250590404297304,0.2679219,2,0.07250590404297304,0.01,1.0,3.5044917e-18,4999.776028310898,4999.776028310898,1.0,0.009999998,,4999.7754,1.0
0.35,4517.959,4999.764420415052,199.99990839344557,1.0000985,500.0,0.004985578,200,199.99990463261383,100,0.08412833112907532,0.27815697,1,0.08412833112907532,0.0050088223,1.0000005,1.3031394e-11,4999.764420415052,4999.764420415052,1.0018631,0.005,5.213561e-07,4999.771,0.9972138
0.35,4318.3457,4999.730835019449,100.0,1.0,500.0,0.01,200,200.0,100,0.11397732499133618,0.33593157,2,0.11397732499133618,0.01,1.0,3.5044917e-18,4999.730835019449,4999.730835019449,1.0,0.009999998,,4999.731,1.0
0.35,4513.566,4988.468999622355,199.1879566142133,1.0005338,498.88,0.003033393,200,199.22124578113446,100,12767.674072622616,48.447205,1,12767.674072622616,0.005398275,1.003909,1.0243106e-07,4988.468999622355,4988.468999622355,1.0802313,0.005,0.0041016177,4996.319,0.6070025
0.35,4318.371,4999.756518812183,100.0,1.0,500.0,0.01,200,200.0,100,0.07535715809333349,0.273166,2,0.07535715809333349,0.01,1.0,3.5044917e-18,4999.756518812183,4999.756518812183,1.0,0.009999998,,4999.7563,1.0
0.35,4517.952,4999.771360762942,199.9992018287193,0.9999764,500.0,0.004950913,200,199.99942779704725,100,0.07410942908726487,0.2715081,1,0.07410942908726487,0.005020785,1.0000029,9.877424e-11,4999.771360762942,4999.771360762942,1.0041333,0.005,3.95078e-06,4999.7646,0.9901593
0.35,4318.3647,4999.749739927519,100.0,1.0,500.0,0.01,200,200.0,100,0.0717923408089108,0.2666115,2,0.0717923408089108,0.01,1.0,3.5044917e-18,4999.749739927519,4999.749739927519,1.0,0.009999998,,4999.75,1.0
0.35,4517.9355,4999.74517053159,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.08357545689552157,0.27733222,1,0.08357545689552157,0.005,1.0,2.179301e-19,4999.74517053159,4999.74517053159,1.0,0.0049999994,,4999.7476,1.0
0.35,4293.3677,4974.753201317795,100.0,1.0,497.51,0.01,200,200.0,100,62502.527506089384,248.75188,2,62502.527506089384,0.01,1.0,3.5044917e-18,4974.753201317795,4974.753201317795,1.0,0.009999998,,4974.753,1.0
0.35,4493.985,4960.065880957608,194.7033485993126,0.9887893,496.04,0.0026684697,200,195.01148061987212,100,157666.58023084325,184.09964,1,157666.58023084325,0.006410543,1.0255806,6.835104e-07,4960.065880957608,4960.065880957608,1.2677352,0.005,0.026730845,4981.9204,0.52771086
0.35,4318.415,4999.80013020782,100.0,1.0,500.0,0.01,200,200.0,100,0.042299605995096023,0.20465173,2,0.042299605995096023,0.01,1.0,3.5044917e-18,4999.80013020782,4999.80013020782,1.0,0.009999998,,4999.8003,1.0
0.35,4509.287,4973.865814396423,197.0253663132801,0.98898375,497.42,0.0022019993,200,197.79615221465883,100,67163.68081495204,85.20717,1,67163.68081495204,0.005696453,1.011142,3.7933728e-07,4973.865814396423,4973.865814396423,1.12674,0.005,0.014841022,4993.776,0.4355483
0.35,4318.3926,4999.778501411118,100.0,1.0,500.0,0.01,200,200.0,100,0.08933269582257296,0.29739642,2,0.08933269582257296,0.01,1.0,3.5044917e-18,4999.778501411118,4999.778501411118,1.0,0.009999998,,4999.778,1.0
0.35,4517.98,4999.804402161844,199.99989528515255,0.9999774,500.0,0.004985051,200,199.99995231629555,100,0.050570985330051936,0.2632941,1,0.050570985330051936,0.005004013,1.0000002,9.181623e-12,4999.804402161844,4999.804402161844,1.00078,0.005,3.6724555e-07,4999.792,0.9969877
0.35,4318.423,4999.808617320585,100.0,1.0,500.0,0.01,200,200.0,100,0.02871834460589545,0.1686232,2,0.02871834460589545,0.01,1.0,3.5044917e-18,4999.808617320585,4999.808617320585,1.0,0.009999998,,4999.808,1.0
0.35,4517.977,4999.768252891225,199.9998703059349,1.0000082,500.0,0.0049884263,200,199.99990463261383,100,0.06888322106086607,0.22054875,1,0.06888322106086607,0.005007448,1.0000005,1.4302069e-11,4999.768252891225,4999.768252891225,1.0014979,0.005,5.720963e-07,4999.789,0.9976935
0.35,4318.3823,4999.767522484671,100.0,1.0,500.0,0.01,200,200.0,100,0.05708354166733295,0.23770724,2,0.05708354166733295,0.01,1.0,3.5044917e-18,4999.767522484671,4999.767522484671,1.0,0.009999998,,4999.767,1.0
0.35,4515.504,4994.179206747789,199.7065058468601,1.0019757,499.45,0.0038733522,200,199.76036684851687,100,3137.387641081438,30.64036,1,3137.387641081438,0.005223761,1.0011996,3.692488e-08,4994.179206747789,4994.179206747789,1.0468162,0.005,0.0014828375,4997.605,0.7762009
0.35,4318.3887,4999.773659719141,100.0,1.0,500.0,0.01,200,200.0,100,0.049224167847937934,0.22074325,2,0.049224167847937934,0.01,1.0,3.5044917e-18,4999.773659719141,4999.773659719141,1.0,0.009999998,,4999.774,1.0
0.35,4517.98,4999.809343645371,199.99999396323344,1.0000062,500.0,0.004998645,200,200.0,100,0.041331643949899924,0.21245171,1,0.041331643949899924,0.005000907,1.0,1.573855e-13,4999.809343645371,4999.809343645371,1.0001876,0.005,6.295464e-09,4999.792,0.9997352
0.35,4318.4575,4999.84297439654,100.0,1.0,500.0,0.01,200,200.0,100,0.03669293776352314,0.1905954,2,0.03669293776352314,0.01,1.0,3.5044917e-18,4999.84297439654,4999.84297439654,1.0,0.009999998,,4999.843,1.0
0.35,4517.9966,4999.772604615731,199.99999566954043,0.9999831,500.0,0.004993524,200,200.0,100,0.091395500874563,0.25412187,1,0.091395500874563,0.0050022234,1.0,1.9792152e-12,4999.772604615731,4999.772604615731,1.0004277,0.0049999994,7.9164884e-08,4999.8086,0.99868786
0.35,4318.3677,4999.7532210038635,100.0,1.0,500.0,0.01,200,200.0,100,0.07699132134355854,0.2760811,2,0.07699132134355854,0.01,1.0,3.5044917e-18,4999.7532210038635,4999.7532210038635,1.0,0.009999998,,4999.753,1.0
0.35,4502.5815,4949.774782865052,195.68954753833447,1.0151557,495.01,0.0019877963,200,195.5698297817181,100,249977.3188792823,140.63129,1,249977.3188792823,0.006182808,1.0226526,5.534388e-07,4949.774782865052,4949.774782865052,1.2553024,0.005,0.022813654,4989.8203,0.40358454
0.35,4318.404,4999.789139213093,100.0,1.0,500.0,0.01,200,200.0,100,0.04423049436334953,0.20923609,2,0.04423049436334953,0.01,1.0,3.5044917e-18,4999.789139213093,4999.789139213093,1.0,0.009999998,,4999.789,1.0
0.35,4517.9775,4999.7894195315985,199.99997957569528,1.0000088,500.0,0.004998672,200,200.0,100,0.03307116668381121,0.19559085,1,0.03307116668381121,0.005001709,1.0,2.738846e-13,4999.7894195315985,4999.7894195315985,1.0003506,0.005,1.0955483e-08,4999.7896,0.9997432
0.35,4274.134,4955.518860979312,100.0,1.0,495.58,0.01,200,200.0,100,196281.64615442554,440.8161,2,196281.64615442554,0.01,1.0,3.5044917e-18,4955.518860979312,4955.518860979312,1.0,0.009999998,,4955.519,1.0
0.35,4505.1255,4999.7735429384475,196.0638612379764,1.0116922,500.0,0.0018337496,200,196.11636843966346,100,0.06750243223498864,114.97594,1,0.06750243223498864,0.0058946037,1.0198027,5.0441656e-07,4999.7735429384475,4999.7735429384475,1.1927049,0.005,0.020651242,4991.6846,0.37103802
0.35,4318.4263,4999.811759536341,100.0,1.0,500.0,0.01,200,200.0,100,0.03395583223543989,0.18333884,2,0.03395583223543989,0.01,1.0,3.5044917e-18,4999.811759536341,4999.811759536341,1.0,0.009999998,,4999.8115,1.0
0.35,4517.9814,4999.774366132338,199.9999717534378,0.9999994,500.0,0.0049992185,200,200.0,100,0.15131031923144977,0.30337945,1,0.15131031923144977,0.0050002127,1.0,2.0879027e-14,4999.774366132338,4999.774366132338,1.000042,0.005,8.3503554e-10,4999.7935,0.99984306
0.35,4318.445,4999.830082646326,100.0,1.0,500.0,0.01,200,200.0,100,0.03161195233012735,0.176903,2,0.03161195233012735,0.01,1.0,3.5044917e-18,4999.830082646326,4999.830082646326,1.0,0.009999998,,4999.83,1.0
0.35,4518.0044,4999.802205180669,199.9999873026144,1.0000004,500.0,0.004999552,200,200.0,100,0.040100071836068125,0.18891999,1,0.040100071836068125,0.0050002756,1.0,2.1112774e-14,4999.802205180669,4999.802205180669,1.0000554,0.005,8.4456253e-10,4999.8164,0.99991065
0.35,4318.427,4999.811788941469,100.0,1.0,500.0,0.01,200,200.0,100,0.030794698619372996,0.17459513,2,0.030794698619372996,0.01,1.0,3.5044917e-18,4999.811788941469,4999.811788941469,1.0,0.009999998,,4999.812,1.0
0.35,4517.9946,4999.801993290735,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.047163244950037674,0.19650371,1,0.047163244950037674,0.005,1.0,2.179301e-19,4999.801993290735,4999.801993290735,1.0,0.0049999994,,4999.8066,1.0
0.35,4318.439,4999.824369986156,100.0,1.0,500.0,0.01,200,200.0,100,0.02873129852971263,0.16863991,2,0.02873129852971263,0.01,1.0,3.5044917e-18,4999.824369986156,4999.824369986156,1.0,0.009999998,,4999.824,1.0
0.35,4518.0005,4999.800631335435,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.0359099487001748,0.17926589,1,0.0359099487001748,0.005,1.0,2.179301e-19,4999.800631335435,4999.800631335435,1.0,0.0049999994,,4999.8125,1.0
0.35,4318.4404,4999.825704120146,100.0,1.0,500.0,0.01,200,200.0,100,0.034350758596570566,0.18440178,2,0.034350758596570566,0.01,1.0,3.5044917e-18,4999.825704120146,4999.825704120146,1.0,0.009999998,,4999.8257,1.0
0.35,4517.9907,4999.778871302086,199.99996753349546,0.99997956,500.0,0.00499677,200,200.0,100,0.08968860136660695,0.24880645,1,0.08968860136660695,0.0050015454,1.0,7.988296e-13,4999.778871302086,4999.778871302086,1.0002886,0.005,3.1951558e-08,4999.8027,0.9993336
0.35,4318.372,4999.75746762858,100.0,1.0,500.0,0.01,200,200.0,100,0.06980885411763571,0.26287338,2,0.06980885411763571,0.01,1.0,3.5044917e-18,4999.75746762858,4999.75746762858,1.0,0.009999998,,4999.7573,1.0
0.35,4517.9595,4999.785135344479,199.9990895324921,0.99994904,500.0,0.004951462,200,199.9994754805016,100,0.061748420944489964,0.25483942,1,0.061748420944489964,0.005012767,1.0000026,1.167378e-10,4999.785135344479,4999.785135344479,1.0025023,0.0049999994,4.6690393e-06,4999.772,0.990242
0.35,4318.394,4999.7795869669335,100.0,1.0,500.0,0.01,200,200.0,100,0.0463306738043187,0.214178,2,0.0463306738043187,0.01,1.0,3.5044917e-18,4999.7795869669335,4999.7795869669335,1.0,0.009999998,,4999.7793,1.0
0.35,4517.938,4999.719383281665,199.99988566101155,0.9999731,500.0,0.0049878396,200,199.99992847445185,100,0.17055513981044884,0.32860988,1,0.17055513981044884,0.0050062616,1.0000004,1.3363321e-11,4999.719383281665,4999.719383281665,1.0012255,0.005,5.3450685e-07,4999.75,0.9975411
0.35,4318.4165,4999.802164141725,100.0,1.0,500.0,0.01,200,200.0,100,0.03275390236597242,0.1800784,2,0.03275390236597242,0.01,1.0,3.5044917e-18,4999.802164141725,4999.802164141725,1.0,0.009999998,,4999.802,1.0
0.35,4517.982,4999.785915492904,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.03531474843256777,0.18374288,1,0.03531474843256777,0.005,1.0,2.179301e-19,4999.785915492904,4999.785915492904,1.0,0.0049999994,,4999.794,1.0
0.35,4318.425,4999.810369326179,100.0,1.0,500.0,0.01,200,200.0,100,0.035479896822229996,0.18741632,2,0.035479896822229996,0.01,1.0,3.5044917e-18,4999.810369326179,4999.810369326179,1.0,0.009999998,,4999.81,1.0
0.35,4517.994,4999.801619549304,199.99974903257998,1.000152,500.0,0.004987994,200,199.99942779704725,100,0.036017818227357196,0.18808523,1,0.036017818227357196,0.0050266185,1.0000029,3.2218655e-11,4999.801619549304,4999.801619549304,1.0054765,0.005,1.2891297e-06,4999.8066,0.99775046
0.35,4318.4043,4999.789769701961,100.0,1.0,500.0,0.01,200,200.0,100,0.053309260169692764,0.2297326,2,0.053309260169692764,0.01,1.0,3.5044917e-18,4999.789769701961,4999.789769701961,1.0,0.009999998,,4999.7896,1.0
0.35,4517.97,4999.774185891267,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.040456205199623625,0.21558551,1,0.040456205199623625,0.005,1.0,2.179301e-19,4999.774185891267,4999.774185891267,1.0,0.0049999994,,4999.782,1.0
0.35,4318.362,4999.74686203321,100.0,1.0,500.0,0.01,200,200.0,100,0.06157671040041178,0.24690387,2,0.06157671040041178,0.01,1.0,3.5044917e-18,4999.74686203321,4999.74686203321,1.0,0.009999998,,4999.747,1.0
0.35,4517.9404,4999.756737277577,199.9999660998534,0.9999894,500.0,0.0049944078,200,199.99997615814493,100,0.04996355304071637,0.2349693,1,0.04996355304071637,0.0050036116,1.0000001,2.8547984e-12,4999.756737277577,4999.756737277577,1.0007117,0.005,1.1418971e-07,4999.7524,0.99887097
0.35,4313.9644,4995.34988066758,100.0,1.0,499.57,0.01,200,200.0,100,1936.0074154766423,43.77954,2,1936.0074154766423,0.01,1.0,3.5044917e-18,4995.34988066758,4995.34988066758,1.0,0.009999998,,4995.3496,1.0
0.35,4515.924,4999.826282190534,199.87615911086374,0.9997757,500.0,0.0043211672,200,199.87419417557155,100,0.030720797108215195,26.842657,1,0.030720797108215195,0.005185106,1.0006294,1.556682e-08,4999.826282190534,4999.826282190534,1.0367886,0.005,0.0006223935,4997.887,0.8640396
0.35,4318.4097,4999.79528803434,100.0,1.0,500.0,0.01,200,200.0,100,0.04711958421048945,0.2159796,2,0.04711958421048945,0.01,1.0,3.5044917e-18,4999.79528803434,4999.79528803434,1.0,0.009999998,,4999.795,1.0
0.35,4517.9985,4999.824508527902,199.99998021542424,1.0000001,500.0,0.004999932,200,200.0,100,0.029916126917256525,0.19581832,1,0.029916126917256525,0.005000059,1.0,4.441219e-16,4999.824508527902,4999.824508527902,1.0000119,0.005,1.774343e-11,4999.8105,0.9999865
0.35,4318.417,4999.802099439716,100.0,1.0,500.0,0.01,200,200.0,100,0.05552249147169913,0.23447047,2,0.05552249147169913,0.01,1.0,3.5044917e-18,4999.802099439716,4999.802099439716,1.0,0.009999998,,4999.8022,1.0
0.35,4515.8506,4994.586748739142,199.51923163258044,0.99308664,499.49,0.0034130202,200,199.70301448039496,100,2706.7229601363947,25.090649,1,2706.7229601363947,0.0052719945,1.0014871,6.0543464e-08,4994.586748739142,4994.586748739142,1.0471095,0.005,0.0023883698,4998.0205,0.67788494
0.35,4276.687,4958.072091600127,100.0,1.0,495.84,0.01,200,200.0,100,173916.8304888857,414.94296,2,173916.8304888857,0.01,1.0,3.5044917e-18,4958.072091600127,4958.072091600127,1.0,0.009999998,,4958.0723,1.0
0.35,4488.663,4949.795955395556,189.81469974596735,0.9745739,495.01,0.0015677264,200,192.19124988344038,100,249979.4596057285,207.03494,1,249979.4596057285,0.0067501715,1.0406301,1.3482196e-06,4949.795955395556,4949.795955395556,1.3157082,0.005,0.051221248,4980.1655,0.30557305
0.35,4318.423,4999.808011049053,100.0,1.0,500.0,0.01,200,200.0,100,0.039969763117038475,0.19895287,2,0.039969763117038475,0.01,1.0,3.5044917e-18,4999.808011049053,4999.808011049053,1.0,0.009999998,,4999.808,1.0
0.35,4517.9897,4999.793863498646,199.99981806065873,0.99998504,500.0,0.0049825325,200,199.9998807907815,100,0.07911022740663375,0.24250446,1,0.07911022740663375,0.0050113923,1.0000006,1.96385e-11,4999.793863498646,4999.793863498646,1.0022634,0.005,7.8551085e-07,4999.802,0.9964916
0.35,4318.3906,4999.775825968787,100.0,1.0,500.0,0.01,200,200.0,100,0.06920765211040021,0.2617546,2,0.06920765211040021,0.01,1.0,3.5044917e-18,4999.775825968787,4999.775825968787,1.0,0.009999998,,4999.776,1.0
0.35,4517.996,4999.838791077518,199.99989528515255,0.9999774,500.0,0.0049847886,200,199.99995231629555,100,0.03505378971010915,0.22917439,1,0.03505378971010915,0.005005646,1.0000002,1.26388535e-11,4999.838791077518,4999.838791077518,1.0011066,0.005,5.0552916e-07,4999.808,0.9969352
0.35,4299.203,4980.588552306242,100.0,1.0,498.09,0.01,200,200.0,100,36918.81964321677,191.17957,2,36918.81964321677,0.01,1.0,3.5044917e-18,4980.588552306242,4980.588552306242,1.0,0.009999998,,4980.5884,1.0
0.35,4511.259,4999.788587477877,198.2876009842771,0.99332964,500.0,0.0025582556,200,198.50410970508966,100,0.041600105868816954,69.51334,1,0.041600105868816954,0.005593919,1.0075358,2.169787e-07,4999.788587477877,4999.788587477877,1.1113211,0.005,0.008563749,4994.883,0.5082382
0.35,4318.401,4999.786023760907,100.0,1.0,500.0,0.01,200,200.0,100,0.06309081376989717,0.24990489,2,0.06309081376989717,0.01,1.0,3.5044917e-18,4999.786023760907,4999.786023760907,1.0,0.009999998,,4999.7856,1.0
0.35,4513.3213,4988.324248355585,199.26253022696986,0.9955395,498.86,0.0033397658,200,199.31151274385707,100,13231.664318794503,54.284016,1,13231.664318794503,0.0054290695,1.0034543,9.29901e-08,4988.324248355585,4988.324248355585,1.0809706,0.005,0.0036864951,4995.965,0.66497374
0.35,4318.4663,4999.851809539705,100.0,1.0,500.0,0.01,200,200.0,100,0.019372248699753892,0.13848741,2,0.019372248699753892,0.01,1.0,3.5044917e-18,4999.851809539705,4999.851809539705,1.0,0.009999998,,4999.8516,1.0
0.35,4518.03,4999.8315152700325,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.028817705845872187,0.15478319,1,0.028817705845872187,0.005,1.0,2.179301e-19,4999.8315152700325,4999.8315152700325,1.0,0.0049999994,,4999.842,1.0
0.35,4318.429,4999.814748872775,100.0,1.0,500.0,0.01,200,200.0,100,0.03894068277241231,0.19634499,2,0.03894068277241231,0.01,1.0,3.5044917e-18,4999.814748872775,4999.814748872775,1.0,0.009999998,,4999.8145,1.0
0.35,4518.0093,4999.827893606382,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.023718105546314646,0.1762258,1,0.023718105546314646,0.005,1.0,2.179301e-19,4999.827893606382,4999.827893606382,1.0,0.0049999994,,4999.8213,1.0
0.35,4268.429,4949.814534526986,100.0,1.0,495.01,0.01,200,200.0,100,249981.30196401052,497.47513,2,249981.30196401052,0.01,1.0,3.5044917e-18,4949.814534526986,4949.814534526986,1.0,0.009999998,,4949.8145,1.0
0.35,4495.297,4999.831883359872,198.07684861912065,1.004614,500.0,0.0034083137,200,198.2809099791203,100,0.02917857394254073,291.302,1,0.02917857394254073,0.0065445667,1.00867,2.439468e-07,4999.831883359872,4999.831883359872,1.3149526,0.005,0.009848123,4979.193,0.6848079
0.35,4318.435,4999.820290300207,100.0,1.0,500.0,0.01,200,200.0,100,0.03803196931223576,0.19404095,2,0.03803196931223576,0.01,1.0,3.5044917e-18,4999.820290300207,4999.820290300207,1.0,0.009999998,,4999.8203,1.0
0.35,4518.0005,4999.803699837007,199.99990361142832,1.000038,500.0,0.0049852515,200,199.99995231629555,100,0.07047801942275356,0.23167895,1,0.07047801942275356,0.005009541,1.0000002,1.03760325e-11,4999.803699837007,4999.803699837007,1.0019462,0.005,4.1507056e-07,4999.8125,0.99708813
0.35,4318.455,4999.8406037931445,100.0,1.0,500.0,0.01,200,200.0,100,0.029785369824593247,0.17172617,2,0.029785369824593247,0.01,1.0,3.5044917e-18,4999.8406037931445,4999.8406037931445,1.0,0.009999998,,4999.8403,1.0
0.35,4518.0093,4999.80164797895,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.0408988777638783,0.18807483,1,0.0408988777638783,0.005,1.0,2.179301e-19,4999.80164797895,4999.80164797895,1.0,0.0049999994,,4999.8213,1.0
0.35,4318.4043,4999.789922738549,100.0,1.0,500.0,0.01,200,200.0,100,0.04115815196459778,0.2018569,2,0.04115815196459778,0.01,1.0,3.5044917e-18,4999.789922738549,4999.789922738549,1.0,0.009999998,,4999.7896,1.0
0.35,4518.0044,4999.841285316701,199.9999328322928,0.9999881,500.0,0.004986743,200,199.99992847445185,100,0.01832527737964606,0.1733867,1,0.01832527737964606,0.0050084065,1.0000004,1.1973031e-11,4999.841285316701,4999.841285316701,1.0016694,0.005,4.789082e-07,4999.8164,0.99733675
0.35,4318.412,4999.797393362333,100.0,1.0,500.0,0.01,200,200.0,100,0.03994124533587569,0.19884779,2,0.03994124533587569,0.01,1.0,3.5044917e-18,4999.797393362333,4999.797393362333,1.0,0.009999998,,4999.7974,1.0
0.35,4517.986,4999.79819479505,200.00000010221265,1.0,500.0,0.005,200,200.0,100,0.035644316275618954,0.1934204,1,0.035644316275618954,0.005,1.0,2.179301e-19,4999.79819479505,4999.79819479505,1.0,0.0049999994,,4999.798,1.0
0.35,4318.424,4999.809316376797,100.0,1.0,500.0,0.01,200,200.0,100,0.04411490175286937,0.20899598,2,0.04411490175286937,0.01,1.0,3.5044917e-18,4999.809316376797,4999.809316376797,1.0,0.009999998,,4999.809,1.0
0.35,4517.9946,4999.8031266054895,199.9998500512198,1.0000037,500.0,0.0049767564,200,199.99990463261383,100,0.035432829018756266,0.19827136,1,0.035432829018756266,0.005006489,1.0000005,2.0542804e-11,4999.8031266054895,4999.8031266054895,1.0013015,0.005,8.217213e-07,4999.8066,0.995355
