MaxVanillaIw,ESSClassic,AvgVanillaIw,J,AvgEpLen,MaxNormIw,eRenyi2,Delta,MinVanillaIw,VanillaAvgRet,EpsThisIter,BatchSize,ESSRenyi,VarVanillaIw,IterType,AvgRet,Bound,VarJ,VarNormIw,VarDiscRet,AvgNormIw,MinNormIw,AvgDiscRet,VarRet
4.35261,68.2443650351,1.00115,-1292.08,500.0,0.0434761,1.33415,0.1,0.0527423,-1486.51658804,100,100,74.9538653439,0.471105,1,-1486.51658804,-1976.29,286.532,4.70023e-05,156831.227873,0.01,0.000526817,-1486.51658804,156831.227873
1.69721,83.4851513048,1.02012,-1206.92,500.0,0.0166375,1.17679,0.1,0.0867495,-1316.73713946,100,100,84.9766447659,0.207936,1,-1316.73713946,-1845.03,164.974,1.99816e-05,95792.9135217,0.01,0.000850388,-1316.73713946,95792.9135217
1.51121,87.0903743682,0.928419,-1188.28,500.0,0.0162772,1.10574,0.1,0.0487816,-1263.79169806,100,100,90.4370895426,0.129062,1,-1263.79169806,-1807.15,128.52,1.4973e-05,70535.6148284,0.01,0.000525427,-1263.79169806,70535.6148284
1.31625,93.3042650441,0.96425,-1155.9,500.0,0.0136505,1.05095,0.1,0.22658,-1194.09046602,100,100,95.1521842525,0.0673968,1,-1194.09046602,-1759.31,118.548,7.24871e-06,50885.8774053,0.01,0.0023498,-1194.09046602,50885.8774053
1.31255,97.5361243808,1.00172,-1151.62,500.0,0.0131029,1.01971,0.1,0.41168,-1165.95118575,100,100,98.0673321154,0.0256046,1,-1165.95118575,-1745.67,84.9737,2.55166e-06,23406.7536343,0.01,0.00410973,-1165.95118575,23406.7536343
1.23323,98.3574068812,0.981952,-1120.78,500.0,0.012559,1.00869,0.1,0.592937,-1125.38439632,100,100,99.1382639818,0.0162654,1,-1125.38439632,-1711.11,129.998,1.68688e-06,14166.8718775,0.01,0.00603835,-1125.38439632,14166.8718775
1.16502,99.286024798,0.991935,-1143.28,500.0,0.0117449,1.00614,0.1,0.654562,-1147.40372362,100,100,99.3900302011,0.00714683,1,-1147.40372362,-1744.18,96.8463,7.26351e-07,15034.5594344,0.01,0.00659883,-1147.40372362,15034.5594344
1.2103,98.0202149965,0.979811,-1148.82,500.0,0.0123524,1.01337,0.1,0.560964,-1157.26805442,100,100,98.6807291022,0.0195865,1,-1157.26805442,-1712.6,77.4888,2.0402e-06,14033.7129878,0.01,0.00572522,-1157.26805442,14033.7129878
1.1368,99.5623525803,0.995781,-1142.32,500.0,0.0114161,1.00441,0.1,0.738029,-1145.07198919,100,100,99.5612761292,0.00440271,1,-1145.07198919,-1733.97,82.2811,4.44009e-07,10365.1572164,0.01,0.00741156,-1145.07198919,10365.1572164
1.02894,99.9478788244,0.999591,-1133.92,500.0,0.0102936,1.00039,0.1,0.861879,-1134.07029591,100,100,99.9608312544,0.000526463,1,-1134.07029591,-1506.54,13.341,5.26894e-08,208.46908646,0.01,0.00862232,-1134.07029591,208.46908646
2.04353,96.4992633847,1.01997,-1114.32,500.0,0.0200352,1.02227,0.1,0.781996,-1121.54234018,100,100,97.8216323601,0.0381218,1,-1121.54234018,-1488.8,109.277,3.66437e-06,5295.34408054,0.01,0.00766686,-1121.54234018,5295.34408054
1.11412,99.3783503899,1.00697,-1143.68,500.0,0.0110641,1.00646,0.1,0.71339,-1147.57755952,100,100,99.3585277621,0.00640693,1,-1147.57755952,-1694.05,85.2404,6.31851e-07,11855.3542116,0.01,0.00708451,-1147.57755952,11855.3542116
1.11758,99.6337303211,1.00419,-1139.81,500.0,0.0111292,1.00341,0.1,0.772096,-1141.98233031,100,100,99.6600896329,0.00374482,1,-1141.98233031,-1729.27,74.8454,3.71366e-07,8988.05640666,0.01,0.00768877,-1141.98233031,8988.05640666
1.0417,99.934331685,1.00377,-1136.87,500.0,0.0103779,1.0007,0.1,0.883189,-1137.16596377,100,100,99.9297159524,0.000669306,1,-1137.16596377,-1527.03,18.3037,6.64285e-08,400.395217381,0.01,0.0087987,-1137.16596377,400.395217381
1.14166,99.2436462541,0.993353,-1140.66,500.0,0.011493,1.0051,0.1,0.626366,-1144.18975569,100,100,99.4930586442,0.00759616,1,-1144.18975569,-1730.11,63.1024,7.69816e-07,8480.08363168,0.01,0.00630557,-1144.18975569,8480.08363168
1.40058,99.2244529612,0.98526,-1126.47,500.0,0.0142153,1.0072,0.1,0.847496,-1128.69752357,100,100,99.2853581991,0.00766399,1,-1128.69752357,-1469.91,60.1437,7.89502e-07,1847.20528496,0.01,0.00860175,-1128.69752357,1847.20528496
