AvgVanillaIw,MaxNormIw,ESSClassic,MaxVanillaIw,VarDiscRet,Bound,VarVanillaIw,VanillaAvgRet,VarNormIw,IterType,VarRet,VarJ,AvgNormIw,AvgDiscRet,BatchSize,MinNormIw,EpsThisIter,AvgRet,J,Delta,AvgEpLen,ESSRenyi,MinVanillaIw,eRenyi2
0.78572154,0.05361011,27.733816012288678,4.2122617,5192346.909235419,-538.8899,1.6249038,-2179.6624859190065,0.00026320273,1,5192346.909235419,96.92401,0.009999999,-2179.6624859190065,100,3.913613e-21,100,-2179.6624859190065,-38.453876,0.8,200.0,33.109036004059,3.0750098e-19,3.0203235
1.0003928,0.013597581,88.31778008589241,1.3602922,158809.38610876934,-164.64839,0.13371567,-65.66560716450218,1.3361069e-05,1,158809.38610876934,30.567509,0.010000002,-65.66560716450218,100,0.00067908847,100,-65.66560716450218,-12.944943,0.8,200.0,88.85345929809796,0.06793553,1.1254486
0.79535264,0.111599766,11.67733226082657,8.876117,56.1873713688504,-7.818413,4.832956,-8.573742859920266,0.000764,1,56.1873713688504,9.837946,0.010000002,-8.573742859920266,100,,100,-8.573742859920266,-4.346919,0.8,200.0,15.86981910095856,,6.301269
inf,nan,nan,inf,65.21733277595312,nan,nan,-8.573742859920266,nan,,56.1873713688504,nan,nan,-9.411973313598454,200,nan,100,-8.573742859920266,nan,0.8,200.0,nan,0.11266188,nan
0.70549685,0.2610399,5.197467918939659,36.832565,68.70152164100243,-9.261877,18.74864,-9.405200444169836,0.00094171544,1,68.70152164100243,32.194527,0.005,-9.405200444169836,200,,100,-9.405200444169836,-4.5313077,0.8,200.0,8.774214365171982,,22.794064
1.0,0.01,100.0,1.0,75.39801163848273,-11.754469,,-10.010380058204623,3.5044917e-18,2,75.39801163848273,8.639677,0.009999998,-10.010380058204623,200,0.01,100,-10.010380058204623,-10.010381,0.8,200.0,200.0,1.0,1.0
inf,nan,nan,inf,86.7284683724698,nan,nan,-9.405200444169836,nan,,68.70152164100243,nan,nan,-11.304379377802368,300,nan,100,-9.405200444169836,nan,0.8,200.0,nan,0.027149888,nan
0.97357106,0.006950513,224.4514788621646,2.0300455,71.47699408685638,-9.245513,0.32010236,-8.37505124661523,3.7524167e-06,1,71.47699408685638,8.470677,0.0033333334,-8.37505124661523,300,2.5055746e-05,100,-8.37505124661523,-8.307902,0.8,200.0,223.3521319290256,0.0073180646,1.3431705
1.0,0.01,100.0,1.0,43.702281832838835,-8.307852,,-7.047550269295339,3.5044917e-18,2,43.702281832838835,6.577633,0.009999998,-7.047550269295339,300,0.01,100,-7.047550269295339,-7.0475497,0.8,200.0,300.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,49.34456767758036,-8.249177,,-7.668468643976841,2.179301e-19,2,49.34456767758036,6.793716,0.0049999994,-7.668468643976841,300,0.005,100,-7.668468643976841,-7.3580093,0.8,200.0,300.0,1.0,1.0
1.0400736,0.005038289,245.79270706778712,1.5720575,77.09377926587239,-8.925773,0.23936845,-9.468531526340998,2.4586473e-06,1,77.09377926587239,7.702041,0.0033333334,-9.468531526340998,300,1.4148637e-06,100,-9.468531526340998,-7.6282315,0.8,200.0,240.9854291181304,0.00044146876,1.2448885
1.0,0.01,100.0,1.0,57.84486689868722,-9.536086,,-8.316529996390898,3.5044917e-18,2,57.84486689868722,7.567457,0.009999998,-8.316529996390898,300,0.01,100,-8.316529996390898,-8.31653,0.8,200.0,300.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,65.62654572601151,-9.791708,,-9.418629234649348,2.179301e-19,2,65.62654572601151,7.8372188,0.0049999994,-9.418629234649348,300,0.005,100,-9.418629234649348,-8.86758,0.8,200.0,300.0,1.0,1.0
0.90575194,0.03984954,35.11879744911864,10.828139,43.55714200908552,-6.947246,6.2084064,-7.158825954709105,8.4085106e-05,1,43.55714200908552,16.218489,0.0033333332,-7.158825954709105,300,,100,-7.158825954709105,-4.856779,0.8,200.0,39.08477557360563,,7.675623
1.0,0.01,100.0,1.0,50.20820752230717,-10.480936,,-9.346738586626213,3.5044917e-18,2,50.20820752230717,7.050257,0.009999998,-9.346738586626213,300,0.01,100,-9.346738586626213,-9.346739,0.8,200.0,300.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,49.432833210085775,-9.528305,,-8.045405332534369,2.179301e-19,2,49.432833210085775,7.053062,0.0049999994,-8.045405332534369,300,0.005,100,-8.045405332534369,-8.696072,0.8,200.0,300.0,1.0,1.0
inf,nan,nan,inf,44.972539350451875,nan,nan,-7.158825954709105,nan,,43.55714200908552,nan,nan,-7.808042900978187,400,nan,100,-7.158825954709105,nan,0.8,200.0,nan,0.09235197,nan
0.82588685,0.034975786,39.93545550762487,11.554417,53.3702638014977,-6.5970287,6.1652384,-7.622840973979526,5.649224e-05,1,53.3702638014977,17.36191,0.0025,-7.622840973979526,400,,100,-7.622840973979526,-4.7303343,0.8,200.0,49.01713395128934,,8.160412
1.0,0.01,100.0,1.0,52.166894095879385,-9.325199,,-8.16600252824271,3.5044917e-18,2,52.166894095879385,7.1864614,0.009999998,-8.16600252824271,400,0.01,100,-8.16600252824271,-8.166002,0.8,200.0,400.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,45.96253685025965,-9.3275585,,-8.837205600064285,2.179301e-19,2,45.96253685025965,6.9775853,0.0049999994,-8.837205600064285,400,0.005,100,-8.837205600064285,-8.501604,0.8,200.0,400.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,57.64482214327871,-8.894731,,-7.653607518777626,5.4391416e-20,2,57.64482214327871,7.186125,0.0033333336,-7.653607518777626,400,0.0033333334,100,-7.653607518777626,-8.218938,0.8,200.0,400.0,1.0,1.0
inf,nan,nan,inf,39.083766001112565,nan,nan,-7.622840973979526,nan,,53.3702638014977,nan,nan,-9.252263508400628,500,nan,100,-7.622840973979526,nan,0.8,200.0,nan,0.086546995,nan
0.90306467,0.020971252,66.44793058121904,9.469198,49.34221000758524,-6.800763,5.3317156,-6.903782511236334,2.6151056e-05,1,49.34221000758524,15.119641,0.002,-6.903782511236334,500,,100,-6.903782511236334,-5.2322917,0.8,200.0,74.78710400031724,,6.6856446
1.0,0.01,100.0,1.0,57.84960233640767,-9.328264,,-8.163215118091085,3.5044917e-18,2,57.84960233640767,7.567768,0.009999998,-8.163215118091085,500,0.01,100,-8.163215118091085,-8.163215,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,44.8630471797146,-8.498239,,-7.185632809375834,2.179301e-19,2,44.8630471797146,7.147145,0.0049999994,-7.185632809375834,500,0.005,100,-7.185632809375834,-7.6744237,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,49.1603959256223,-8.588548,,-8.386815044132037,5.4391416e-20,2,49.1603959256223,7.098603,0.0033333336,-8.386815044132037,500,0.0033333334,100,-8.386815044132037,-7.911888,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,41.755083296344786,-8.2035885,,-6.734676323684986,5.434597e-20,2,41.755083296344786,6.9560657,0.0024999997,-6.734676323684986,500,0.0025,100,-6.734676323684986,-7.6175847,0.8,200.0,500.0,1.0,1.0
1.0069789,0.006349462,445.912962332406,3.196887,50.55418012689565,-8.2830925,0.12324045,-8.73684093128033,4.861525e-07,1,50.55418012689565,7.2351027,0.0019999999,-8.73684093128033,500,0.0016153718,100,-8.73684093128033,-7.717617,0.8,200.0,429.569441616588,0.81332266,1.1639562
1.0,0.01,100.0,1.0,58.490172142394016,-9.229289,,-8.047236397011783,3.5044917e-18,2,58.490172142394016,7.6095514,0.009999998,-8.047236397011783,500,0.01,100,-8.047236397011783,-8.047236,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,53.399865664951754,-8.818221,,-7.917531784213496,2.179301e-19,2,53.399865664951754,7.4424305,0.0049999994,-7.917531784213496,500,0.005,100,-7.917531784213496,-7.9823837,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,47.32601503791814,-8.301339,,-6.891872004524611,5.4391416e-20,2,47.32601503791814,7.266937,0.0033333336,-6.891872004524611,500,0.0033333334,100,-6.891872004524611,-7.6188803,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,41.85829363307733,-8.072216,,-7.068118267448965,5.434597e-20,2,41.85829363307733,7.0726995,0.0024999997,-7.068118267448965,500,0.0025,100,-7.068118267448965,-7.4811893,0.8,200.0,500.0,1.0,1.0
0.9995518,0.008550009,361.6417768098948,4.273088,44.3664429784891,-7.832838,0.38300672,-7.120858477670263,1.5334011e-06,1,44.3664429784891,8.18551,0.002,-7.120858477670263,500,0.00031394104,100,-7.120858477670263,-7.213751,0.8,200.0,364.56091932922874,0.15690015,1.3715129
1.0,0.01,100.0,1.0,46.59846750495816,-9.39919,,-8.234137010715653,3.5044917e-18,2,46.59846750495816,6.79209,0.009999998,-8.234137010715653,500,0.01,100,-8.234137010715653,-8.234137,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,46.474755861658224,-8.808483,,-7.731288104460226,2.179301e-19,2,46.474755861658224,6.792235,0.0049999994,-7.731288104460226,500,0.005,100,-7.731288104460226,-7.9827127,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,46.54527486108446,-8.612311,,-7.8487926144842675,5.4391416e-20,2,46.54527486108446,6.791188,0.0033333336,-7.8487926144842675,500,0.0033333334,100,-7.8487926144842675,-7.9380727,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,48.577099881346676,-8.503736,,-7.865094050997871,5.434597e-20,2,48.577099881346676,6.8274455,0.0024999997,-7.865094050997871,500,0.0025,100,-7.865094050997871,-7.9198275,0.8,200.0,500.0,1.0,1.0
1.0273643,0.004091817,338.1693789400634,2.1018932,44.38012098211712,-8.504595,0.5061096,-8.493617436560061,1.9180313e-06,1,44.38012098211712,8.006912,0.002,-8.493617436560061,500,3.040388e-06,100,-8.493617436560061,-7.8653407,0.8,200.0,333.7343849846007,0.001561793,1.4981974
1.0,0.01,100.0,1.0,58.125704776661415,-8.937929,,-7.790865469090053,3.5044917e-18,2,58.125704776661415,7.5858054,0.009999998,-7.790865469090053,500,0.01,100,-7.790865469090053,-7.7908654,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,55.07519151240699,-9.054763,,-8.68053069550421,2.179301e-19,2,55.07519151240699,7.4988213,0.0049999994,-8.68053069550421,500,0.005,100,-8.68053069550421,-8.235698,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,51.171575207435815,-8.772035,,-7.838417108592727,5.4391416e-20,2,51.171575207435815,7.376307,0.0033333336,-7.838417108592727,500,0.0033333334,100,-7.838417108592727,-8.103271,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,40.59642968935563,-8.425518,,-7.075596507093986,5.434597e-20,2,40.59642968935563,7.145143,0.0024999997,-7.075596507093986,500,0.0025,100,-7.075596507093986,-7.846352,0.8,200.0,500.0,1.0,1.0
1.0131711,0.0031606085,470.8954206678553,1.6011184,48.246999302977116,-8.41172,0.06357275,-8.193316948731887,2.477225e-07,1,48.246999302977116,7.225039,0.002,-8.193316948731887,500,0.000502913,100,-8.193316948731887,-7.877479,0.8,200.0,470.1016193232955,0.25476846,1.0635998
1.0,0.01,100.0,1.0,50.865037923854004,-9.339472,,-8.165535404242428,3.5044917e-18,2,50.865037923854004,7.096223,0.009999998,-8.165535404242428,500,0.01,100,-8.165535404242428,-8.165535,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,46.372961381473445,-9.128817,,-8.431900045140022,2.179301e-19,2,46.372961381473445,6.9390597,0.0049999994,-8.431900045140022,500,0.005,100,-8.431900045140022,-8.2987175,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,52.20188840664207,-8.858797,,-7.945638509136478,5.4391416e-20,2,52.20188840664207,7.02529,0.0033333336,-7.945638509136478,500,0.0033333334,100,-7.945638509136478,-8.181025,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,39.523130710154675,-8.61646,,-7.574892144896386,5.434597e-20,2,39.523130710154675,6.845939,0.0024999997,-7.574892144896386,500,0.0025,100,-7.574892144896386,-8.029491,0.8,200.0,500.0,1.0,1.0
0.42079,0.536113,2.2593791144888287,112.795494,43.25645082230569,-5.5519195,39.085365,-6.927497257886233,0.00088296464,1,43.25645082230569,8.836302,0.0020000003,-6.927497257886233,500,,100,-6.927497257886233,-0.85858107,0.8,200.0,6.25641945046115,,79.917915
1.0,0.01,100.0,1.0,51.05448195936713,-10.007348,,-8.844574423435471,3.5044917e-18,2,51.05448195936713,7.1094255,0.009999998,-8.844574423435471,500,0.01,100,-8.844574423435471,-8.844574,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,50.16711481470982,-9.203523,,-7.918059842709237,2.179301e-19,2,50.16711481470982,7.09361,0.0049999994,-7.918059842709237,500,0.005,100,-7.918059842709237,-8.381317,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,55.30149659579566,-8.922827,,-7.9918630836375755,5.4391416e-20,2,55.30149659579566,7.199264,0.0033333336,-7.9918630836375755,500,0.0033333334,100,-7.9918630836375755,-8.251499,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,48.653292773518665,-8.759154,,-7.955013962626455,5.434597e-20,2,48.653292773518665,7.1365414,0.0024999997,-7.955013962626455,500,0.0025,100,-7.955013962626455,-8.177378,0.8,200.0,500.0,1.0,1.0
0.3304101,0.5604515,2.7085501682961506,92.58942,43.15904504739581,-5.308231,20.084,-8.20515066260444,0.0007358741,1,43.15904504739581,14.316832,0.002,-8.20515066260444,500,,100,-8.20515066260444,-0.86113733,0.8,200.0,6.87910262643668,,72.6839
