AvgEpLen,VarJ,VarVanillaIw,eRenyi2,IterType,VarDiscRet,EpsThisIter,MinNormIw,BatchSize,AvgDiscRet,VarRet,AvgNormIw,ESSRenyi,AvgVanillaIw,VarNormIw,AvgRet,Bound,MaxNormIw,ESSClassic,VanillaAvgRet,MaxVanillaIw,Delta,MinVanillaIw,J
45.86,13.8404,0.391833,1.38878,1,5333.29947989,100,0.000151821,100,-130.56615562,5333.29947989,0.01,72.0054970169,0.940267,4.43199e-05,-130.56615562,-141.676,0.0267816,69.5039778888,-130.56615562,2.51819,0.8,0.0142752,-112.251
34.36,13.0553,0.205,1.16949,1,1320.22341756,100,0.00108051,100,-115.014093901,1320.22341756,0.01,85.5073158092,1.02127,1.96551e-05,-115.014093901,-133.389,0.0208814,83.711039071,-115.014093901,2.13254,0.8,0.110348,-110.398
18.65,3.84389,0.105107,1.09954,1,26.7347337127,100,0.00147577,100,-108.472729379,26.7347337127,0.01,90.9470941593,0.984679,1.08403e-05,-108.472729379,-115.328,0.0151904,90.3081869503,-108.472729379,1.49577,0.8,0.145316,-107.74
17.19,3.57513,0.0901981,1.07316,1,23.5189733619,100,0.00328926,100,-108.343346941,23.5189733619,0.01,93.1830663494,1.03089,8.4874e-06,-108.343346941,-115.025,0.0164894,92.2487779847,-108.343346941,1.69987,0.8,0.339086,-107.777
23.23,7.96701,0.0870782,1.07844,1,655.716716582,100,0.00106782,100,-110.315855243,655.716716582,0.01,92.7266888813,0.99037,8.87799e-06,-110.315855243,-126.525,0.0160582,91.9208513789,-110.315855243,1.59035,0.8,0.105754,-108.171
18.81,6.4143,0.240873,1.17779,1,25.4189127578,100,0.000901213,100,-107.731572559,25.4189127578,0.01,84.9049134904,0.979938,2.50837e-05,-107.731572559,-114.131,0.0350282,80.1071243725,-107.731572559,3.43255,0.8,0.0883133,-106.705
16.72,3.02801,0.104491,1.0739,1,18.1542472747,100,0.00106405,100,-108.052882945,18.1542472747,0.01,93.1187790025,0.952839,1.15091e-05,-108.052882945,-114.549,0.017307,89.7714404524,-108.052882945,1.64908,0.8,0.101387,-107.458
16.34,2.43481,0.0336372,1.0316,1,7.10633322036,100,0.00483963,100,-107.397509304,7.10633322036,0.01,96.9369093696,0.972439,3.55709e-06,-107.397509304,-113.065,0.0134017,96.5982902076,-107.397509304,1.30323,0.8,0.470624,-107.225
17.68,61.4959,8.00019,3.35659,1,20.3501511249,100,1.72838e-05,100,-106.75423782,20.3501511249,0.01,29.7921399484,1.20028,0.000555308,-106.75423782,-109.476,0.215063,15.3904331372,-106.75423782,25.8136,0.8,0.00207454,-98.9111
21.66,6.71323,0.274002,1.1633,1,15.1001342093,100,0.00314887,100,-106.049280485,15.1001342093,0.01,85.962028606,1.01646,2.65198e-05,-106.049280485,-111.575,0.0363894,79.205052202,-106.049280485,3.69885,0.8,0.320071,-105.245
21.85,7.69401,0.153902,1.17102,1,17.388660925,100,0.00144668,100,-105.782267459,17.388660925,0.01,85.3953836289,1.02631,1.46111e-05,-105.782267459,-111.186,0.0254844,87.3629782388,-105.782267459,2.6155,0.8,0.148475,-104.994
23.39,7.17834,0.121179,1.12333,1,29.9992672454,100,0.00258431,100,-105.900105431,29.9992672454,0.01,89.0209319863,0.984247,1.25089e-05,-105.900105431,-111.63,0.0190057,88.9807982686,-105.900105431,1.87063,0.8,0.254359,-105.293
25.92,8.32849,0.861944,1.50319,1,24.9219208957,100,0.000136045,100,-105.272658507,24.9219208957,0.01,66.5253831693,1.08783,7.28374e-05,-105.272658507,-110.388,0.0580164,58.102689282,-105.272658507,6.31121,0.8,0.0147994,-103.215
40.24,488.245,61.5885,11.529,1,500.560298863,100,1.58288e-08,100,-101.293817168,500.560298863,0.01,8.67375527605,1.59859,0.00241004,-101.293817168,-28.8983,0.486017,4.0226235873,-101.293817168,77.6943,0.8,2.53037e-06,-2.88785
40.24,363.417,1.56804e+09,1.71525,,1172.49824977,100,2.73323e-08,200,-104.506763117,500.560298863,0.01,116.60087493,4709.06,0.00707114,-101.293817168,-330.221,0.83923,1.40836654081,-101.293817168,395198.0,0.8,0.012871,-307.518
37.76,642.213,37.4505,22.8486,1,513.819364361,100,1.68112e-12,200,-107.496588284,513.819364361,0.005,8.75329038508,1.21943,0.000629633,-107.496588284,-79.1577,0.346984,7.67477492039,-107.496588284,84.6242,0.8,4.09999e-10,-34.0172
66.44,30.8482,,1.0,2,961.225559293,100,0.01,200,-98.703638079,961.225559293,0.01,200.0,1.0,3.50449e-18,-98.703638079,-107.947,0.01,100.0,-98.703638079,1.0,0.8,1.0,-98.7036
37.76,15.7014,3.00142e+16,0.345606,,494.276025148,100,4.35595e-12,300,-102.593469523,513.819364361,0.005,868.039439399,1.35641e+07,0.00407833,-107.496588284,-inf,0.899073,1.22460791988,-107.496588284,2.43903e+09,0.8,0.0118169,-96.8385
33.11,749.753,42.5099,31.5181,1,37.2419561103,100,2.86914e-11,300,-104.888915919,37.2419561103,0.00333333,9.51834464035,1.1491,0.000357711,-104.888915919,-82.4557,0.318907,9.06710019399,-104.888915919,109.937,0.8,9.89077e-09,-39.1674
81.48,45.4256,,1.0,2,2084.33079295,100,0.01,300,-111.546180182,2084.33079295,0.01,300.0,1.0,3.50449e-18,-111.546180182,-128.74,0.01,100.0,-111.546180182,1.0,0.8,1.0,-111.546
73.77,41.2564,,1.0,2,1349.7921954,100,0.005,300,-108.581541451,1349.7921954,0.005,300.0,1.0,2.1793e-19,-108.581541451,-123.785,0.005,200.000000102,-108.581541451,1.0,0.8,1.0,-110.064
33.11,71.4058,6.81863e+13,0.56414,,612.014162831,100,3.72752e-11,400,-104.53422252,37.2419561103,0.00333333,709.043976791,813422.0,0.00114505,-104.888915919,-inf,0.414317,2.8926663399,-104.888915919,1.01104e+08,0.8,0.00909614,-109.515
33.64,757.185,33.3458,30.5762,1,77.9659322079,100,4.43647e-13,400,-103.682347136,77.9659322079,0.0025,13.0820783215,1.0875,0.000176224,-103.682347136,-88.1955,0.256582,13.7337230188,-103.682347136,111.613,0.8,1.92986e-10,-51.2711
64.5,23.5099,,1.0,2,558.296948341,100,0.01,400,-102.09704143,558.296948341,0.01,400.0,1.0,3.50449e-18,-102.09704143,-116.009,0.01,100.0,-102.09704143,1.0,0.8,1.0,-102.097
102.72,41.9274,,1.0,2,2955.48461177,100,0.005,400,-110.719901337,2955.48461177,0.005,400.0,1.0,2.1793e-19,-110.719901337,-121.833,0.005,200.000000102,-110.719901337,1.0,0.8,1.0,-106.408
92.39,47.7423,,1.0,2,3338.17803171,100,0.00333333,400,-111.513629203,3338.17803171,0.00333333,400.0,1.0,5.43914e-20,-111.513629203,-121.25,0.00333333,299.999969474,-111.513629203,1.0,0.8,1.0,-108.11
33.64,1.03673,6.71297e+16,0.713592,,1171.6595601,100,1.69305e-12,500,-103.278544531,77.9659322079,0.0025,700.680039709,1.32299e+07,0.00239708,-103.682347136,-inf,0.979171,1.04282407915,-103.682347136,5.18173e+09,0.8,0.00895956,-107.269
32.83,420.641,7.82538,10.2265,1,83.9854846955,100,1.5321e-09,500,-103.309005012,83.9854846955,0.002,48.8926854197,1.03346,2.93076e-05,-103.309005012,-100.931,0.105575,60.1522014483,-103.309005012,54.5537,0.8,7.91678e-07,-81.8316
75.23,36.5715,,1.0,2,1350.98291436,100,0.01,500,-109.835255115,1350.98291436,0.01,500.0,1.0,3.50449e-18,-109.835255115,-125.717,0.01,100.0,-109.835255115,1.0,0.8,1.0,-109.835
68.13,33.0165,,1.0,2,844.03603271,100,0.005,500,-106.064907844,844.03603271,0.005,500.0,1.0,2.1793e-19,-106.064907844,-119.18,0.005,200.000000102,-106.064907844,1.0,0.8,1.0,-107.95
70.58,35.7948,,1.0,2,1679.91474403,100,0.00333333,500,-108.825887154,1679.91474403,0.00333333,500.0,1.0,5.43914e-20,-108.825887154,-119.417,0.00333333,299.999969474,-108.825887154,1.0,0.8,1.0,-108.242
67.3,35.3837,,1.0,2,1174.47304538,100,0.0025,500,-106.83321404,1174.47304538,0.0025,500.0,1.0,5.4346e-20,-106.83321404,-117.568,0.0025,400.0,-106.83321404,1.0,0.8,1.0,-107.89
66.44,12.2119,0.472983,1.4497,1,639.409701338,100,1.19577e-06,500,-103.207444337,639.409701338,0.002,344.89820772,1.00907,1.85809e-06,-103.207444337,-110.089,0.00626998,341.624984568,-103.207444337,3.16341,0.8,0.000603307,-99.6662
43.72,6.65559,,1.0,2,44.7442809207,100,0.01,500,-101.294691653,44.7442809207,0.01,500.0,1.0,3.50449e-18,-101.294691653,-107.124,0.01,100.0,-101.294691653,1.0,0.8,1.0,-101.295
47.62,7.14044,,1.0,2,57.6635033068,100,0.005,500,-100.210191077,57.6635033068,0.005,500.0,1.0,2.1793e-19,-100.210191077,-104.874,0.005,200.000000102,-100.210191077,1.0,0.8,1.0,-100.752
42.41,7.2482,,1.0,2,55.6029522898,100,0.00333333,500,-99.8114544485,55.6029522898,0.00333333,500.0,1.0,5.43914e-20,-99.8114544485,-103.804,0.00333333,299.999969474,-99.8114544485,1.0,0.8,1.0,-100.439
55.44,9.66686,,1.0,2,212.854422074,100,0.0025,500,-97.7412084995,212.854422074,0.0025,500.0,1.0,5.4346e-20,-97.7412084995,-102.751,0.0025,400.0,-97.7412084995,1.0,0.8,1.0,-99.7644
41.74,347.379,262.999,60.8911,1,84.6720501882,100,2.15235e-31,500,-101.82413168,84.6720501882,0.002,8.2113850272,1.94825,0.000277158,-101.82413168,-86.374,0.218844,7.12750264835,-101.82413168,213.181,0.8,2.09665e-28,-64.8259
76.17,31.2393,,1.0,2,985.751391432,100,0.01,500,-95.0030047685,985.751391432,0.01,500.0,1.0,3.50449e-18,-95.0030047685,-105.467,0.01,100.0,-95.0030047685,1.0,0.8,1.0,-95.003
88.63,31.0621,,1.0,2,962.961650895,100,0.005,500,-94.0228640995,962.961650895,0.005,500.0,1.0,2.1793e-19,-94.0228640995,-101.912,0.005,200.000000102,-94.0228640995,1.0,0.8,1.0,-94.5129
78.42,27.8796,,1.0,2,405.72075463,100,0.00333333,500,-95.3275553709,405.72075463,0.00333333,500.0,1.0,5.43914e-20,-95.3275553709,-100.826,0.00333333,299.999969474,-95.3275553709,1.0,0.8,1.0,-94.7845
70.95,26.7544,,1.0,2,532.98915817,100,0.0025,500,-97.0127660939,532.98915817,0.0025,500.0,1.0,5.4346e-20,-97.0127660939,-100.573,0.0025,400.0,-97.0127660939,1.0,0.8,1.0,-95.3416
70.45,940.328,896.728,160.054,1,390.735048263,100,1.59699e-28,500,-97.0733706459,390.735048263,0.002,3.12394803424,1.86062,0.00103611,-97.0733706459,-22.0697,0.710304,1.92672149638,-97.0733706459,660.804,0.8,1.4857e-25,37.1328
133.49,39.6654,,1.0,2,1589.23428623,100,0.01,500,-82.1312607896,1589.23428623,0.01,500.0,1.0,3.50449e-18,-82.1312607896,-88.2802,0.01,100.0,-82.1312607896,1.0,0.8,1.0,-82.1313
146.64,45.754,,1.0,2,2612.3369089,100,0.005,500,-74.7428260145,2612.3369089,0.005,500.0,1.0,2.1793e-19,-74.7428260145,-82.785,0.005,200.000000102,-74.7428260145,1.0,0.8,1.0,-78.437
134.48,46.2806,,1.0,2,2260.59427492,100,0.00333333,500,-79.5543722237,2260.59427492,0.00333333,500.0,1.0,5.43914e-20,-79.5543722237,-82.9365,0.00333333,299.999969474,-79.5543722237,1.0,0.8,1.0,-78.8095
128.0,46.3879,,1.0,2,2191.54388812,100,0.0025,500,-82.817240396,2191.54388812,0.0025,500.0,1.0,5.4346e-20,-82.817240396,-83.8816,0.0025,400.0,-82.817240396,1.0,0.8,1.0,-79.8114
111.77,240.505,471.025,115.8,1,1427.90984049,100,,500,-87.6970869577,1427.90984049,0.002,4.31777552337,1.30654,0.00110373,-87.6970869577,35.1659,0.730132,1.80910442682,-87.6970869577,476.971,0.8,,74.3411
