MaxVanillaIw,AvgDiscRet,VanillaAvgRet,MinNormIw,AvgRet,VarDiscRet,AvgNormIw,MinVanillaIw,BatchSize,VarRet,eRenyi2,IterType,MaxNormIw,VarNormIw,VarVanillaIw,EpsThisIter,Bound,J,Delta,VarJ,ESSClassic,ESSRenyi,AvgEpLen,AvgVanillaIw
4.07503,-5471.45392954,-5471.45392954,3.16213e-19,-5471.45392954,32969851.4102,0.01,2.48371e-17,100,32969851.4102,2.9056,1,0.051881,0.000244848,1.51057,100,-1721.52,-114.635,0.7,325.121,29.2056450318,34.4163156632,500.0,0.785457
1.32837,-152.376043604,-152.376043604,0.000898232,-152.376043604,1001214.7493,0.01,0.0897622,100,1001214.7493,1.10901,1,0.0132928,1.1709e-05,0.116931,100,-521.567,-23.6932,0.7,97.0778,89.6122449591,90.1708822906,500.0,0.999321
3.16693,-7.98204248558,-7.98204248558,1.71465e-13,-7.98204248558,72.2721270103,0.01,1.95384e-11,100,72.2721270103,2.28673,1,0.0277923,0.000101774,1.3215,100,-8.79603,-6.01029,0.7,10.278,49.8116015571,43.7306118474,500.0,1.1395
4.03611,-8.32476568588,-8.32476568588,0.0071486,-8.32476568588,54.2561736712,0.01,0.712657,100,54.2561736712,1.26425,1,0.0404858,2.00061e-05,0.198829,100,-9.60417,-7.91565,0.7,7.86249,83.4682708817,79.0979862309,500.0,0.996918
6.51236,-7.13647616625,-7.13647616625,0.00758753,-7.13647616625,51.368200495,0.01,0.750694,100,51.368200495,1.23441,1,0.0658226,3.78128e-05,0.370138,100,-8.60014,-6.89046,0.7,7.57051,72.7618482636,81.0103033427,500.0,0.989379
8.16987,-8.04301512534,-8.04301512534,2.60073e-07,-8.04301512534,57.8751158923,0.01,2.57213e-05,100,57.8751158923,3.47704,1,0.0826071,0.000204399,1.99929,100,-8.59938,-5.6482,0.7,9.97978,33.0736868431,28.7600943597,500.0,0.989004
38878.2,-10.2185250447,-8.04301512534,2.78554e-06,-8.04301512534,57.5167350732,0.01,0.122401,200,57.8751158923,8.35588e+08,,0.884771,0.00785116,1.51595e+07,100,-53063.4,-12.9373,0.7,1.61853,1.27022131864,2.39352490622e-07,500.0,439.416
5.24966,-7.48082168508,-7.48082168508,,-7.48082168508,50.758247012,0.005,,200,50.758247012,3.74613,1,0.022301,5.70401e-05,3.16077,100,-8.23051,-6.06446,0.7,11.8776,61.1583827624,53.3883929648,500.0,1.177
1.0,-9.30887057969,-9.30887057969,0.01,-9.30887057969,54.0479526738,0.01,1.0,200,54.0479526738,1.0,2,0.01,3.50449e-18,,100,-10.8912,-9.30887,0.7,7.31488,100.0,200.0,500.0,1.0
inf,-8.40729575978,-7.48082168508,nan,-7.48082168508,48.5132159735,nan,0.190488,300,50.758247012,nan,,nan,nan,nan,100,nan,nan,0.7,nan,nan,nan,500.0,inf
2.55752,-10.1955915854,-10.1955915854,3.99857e-13,-10.1955915854,59.0999198593,0.00333333,1.26815e-10,300,59.0999198593,1.88161,1,0.00806402,9.3008e-06,0.935522,100,-9.21012,-7.90831,0.7,10.2276,163.551780766,159.438026127,500.0,1.05717
1.0,-8.14957428589,-8.14957428589,0.01,-8.14957428589,51.8490653366,0.01,1.0,300,51.8490653366,1.0,2,0.01,3.50449e-18,,100,-9.66812,-8.14957,0.7,7.16454,100.0,300.0,500.0,1.0
1.0,-7.61253760921,-7.61253760921,0.005,-7.61253760921,51.7983645924,0.005,1.0,300,51.7983645924,1.0,2,0.005,2.1793e-19,,100,-8.95483,-7.88106,0.7,7.16782,200.000000102,300.0,500.0,1.0
6.97366,-7.64939611359,-7.64939611359,2.39147e-28,-7.64939611359,49.2285073963,0.00333333,6.2997e-26,300,49.2285073963,4.83482,1,0.0264732,4.63159e-05,3.21394,100,-8.17278,-6.17552,0.7,13.2664,58.2011898782,62.0498824777,500.0,0.878077
1.0,-7.07598175153,-7.07598175153,0.01,-7.07598175153,40.8295892637,0.01,1.0,300,40.8295892637,1.0,2,0.01,3.50449e-18,,100,-8.49249,-7.07598,0.7,6.35777,100.0,300.0,500.0,1.0
1.0,-7.79303251089,-7.79303251089,0.005,-7.79303251089,40.1009198285,0.005,1.0,300,40.1009198285,1.0,2,0.005,2.1793e-19,,100,-8.4568,-7.43451,0.7,6.33949,200.000000102,300.0,500.0,1.0
16.5497,-6.89937157603,-6.89937157603,,-6.89937157603,35.3564327896,0.00333333,,300,35.3564327896,11.7149,1,0.0638173,0.000142422,9.5781,100,-6.63727,-3.65134,0.7,12.2927,21.7781814224,25.6083110306,500.0,0.86443
