AvgRet,BatchSize,VanillaAvgRet,eRenyi2,VarNormIw,EpsThisIter,AvgNormIw,AvgDiscRet,Bound,AvgEpLen,MinNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,VarVanillaIw,IterType,Delta,ESSRenyi,MinVanillaIw,VarJ,VarRet,MaxVanillaIw,J,MaxNormIw
-1485.85436731,100,-1485.85436731,1.49988,5.46154e-05,100,0.01,-1485.85436731,-1991.28,500.0,4.19706e-05,64.9058992698,153715.045746,0.957373,0.500584,1,0.1,66.6719228862,0.00401815,288.889,153715.045746,2.33659,-1257.39,0.0244063
-1255.93511695,100,-1255.93511695,1.10124,1.18492e-05,100,0.01,-1255.93511695,-1815.88,500.0,0.00111142,89.5009109391,83801.615701,0.995599,0.117451,1,0.1,90.8063207357,0.110653,170.798,83801.615701,1.6511,-1189.87,0.016584
-1190.32253771,100,-1190.32253771,1.03523,4.54776e-06,100,0.01,-1190.32253771,-1762.43,500.0,0.00267241,95.6917224478,33942.9002253,0.999213,0.045406,1,0.1,96.596576275,0.26703,103.669,33942.9002253,1.26817,-1163.99,0.0126917
-1149.03348228,100,-1149.03348228,1.03807,7.10064e-06,100,0.01,-1149.03348228,-1728.93,500.0,0.00617251,93.4320850767,27662.1877484,1.00498,0.071715,1,0.1,96.3322002756,0.620324,193.352,27662.1877484,2.9079,-1130.06,0.0289349
-1171.88834088,100,-1171.88834088,1.02064,2.83255e-06,100,0.01,-1171.88834088,-1758.93,500.0,0.00517214,97.2722671638,33270.6840967,0.978973,0.0271468,1,0.1,97.9778066219,0.506338,136.058,33270.6840967,1.35431,-1158.23,0.0138339
-1171.00553948,100,-1171.00553948,1.02344,2.8806e-06,100,0.01,-1171.00553948,-1758.18,500.0,0.00424405,97.2272907304,27995.7442213,1.01672,0.0297772,1,0.1,97.7097984713,0.4315,100.189,27995.7442213,1.32169,-1154.87,0.0129996
-1149.48165892,100,-1149.48165892,1.00716,7.75106e-07,100,0.01,-1149.48165892,-1746.42,500.0,0.00615746,99.2384772876,14812.7678726,0.991079,0.00761339,1,0.1,99.289165719,0.610253,85.8739,14812.7678726,1.15601,-1144.62,0.0116642
-1138.01446227,100,-1138.01446227,1.00493,6.70419e-07,100,0.01,-1138.01446227,-1613.08,500.0,0.00632801,99.3406705019,6349.81319937,0.997607,0.00667214,1,0.1,99.5090153046,0.631286,73.5765,6349.81319937,1.1419,-1135.44,0.0114464
-1137.0791057,100,-1137.0791057,1.00278,3.65512e-07,100,0.01,-1137.0791057,-1646.87,500.0,0.00751162,99.6394335329,4138.74104531,1.00169,0.0036675,1,0.1,99.7223952563,0.752432,52.7623,4138.74104531,1.12628,-1135.52,0.0112438
-1139.33401832,100,-1139.33401832,1.00332,4.56243e-07,100,0.01,-1139.33401832,-1593.58,500.0,0.00566543,99.5503289636,1824.33481213,1.00788,0.00463464,1,0.1,99.669479658,0.571009,28.0443,1824.33481213,1.07717,-1137.48,0.0106875
-1161.21757198,100,-1161.21757198,1.01728,2.14032e-06,100,0.01,-1161.21757198,-1741.89,500.0,0.0039932,97.9250359196,18773.7466706,1.00376,0.0215644,1,0.1,98.3016077382,0.400821,71.6836,18773.7466706,1.1875,-1148.71,0.0118305
-1126.67808251,100,-1126.67808251,1.00899,1.40578e-06,100,0.01,-1126.67808251,-1509.85,500.0,0.00823754,98.6273581736,3694.78958459,1.00707,0.0142571,1,0.1,99.1086538693,0.829574,82.1099,3694.78958459,1.55804,-1123.49,0.0154711
-1131.66561253,100,-1131.66561253,1.00195,1.78643e-07,100,0.01,-1131.66561253,-1507.5,500.0,0.00902782,99.8234415204,1980.95869355,0.993352,0.00176275,1,0.1,99.8049969792,0.89678,51.8662,1980.95869355,1.17653,-1130.99,0.011844
-1125.6033656,100,-1125.6033656,1.03492,5.63395e-06,100,0.01,-1125.6033656,-1484.68,500.0,0.0077968,94.7170432622,2872.79482449,0.980677,0.0541832,1,0.1,96.6260397518,0.764614,124.817,2872.79482449,2.60521,-1115.52,0.0265654
-1133.77991409,100,-1133.77991409,1.00088,9.71427e-08,100,0.01,-1133.77991409,-1601.21,500.0,0.00909024,99.9038939347,7120.5711084,1.00128,0.00097391,1,0.1,99.9116962771,0.910185,82.4427,7120.5711084,1.07687,-1133.36,0.010755
-1134.30335287,100,-1134.30335287,1.00295,3.73522e-07,100,0.01,-1134.30335287,-1620.93,500.0,0.00814269,99.631557517,5079.8695396,1.00065,0.0037401,1,0.1,99.7060264169,0.814801,67.3643,5079.8695396,1.21666,-1132.81,0.0121586
-1134.17840698,100,-1134.17840698,1.00238,2.67195e-07,100,0.01,-1134.17840698,-1721.41,500.0,0.00792764,99.7361518772,9858.35783117,0.993877,0.00263932,1,0.1,99.7621603673,0.78791,84.15,9858.35783117,1.08481,-1132.61,0.0109149
-1124.48327032,100,-1124.48327032,1.03586,8.33998e-06,100,0.01,-1124.48327032,-1491.42,500.0,0.00650008,92.3731591308,3581.53816082,1.03223,0.088862,1,0.1,96.5384142217,0.670956,120.067,3581.53816082,3.34723,-1114.06,0.0324272
-1115.92186918,100,-1115.92186918,1.02188,2.87856e-06,100,0.01,-1115.92186918,-1528.75,500.0,0.00631006,97.2291997985,9326.63392183,0.994337,0.0284605,1,0.1,97.8586628095,0.627432,128.254,9326.63392183,1.49294,-1107.47,0.0150145
-1141.75706145,100,-1141.75706145,1.00903,8.79787e-07,100,0.01,-1141.75706145,-1726.11,500.0,0.00602159,99.1365554837,18608.4517459,1.00762,0.00893245,1,0.1,99.1053519391,0.606747,105.161,18608.4517459,1.16427,-1135.65,0.0115547
-1127.87345263,100,-1127.87345263,1.01565,1.99121e-06,100,0.01,-1127.87345263,-1536.79,500.0,0.0082203,98.0668006051,3534.17193037,0.991643,0.0195806,1,0.1,98.4591577869,0.81516,92.3931,3534.17193037,1.82118,-1122.17,0.0183653
-1139.11957053,100,-1139.11957053,1.01394,2.15179e-06,100,0.01,-1139.11957053,-1723.81,500.0,0.00497793,97.9141608728,28288.1061056,0.965603,0.0200631,1,0.1,98.6247384365,0.480671,168.369,28288.1061056,1.29542,-1130.62,0.0134156
-1143.07483453,100,-1143.07483453,1.00536,8.00096e-07,100,0.01,-1143.07483453,-1732.14,500.0,0.00645695,99.2141219673,9513.63499497,0.987698,0.00780531,1,0.1,99.4672343366,0.637752,73.5253,9513.63499497,1.15015,-1139.55,0.0116448
-1112.78927941,100,-1112.78927941,1.00311,3.6161e-07,100,0.01,-1112.78927941,-1699.83,500.0,0.00839544,99.6432971069,17329.9440232,1.00649,0.00366319,1,0.1,99.6895089388,0.844993,143.806,17329.9440232,1.13438,-1111.0,0.0112707
-1127.60453806,100,-1127.60453806,1.00921,9.91445e-07,100,0.01,-1127.60453806,-1633.01,500.0,0.006154,99.0280148316,9181.03965966,1.0017,0.0099481,1,0.1,99.087698542,0.616444,101.371,9181.03965966,1.36523,-1123.2,0.0136292
-1102.36079115,100,-1102.36079115,1.02838,4.36293e-06,100,0.01,-1102.36079115,-1682.68,500.0,0.00576656,95.8595429871,21262.2548956,1.01104,0.0445979,1,0.1,97.2406657234,0.583022,163.827,21262.2548956,2.38075,-1086.84,0.0235476
-1136.938679,100,-1136.938679,1.00579,6.07824e-07,100,0.01,-1136.938679,-1722.55,500.0,0.00820454,99.401860306,23348.7184244,1.00336,0.00611917,1,0.1,99.4240861215,0.823212,139.536,23348.7184244,1.34153,-1133.31,0.0133704
-1132.66056813,100,-1132.66056813,1.01082,1.14624e-06,100,0.01,-1132.66056813,-1718.68,500.0,0.00621455,98.8779391518,16181.0679852,0.98103,0.0110316,1,0.1,98.92927553,0.609666,116.34,16181.0679852,1.4195,-1126.14,0.0144695
-1100.47334952,100,-1100.47334952,1.03647,4.37684e-06,100,0.01,-1100.47334952,-1492.49,500.0,0.0062161,95.8468649552,16719.2825749,1.00287,0.04402,1,0.1,96.4812875753,0.623394,177.558,16719.2825749,1.68962,-1086.7,0.0168478
-1128.02667329,100,-1128.02667329,1.02483,3.12169e-06,100,0.01,-1128.02667329,-1710.81,500.0,0.00483816,97.0022196057,39008.832361,0.982174,0.0301138,1,0.1,97.5774557976,0.475191,209.584,39008.832361,1.66275,-1115.44,0.0169293
-1092.06708354,100,-1092.06708354,1.14503,2.05046e-05,100,0.01,-1092.06708354,-1434.71,500.0,0.00252114,83.1257939735,15296.3814168,0.916509,0.172237,1,0.1,87.3340637713,0.231065,237.537,15296.3814168,2.84909,-1052.45,0.0310863
-1085.80794035,100,-1085.80794035,1.01921,2.2216e-06,100,0.01,-1085.80794035,-1668.87,500.0,0.00676854,97.8479626588,35918.0916467,0.984126,0.0215163,1,0.1,98.1155644593,0.666109,221.632,35918.0916467,1.4778,-1075.36,0.0150164
-1111.90196519,100,-1111.90196519,1.01877,2.50781e-06,100,0.01,-1111.90196519,-1694.0,500.0,0.00490812,97.5774507207,44973.8340332,0.984492,0.0243063,1,0.1,98.1574578172,0.4832,205.32,44973.8340332,1.32945,-1100.34,0.0135039
-1089.92018397,100,-1089.92018397,1.02792,2.8673e-06,100,0.01,-1089.92018397,-1670.49,500.0,0.00583823,97.2397297905,54858.3991845,1.02871,0.0303434,1,0.1,97.283552536,0.600588,249.189,54858.3991845,1.55353,-1074.68,0.0151017
-1054.16351121,100,-1054.16351121,1.07355,1.54481e-05,100,0.01,-1054.16351121,-1636.59,500.0,0.00528531,86.7350499121,54257.7661315,1.05385,0.171567,1,0.1,93.1486928703,0.556993,291.536,54257.7661315,4.22237,-1016.53,0.0400661
-1053.73829988,100,-1053.73829988,1.03247,3.92908e-06,100,0.01,-1053.73829988,-1635.35,500.0,0.0044547,96.2558584321,45842.3468903,0.98269,0.0379424,1,0.1,96.8555181591,0.437759,233.463,45842.3468903,1.28173,-1036.77,0.013043
