MaxNormIw,VarVanillaIw,MinVanillaIw,ESSRenyi,AvgDiscRet,eRenyi2,AvgRet,BatchSize,VarNormIw,VarJ,AvgNormIw,VarDiscRet,MinNormIw,EpsThisIter,AvgEpLen,IterType,Bound,MaxVanillaIw,Delta,VanillaAvgRet,ESSClassic,J,VarRet,AvgVanillaIw
0.0200708,0.0987692,0.222316,90.5245239686,-123.056239525,1.10467,-123.056239525,100,1.09641e-05,27.3512,0.01,2372.74114048,0.00234233,100,38.29,1,-168.606,1.90498,0.5,-123.056239525,90.208345847,-117.531,2372.74114048,0.949127
1.0,0.00384794,,100.0,-122.689164698,1.0,-122.689164698,100,0.01,,0.01,4381.20625136,,100,35.88,1,-155.756,0.620318,0.5,-122.689164698,1.0,-106.094,4381.20625136,0.00620318
0.0131869,0.0685202,0.131741,94.8336156957,-109.281589081,1.05448,-109.281589081,100,6.86907e-06,4.16387,0.01,31.4626719958,0.00131905,100,18.14,1,-122.151,1.31705,0.5,-109.281589081,93.6326049471,-108.453,31.4626719958,0.998758
0.0126948,0.0111369,0.672871,98.8993936662,-107.897901846,1.01113,-107.897901846,100,1.11432e-06,2.82568,0.01,8.96323796644,0.00673062,100,16.04,1,-119.826,1.26912,0.5,-107.897901846,98.9088687038,-107.759,8.96323796644,0.999717
0.0118601,0.0196734,0.511343,98.5244484534,-107.780356875,1.01498,-107.780356875,100,1.96853e-06,2.84834,0.01,9.45053471481,0.00511497,100,15.91,1,-119.431,1.18565,0.5,-107.780356875,98.0883850735,-107.595,9.45053471481,0.999698
0.0125561,0.053065,0.235711,96.3134751133,-108.316976936,1.03828,-108.316976936,100,5.39129e-06,3.38389,0.01,21.8411066398,0.00237587,100,16.7,1,-121.417,1.24569,0.5,-108.316976936,94.9330626786,-107.753,21.8411066398,0.992105
0.011141,0.00797301,0.577147,99.4441701406,-107.291481156,1.00559,-107.291481156,100,7.93976e-07,2.40384,0.01,6.17167023294,0.00575942,100,15.78,1,-118.762,1.11643,0.5,-107.291481156,99.2201000102,-107.223,6.17167023294,1.00209
0.0124347,0.00621933,0.826418,99.3995696315,-107.754131548,1.00604,-107.754131548,100,6.08361e-07,2.59547,0.01,7.26013572279,0.00817351,100,16.21,1,-119.356,1.25727,0.5,-107.754131548,99.4013215847,-107.682,7.26013572279,1.01109
0.0117172,0.0105225,0.636642,99.1482942009,-107.761764018,1.00859,-107.761764018,100,1.05408e-06,2.82146,0.01,9.03868034015,0.00637194,100,16.11,1,-119.918,1.1707,0.5,-107.761764018,98.9672352132,-107.655,9.03868034015,0.999134
0.0115068,0.0120006,0.562483,99.1342337177,-107.405444643,1.00873,-107.405444643,100,1.24573e-06,2.37535,0.01,6.15617636227,0.00573084,100,15.98,1,-118.867,1.1294,0.5,-107.405444643,98.7818027523,-107.306,6.15617636227,0.981502
0.0114864,0.0169604,0.465457,98.4460892403,-107.473421694,1.01578,-107.473421694,100,1.71437e-06,2.62138,0.01,8.35454494531,0.00467966,100,16.17,1,-119.166,1.14248,0.5,-107.473421694,98.3310818376,-107.28,8.35454494531,0.994639
0.0115094,0.00217892,0.927255,99.7564776957,-107.310850334,1.00244,-107.310850334,100,2.17403e-07,2.48653,0.01,6.27988635103,0.00926213,100,16.36,1,-118.845,1.15224,0.5,-107.310850334,99.7852298294,-107.282,6.27988635103,1.00112
0.0132441,0.0173364,0.631449,98.6822730522,-107.160636908,1.01335,-107.160636908,100,1.75518e-06,2.43949,0.01,6.99492483936,0.0063536,100,16.12,1,-119.098,1.31626,0.5,-107.160636908,98.2920175672,-107.004,6.99492483936,0.993845
0.0124442,0.0110355,0.669129,99.1174132466,-107.456645089,1.0089,-107.456645089,100,1.10398e-06,2.74816,0.01,7.74794653044,0.00669259,100,16.36,1,-118.873,1.24418,0.5,-107.456645089,98.9188670853,-107.352,7.74794653044,0.999806
0.0113404,0.00690391,0.737309,99.1618663492,-107.011183543,1.00845,-107.011183543,100,6.89993e-07,2.4652,0.01,6.74804077279,0.00737096,100,15.55,1,-118.354,1.13437,0.5,-107.011183543,99.3215889327,-106.916,6.74804077279,1.00029
0.0104333,0.00137502,0.761243,99.8921604865,-106.800139279,1.00108,-106.800139279,100,1.38905e-07,2.06255,0.01,4.30936758987,0.00765118,100,15.91,1,-118.157,1.03804,0.5,-106.800139279,99.8626694788,-106.787,4.30936758987,0.994936
0.0116644,0.0115958,0.385506,99.0570541684,-107.18413962,1.00952,-107.18413962,100,1.18102e-06,2.79149,0.01,8.2295470105,0.00389053,100,16.08,1,-118.511,1.1558,0.5,-107.18413962,98.8442988746,-107.066,8.2295470105,0.990882
0.0128954,0.00951586,0.709105,99.0724617415,-106.940633252,1.00936,-106.940633252,100,9.35932e-07,2.50107,0.01,6.71616971983,0.00703248,100,16.32,1,-118.362,1.30028,0.5,-106.940633252,99.0819394325,-106.836,6.71616971983,1.00833
0.0112529,0.00406225,0.816268,99.5894429545,-107.179743448,1.00412,-107.179743448,100,4.04844e-07,2.62354,0.01,7.0773409359,0.00814879,100,16.3,1,-118.643,1.12721,0.5,-107.179743448,99.6007888587,-107.132,7.0773409359,1.0017
0.0120388,0.00914753,0.726603,98.9963713402,-107.367942546,1.01014,-107.367942546,100,9.40215e-07,2.57614,0.01,6.79788131369,0.00736646,100,16.88,1,-118.857,1.18746,0.5,-107.367942546,99.0777824039,-107.254,6.79788131369,0.986367
0.0127565,0.0141298,0.464993,99.1586546418,-107.24662532,1.00848,-107.24662532,100,1.41591e-06,2.27873,0.01,5.81923005198,0.00465474,100,16.48,1,-118.634,1.27433,0.5,-107.24662532,98.6176018562,-107.154,5.81923005198,0.998967
