eRenyi2,MinNormIw,AvgDiscRet,VanillaAvgRet,ESSClassic,MinVanillaIw,VarJ,VarVanillaIw,ESSRenyi,MaxVanillaIw,MaxNormIw,AvgNormIw,BatchSize,IterType,EpsThisIter,Delta,VarDiscRet,AvgEpLen,VarNormIw,Bound,J,VarRet,AvgVanillaIw,AvgRet
1.14414,0.00102872,-124.317717803,-124.317717803,87.9839435324,0.111789,31.8381,0.1629,87.4017179632,2.52418,0.0232285,0.01,100,1,100,0.6,4143.16953978,45.33,1.3795e-05,-159.392,-115.765,4143.16953978,1.08667,-124.317717803
1.16126,0.000801832,-123.129932857,-123.129932857,82.6249859919,0.0774176,21.0327,0.198012,86.1133236133,2.1248,0.0220071,0.01,100,1,100,0.6,2914.95077492,35.62,2.12412e-05,-158.223,-114.235,2914.95077492,0.965509,-123.129932857
1.07907,0.00266775,-110.269385588,-110.269385588,90.3174219753,0.264138,5.28724,0.106159,92.672304081,1.63083,0.0164711,0.01,100,1,100,0.6,77.5074606621,18.75,1.08289e-05,-124.273,-108.985,77.5074606621,0.990116,-110.269385588
1.03901,0.00338084,-111.719535311,-111.719535311,96.4168891118,0.335202,25.5737,0.0369006,96.245493122,1.39978,0.0141181,0.01,100,1,100,0.6,1550.13215232,26.71,3.7538e-06,-151.544,-110.012,1550.13215232,0.991474,-111.719535311
1.06723,0.00317236,-108.803596006,-108.803596006,94.8031904911,0.330988,5.22135,0.0602754,93.7002435047,1.42849,0.0136914,0.01,100,1,100,0.6,61.7132900492,19.84,5.53707e-06,-120.924,-107.796,61.7132900492,1.04335,-108.803596006
1.05694,0.00214718,-108.091788632,-108.091788632,93.3531933759,0.21393,4.93529,0.0713928,94.612977731,1.36727,0.013723,0.01,100,1,100,0.6,42.3294620451,25.1,7.19197e-06,-119.706,-107.303,42.3294620451,0.99633,-108.091788632
1.0,1.01183e-08,-107.483370039,-107.483370039,7.27542686513,1.09295e-06,3.28159,15.0206,99.9997854237,37.3155,0.345459,0.01,100,1,100,0.6,8.79477432061,17.35,0.00128736,-116.125,-106.689,8.79477432061,1.08017,-107.483370039
1.00816,0.00725649,-108.000661752,-108.000661752,99.230461348,0.722675,2.97122,0.00776934,99.1908397253,1.1364,0.0114108,0.01,100,1,100,0.6,9.41987687597,17.56,7.83344e-07,-117.502,-107.926,9.41987687597,0.995901,-108.000661752
1.01906,0.00679042,-107.362890576,-107.362890576,98.4948052875,0.690626,3.64513,0.0159672,98.1300721136,1.38122,0.0135806,0.01,100,1,100,0.6,13.5985861682,17.72,1.54361e-06,-116.91,-107.191,13.5985861682,1.01706,-107.362890576
1.00254,0.00794853,-107.684329393,-107.684329393,99.6114556805,0.803137,2.74423,0.00402265,99.7465849854,1.21359,0.0120107,0.01,100,1,100,0.6,7.90711679351,16.15,3.9401e-07,-117.207,-107.66,7.90711679351,1.01042,-107.684329393
1.01281,0.00491488,-107.748834801,-107.748834801,98.6357159172,0.501593,4.12236,0.0145514,98.7349355686,1.3633,0.0133583,0.01,100,1,100,0.6,24.3719234266,17.23,1.3971e-06,-119.748,-107.597,24.3719234266,1.02056,-107.748834801
1.02942,0.00323193,-107.197185117,-107.197185117,96.7589519568,0.308944,3.39097,0.0309172,97.1419657964,1.33218,0.0139362,0.01,100,1,100,0.6,12.7557410052,21.41,3.38346e-06,-116.905,-106.882,12.7557410052,0.955914,-107.197185117
1.00182,0.00847175,-107.233372383,-107.233372383,99.8441754851,0.84427,2.39162,0.00156575,99.818310049,1.0927,0.0109646,0.01,100,1,100,0.6,5.80245967625,16.16,1.57654e-07,-116.469,-107.212,5.80245967625,0.99657,-107.233372383
1.02557,0.00580576,-107.413281123,-107.413281123,97.6043881964,0.580684,3.32798,0.024801,97.507191041,1.28567,0.0128543,0.01,100,1,100,0.6,17.5977645086,17.03,2.47918e-06,-118.175,-107.11,17.5977645086,1.00019,-107.413281123
1.01383,0.00614908,-107.521398246,-107.521398246,98.7113767478,0.623924,2.69739,0.0135758,98.6356044256,1.2561,0.0123795,0.01,100,1,100,0.6,8.03051399163,17.18,1.31862e-06,-116.922,-107.388,8.03051399163,1.01466,-107.521398246
1.00754,0.00770021,-107.313459261,-107.313459261,99.3751147894,0.765573,2.39308,0.00627874,99.2514442062,1.19023,0.0119714,0.01,100,1,100,0.6,6.42025767018,16.58,6.35191e-07,-116.803,-107.242,6.42025767018,0.994224,-107.313459261
1.04034,0.00318795,-110.873239883,-110.873239883,96.2436997944,0.326624,12.6227,0.0413833,96.1220409351,1.36621,0.0133346,0.01,100,1,100,0.6,1490.17960385,22.5,3.94231e-06,-149.306,-108.355,1490.17960385,1.02456,-110.873239883
1.00899,0.00741799,-107.385785762,-107.385785762,99.1695953318,0.735647,2.54852,0.00831855,99.1092042124,1.23634,0.0124668,0.01,100,1,100,0.6,6.43713761344,18.37,8.45827e-07,-116.684,-107.304,6.43713761344,0.991706,-107.385785762
1.01138,0.0061221,-107.588757278,-107.588757278,98.7858400608,0.608267,2.75879,0.0122552,98.8750536448,1.17538,0.0118299,0.01,100,1,100,0.6,8.5572746414,17.37,1.24146e-06,-117.065,-107.474,8.5572746414,0.99356,-107.588757278
1.00848,0.00689843,-107.307840921,-107.307840921,98.1461088027,0.695069,2.72014,0.0193702,99.1590531635,1.92713,0.0191264,0.01,100,1,100,0.6,7.39907418643,16.58,1.908e-06,-116.692,-107.23,7.39907418643,1.00757,-107.307840921
1.00508,0.00752971,-107.460278986,-107.460278986,99.6168281536,0.751552,2.36345,0.0038707,99.4950057436,1.11421,0.0111631,0.01,100,1,100,0.6,5.91899648952,15.78,3.88533e-07,-116.667,-107.412,5.91899648952,0.998116,-107.460278986
1.01321,0.00659534,-107.239970551,-107.239970551,97.5223270752,0.675202,2.55241,0.0268967,98.6959617594,1.83071,0.0178823,0.01,100,1,100,0.6,6.74447056049,17.15,2.56629e-06,-116.502,-107.12,6.74447056049,1.02376,-107.239970551
1.01302,0.00483728,-107.818617431,-107.818617431,98.4513728495,0.489181,2.60333,0.0162488,98.7144748378,1.29463,0.012802,0.01,100,1,100,0.6,7.12136867397,16.63,1.58885e-06,-117.136,-107.696,7.12136867397,1.01127,-107.818617431
1.00971,0.00775178,-107.044270322,-107.044270322,99.1886662615,0.78052,2.24803,0.00837647,99.0386111609,1.14186,0.0113405,0.01,100,1,100,0.6,5.45610830072,16.47,8.2622e-07,-116.241,-106.964,5.45610830072,1.00689,-107.044270322
1.00443,0.00816585,-107.188513027,-107.188513027,99.6236945275,0.816482,2.24665,0.00381435,99.5588537937,1.15043,0.0115057,0.01,100,1,100,0.6,5.2607966945,17.06,3.81532e-07,-116.445,-107.142,5.2607966945,0.999874,-107.188513027
1.03119,0.00543246,-106.686641834,-106.686641834,96.2661737166,0.547391,5.7361,0.0397786,96.9754813626,1.98566,0.0197063,0.01,100,1,100,0.6,12.8834990327,17.27,3.91785e-06,-115.955,-106.441,12.8834990327,1.00763,-106.686641834
1.01876,0.00341331,-106.917033748,-106.917033748,97.5767035799,0.346915,2.23134,0.0259128,98.1586408565,1.58662,0.0156108,0.01,100,1,100,0.6,6.17368183293,17.79,2.50853e-06,-116.214,-106.718,6.17368183293,1.01636,-106.917033748
1.01219,0.00708325,-106.832563953,-106.832563953,98.212218821,0.706357,2.29737,0.018285,98.7953214832,1.54198,0.0154628,0.01,100,1,100,0.6,5.34755993316,17.02,1.83871e-06,-116.043,-106.723,5.34755993316,0.997221,-106.832563953
1.01337,0.00793123,-106.998122558,-106.998122558,98.3165651942,0.805966,2.46729,0.0178602,98.6807058853,1.50487,0.0148089,0.01,100,1,100,0.6,5.68955248468,16.3,1.72955e-06,-116.161,-106.88,5.68955248468,1.01619,-106.998122558
1.01865,0.00381237,-107.062377043,-107.062377043,98.3110607148,0.384804,2.18663,0.0176791,98.1693699125,1.3702,0.013575,0.01,100,1,100,0.6,6.99185662336,17.98,1.73529e-06,-116.883,-106.856,6.99185662336,1.00936,-107.062377043
1.02111,0.0047273,-106.930415353,-106.930415353,97.3171280061,0.466915,3.0213,0.0271662,97.9326363824,1.20706,0.0122209,0.01,100,1,100,0.6,16.5593829594,17.62,2.78471e-06,-117.947,-106.663,16.5593829594,0.987699,-106.930415353
1.00901,0.00614714,-106.918814789,-106.918814789,98.8454361797,0.607514,2.14009,0.0115237,99.10674528,1.25815,0.0127306,0.01,100,1,100,0.6,5.1820059997,17.06,1.17985e-06,-116.283,-106.834,5.1820059997,0.988286,-106.918814789
1.00527,0.00821225,-106.898006154,-106.898006154,99.5470486561,0.82318,2.29741,0.00461798,99.4758684742,1.09033,0.0108774,0.01,100,1,100,0.6,5.54500151473,17.68,4.59607e-07,-116.203,-106.852,5.54500151473,1.00238,-106.898006154
1.30107,0.00384853,-106.874176634,-106.874176634,36.7899670174,0.458133,14.5394,2.45932,76.8599084143,15.8371,0.133039,0.01,100,1,100,0.6,9.21270308811,18.7,0.000173549,-116.125,-105.262,9.21270308811,1.19041,-106.874176634
1.00198,0.0087758,-106.445328794,-106.445328794,99.8194907434,0.86942,1.97383,0.00179265,99.8023727877,1.07481,0.010849,0.01,100,1,100,0.6,3.93041483306,16.75,1.82645e-07,-115.577,-106.427,3.93041483306,0.990702,-106.445328794
1.00285,0.00760037,-106.918261833,-106.918261833,99.5768210147,0.761039,2.3932,0.0043043,99.715721431,1.24584,0.012442,0.01,100,1,100,0.6,6.01113801479,17.94,4.29297e-07,-116.272,-106.891,6.01113801479,1.00132,-106.918261833
1.56743,0.0023672,-106.630851318,-106.630851318,19.3792003108,0.2703,28.0067,5.47893,63.7987646236,23.957,0.209808,0.01,100,1,100,0.6,6.93993503793,16.05,0.000420219,-114.72,-103.154,6.93993503793,1.14185,-106.630851318
1.01088,0.00639812,-106.704709983,-106.704709983,98.740998487,0.642297,2.24815,0.0129796,98.9240139861,1.30201,0.0129698,0.01,100,1,100,0.6,5.39892684673,18.59,1.28794e-06,-115.941,-106.601,5.39892684673,1.00388,-106.704709983
1.01595,0.00510334,-106.738379983,-106.738379983,98.1744506881,0.50505,2.44889,0.018396,98.4303214759,1.24866,0.0126173,0.01,100,1,100,0.6,6.81782104038,20.15,1.87829e-06,-116.212,-106.585,6.81782104038,0.989645,-106.738379983
1.01618,0.0069252,-106.63812301,-106.63812301,98.2799864006,0.700311,2.91402,0.0180779,98.4078048579,1.60725,0.0158937,0.01,100,1,100,0.6,8.25578237298,19.41,1.76779e-06,-115.955,-106.489,8.25578237298,1.01125,-106.63812301
1.0147,0.00567014,-106.860692349,-106.860692349,97.8811628017,0.563465,2.28276,0.0215928,98.5512327057,1.17529,0.0118269,0.01,100,1,100,0.6,7.21052436938,18.11,2.18657e-06,-116.804,-106.709,7.21052436938,0.993741,-106.860692349
1.02334,0.00703884,-105.996956958,-105.996956958,98.1335807044,0.702076,4.51642,0.0191123,97.7189383935,1.56395,0.0156798,0.01,100,1,100,0.6,11.9049127539,18.44,1.92108e-06,-115.107,-105.786,11.9049127539,0.997431,-105.996956958
1.01046,0.00652212,-106.442384685,-106.442384685,98.8416862516,0.649468,3.43353,0.0117383,98.9652930466,1.21806,0.0122321,0.01,100,1,100,0.6,9.85127829313,18.6,1.18377e-06,-115.706,-106.353,9.85127829313,0.995793,-106.442384685
1.07098,0.00258359,-105.819195913,-105.819195913,89.4232583275,0.263261,6.17612,0.124049,93.3719928589,2.91032,0.0285613,0.01,100,1,100,0.6,25.9811856384,20.92,1.19472e-05,-116.574,-105.098,25.9811856384,1.01897,-105.819195913
1.01851,0.00639022,-106.484549298,-106.484549298,98.0900343261,0.631283,3.91765,0.0191948,98.1827558024,1.29619,0.0131208,0.01,100,1,100,0.6,11.6294082462,21.03,1.96683e-06,-115.49,-106.324,11.6294082462,0.987889,-106.484549298
1.03405,0.00510635,-105.902716471,-105.902716471,97.0129973045,0.515415,4.51921,0.0316859,96.7074915321,1.5695,0.0155494,0.01,100,1,100,0.6,16.3361961451,21.99,3.11008e-06,-115.206,-105.584,16.3361961451,1.00936,-105.902716471
1.01545,0.00589988,-106.616204666,-106.616204666,98.4807983361,0.589736,6.2998,0.015569,98.478241091,1.23449,0.0123502,0.01,100,1,100,0.6,64.4678097214,22.84,1.55823e-06,-120.63,-106.375,64.4678097214,0.999572,-106.616204666
1.19389,0.0036934,-105.680139799,-105.680139799,78.6396713053,0.370415,12.9374,0.275967,83.7597451764,3.93437,0.0392295,0.01,100,1,100,0.6,34.8174264832,24.91,2.74367e-05,-115.314,-104.214,34.8174264832,1.00291,-105.680139799
1.05253,0.00261374,-105.982871983,-105.982871983,94.4171174951,0.250831,11.9366,0.055006,95.0094974296,1.41594,0.0147546,0.01,100,1,100,0.6,159.95632177,26.18,5.97274e-06,-122.282,-105.138,159.95632177,0.959662,-105.982871983
1.07806,0.00399688,-105.398285715,-105.398285715,87.0807349345,0.426695,6.44932,0.170794,92.7593565656,3.63172,0.0340185,0.01,100,1,100,0.6,27.1766774967,26.63,1.49858e-05,-114.35,-104.695,27.1766774967,1.06757,-105.398285715
1.28895,0.000893421,-106.249483926,-106.249483926,26.2088024811,0.10696,19.3497,4.07618,77.582630889,19.3899,0.161961,0.01,100,1,100,0.6,112.97122275,30.1,0.000284395,-121.2,-102.539,112.97122275,1.1972,-106.249483926
1.06349,0.00270179,-105.848549319,-105.848549319,93.4654832994,0.270394,12.9814,0.0707323,94.0303359245,1.37304,0.0137194,0.01,100,1,100,0.6,571.353529266,33.07,7.06197e-06,-131.507,-103.906,571.353529266,1.0008,-105.848549319
45.3065,,-102.924350344,-102.924350344,1.23533797696,,140.982,43.0136,2.20719069764,65.5999,0.898857,0.01,100,1,100,0.6,272.816818489,34.92,0.00807571,-37.3376,25.779,272.816818489,0.729814,-102.924350344
3.40611e-05,nan,-106.809569679,-102.924350344,nan,0.0152439,nan,nan,5871794.62029,inf,nan,nan,200,,100,0.6,11.1697372045,34.92,nan,nan,nan,272.816818489,inf,-102.924350344
1.35093,0.000205065,-104.093825381,-104.093825381,147.855823063,0.0436451,22.9161,0.401396,148.046137349,2.47157,0.0116126,0.005,200,1,100,0.6,57.8700061714,28.44,8.86103e-06,-110.38,-101.298,57.8700061714,1.06418,-104.093825381
1.0,0.01,-103.669814274,-103.669814274,100.0,1.0,5.66916,,200.0,1.0,0.01,0.01,200,2,100,0.6,32.4639679723,26.95,3.50449e-18,-113.077,-103.67,32.4639679723,1.0,-103.669814274
1.27407,0.000894362,-104.369497685,-104.369497685,159.03941126,0.180774,9.21341,0.264377,156.977580948,3.2197,0.0159292,0.005,200,1,100,0.6,49.2709255848,28.64,6.4711e-06,-110.106,-102.51,49.2709255848,1.01063,-104.369497685
1.0,0.01,-105.439420613,-105.439420613,100.0,1.0,21.2328,,200.0,1.0,0.01,0.01,200,2,100,0.6,455.384070094,34.9,3.50449e-18,-130.089,-105.439,455.384070094,1.0,-105.439420613
1.05755,0.00066079,-105.389657979,-105.389657979,183.605605883,0.126474,7.97165,0.0821868,189.115594729,1.31825,0.00688746,0.005,200,1,100,0.6,225.173142022,37.44,2.24349e-06,-121.81,-103.885,225.173142022,0.956993,-105.389657979
1.0,0.01,-103.901200085,-103.901200085,100.0,1.0,7.5065,,200.0,1.0,0.01,0.01,200,2,100,0.6,56.9166920308,32.47,3.50449e-18,-113.411,-103.901,56.9166920308,1.0,-103.901200085
