J,BatchSize,VarNormIw,AvgNormIw,ESSClassic,MaxNormIw,VarDiscRet,VarVanillaIw,VanillaAvgRet,VarJ,MinNormIw,MinVanillaIw,MaxVanillaIw,AvgDiscRet,AvgEpLen,AvgVanillaIw,AvgRet,Bound,VarRet,ESSRenyi,eRenyi2
535.9747,100,0.008152354,0.01,1.22386584100826,0.90344125,9422.361463677575,56.51441,96.64498169578317,414.02127,,,75.22081,96.64498169578317,10.67,0.8326032,96.64498169578317,259.71826,9422.361463677575,3.681710880979213,27.161285
2847.4602,100,0.0087925885,0.01,1.1357622187022394,0.9380225,162136.3120664068,24.249447,224.71822701001344,1433.4468,,,49.26129,224.71822701001344,23.48,0.5251611,224.71822701001344,1651.2631,162136.3120664068,4.425362813356073,22.597017
4585.6216,100,0.0013451037,0.010000002,6.984934732729186,0.24658358,2273994.237749565,28.274994,965.1442495740764,1832.5555,2.1904612e-13,3.1758426e-11,35.750946,965.1442495740764,97.43,1.449851,965.1442495740764,3138.3455,2273994.237749565,8.454158842332617,11.828498
4918.5356,100,0.0001322073,0.010000003,43.311560864539274,0.039311413,3398058.767411612,1.0135676,3905.7584024151174,297.44473,4.8966444e-07,4.2874315e-05,3.442051,3905.7584024151174,390.89,0.8755856,3905.7584024151174,4323.3433,3398058.767411612,49.98715254057914,2.000514
4932.1313,100,3.62276e-05,0.01,73.60228363565163,0.026899254,1419306.9444025808,0.4256333,4578.929298743919,239.47076,0.00014983036,0.016240442,2.9156692,4578.929298743919,458.06,1.0839219,4578.929298743919,4430.8784,1419306.9444025808,70.4789296044829,1.4188638
4992.6533,100,4.216222e-06,0.01,95.99318815407443,0.012458828,171392.19597244036,0.042349104,4958.394245974681,71.68672,0.0017255553,0.17293753,1.2486409,4958.394245974681,495.87,1.0022137,4958.394245974681,4563.7827,171392.19597244036,96.27655490344178,1.0386745
4991.2476,100,1.6635126e-06,0.01,98.37981546526717,0.011899049,21065.46005808328,0.015688965,4985.2649948502485,85.379326,0.0058871666,0.57172924,1.1555703,4985.2649948502485,498.56,0.97114503,4985.2649948502485,4567.9507,21065.46005808328,98.82866827418515,1.0118521
4978.335,100,5.248548e-06,0.01,95.06060269725218,0.014163483,86540.1711477651,0.05179413,4953.925501704242,149.27545,0.0030677973,0.30475253,1.4069891,4953.925501704242,495.45,0.99339205,4953.925501704242,4547.6313,86540.1711477651,95.45880917507968,1.0475723
4982.037,100,1.0558377e-05,0.009999998,90.53644038666917,0.015360157,367077.95930249005,0.108124726,4895.2769314851,105.50316,0.0012130492,0.122755885,1.5543885,4895.2769314851,489.58,1.0119613,4895.2769314851,4539.5264,367077.95930249005,90.43279001050983,1.1057936
4999.8374,100,3.2726633e-10,0.010000002,99.99967189443745,0.01003142,0.049719260726515224,3.2718312e-06,4999.83658753955,0.22126442,0.009951963,0.99506766,1.0030123,4999.83658753955,500.0,0.9998708,4999.83658753955,4579.0264,0.049719260726515224,99.99977350286287,1.0000023
4999.8804,100,3.5044917e-18,0.009999998,100.0,0.01,0.017255294269106963,,4999.880308273972,0.13070591,0.01,1.0,1.0,4999.880308273972,500.0,1.0,4999.880308273972,4579.07,0.017255294269106963,100.0,1.0
4999.876,100,4.6238407e-14,0.01,100.00001144408667,0.010000383,0.030156596532712108,4.624716e-10,4999.87513249462,0.17280298,0.009999325,0.999933,1.0000387,4999.87513249462,500.0,1.0000005,4999.87513249462,4579.065,0.030156596532712108,99.99980926550052,1.0000019
4992.283,100,2.3740872e-06,0.01,97.70362648202361,0.012224825,63057.61563553959,0.023658482,4974.723734821208,75.72102,0.0030090576,0.30038318,1.2203594,4974.723734821208,497.5,0.9982633,4974.723734821208,4566.0103,63057.61563553959,97.45356537094263,1.0261297
