eRenyi2,VanillaAvgRet,AvgEpLen,VarNormIw,VarJ,VarDiscRet,VarRet,MinVanillaIw,AvgVanillaIw,Delta,ESSClassic,VarVanillaIw,AvgRet,ESSRenyi,AvgNormIw,IterType,MaxNormIw,EpsThisIter,MaxVanillaIw,J,AvgDiscRet,MinNormIw,BatchSize,Bound
5.98233,129.039102473,14.13,0.00488974,499.032,6442.25079311,6442.25079311,0.000110939,1.49924,0.2,2.02394740311,109.908,129.039102473,16.7159007388,0.01,1,0.700935,100,105.087,346.852,129.039102473,7.39969e-07,100,142.837
2.40997,229.303089077,24.86,0.000790612,491.194,14106.7145876,14106.7145876,0.00445997,1.44132,0.2,11.3288022402,16.4243,229.303089077,41.4942629485,0.01,1,0.27455,100,39.5715,355.919,229.303089077,3.09436e-05,100,160.691
1.91409,263.225380504,28.48,0.000196022,484.047,11687.4435133,11687.4435133,0.0452209,1.00898,0.2,34.0064827468,1.99556,263.225380504,52.2440259413,0.01,1,0.126344,100,12.7478,339.03,263.225380504,0.000448186,100,143.158
5.321,308.355314632,33.31,0.00477275,1051.01,17911.448783,17911.448783,3.01012e-06,1.96935,0.2,2.07252876401,185.103,308.355314632,18.793472999,0.01,1,0.692811,100,136.439,703.692,308.355314632,1.52849e-08,100,309.961
1.18167,359.292084968,38.81,2.16176e-05,220.681,26054.0463527,26054.0463527,0.0821946,1.00393,0.2,82.3713753019,0.217877,359.292084968,84.6260587201,0.01,1,0.0220112,100,2.20977,398.645,359.292084968,0.000818731,100,135.499
1.30344,369.878813084,39.94,4.21595e-05,148.305,18534.7117881,18534.7117881,0.0444629,0.979497,0.2,70.5527282714,0.404484,369.878813084,76.7197846514,0.01,1,0.0313788,100,3.07354,419.46,369.878813084,0.000453936,100,229.995
2.51109,408.561015477,44.09,0.00387529,775.009,26489.7470334,26489.7470334,0.0626586,2.26831,0.2,2.54030431098,199.393,408.561015477,39.8234110694,0.01,1,0.625447,100,141.871,638.454,408.561015477,0.000276234,100,296.671
1.94064,431.346891987,46.58,0.000793038,609.372,29419.377081,29419.377081,0.0115607,1.2854,0.2,11.2980647838,13.103,431.346891987,51.5294785549,0.01,1,0.278409,100,35.7867,577.168,431.346891987,8.99384e-05,100,237.861
1.69318,440.518816459,47.58,0.000138259,737.463,45673.0901193,45673.0901193,0.0150357,1.02446,0.2,42.2161535893,1.45106,440.518816459,59.0602968403,0.01,1,0.0683082,100,6.99793,581.0,440.518816459,0.000146766,100,122.036
1.9026,494.274251867,53.43,0.000162863,523.034,41778.6511792,41778.6511792,0.00553276,1.11059,0.2,38.2798738152,2.00876,494.274251867,52.5596472418,0.01,1,0.0767319,100,8.52177,631.395,494.274251867,4.98182e-05,100,303.426
4.5597,508.575184127,54.88,0.00486994,2092.89,46086.8750005,46086.8750005,0.00109443,2.40871,0.2,2.03200900818,282.549,508.575184127,21.9312444143,0.01,1,0.699732,100,168.545,1226.36,508.575184127,4.54364e-06,100,576.76
1.5601,589.406792039,63.68,6.50065e-05,414.824,62005.1944891,62005.1944891,0.00812551,1.13584,0.2,60.8433685176,0.838672,589.406792039,64.0983736331,0.01,1,0.0365913,100,4.15619,716.152,589.406792039,7.15374e-05,100,356.553
4.05645,628.643782025,67.94,0.00415081,1331.18,67166.2391565,67166.2391565,0.00351927,1.68832,0.2,2.37568951088,118.316,628.643782025,24.6520863534,0.01,1,0.646483,100,109.147,1083.17,628.643782025,2.08448e-05,100,564.653
1.73177,721.662931561,77.94,0.000106161,499.366,91703.4088918,91703.4088918,0.00920407,1.10574,0.2,48.7569293911,1.298,721.662931561,57.744272129,0.01,1,0.0490884,100,5.42792,918.036,721.662931561,8.32387e-05,100,478.879
1.64581,797.000914124,86.06,0.000123446,569.035,64393.0420897,64393.0420897,0.0488221,1.16387,0.2,45.0020746201,1.6722,797.000914124,60.7602799696,0.01,1,0.0718291,100,8.35997,945.811,797.000914124,0.000419481,100,531.175
2.44505,836.389365842,90.34,0.000363261,846.538,92103.0064121,92103.0064121,0.00157406,0.998477,0.2,21.7567001863,3.62156,836.389365842,40.89894315,0.01,1,0.115478,100,11.5302,1102.67,836.389365842,1.57646e-05,100,576.539
3.50701,910.501042859,98.42,0.00324699,1996.42,89357.6120779,89357.6120779,0.00903428,1.83834,0.2,3.01702800088,109.732,910.501042859,28.5143457418,0.01,1,0.570909,100,104.953,1445.49,910.501042859,4.91436e-05,100,774.935
1.59756,946.188776953,102.31,7.17758e-05,606.962,125575.687912,125575.687912,0.059285,1.07397,0.2,58.4596745326,0.827874,946.188776953,62.595614998,0.01,1,0.0381336,100,4.09545,1112.88,946.188776953,0.000552016,100,599.351
1.39497,1032.77948343,111.83,5.11828e-05,470.323,101822.20025,101822.20025,0.0445749,0.906255,0.2,66.3697906094,0.420363,1032.77948343,71.6862244155,0.01,1,0.0346403,100,3.1393,1151.85,1032.77948343,0.000491859,100,691.037
1.24238,1066.26893818,115.42,3.06579e-05,511.559,101623.641551,101623.641551,0.172486,1.00143,0.2,76.7157522313,0.307457,1066.26893818,80.4909322329,0.01,1,0.0291598,100,2.92015,1155.7,1066.26893818,0.00172239,100,633.409
1.15536,1143.25598363,123.91,1.75032e-05,463.299,122144.307037,122144.307037,0.107355,0.979672,0.2,85.2310492064,0.167988,1143.25598363,86.5527440793,0.01,1,0.02492,100,2.44134,1211.48,1143.25598363,0.00109583,100,685.314
2.76707,1077.46531619,117.16,0.00511685,1763.99,82664.1929425,82664.1929425,0.0141447,2.93619,0.2,1.93585403806,441.133,1077.46531619,36.1393153208,0.01,1,0.717722,100,210.736,1734.33,1077.46531619,4.81737e-05,100,1076.35
4.63124,1192.07100973,129.33,0.00340698,3118.88,152774.747834,152774.747834,0.000343082,1.50824,0.2,2.87943072512,77.5016,1192.07100973,21.5924697678,0.01,1,0.58489,100,88.2154,2050.08,1192.07100973,2.27471e-06,100,941.654
1.06629,1213.05206686,131.93,6.88132e-06,449.123,185347.367937,185347.367937,0.54172,1.02869,0.2,93.6219714759,0.0728191,1213.05206686,93.7828217483,0.01,1,0.0178769,100,1.83899,1256.07,1213.05206686,0.00526609,100,550.214
1.12716,1237.78239764,134.75,3.37296e-05,313.657,93952.0962381,93952.0962381,0.14763,1.06954,0.2,74.966881723,0.385838,1237.78239764,88.7183183915,0.01,1,0.0506176,100,5.41375,1296.8,1237.78239764,0.00138032,100,803.784
1.3172,1224.97046804,133.38,0.00015079,573.964,89922.8028849,89922.8028849,0.0858088,1.05195,0.2,40.1151764253,1.66863,1224.97046804,75.9183366872,0.01,1,0.119613,100,12.5827,1319.43,1224.97046804,0.000815714,100,834.952
1.66095,1236.17018363,134.64,0.00408857,932.556,137093.923657,137093.923657,0.127481,2.69726,0.2,2.41098439947,297.452,1236.17018363,60.2064411629,0.01,1,0.642604,100,173.327,1527.95,1236.17018363,0.000472631,100,958.414
1.27123,1295.13974342,141.03,0.000143149,597.142,122566.126343,122566.126343,0.168163,1.11289,0.2,41.3706660207,1.77292,1295.13974342,78.6638320482,0.01,1,0.117554,100,13.0825,1405.41,1295.13974342,0.00151105,100,803.735
1.88407,1278.62462046,139.15,0.000411246,1686.33,230951.368701,230951.368701,0.0311093,1.13954,0.2,19.7186774073,5.34024,1278.62462046,53.0765394529,0.01,1,0.198682,100,22.6406,1635.97,1278.62462046,0.000272998,100,864.544
1.88629,1264.85302957,137.24,0.000388648,1888.84,220239.996013,220239.996013,0.019197,1.19819,0.2,20.6287080694,5.57964,1264.85302957,53.0142295097,0.01,1,0.194714,100,23.3304,1548.13,1264.85302957,0.000160217,100,801.793
1.34654,1200.80351346,130.84,5.5142e-05,576.044,134096.616833,134096.616833,0.16453,1.14603,0.2,64.6869858094,0.724229,1200.80351346,74.2644124312,0.01,1,0.0428967,100,4.9161,1321.05,1200.80351346,0.00143565,100,798.598
1.12551,1218.61826358,132.6,1.46238e-05,385.673,124389.422694,124389.422694,0.160995,1.00335,0.2,87.3533212159,0.147221,1218.61826358,88.8484903047,0.01,1,0.0216283,100,2.17008,1277.35,1218.61826358,0.00160457,100,754.839
1.49768,1385.97484966,150.54,0.000119363,1298.68,190579.455423,190579.455423,0.276444,1.06813,0.2,45.8360318804,1.3618,1385.97484966,66.7698228643,0.01,1,0.104683,100,11.1814,1571.1,1385.97484966,0.00258812,100,819.999
1.19674,1268.39269948,138.08,2.72319e-05,452.983,105791.671054,105791.671054,0.343364,0.969278,0.2,78.7652080644,0.255844,1268.39269948,83.5601120031,0.01,1,0.0365521,100,3.54291,1344.34,1268.39269948,0.00354247,100,837.658
3.54672,1209.51931426,131.94,0.00384903,2738.84,152207.391621,152207.391621,0.00628346,2.30568,0.2,2.55719030492,204.621,1209.51931426,28.1950322932,0.01,1,0.622881,100,143.616,2017.12,1209.51931426,2.72521e-05,100,1093.63
3.21641,1282.57387344,139.5,0.00253903,2577.15,146031.938606,146031.938606,0.00923486,1.74139,0.2,3.82608124044,76.9942,1282.57387344,31.0905852019,0.01,1,0.503363,100,87.6549,1884.39,1282.57387344,5.30317e-05,100,1028.33
1.38319,1321.13231889,143.6,5.14258e-05,536.906,79415.3459642,79415.3459642,0.132408,1.07787,0.2,66.2640035565,0.597468,1321.13231889,72.2966955789,0.01,1,0.0440243,100,4.74525,1437.49,1321.13231889,0.00122842,100,900.043
