AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
805.523389806,805.523389806,55.2092626899,805.523389806,94218.7158055,0.277573,1703.98,11.6444455771,12.6716,100,0.0510375,0.01,35.6906,1,1.28581,1.81129,1072.27,94218.7158055,100,0.1,87.15,0.000766443,316.636,0.000396929
765.646218571,765.646218571,71.8845454031,765.646218571,76666.8024479,0.044843,442.233,63.2628635769,0.629354,100,0.110729,0.01,4.64495,1,1.03583,1.39112,899.922,76666.8024479,100,0.1,82.82,5.86572e-05,367.604,0.00106899
907.207178951,907.207178951,76.7604040189,907.207178951,130453.614628,0.0460011,618.869,67.801296538,0.512053,100,0.00740815,0.01,4.75273,1,1.03318,1.30275,1054.2,130453.614628,100,0.1,98.17,4.79695e-05,333.123,7.17026e-05
923.519902597,923.519902597,87.974455278,923.519902597,97851.9470918,0.0291122,429.639,83.6104065262,0.203663,100,0.251116,0.01,2.95253,1,1.01419,1.13669,994.571,97851.9470918,100,0.1,100.03,1.98003e-05,324.964,0.00247602
973.739830833,973.739830833,72.3647255986,973.739830833,98291.3154449,0.100812,624.23,45.4834009522,1.47376,100,0.138078,0.01,11.1226,1,1.1033,1.38189,1122.29,98291.3154449,100,0.1,105.5,0.000121071,435.086,0.0012515
980.448940438,980.448940438,90.1719484952,980.448940438,86961.8668995,0.0189093,343.381,86.9662243249,0.13974,100,0.318807,0.01,1.81675,1,0.960768,1.10899,1038.7,86961.8668995,100,0.1,106.18,1.51386e-05,397.975,0.00331825
1023.1215315,1023.1215315,83.4497629146,1023.1215315,112633.918609,0.0302767,469.99,78.2114295492,0.249524,100,0.235525,0.01,2.85104,1,0.941662,1.19833,1125.93,112633.918609,100,0.1,110.84,2.81399e-05,474.144,0.00250116
1060.3868136,1060.3868136,92.7469983794,1060.3868136,108432.370514,0.0190017,441.964,91.2994550279,0.0882841,100,0.414436,0.01,1.81975,1,0.95768,1.0782,1114.24,108432.370514,100,0.1,115.06,9.6259e-06,286.502,0.0043275
1104.63811754,1104.63811754,82.3917814556,1104.63811754,104657.659849,0.0377391,438.237,73.3333866844,0.373143,100,0.115891,0.01,3.80377,1,1.00791,1.21371,1214.55,104657.659849,100,0.1,119.79,3.67309e-05,552.873,0.00114982
1192.82650133,1192.82650133,60.4116045248,1192.82650133,193601.551981,0.219807,1725.25,16.8827813542,9.12236,100,0.141754,0.01,29.7707,1,1.3544,1.65531,1532.05,193601.551981,100,0.1,129.22,0.000497292,494.751,0.00104662
