MaxNormIw,IterType,VarNormIw,MaxVanillaIw,EpsThisIter,AvgRet,AvgVanillaIw,MinVanillaIw,MinNormIw,VanillaAvgRet,AvgEpLen,VarVanillaIw,ESSClassic,Bound,AvgDiscRet,VarDiscRet,eRenyi2,ESSRenyi,Delta,VarRet,BatchSize,J,VarJ,AvgNormIw
0.353591,1,0.00151639,69.0437,100,144.054315723,1.95264,4.35959e-07,2.23266e-09,144.054315723,15.74,57.8173,6.24520128938,201.927,144.054315723,10506.6411826,4.96995,20.1209221028,0.4,10506.6411826,100,323.375,267.354,0.01
0.644842,1,0.00418647,117.809,100,239.549332393,1.82694,4.91554e-10,2.69059e-12,239.549332393,25.96,139.732,2.35592945605,321.365,239.549332393,14572.4576954,9.00855,11.1005612549,0.4,14572.4576954,100,578.94,804.718,0.01
0.998098,,0.00996163,2.03436e+09,100,239.549332393,2.03824e+07,0.00848835,4.16455e-12,239.549332393,25.96,4.13848e+16,1.00381349462,11.1804,314.2241911,15480.9324963,7.36544,27.1538502424,0.4,14572.4576954,200,306.179,0.653811,0.01
0.602322,1,0.00186069,203.587,100,230.683885423,1.69002,4.53231e-09,1.3409e-11,230.683885423,25.01,212.578,2.66469042774,360.344,230.683885423,12860.2518205,14.6748,13.6288192046,0.4,12860.2518205,200,605.88,1172.47,0.005
0.01,2,3.50449e-18,1.0,100,285.08107537,1.0,1.0,0.01,285.08107537,30.83,,100.0,178.02,285.08107537,19140.2355971,1.0,200.0,0.4,19140.2355971,200,285.081,137.655,0.01
0.758145,,0.00304497,2.20638e+08,100,230.683885423,1.45512e+06,0.00491191,1.6878e-11,230.683885423,25.01,2.57893e+14,1.63679638805,-inf,295.834252423,31404.8972962,nan,nan,0.4,12860.2518205,300,274.671,376.4,0.005
0.693065,1,0.00160684,416.503,100,239.939949212,2.00319,3.97009e-12,6.60626e-15,239.939949212,25.99,580.31,2.06706348561,374.125,239.939949212,14326.801655,22.5389,13.3103142868,0.4,14326.801655,300,622.58,1434.53,0.00333333
0.01,2,3.50449e-18,1.0,100,314.781487999,1.0,1.0,0.01,314.781487999,34.0,,100.0,219.739,314.781487999,18674.4861445,1.0,300.0,0.4,18674.4861445,300,314.781,135.97,0.01
0.005,2,2.1793e-19,1.0,100,318.78650187,1.0,1.0,0.005,318.78650187,34.45,,200.000000102,249.579,318.78650187,17888.531094,1.0,300.0,0.4,17888.531094,300,316.784,134.546,0.005
0.958286,,0.00306284,2.51884e+11,100,239.939949212,8.76161e+08,0.00240094,9.13433e-15,239.939949212,25.99,2.11609e+20,1.0879926274,-inf,326.986639392,15800.051356,nan,nan,0.4,14326.801655,400,307.605,24.0811,0.00333333
0.316961,1,0.000420807,257.648,100,240.925203306,2.03217,1.53748e-24,1.89143e-27,240.925203306,26.11,278.049,5.8684836979,369.764,240.925203306,17778.4564901,22.7446,17.5865858542,0.4,17778.4564901,400,600.052,1305.82,0.0025
0.01,2,3.50449e-18,1.0,100,296.789349354,1.0,1.0,0.01,296.789349354,32.09,,100.0,203.357,296.789349354,17989.9286213,1.0,400.0,0.4,17989.9286213,400,296.789,133.454,0.01
0.005,2,2.1793e-19,1.0,100,317.531339743,1.0,1.0,0.005,317.531339743,34.31,,200.000000102,241.093,317.531339743,25499.7143812,1.0,400.0,0.4,25499.7143812,400,307.16,147.088,0.005
0.00333333,2,5.43914e-20,1.0,100,308.515626611,1.0,1.0,0.00333333,308.515626611,33.34,,299.999969474,243.957,308.515626611,19336.7348435,1.0,400.0,0.4,19336.7348435,400,307.612,144.239,0.00333333
1.0,,0.0025,6.50415e+23,100,240.925203306,1.62604e+21,0.00388127,5.96737e-27,240.925203306,26.11,inf,,-inf,330.209191076,19896.2142574,0.0180805,27654.1039801,0.4,17778.4564901,500,556.179,0.00163732,0.0025
0.378394,1,0.00040316,390.976,100,233.644677605,2.0665,7.5572e-33,7.31402e-36,233.644677605,25.31,430.415,4.9218211446,373.618,233.644677605,9377.79770295,28.7087,17.4163497791,0.4,9377.79770295,500,605.029,1621.37,0.002
0.01,2,3.50449e-18,1.0,100,356.186244406,1.0,1.0,0.01,356.186244406,38.44,,100.0,239.947,356.186244406,27726.9023817,1.0,500.0,0.4,27726.9023817,500,356.186,165.679,0.01
