Delta,AvgDiscRet,AvgVanillaIw,AvgEpLen,AvgRet,ESSClassic,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,VarVanillaIw,BatchSize,Bound,VarDiscRet,VarNormIw,EpsThisIter,J,IterType,eRenyi2,MaxNormIw,VarRet,ESSRenyi,MinNormIw,VarJ
1.0,-124.317717803,1.34614,45.33,-124.317717803,24.2716255119,13.0995,-124.317717803,3.39702e-08,0.01,5.71093,100,-109.917,4143.16953978,0.000315155,100,-109.917,1,inf,0.0973114,4143.16953978,,2.52352e-10,8.18382
1.0,-108.233916273,9.10087e-40,16.68,-108.233916273,inf,9.10087e-38,-108.233916273,,0.01,,100,-105.619,12.1322776629,0.01,100,-105.619,1,4.59356e+18,1.0,12.1322776629,2.17695947666e-17,,
1.0,-105.806959773,inf,16.68,-108.233916273,nan,inf,-108.233916273,1.0988e+37,nan,nan,200,nan,16.9168647843,nan,100,nan,,inf,nan,12.1322776629,,nan,nan
1.0,-108.205444441,2.11501,16.45,-108.205444441,1.32064672679,367.497,-108.205444441,2.48767e-17,0.005,676.342,200,-105.771,10.1053410228,0.00377992,100,-105.771,1,inf,0.868785,10.1053410228,,5.88099e-20,1.70232
1.0,-106.723032391,1.0,19.08,-106.723032391,100.0,1.0,-106.723032391,1.0,0.01,,200,-106.723,7.35511467008,3.50449e-18,100,-106.723,2,1.0,0.01,7.35511467008,200.0,0.01,2.69844
1.0,-107.207835457,2.01121e+14,16.45,-108.205444441,1.00129109777,4.01983e+16,-108.205444441,0.00272111,0.005,8.07947e+30,300,nan,6.46750034048,0.00499352,100,-109.561,,5.7654e-28,0.999355,10.1053410228,5.20345784198e+29,6.76485e-20,0.0226122
1.0,-109.529063852,6.39791e-41,17.65,-109.529063852,inf,1.91937e-38,-109.529063852,,0.00333333,,300,-105.077,61.8916007778,0.00333333,100,-105.077,1,inf,1.0,61.8916007778,,,
1.0,-107.890268887,1.0,16.89,-107.890268887,100.0,1.0,-107.890268887,1.0,0.01,,300,-107.89,7.70175180148,3.50449e-18,100,-107.89,2,1.0,0.01,7.70175180148,300.0,0.01,2.76129
1.0,-107.908477685,1.0,17.6,-107.908477685,200.000000102,1.0,-107.908477685,1.0,0.005,,300,-107.899,9.01953220558,2.1793e-19,100,-107.899,2,1.0,0.005,9.01953220558,300.0,0.005,2.877
1.0,-108.02567995,inf,17.65,-109.529063852,nan,inf,-109.529063852,5.21005e+37,nan,nan,400,nan,9.66145276482,nan,100,nan,,nan,nan,61.8916007778,nan,nan,nan
1.0,-108.213967576,0.33567,17.02,-108.213967576,1.42460158449,111.951,-108.213967576,2.78063e-33,0.0025,31.6031,400,-105.566,14.6372011237,0.00175301,100,-105.566,1,6.30686e+34,0.833787,14.6372011237,6.34229547816e-33,2.07095e-35,3.4596
1.0,-107.329585275,1.0,16.13,-107.329585275,100.0,1.0,-107.329585275,1.0,0.01,,400,-107.33,6.55011091838,3.50449e-18,100,-107.33,2,1.0,0.01,6.55011091838,400.0,0.01,2.54649
1.0,-106.83625278,1.0,17.67,-106.83625278,200.000000102,1.0,-106.83625278,1.0,0.005,,400,-107.083,5.46549080153,2.1793e-19,100,-107.083,2,1.0,0.005,5.46549080153,400.0,0.005,2.45124
1.0,-107.22435754,1.0,17.45,-107.22435754,299.999969474,1.0,-107.22435754,1.0,0.00333333,,400,-107.13,6.70749960441,5.43914e-20,100,-107.13,2,1.0,0.00333333,6.70749960441,400.0,0.00333333,2.49472
1.0,-106.901572027,9.21161e+29,17.02,-108.213967576,,3.59631e+32,-108.213967576,0.00893248,0.0025,inf,500,nan,4.88580759653,0.00238251,100,-110.054,,2.18383e-12,0.976026,14.6372011237,2.28956057026e+14,2.42424e-35,3.53808
1.0,-108.850054812,0.0122994,17.3,-108.850054812,1.57864658351,4.70741,-108.850054812,,0.002,0.0478577,500,-105.654,22.291884166,0.00126544,100,-105.654,1,1.00032,0.765468,22.291884166,499.839953171,,1.09129
1.0,-107.436121626,1.0,16.32,-107.436121626,100.0,1.0,-107.436121626,1.0,0.01,,500,-107.436,5.31375740994,3.50449e-18,100,-107.436,2,1.0,0.01,5.31375740994,500.0,0.01,2.2936
1.0,-107.261078444,1.0,16.63,-107.261078444,200.000000102,1.0,-107.261078444,1.0,0.005,,500,-107.349,7.22692514157,2.1793e-19,100,-107.349,2,1.0,0.005,7.22692514157,500.0,0.005,2.49305
