AvgEpLen,MinVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,AvgRet,eRenyi2,Delta,EpsThisIter,MaxNormIw,VarNormIw,AvgVanillaIw,ESSClassic,VarJ,MinNormIw,J,ESSRenyi,Bound,VanillaAvgRet,MaxVanillaIw,IterType,VarRet,BatchSize,AvgNormIw
366.19,8.88494e-20,-297.610369948,24805.661666,6.10408,-297.610369948,5.4418,0.5,100,0.0554747,0.000289654,1.45168,25.8560024324,70.4605,6.12046e-22,-92.2677,18.3762624988,-189.581,-297.610369948,8.05314,1,24805.661666,100,0.01
158.54,3.23043e-05,-117.012943098,10160.9780191,0.706905,-117.012943098,1.65728,0.5,100,0.0325614,6.63972e-05,1.03182,60.3379443881,71.7032,3.1308e-07,-91.7721,60.3397960378,-145.473,-117.012943098,3.35976,1,10160.9780191,100,0.01
142.81,0.0216778,-106.490645558,11065.3375565,0.636728,-106.490645558,1.62391,0.5,100,0.0253121,5.25873e-05,1.10037,65.7629254428,70.2953,0.000197006,-85.9807,61.5796652667,-139.139,-106.490645558,2.78526,1,11065.3375565,100,0.01
116.28,0.152419,-82.5850488125,3711.16515784,0.184731,-82.5850488125,1.1685,0.5,100,0.025229,1.89195e-05,0.988134,84.22450331,35.0431,0.00154249,-75.4242,85.5800253477,-120.465,-82.5850488125,2.49296,1,3711.16515784,100,0.01
134.39,0.0182706,-97.4861601327,8032.29311471,0.223881,-97.4861601327,1.20626,0.5,100,0.0165279,2.2245e-05,1.00321,81.9520223269,79.6906,0.000182121,-87.1307,82.9011971971,-132.945,-97.4861601327,1.6581,1,8032.29311471,100,0.01
122.39,0.0455732,-88.9561958769,7086.06161358,0.329776,-88.9561958769,1.29968,0.5,100,0.0192442,3.38803e-05,0.986589,74.8831022694,35.4644,0.000461927,-74.1094,76.9422638226,-121.665,-88.9561958769,1.89861,1,7086.06161358,100,0.01
129.19,0.634078,-94.7050752883,9260.53427096,0.0814222,-94.7050752883,1.0746,0.5,100,0.0221627,8.59214e-06,0.973466,92.1605807242,88.3554,0.00651361,-91.7677,93.0580178237,-135.01,-94.7050752883,2.15746,1,9260.53427096,100,0.01
123.99,0.824813,-89.7849566326,7045.04077324,0.0234792,-89.7849566326,1.02467,0.5,100,0.0182247,2.35484e-06,0.998529,97.7218181906,78.8639,0.00826028,-88.6861,97.5923951391,-130.912,-89.7849566326,1.81979,1,7045.04077324,100,0.01
127.22,0.0598859,-92.9603042914,8128.0479881,0.244242,-92.9603042914,1.23381,0.5,100,0.0193406,2.65429e-05,0.959259,79.1906275595,73.6024,0.000624293,-84.6432,81.0496972161,-130.978,-92.9603042914,1.85526,1,8128.0479881,100,0.01
124.21,0.852106,-89.9611832406,7048.96971523,0.0609948,-89.9611832406,1.04607,0.5,100,0.0282075,5.98757e-06,1.0093,94.4039983364,78.9065,0.00844252,-88.0373,95.5961930219,-130.701,-89.9611832406,2.84699,1,7048.96971523,100,0.01
112.5,0.579265,-79.6136117961,3728.44915446,0.0432859,-79.6136117961,1.039,0.5,100,0.0157456,4.39696e-06,0.992195,95.8286068272,51.742,0.00583822,-77.925,96.246641565,-120.445,-79.6136117961,1.56227,1,3728.44915446,100,0.01
117.4,0.641024,-83.8042690521,4813.37752941,0.0972567,-83.8042690521,1.05897,0.5,100,0.0225252,8.77721e-06,1.05264,92.005241613,60.4438,0.00608966,-81.3536,94.4313411881,-124.278,-83.8042690521,2.37111,1,4813.37752941,100,0.01
124.46,0.00167574,-89.6168764405,5995.35767587,0.18127,-89.6168764405,1.15161,0.5,100,0.0184249,1.75731e-05,1.01564,85.1807446554,60.4908,1.64994e-05,-83.1666,86.8352032224,-127.936,-89.6168764405,1.8713,1,5995.35767587,100,0.01
111.5,0.672537,-79.3873191102,3742.97566911,0.0859769,-79.3873191102,1.06099,0.5,100,0.0232777,8.27807e-06,1.01912,92.4254700642,52.1985,0.00659917,-76.7546,94.2514173204,-119.722,-79.3873191102,2.37228,1,3742.97566911,100,0.01
120.36,0.0190907,-86.729683148,6003.20692406,0.309263,-86.729683148,1.2845,0.5,100,0.0198878,3.327e-05,0.964134,75.2234073214,48.4558,0.000198009,-78.0484,77.8514555626,-125.325,-86.729683148,1.91745,1,6003.20692406,100,0.01
122.89,0.762196,-88.7032367395,7047.71304884,0.0825561,-88.7032367395,1.05351,0.5,100,0.0273248,7.90966e-06,1.02164,92.7380613364,73.8292,0.00746055,-86.2668,94.9205352732,-129.083,-88.7032367395,2.79159,1,7047.71304884,100,0.01
114.86,0.345834,-81.2148098165,3718.06778209,0.0666298,-81.2148098165,1.06452,0.5,100,0.0152718,7.0704e-06,0.970761,93.4582263237,51.7222,0.0035625,-77.968,93.9393046912,-121.003,-81.2148098165,1.48252,1,3718.06778209,100,0.01
118.5,0.0208726,-85.2555734651,5972.16474024,0.202421,-85.2555734651,1.16219,0.5,100,0.0202872,2.19902e-05,0.95943,82.1218262996,60.1484,0.000217552,-79.5475,86.0445682251,-124.517,-85.2555734651,1.94642,1,5972.16474024,100,0.01
107.95,0.797486,-75.7359177534,2617.37580219,0.019746,-75.7359177534,1.02139,0.5,100,0.0150407,1.9776e-06,0.999241,98.0797842739,47.3766,0.00798091,-74.8147,97.9059930161,-116.972,-75.7359177534,1.50293,1,2617.37580219,100,0.01
121.67,0.840551,-87.9238565211,7106.30946845,0.0576128,-87.9238565211,1.03709,0.5,100,0.0208573,5.44778e-06,1.02837,94.8826667746,79.1562,0.00817362,-86.4576,96.4236189019,-128.938,-87.9238565211,2.1449,1,7106.30946845,100,0.01
117.6,0.362765,-84.1727364159,4913.96844323,0.0932932,-84.1727364159,1.0809,0.5,100,0.0180473,9.79e-06,0.976188,91.1642474494,53.7412,0.00371613,-80.8186,92.5158676153,-124.184,-84.1727364159,1.76175,1,4913.96844323,100,0.01
127.25,0.646547,-92.8783196546,8157.10548102,0.0746159,-92.8783196546,1.0952,0.5,100,0.0217611,7.98603e-06,0.966608,92.673086157,82.237,0.00668883,-88.9107,91.3071806782,-132.565,-92.8783196546,2.10345,1,8157.10548102,100,0.01
107.68,0.418552,-75.9370498151,2549.03647519,0.0477491,-75.9370498151,1.03993,0.5,100,0.0124111,4.70942e-06,1.00693,95.5453923511,41.9081,0.00415672,-74.392,96.1605953546,-116.931,-75.9370498151,1.2497,1,2549.03647519,100,0.01
135.77,0.00305937,-99.8695245609,10189.2315509,0.474692,-99.8695245609,1.40363,0.5,100,0.0233582,5.98287e-05,0.89074,62.8020653701,72.5113,3.43463e-05,-84.9044,71.2440027055,-134.329,-99.8695245609,2.08061,1,10189.2315509,100,0.01
128.8,0.0300607,-94.014448615,8066.86159028,0.202318,-94.014448615,1.19494,0.5,100,0.0167243,2.02989e-05,0.998347,83.266811547,76.9202,0.000301104,-89.0265,83.686120384,-134.624,-94.014448615,1.66967,1,8066.86159028,100,0.01
130.37,0.831362,-95.2465136352,8088.3386865,0.0340609,-95.2465136352,1.04293,0.5,100,0.0181354,3.48318e-06,0.988872,96.6665797284,83.3592,0.00840718,-93.2083,95.8836239143,-135.808,-95.2465136352,1.79336,1,8088.3386865,100,0.01
123.53,0.0543999,-89.3580353709,7118.15030712,0.219779,-89.3580353709,1.19686,0.5,100,0.0251098,2.549e-05,0.928556,79.8498344933,67.2921,0.000585855,-79.714,83.552072236,-125.35,-89.3580353709,2.33158,1,7118.15030712,100,0.01
