AvgEpLen,ESSClassic,MinNormIw,MaxVanillaIw,VarNormIw,VarVanillaIw,J,eRenyi2,Bound,AvgVanillaIw,BatchSize,AvgRet,VarDiscRet,VarJ,MaxNormIw,ESSRenyi,AvgDiscRet,AvgNormIw,VarRet,MinVanillaIw
8.23,2.9337536353659,,1.9326271,0.003342023,0.04866184,240.48177,nan,84.40579,0.038158346,100,72.25414295235169,3264.825733248062,437.61548,0.5064756,nan,-6.963318810448982e-15,0.01,3264.8257332480625,
24.71,4.668079205670105,,37.626637,0.0020628374,31.08709,490.6206,589.1367,259.6941,1.2276019,100,236.96990787038357,34593.93376850095,350.34164,0.3065052,0.16973988688427852,3.922195901395753e-14,0.01,34593.93376850095,
40.84,1.96626357294946,2.1900626e-18,0.46224958,0.005036149,0.0023634413,1072.8392,nan,267.63385,0.006850513,100,398.2560889594474,105751.73208276817,2115.2153,0.67476636,nan,-1.8758328224066646e-14,0.01,105751.73208276817,1.5003054e-18
63.36,4.9537579515423475,,0.06566458,0.0019380505,8.032273e-05,548.4142,570.9377,273.74725,0.0020358076,100,623.4149912388292,57615.02760870577,650.89734,0.32254806,0.1751504638055693,7.389644451905042e-15,0.01,57615.02760870577,
81.61,1.3021606183642467,,7.461974,0.007656107,0.568336,1253.91,851.22943,233.19934,0.0861586,100,805.8514656231438,62947.432700246514,1590.3269,0.8660742,0.11747714110944912,-6.8212102632969615e-15,0.01,62947.432700246514,
86.04,2.0299924758020262,,0.11088143,0.0048748744,0.00014639103,871.6169,nan,245.68744,0.0017329081,100,850.1511660084802,63633.28665902715,1463.0164,0.6398576,nan,5.684341886080802e-15,0.01,63633.28665902715,
80.65,1.0506879628219694,,80.65741,0.009512704,65.064224,914.7168,8514.097,148.20789,0.827026,100,796.2543015200744,42499.7507667608,258.76193,0.97527057,0.0117452272110763,5.911715561524034e-14,0.01,42499.7507667608,
79.39,3.1021686808605144,,4.6519065,0.003155102,0.3077686,700.55316,0.04716652,272.32806,0.098765545,100,783.6266394475481,47512.921888221405,1058.0259,0.471005,2120.1479863702916,2.842170943040401e-14,0.010000002,47512.92188822141,
79.33,3.3571008966677316,,0.08111663,0.0029078394,9.705874e-05,729.517,742.92755,234.92172,0.0018269729,100,783.0452604222259,47257.30256667787,1758.254,0.4439947,0.13460262690368363,-1.4210854715202004e-13,0.01,47257.30256667788,
79.5,1.8690639802434443,,0.50571114,0.0053033046,0.0033774604,729.2055,327.96793,221.30637,0.007980348,100,784.751693794262,46542.8914941294,853.52094,0.6336956,0.30490786465582065,-1.887201506178826e-13,0.009999999,46542.8914941294,
82.2,1.8023928672619531,,17.006657,0.005503211,3.1161697,825.49915,inf,193.56439,0.2379592,100,811.7475476244853,55096.60468552667,1599.8959,0.7146879,,1.284661266254261e-13,0.01,55096.60468552666,
78.21,3.7531075247759276,,1.6742473,0.0025903622,0.06932092,657.4477,nan,215.21387,0.05173113,100,771.8425928397263,46752.13722064278,615.7734,0.32364407,nan,-7.16227077646181e-14,0.01,46752.13722064278,
78.03,2.5159802582845012,,94.49661,0.003913731,104.29785,485.65536,nan,135.59814,1.6324584,100,770.0450547055065,29096.274473606034,1002.6012,0.57886076,nan,-1.0118128557223827e-13,0.01,29096.274473606034,
78.41,1.2122144850934218,2.039947e-34,5519.319,0.008231685,307471.9,1201.9049,nan,211.27258,61.116486,100,773.8437133842901,59285.075527888424,1200.3777,0.90308183,nan,1.9667822925839573e-13,0.009999999,59285.07552788843,1.2467439e-30
81.51,2.3031453271850992,,9.65793,0.004284734,1.3295208,443.83127,nan,136.06854,0.17615119,100,804.8449271707823,36917.05966137189,531.2545,0.5482751,nan,2.1600499167107045e-13,0.01,36917.05966137189,
79.35,45.29642693214333,6.999479e-05,6.005582,0.00012198785,1.0636067,49.88826,nan,-47.21862,0.9337535,100,783.245573860094,36921.364471636145,299.25015,0.06431656,nan,-1.3983481039758771e-13,0.01,36921.36447163615,0.0065357885
77.58,2.038688100862236,,0.06647988,0.004853652,8.2159226e-05,577.9303,nan,227.65182,0.0013010496,100,765.543087710916,33133.18334653252,105.26711,0.5109711,nan,-4.774847184307873e-14,0.01,33133.18334653252,
81.55,1.3920452512177275,,3.847698,0.007155228,0.15358791,812.7418,nan,160.37622,0.04633048,100,805.2487068135832,41633.85317067877,1194.1069,0.8304895,nan,2.5011104298755527e-14,0.01,41633.85317067877,
