AvgNormIw,Bound,VarRet,VarNormIw,AvgRet,MinNormIw,VarJ,VarVanillaIw,MaxNormIw,AvgEpLen,J,MinVanillaIw,VanillaAvgRet,BatchSize,VarDiscRet,AvgVanillaIw,AvgDiscRet,eRenyi2,ESSRenyi,ESSClassic,MaxVanillaIw
0.01,-881.66266,5278687.530320235,0.00019075033,-2339.573492804427,2.837574e-21,180.63057,1.629876,0.0426615,200.0,-68.695595,2.622961e-19,-2339.573492804427,100,5278687.530320235,0.9243674,-2339.573492804427,2.8126323,35.55388281886084,34.62090707506435,3.94349
0.01,-275.642,312516.56575067516,1.3001572e-05,-122.60159203872249,0.0004115978,38.364014,0.13559288,0.013635037,200.0,-15.696354,0.042033307,-122.60159203872249,100,312516.56575067516,1.0212228,-122.60159203872249,1.1423781,87.5366927261112,88.59626826093911,1.392441
0.01,-11.4833765,65.7100634246101,5.451348e-05,-9.490251810883931,0.0002623072,8.499627,0.49929115,0.026829945,200.0,-8.585467,0.025103556,-9.490251810883931,100,65.7100634246101,0.9570288,-9.490251810883931,1.4808009,67.53102474686155,64.94842522476434,2.567703
0.01,-284.41464,102317.58013135701,3.3795836e-06,-41.278041518948385,0.000596869,20.824411,0.032932583,0.011488774,200.0,-11.062785,0.058919676,-41.278041518948385,100,102317.58013135701,0.98714584,-41.278041518948385,1.0256995,97.49444195276465,96.76254126694023,1.1341095
0.009999999,-21.96787,274.2781039754191,6.037595e-06,-10.100418165690222,0.001251701,7.8812265,0.05966926,0.011991799,200.0,-8.724539,0.124435395,-10.100418165690222,100,274.2781039754191,0.9941303,-10.100418165690222,1.0470959,95.50223670565299,94.35993346643471,1.192141
0.01,-10.708646,54.82946274436738,6.159267e-05,-9.167440515933588,2.0693733e-12,8.090683,0.7810111,0.021602042,200.0,-7.624874,2.330252e-10,-9.167440515933588,100,54.82946274436738,1.1260666,-9.167440515933588,1.7987641,55.59372652904307,62.120773690458506,2.4325337
0.009999999,-9.262062,47.30805508683729,6.626235e-06,-7.4150203828550945,0.008354975,7.028983,0.06684899,0.02279777,200.0,-7.1768904,0.8391879,-7.4150203828550945,100,47.30805508683729,1.0044171,-7.4150203828550945,1.1018658,90.75515626758065,93.843882146113,2.289847
0.010000002,-9.315864,46.32832730617569,4.3662126e-06,-7.505746386383239,0.0012528059,6.8440228,0.04286965,0.011531971,200.0,-7.377887,0.124138474,-7.505746386383239,100,46.32832730617569,0.99088347,-7.505746386383239,1.0286063,97.21892664779526,95.85653199920176,1.142684
0.01,-9.480811,56.16740880527407,3.6329362e-05,-7.839716231110754,0.0005445572,8.2701025,0.3590843,0.02654898,200.0,-7.065588,0.054139324,-7.839716231110754,100,56.16740880527407,0.9941899,-7.839716231110754,1.3347232,74.92189949153617,73.54776985928227,2.6394727
0.01,-7.985523,36.920424761343874,7.392695e-05,-6.268435851626487,3.7376644e-09,7.429614,0.9230551,0.023201255,200.0,-5.305902,4.1765023e-07,-6.268435851626487,100,36.920424761343874,1.1174097,-6.268435851626487,1.9054867,52.48003034962693,57.74083006674625,2.5925307
0.01,-7.898406,35.37092538138803,4.573682e-05,-6.1448063275672276,0.007003724,6.1785283,0.54493624,0.056287058,200.0,-5.77767,0.764485,-6.1448063275672276,100,35.37092538138803,1.0915407,-6.1448063275672276,1.1881859,84.16191225121213,68.83287500377406,6.1439614
0.010000002,-8.788166,41.19983297769751,3.7569323e-05,-7.404382843989933,0.0037612126,7.136184,0.46743673,0.04922332,200.0,-6.714298,0.41953924,-7.404382843989933,100,41.19983297769751,1.1154362,-7.404382843989933,1.4197636,70.43426276087672,72.88967598270288,5.490547
0.01,-9.931941,45.646793897773435,8.733394e-06,-8.083938558398867,0.00576465,7.119898,0.08509538,0.018776752,200.0,-7.9402037,0.5690291,-8.083938558398867,100,45.646793897773435,0.98710084,-8.083938558398867,1.0796163,92.62549966995999,92.04200618764216,1.8534548
0.01,-9.5942135,54.466410375820075,3.9926872e-05,-7.817183634908546,0.00087614317,7.9184895,0.3714151,0.027125731,200.0,-7.2992406,0.08450302,-7.817183634908546,100,54.466410375820075,0.9644887,-7.817183634908546,1.3347967,74.91777771466612,71.67041383086683,2.616246
0.01,-9.931912,48.69395896615098,6.8704986e-07,-8.030081950355964,0.0071924073,6.9603434,0.007258512,0.01067957,200.0,-8.003515,0.7392714,-8.030081950355964,100,48.69395896615098,1.0278497,-8.030081950355964,1.0147305,98.54833828623845,99.32440882860271,1.0976993
0.010000002,-8.495424,53.216744989940075,0.001576654,-8.62689134742354,,6.6550264,8.171536,0.21076216,200.0,-2.039278,,-8.62689134742354,100,53.216744989940075,0.719919,-8.62689134742354,10.74339,9.308048876985628,6.020877051683596,15.173169
0.01,-8.647954,44.515366231698685,0.0010449481,-7.8693340693054505,,11.318916,7.365278,0.14824054,200.0,-2.8332193,,-7.8693340693054505,100,44.515366231698685,0.83955115,-7.8693340693054505,8.817412,11.341195776167737,8.814466284951754,12.445551
0.01,-8.222725,46.36626361117553,0.00011905379,-7.879915887198337,1.4649247e-07,8.573536,1.2279547,0.029378153,200.0,-5.4491744,1.4877669e-05,-7.879915887198337,100,46.36626361117553,1.0155927,-7.879915887198337,2.0590577,48.56590438930312,45.90035229380569,2.983624
0.010000002,-9.502682,48.259521040486234,7.682937e-06,-7.696134753777248,0.0076801036,7.396023,0.075622626,0.024238013,200.0,-7.549862,0.761955,-7.696134753777248,100,48.259521040486234,0.99211556,-7.696134753777248,1.085448,92.12785646492334,92.93152160123476,2.404691
0.01,-8.812685,40.09156547363924,4.1580835e-05,-7.243901345951992,0.0029385844,7.0616317,0.48968548,0.04644544,200.0,-6.5008407,0.31889683,-7.243901345951992,100,40.09156547363924,1.0852056,-7.243901345951992,1.4294645,69.95626882575806,70.83907514666011,5.040285
0.009999999,-9.303891,49.43195114818382,4.548859e-06,-7.431812742503838,0.008754478,7.097853,0.044570778,0.01954864,200.0,-7.2968884,0.8665709,-7.431812742503838,100,49.43195114818382,0.9898602,-7.431812742503838,1.0599498,94.34409458108489,95.69070486117965,1.935042
0.01,-9.945696,50.82881643272457,5.3031596e-05,-8.559930294364001,0.006761614,8.415922,0.6934098,0.05538678,200.0,-7.6911297,0.77317536,-8.559930294364001,100,50.82881643272457,1.1434776,-8.559930294364001,1.345966,74.29608279533542,65.57322368715761,6.333354
0.010000002,-9.743164,40.546240811876764,5.6402627e-07,-7.8922707443828655,0.009294161,6.30942,0.0054081758,0.012133604,200.0,-7.8585415,0.91009325,-7.8922707443828655,100,40.546240811876764,0.9792097,-7.8922707443828655,1.0142765,98.5924445205003,99.44470219810843,1.1881343
0.01,-9.776488,47.668364416498626,4.0588776e-07,-7.847205687324357,0.0095216,6.845559,0.0041069537,0.012951727,200.0,-7.838839,0.9577824,-7.847205687324357,100,47.668364416498626,1.0059049,-7.847205687324357,1.0040387,99.59775538982726,99.59978236331149,1.3028206
0.01,-8.090157,46.73389262450373,9.815424e-05,-7.354447228279281,3.382864e-09,7.342337,1.1748596,0.026888138,200.0,-5.3046136,3.7010335e-07,-7.354447228279281,100,46.73389262450373,1.0940533,-7.354447228279281,2.1288838,46.972971556421825,50.71696318261885,2.9417055
0.010000002,-8.697973,39.10460452846603,1.5283493e-05,-6.917113412583032,0.006036859,6.6974325,0.1598873,0.032137774,200.0,-6.686684,0.61745703,-6.917113412583032,100,39.10460452846603,1.0228118,-6.917113412583032,1.1331453,88.24993330185686,86.85782730492387,3.2870893
0.01,-9.717632,53.682647630144366,6.042034e-05,-8.09385374491008,0.0027441138,8.194475,0.5527481,0.06766698,200.0,-7.37338,0.26246667,-8.09385374491008,100,53.682647630144366,0.95647156,-8.09385374491008,1.4705353,68.00244881865252,62.57191165525213,6.4721537
