ESSClassic,Bound,VarDiscRet,AvgRet,VarVanillaIw,AvgNormIw,EpsThisIter,VanillaAvgRet,ESSRenyi,J,SamplesThisIter,BatchSize,renyi2,MinNormIw,AvgDiscRet,AvgVanillaIw,MaxVanillaIw,VarNormIw,delta,VarRet,AvgEpLen,VarJ,MaxNormIw,IterType,MinVanillaIw
16.2697823546,633.897,4319.06122459,50.2912327389,1.14121e+20,6.6999e-07,8292,50.2912327389,nan,30300.6,50000,100,nan,,50.2912327389,5.77332e+07,2.39289e+12,1.53692e-08,0.8,4319.06122459,6.02990834539,11432.3,0.0277694,1,
12.0000030782,551.585,5079.54661123,51.148760676,9.07815e+23,6.79495e-07,8176,51.148760676,nan,48559.9,50000,100,nan,,51.148760676,2.72742e+09,3.33669e+14,5.63464e-08,0.8,5079.54661123,6.11545988258,12377.3,0.0831285,1,
11.999997536,727.169,5985.81916819,55.289843543,8.03326e+28,7.25647e-07,7656,55.289843543,nan,62075.0,50000,100,nan,,55.289843543,8.36991e+11,9.60493e+16,6.03812e-08,0.8,5985.81916819,6.53082549634,15514.7,0.083272,1,
11.9573360781,639.629,4930.28174739,55.488596517,3.8194e+24,7.27738e-07,7634,55.488596517,nan,63330.7,50000,100,nan,,55.488596517,6.35664e+09,6.59607e+14,5.006e-08,0.8,4930.28174739,6.5496463191,13443.7,0.075515,1,
9.99974816215,833.1,6112.39588077,58.9050122936,6.76534e+26,7.65861e-07,7254,58.9050122936,nan,133240.0,50000,100,nan,,58.9050122936,7.27385e+10,9.39865e+15,7.49999e-08,0.8,6112.39588077,6.89274882823,16367.3,0.098958,1,
10.348105834,1223.37,13973.8920482,71.027013742,inf,9.00414e-07,6170,71.027013742,nan,211051.0,50000,100,nan,,71.027013742,1.33615e+16,8.37765e+20,3.99353e-08,0.8,13973.8920482,8.10372771475,19990.6,0.056456,1,
9.99999828797,nan,6266.23736282,60.1589808131,2.04997e+18,7.79618e-07,7126,60.1589808131,nan,nan,50000,100,nan,,60.1589808131,3.99969e+06,5.12783e+11,7.78857e-08,0.8,6266.23736282,7.01655907943,nan,0.0999515,1,
11.9999994679,873.942,17302.3569273,91.4498425369,3.75448e+24,1.12735e-06,4928,91.4498425369,nan,146521.0,50000,100,nan,,91.4498425369,7.3842e+09,5.26386e+14,8.75097e-08,0.8,17302.3569273,10.1461038961,12703.3,0.0803633,1,
12.0000011565,846.23,33495.486385,167.148876306,inf,1.96866e-06,2822,167.148876306,nan,141485.0,50000,100,nan,,167.148876306,7.45441e+16,3.1554e+21,1.64046e-07,0.8,33495.486385,17.7179305457,5099.18,0.083332,1,
20.0155810153,710.332,48508.2640786,350.156624087,3.94036e+10,4.00256e-06,1388,350.156624087,nan,122704.0,50000,100,nan,,350.156624087,2133.24,2.54687e+07,1.38718e-07,0.8,48508.2640786,36.023054755,2776.13,0.0477865,1,
