VanillaAvgRet,VarRet,MinNormIw,MaxVanillaIw,ESSClassic,BatchSize,MinVanillaIw,Bound,MaxNormIw,VarJ,AvgRet,SamplesThisIter,ESSRenyi,AvgDiscRet,renyi2,AvgEpLen,AvgNormIw,EpsThisIter,VarVanillaIw,VarDiscRet,delta,AvgVanillaIw,IterType,VarNormIw,J
133.699463018,6516.28975104,,1.84093e+09,10.9931533573,100,,389.605,0.0878208,7949.8,133.699463018,50000,nan,133.699463018,nan,14.6412884334,1.62681e-06,3415,6.06831e+13,6516.28975104,0.4,34101.8,1,1.38098e-07,82327.9
128.415113245,4699.01495185,,1.3536e+09,10.9905282193,100,,318.985,0.053261,6440.51,128.415113245,50000,nan,128.415113245,nan,14.064697609,1.56274e-06,3555,4.5018e+13,4699.01495185,0.4,39716.3,1,6.96987e-08,68977.5
134.516090448,6577.83994179,,6.4387e+12,11.0000021488,100,,401.157,0.0859719,11580.2,134.516090448,50000,nan,134.516090448,nan,14.7188695908,1.63543e-06,3397,7.48363e+20,6577.83994179,0.4,1.22482e+08,1,1.33423e-07,87563.4
129.128531418,5407.39000118,,3.41502e+08,20.6452167124,100,,338.397,0.0350709,8144.24,129.128531418,50000,nan,129.128531418,nan,14.1482739106,1.57203e-06,3534,4.63438e+12,5407.39000118,0.4,15307.6,1,4.88763e-08,74318.5
143.065741577,7288.53677468,,3.93945e+16,10.9999972631,100,,371.397,0.0909086,15327.9,143.065741577,50000,nan,143.065741577,nan,15.6347717323,1.7372e-06,3198,2.96555e+28,7288.53677468,0.4,7.528e+11,1,1.57922e-07,84900.0
147.160303124,7108.50467559,,2.23524e+13,10.0000015817,100,,376.516,0.1,8736.9,147.160303124,50000,nan,147.160303124,nan,16.0823415889,1.78693e-06,3109,8.92791e+21,7108.50467559,0.4,3.99422e+08,1,1.7869e-07,79788.9
157.875247381,7924.49025652,,261336.0,5.8960557554,100,,391.458,0.0129983,5487.7,157.875247381,50000,nan,157.875247381,nan,17.2294968987,1.91439e-06,2902,3.59855e+06,7924.49025652,0.4,38.4895,1,8.9023e-09,81508.0
178.567269829,7551.03417079,,2.80037e+19,9.04910778578,100,,356.739,0.0755189,8374.79,178.567269829,50000,nan,178.567269829,nan,19.4476857254,2.16085e-06,2571,inf,7551.03417079,0.4,8.01282e+14,1,1.36181e-07,87123.1
228.906566225,12477.2698569,,1.81562e+06,9.94496598947,100,,444.504,0.0300644,5452.95,228.906566225,50000,nan,228.906566225,nan,24.8385494287,2.75984e-06,2013,1.58346e+08,12477.2698569,0.4,166.67,1,4.3417e-08,97386.3
263.276514824,10207.0205608,,4480.48,8.14665110259,100,,406.965,0.00250764,8513.94,263.276514824,50000,nan,263.276514824,nan,28.5225328009,3.16917e-06,1753,5652.63,10207.0205608,0.4,5.66246,1,1.77065e-09,88524.0
