VanillaAvgRet,ESSRenyi,VarDiscRet,EpsThisIter,AvgNormIw,VarRet,VarVanillaIw,IterType,J,MaxVanillaIw,VarNormIw,AvgDiscRet,VarJ,MinVanillaIw,AvgVanillaIw,AvgRet,ESSClassic,Bound,BatchSize,eRenyi2,AvgEpLen,MinNormIw,Delta,MaxNormIw
-5.14520982434,63.6243709793,85.479104066,100,0.01,85.479104066,216.129,1,7.91234,35.5612,0.000336109,-5.14520982434,0.868341,0.0278704,8.01893,-5.14520982434,23.1081550823,4.65515,100,1.57172,500.0,3.47557e-05,0.4,0.0443465
-5.14520982434,109.709287536,92.2695922621,100,0.01,85.479104066,119.824,,-2.36786,35.8804,0.000266059,-0.492365399481,5.7881,0.0281206,6.71093,-5.14520982434,27.5180020434,-6.03512,200,1.823,500.0,4.19027e-05,0.4,0.0534657
-6.82180592305,116.212610717,148.453307245,100,0.005,148.453307245,16093.2,1,17.5096,581.214,0.000458116,-6.82180592305,1.80183,0.0338047,29.6349,-6.82180592305,10.3987747016,14.5722,200,1.72098,500.0,5.70354e-06,0.4,0.0980625
-1.35744521229,200.0,437.817788328,100,0.01,437.817788328,,2,-1.35744,1.0,3.50449e-18,-1.35744521229,20.8192,1.0,1.0,-1.35744521229,100.0,-8.54482,200,1.0,500.0,0.01,0.4,0.01
-6.82180592305,178.887209425,220.460319073,100,0.005,148.453307245,51.4326,,-11.1341,29.5817,7.46172e-05,-7.08571257343,24.8828,0.00172054,4.15116,-6.82180592305,50.3808194212,-17.7156,300,1.67703,500.0,2.07235e-06,0.4,0.0356306
1.09962608198,154.444258832,363.60068486,100,0.00333333,363.60068486,15390.1,1,17.5947,690.566,0.000306473,1.09962608198,1.73262,0.0161808,23.6213,1.09962608198,10.5297918552,13.765,300,1.94245,500.0,2.28336e-06,0.4,0.0974497
0.442885743912,300.0,200.21505453,100,0.01,200.21505453,,2,0.442886,1.0,3.50449e-18,0.442885743912,14.0788,1.0,1.0,0.442885743912,100.0,-2.3996,300,1.0,500.0,0.01,0.4,0.01
-0.198258322653,300.0,350.315171959,100,0.005,350.315171959,,2,0.122314,1.0,2.1793e-19,-0.198258322653,16.5111,1.0,1.0,-0.198258322653,200.000000102,-3.83766,300,1.0,500.0,0.005,0.4,0.005
1.09962608198,195.068097388,82.4116070995,100,0.00333333,363.60068486,140.867,,-5.26115,61.8016,5.6032e-05,-3.44780019212,24.6044,0.00144809,5.28525,1.09962608198,49.7837093871,-9.89118,400,2.05057,500.0,9.13288e-07,0.4,0.0389774
-2.56319410037,157.721959048,51.7204381988,100,0.0025,51.7204381988,49299.2,1,17.6624,1421.04,0.000235414,-2.56319410037,1.56082,0.00774003,36.1779,-2.56319410037,10.3702019882,13.8728,400,2.53611,500.0,5.34858e-07,0.4,0.0981981
3.07992510606,400.0,244.451484708,100,0.01,244.451484708,,2,3.07992,1.0,3.50449e-18,3.07992510606,15.5566,1.0,1.0,3.07992510606,100.0,-1.92725,400,1.0,500.0,0.01,0.4,0.01
1.5845340065,400.0,103.492698047,100,0.005,103.492698047,,2,2.33223,1.0,2.1793e-19,1.5845340065,13.145,1.0,1.0,1.5845340065,200.000000102,-1.20838,400,1.0,500.0,0.005,0.4,0.005
