AvgNormIw,VarDiscRet,AvgDiscRet,J,VarRet,AvgRet,VarJ,MaxNormIw,Bound,MinNormIw,EpsThisIter,VanillaAvgRet,Delta,VarVanillaIw,ESSClassic,ESSRenyi,BatchSize,IterType,VarNormIw,AvgEpLen,AvgVanillaIw,MinVanillaIw,MaxVanillaIw,eRenyi2
0.01,151205.559816,-1500.54386473,-1224.68,151205.559816,-1500.54386473,189.358,0.0294317,-1733.74,2.53728e-06,100,-1500.54386473,0.2,0.812914,56.7990047974,59.4599755557,100,1,7.68277e-05,500.0,1.02864,0.000260994,3.02746,1.6818
0.01,26791.2020435,-1176.76516813,-1155.7,26791.2020435,-1176.76516813,99.7435,0.0140452,-1557.21,0.00288596,100,-1176.76516813,0.2,0.0566235,94.7129983086,95.3368021685,100,1,5.63856e-06,500.0,1.00211,0.289204,1.40748,1.04891
0.01,33496.0067352,-1173.51027924,-1153.0,33496.0067352,-1173.51027924,101.601,0.0135268,-1560.33,0.00421218,100,-1173.51027924,0.2,0.0404023,96.2563101284,95.7567033681,100,1,3.92859e-06,500.0,1.01411,0.427161,1.37176,1.04431
0.01,18744.2220962,-1151.67673071,-1146.34,18744.2220962,-1151.67673071,102.396,0.0125027,-1541.95,0.00563224,100,-1151.67673071,0.2,0.0145899,98.6056685129,98.767020564,100,1,1.42828e-06,500.0,1.01069,0.569247,1.26364,1.01248
0.01,7189.83650504,-1145.2772705,-1142.41,7189.83650504,-1145.2772705,63.6465,0.0112285,-1535.53,0.00709443,100,-1145.2772705,0.2,0.00666477,99.3501569994,99.3277391919,100,1,6.60677e-07,500.0,1.00438,0.71255,1.12776,1.00677
0.01,17207.0327354,-1143.53186301,-1133.82,17207.0327354,-1143.53186301,138.5,0.0187951,-1530.07,0.00548667,100,-1143.53186301,0.2,0.0432174,96.1381846057,97.3457904014,100,1,4.05753e-06,500.0,1.03205,0.566249,1.93974,1.02727
0.01,7946.8523999,-1127.48482066,-1122.82,7946.8523999,-1127.48482066,105.575,0.017354,-1462.34,0.00804525,100,-1127.48482066,0.2,0.0195993,98.1256093695,98.534227532,100,1,1.92949e-06,500.0,1.00786,0.810847,1.74904,1.01488
0.01,1895.34641733,-1138.36089956,-1136.56,1895.34641733,-1138.36089956,34.3342,0.0111257,-1424.5,0.00585011,100,-1138.36089956,0.2,0.00533273,99.4757584078,99.4668215397,100,1,5.32319e-07,500.0,1.0009,0.585535,1.11357,1.00536
0.01,11058.5401503,-1137.88542834,-1133.43,11058.5401503,-1137.88542834,86.6761,0.0123519,-1529.22,0.00667011,100,-1137.88542834,0.2,0.0124748,98.8098259867,98.9601093909,100,1,1.21663e-06,500.0,1.0126,0.675414,1.25075,1.01051
0.01,5728.31088807,-1134.00180656,-1132.07,5728.31088807,-1134.00180656,75.9972,0.0116545,-1450.61,0.00744859,100,-1134.00180656,0.2,0.00560734,99.4418149181,99.3890763588,100,1,5.6697e-07,500.0,0.994485,0.740752,1.15902,1.00615
0.01,8370.19356545,-1139.57698844,-1137.67,8370.19356545,-1139.57698844,70.0998,0.0110141,-1530.15,0.00736487,100,-1139.57698844,0.2,0.00498687,99.5130221115,99.5662393312,100,1,4.94283e-07,500.0,1.00444,0.739761,1.10631,1.00436
