AvgDiscRet,VarRet,BatchSize,MinVanillaIw,MaxVanillaIw,ESSRenyi,AvgRet,ESSClassic,MinNormIw,J,AvgNormIw,VarVanillaIw,eRenyi2,Bound,AvgEpLen,AvgVanillaIw,VarNormIw,MaxNormIw,VarDiscRet,VarJ
-1.0913936421275138e-13,4230828.776786032,100,,84546.14,0.0014955568524837636,-1608.5544895009277,1.0,,1596.3582,0.01,71480490.0,66864.73,1347929.4,200.0,845.4614,0.010000003,1.0,4230828.776786032,
-1.1191048088221578e-15,55.53510988720028,100,,1.1427229e+35,,-8.646847456641144,,,7.031031,0.01,inf,inf,8.0345205e+33,200.0,1.14272295e+33,0.010000002,1.0,55.53510988720028,
-1.2079226507921704e-15,46.187646732610915,100,1.0,1.0,nan,-8.450543381398106,100.0,0.01,-8.940697e-08,0.009999998,,nan,-0.5715766,200.0,1.0,3.5044917e-18,0.01,46.187646732610915,6.762083
-6.750155989720952e-16,54.19241411048586,100,1.0,1.0,nan,-8.605144524454097,100.0,0.01,-8.940697e-08,0.009999998,,nan,-0.6191284,200.0,1.0,3.5044917e-18,0.01,54.19241411048587,7.3246493
-1.305622276959184e-15,49.82379862068178,100,1.0,1.0,nan,-7.700103444199922,100.0,0.01,7.450581e-09,0.009999998,,nan,-0.5936493,200.0,1.0,3.5044917e-18,0.01,49.82379862068177,7.023216
1.5454304502782179e-15,48.48625746725379,100,1.0,1.0,nan,-7.283762002746381,100.0,0.01,1.1920929e-07,0.009999998,,nan,-0.58562666,200.0,1.0,3.5044917e-18,0.01,48.48625746725379,6.9283037
1.1501910535116621e-15,42.97492825597096,100,1.0,1.0,nan,-7.200303294335232,100.0,0.01,-3.7252903e-08,0.009999998,,nan,-0.55133957,200.0,1.0,3.5044917e-18,0.01,42.97492825597096,6.5226665
3.9968028886505636e-16,48.47972659760596,100,1.0,1.0,nan,-7.547254082763986,100.0,0.01,-6.7055225e-08,0.009999998,,nan,-0.58558714,200.0,1.0,3.5044917e-18,0.01,48.47972659760596,6.927837
1.7674750552032492e-15,52.969932397398715,100,1.0,1.0,nan,-7.7668652653336165,100.0,0.01,-5.2154064e-08,0.009999998,,nan,-0.6121054,200.0,1.0,3.5044917e-18,0.01,52.969932397398715,7.241563
-1.6076029396572267e-15,56.61592824242086,100,1.0,1.0,nan,-8.336291120299633,100.0,0.01,6.7055225e-08,0.009999998,,nan,-0.632821,200.0,1.0,3.5044917e-18,0.01,56.61592824242084,7.4866395
-1.4921397450962103e-15,45.723993661204645,100,1.0,1.0,nan,-7.7874356170592,100.0,0.01,8.195639e-08,0.009999998,,nan,-0.5687005,200.0,1.0,3.5044917e-18,0.01,45.723993661204645,6.7280574
-3.1974423109204507e-16,49.301201332594175,100,1.0,1.0,nan,-7.71794834462494,100.0,0.01,1.4901161e-08,0.009999998,,nan,-0.59052765,200.0,1.0,3.5044917e-18,0.01,49.301201332594175,6.986286
-6.039613253960852e-16,49.5254428720005,100,1.0,1.0,nan,-7.770655872873541,100.0,0.01,-4.656613e-10,0.009999998,,nan,-0.5918691,200.0,1.0,3.5044917e-18,0.01,49.52544287200051,7.0021563
-2.9753977059954197e-16,50.549167908284346,100,1.0,1.0,nan,-7.3992770909447,100.0,0.01,-3.7252903e-09,0.009999998,,nan,-0.597955,200.0,1.0,3.5044917e-18,0.01,50.549167908284346,7.0741553
