Delta,ESSClassic,MaxVanillaIw,J,VarVanillaIw,VarRet,MinVanillaIw,MinNormIw,IterType,VarDiscRet,VarNormIw,EpsThisIter,AvgVanillaIw,Bound,BatchSize,ESSRenyi,eRenyi2,AvgEpLen,AvgNormIw,MaxNormIw,VarJ,VanillaAvgRet,AvgDiscRet,AvgRet
0.3,7.17837960215,73.0745,269.233,53.986,10464.2007747,0.0122115,6.00651e-05,1,10464.2007747,0.00130613,100,2.03304,138.566,100,35.3133355684,2.83179,16.78,0.01,0.359434,293.576,153.812071012,153.812071012,153.812071012
0.3,23.8805868109,15.8058,312.638,3.96248,15092.5162318,0.00041147,3.70904e-06,1,15092.5162318,0.00032197,100,1.10937,169.168,100,38.6857751075,2.58493,22.41,0.01,0.142476,323.551,206.337224344,206.337224344,206.337224344
0.3,2.67730580394,130.293,534.815,168.923,19423.8390547,0.00124808,5.81886e-06,1,19423.8390547,0.00367182,100,2.14488,269.631,100,26.5272507901,3.76971,30.7,0.01,0.607458,817.596,283.801605302,283.801605302,283.801605302
0.3,1.79340249982,149.82,1111.04,224.073,37683.3932526,0.000347299,1.72553e-06,1,37683.3932526,0.00553131,100,2.01271,507.627,100,11.5118086568,8.68673,37.2,0.01,0.744372,1751.01,344.376680717,344.376680717,344.376680717
0.3,7.02360425472,2879.36,402.659,151392.0,37683.3932526,0.00667466,6.27287e-07,,49585.5957564,0.00133714,100,106.405,-6.10559e+06,200,2.13192923905e-07,9.38117e+08,37.2,0.01,0.270604,304.554,344.376680717,451.359070898,344.376680717
0.3,1.93276434832,330.526,1088.7,547.377,25263.4087897,2.19358e-10,4.75757e-13,1,25263.4087897,0.00257484,100,2.30535,515.638,200,12.7635035779,15.6697,34.77,0.005,0.716867,2605.75,321.684959111,321.684959111,321.684959111
0.3,100.0,1.0,470.376,,64751.3221557,1.0,0.01,2,64751.3221557,3.50449e-18,100,1.0,221.16,200,200.0,1.0,50.79,0.01,0.01,253.187,470.376480126,470.376480126,470.376480126
0.3,1.00017768396,4.55877e+09,258.968,1.03912e+17,25263.4087897,0.00302548,6.63602e-13,,74014.3696038,0.00499911,100,2.27959e+07,-inf,300,nan,nan,34.77,0.005,0.999911,0.171606,321.684959111,416.463423804,321.684959111
0.3,6.79740157205,162.796,831.222,96.814,19352.8026995,2.74453e-12,6.11668e-15,1,19352.8026995,0.000480876,100,1.49566,366.669,300,19.4223673764,15.4461,33.69,0.00333333,0.36282,3256.65,311.899173408,311.899173408,311.899173408
0.3,100.0,1.0,450.328,,56607.4208238,1.0,0.01,2,56607.4208238,3.50449e-18,100,1.0,238.235,300,300.0,1.0,48.69,0.01,0.01,236.731,450.327945785,450.327945785,450.327945785
0.3,200.000000102,1.0,447.179,,41590.8917586,1.0,0.005,2,41590.8917586,2.1793e-19,100,1.0,297.207,300,300.0,1.0,47.94,0.005,0.005,220.495,444.030635403,444.030635403,444.030635403
0.3,2.41057620318,293.883,1116.27,288.726,73350.6450006,4.11316e-07,8.98016e-10,1,73350.6450006,0.00137627,100,1.52676,611.133,300,23.2080675444,12.9265,51.87,0.00333333,0.641629,2716.49,480.05089949,480.05089949,480.05089949
0.3,100.0,1.0,610.064,,94512.6569029,1.0,0.01,2,94512.6569029,3.50449e-18,100,1.0,324.336,300,300.0,1.0,65.97,0.01,0.01,305.888,610.063992562,610.063992562,610.063992562
0.3,200.000000102,1.0,606.071,,104020.290139,1.0,0.005,2,104020.290139,2.1793e-19,100,1.0,402.2,300,300.0,1.0,65.1,0.005,0.005,313.512,602.077562459,602.077562459,602.077562459
0.3,2.43265913429,2.43122e+06,683.225,2.06049e+10,73350.6450006,0.00340271,8.75378e-10,,67668.5298117,0.00136368,100,12957.1,-inf,400,nan,nan,51.87,0.00333333,0.625454,1245.72,480.05089949,556.26277575,480.05089949
0.3,258.558642321,5.48148,537.013,0.515101,91805.6947812,0.0504176,0.000130056,1,91805.6947812,3.42756e-06,100,0.969156,265.184,400,271.572817266,1.4729,48.89,0.0025,0.0141398,481.001,452.767145056,452.767145056,452.767145056
0.3,100.0,1.0,528.016,,87682.5343786,1.0,0.01,2,87682.5343786,3.50449e-18,100,1.0,245.245,400,400.0,1.0,57.02,0.01,0.01,294.628,528.015683866,528.015683866,528.015683866
0.3,200.000000102,1.0,521.497,,60626.4378882,1.0,0.005,2,60626.4378882,2.1793e-19,100,1.0,321.548,400,400.0,1.0,55.69,0.005,0.005,271.027,514.978002335,514.978002335,514.978002335
0.3,299.999969474,1.0,543.116,,104783.455215,1.0,0.00333333,2,104783.455215,5.43914e-20,100,1.0,379.858,400,400.0,1.0,63.36,0.00333333,0.00333333,290.661,586.355283452,586.355283452,586.355283452
