MinVanillaIw,MaxVanillaIw,ESSClassic,IterType,Bound,VarRet,VanillaAvgRet,MinNormIw,AvgRet,BatchSize,ESSRenyi,AvgEpLen,AvgNormIw,delta,SamplesThisIter,AvgDiscRet,renyi2,VarNormIw,VarVanillaIw,VarDiscRet,J,AvgVanillaIw,MaxNormIw,VarJ,EpsThisIter
0.0232402,3.13422,1.18017812368,1,-436.761,208.713314097,-406.023216426,1.26892e-06,-406.023216426,100,nan,500.0,5.55556e-05,0.6,50000,-406.023216426,nan,5.91203e-10,0.198312,208.713314097,-72244.9,1.0175,0.000171129,323.179,100
,611.935,6.50050164154,1,-392.911,1433.35243818,-391.900901474,,-391.900901474,100,nan,500.0,5.55556e-05,0.6,50000,-391.900901474,nan,7.90457e-08,875.29,1433.35243818,-59365.5,5.84608,0.00581525,620.893,100
,3.05034e+22,9.99727015594,1,nan,10305.2269481,-361.394035771,,-361.394035771,100,nan,450.45045045,5.00501e-05,0.6,50000,-361.394035771,nan,4.83966e-06,inf,10305.2269481,nan,1.55241e+19,0.0983439,nan,111
,3.77769e+22,9.99999913942,1,nan,8947.00120954,-366.042741154,,-366.042741154,100,nan,450.45045045,5.00501e-05,0.6,50000,-366.042741154,nan,5.00173e-06,inf,8947.00120954,nan,1.89093e+19,0.0999898,nan,111
,3.6479e+21,9.99975664515,1,-176.269,10328.7568519,-367.786625658,,-367.786625658,100,nan,450.45045045,5.005e-05,0.6,50000,-367.786625658,nan,4.92431e-06,inf,10328.7568519,-30026.1,1.84027e+18,0.0992121,1686.89,111
,2.57439e+22,9.99988912655,1,-194.991,9499.33494855,-366.708838294,,-366.708838294,100,nan,450.45045045,5.00501e-05,0.6,50000,-366.708838294,nan,4.96599e-06,inf,9499.33494855,-33920.5,1.29325e+19,0.0996315,1791.07,111
,93.4831,2.86728271578,1,-403.427,1515.63777241,-394.370097774,,-394.370097774,100,nan,495.04950495,5.50055e-05,0.6,50000,-394.370097774,nan,1.86364e-08,16.4378,1515.63777241,-62619.5,1.6336,0.00314769,1626.73,101
0.720473,1.36333,0.630627710091,1,-443.223,12.6937623726,-409.525352981,3.96295e-05,-409.525352981,100,3.978928714e-08,500.0,5.55556e-05,0.6,50000,-409.525352981,21.6448,2.50621e-11,0.0082835,12.6937623726,-73670.4,1.01001,7.49898e-05,54.924,100
,163964.0,0.470400902039,1,-302.36,2658.52070872,-402.47497551,,-402.47497551,100,nan,490.196078431,5.44662e-05,0.6,50000,-402.47497551,nan,1.41026e-06,4.19293e+06,2658.52070872,-41608.2,93.9154,0.0950908,3811.29,102
,1.46102e+20,6.15752164081,1,-166.511,10221.8287009,-370.890975032,,-370.890975032,100,nan,454.545454545,5.05051e-05,0.6,50000,-370.890975032,nan,2.46012e-06,inf,10221.8287009,-26733.5,1.34668e+17,0.0547933,2124.96,110
0.958848,1.06652,0.568876428523,1,-443.823,0.382728628513,-410.244969881,5.33695e-05,-410.244969881,100,4.63280162311e-08,500.0,5.55556e-05,0.6,50000,-410.244969881,21.4927,6.03804e-13,0.000194899,0.382728628513,-73842.9,0.998123,5.93627e-05,8.24795,100
7.69461e-07,294.88,0.212419232388,1,-415.051,1021.34340086,-404.810699304,3.2237e-11,-404.810699304,100,nan,495.04950495,5.50055e-05,0.6,50000,-404.810699304,nan,1.4347e-07,81.7382,1021.34340086,-59783.6,1.31292,0.0123542,5029.3,101
,3.44489e+19,6.28882579852,1,-205.468,8990.64206033,-366.63621386,,-366.63621386,100,nan,450.45045045,5.005e-05,0.6,50000,-366.63621386,nan,2.39522e-06,inf,8990.64206033,-34087.7,3.14129e+16,0.0548872,1626.47,111
0.677369,1.92974,0.630460784148,1,-442.982,15.6846493667,-409.227287971,3.82896e-05,-409.227287971,100,3.56665950337e-09,500.0,5.55556e-05,0.6,50000,-409.227287971,24.0568,2.47911e-11,0.00775861,15.6846493667,-73615.4,0.982814,0.000109082,70.4883,100
0.000974862,2.8143,0.922269937814,1,-436.46,204.407734742,-405.691088737,5.3318e-08,-405.691088737,100,nan,500.0,5.55555e-05,0.6,50000,-405.691088737,nan,3.87618e-10,0.129581,204.407734742,-72444.1,1.01577,0.000153922,297.595,100
,3.28326e+23,9.99748411189,1,-174.786,9631.71339194,-367.82356182,,-367.82356182,100,nan,454.545454545,5.05051e-05,0.6,50000,-367.82356182,nan,4.87346e-06,inf,9631.71339194,-26524.2,1.68787e+20,0.0982425,1673.27,110
0.10207,3.15454,0.710638194713,1,-437.437,124.276821872,-405.254808831,5.68227e-06,-405.254808831,100,nan,500.0,5.55556e-05,0.6,50000,-405.254808831,nan,2.35791e-10,0.0760807,124.276821872,-72535.8,0.997934,0.000175615,228.091,100
0.56097,2.05384,0.70311414447,1,-441.936,34.8869485764,-408.457227881,3.1785e-05,-408.457227881,100,8.57162722535e-11,500.0,5.55556e-05,0.6,50000,-408.457227881,27.7851,5.63785e-11,0.017561,34.8869485764,-73416.2,0.980496,0.000116372,95.5318,100
1.94618e-07,5.90166,0.688299628331,1,-422.117,519.452055747,-397.41474069,9.67438e-12,-397.41474069,100,nan,500.0,5.55556e-05,0.6,50000,-397.41474069,nan,2.29747e-09,0.929756,519.452055747,-68773.3,1.1176,0.00029337,643.386,100
0.289806,1.76235,0.70217579286,1,-440.57,58.5196237996,-407.542315325,1.58395e-05,-407.542315325,100,nan,500.0,5.55556e-05,0.6,50000,-407.542315325,nan,1.19684e-10,0.0400649,58.5196237996,-73148.6,1.01646,9.63227e-05,128.382,100
,187060.0,1.01775413964,1,-254.586,3915.57961941,-394.577137007,,-394.577137007,100,nan,485.436893204,5.39374e-05,0.6,50000,-394.577137007,nan,1.88471e-06,8.59041e+06,3915.57961941,-34552.5,115.153,0.0876184,3718.19,103
,4.22141e+07,1.254050386,1,nan,2398.13137637,-401.770975002,,-401.770975002,100,nan,490.196078431,5.44662e-05,0.6,50000,-401.770975002,nan,8.64011e-06,2.44434e+11,2398.13137637,nan,9161.11,0.250979,nan,102
,356.204,2.48816171863,1,-139.184,21807.4988514,-305.088899921,,-305.088899921,100,nan,381.679389313,4.24088e-05,0.6,50000,-305.088899921,nan,1.46731e-08,755.505,21807.4988514,-21204.9,9.62308,0.00156979,1506.57,131
,2465.91,3.95916699176,1,-110.301,23911.2374042,-299.770182968,,-299.770182968,100,nan,375.939849624,4.17711e-05,0.6,50000,-299.770182968,nan,3.70194e-08,18429.0,23911.2374042,-16361.4,29.4722,0.00349495,1659.33,133
,6.82006e+21,8.52241704854,1,nan,15459.0660994,-340.747803861,,-340.747803861,100,nan,434.782608696,4.83092e-05,0.6,50000,-340.747803861,nan,2.75425e-06,inf,15459.0660994,nan,4.72472e+18,0.0697336,nan,115
,94.1753,1.41078148756,1,nan,23430.6001696,-249.655492618,,-249.655492618,100,nan,326.797385621,3.63108e-05,0.6,50000,-249.655492618,nan,9.27675e-09,156.927,23430.6001696,nan,4.72266,0.00072408,nan,153
,73.9596,2.66581505145,1,-109.99,21045.9710731,-196.485457625,,-196.485457625,100,nan,257.731958763,2.86369e-05,0.6,50000,-196.485457625,nan,4.03843e-09,64.2066,21045.9710731,-17498.8,3.61085,0.000586558,1169.46,194
0.960789,1.06441,0.565811818863,1,-443.796,0.341981021701,-410.233051907,5.35401e-05,-410.233051907,100,1.77420565464e-13,500.0,5.55556e-05,0.6,50000,-410.233051907,33.9654,5.33459e-13,0.00017179,0.341981021701,-73841.0,0.996957,5.93146e-05,7.82166,100
0.769855,1.23839,0.594980108387,1,-441.225,9.34494183978,-407.805293228,4.21548e-05,-407.805293228,100,1.77392136353e-13,500.0,5.55556e-05,0.6,50000,-407.805293228,33.9656,1.77119e-11,0.00590729,9.34494183978,-73373.0,1.01459,6.78102e-05,42.6636,100
0.953948,1.06001,0.565409199855,1,-443.095,0.343093819717,-409.562493778,5.30902e-05,-409.562493778,100,1.76271694591e-13,500.0,5.55556e-05,0.6,50000,-409.562493778,33.9719,5.56311e-13,0.000179614,0.343093819717,-73720.2,0.998248,5.89931e-05,7.77506,100
