InitialReturnMean,Bound,TimestepsSoFar,StdIW,MeanIWNorm,InitialReturnStd,InitialBound,InitialReturnMax,StdIWNorm,Weights,TimeElapsed,EpRewMean,Iteration,ReturnStepMax,EmpiricalD2,MeanIW,InitialReturnMin,MaxIW,EpLenMean,MeanEntropy,EpThisIter,MaxIWNorm,EpisodesSoFar,ReturnStepMaxmin,ESSClassic,J_sample_variance,MinIW,ReturnMeanIW,EntropyCoefficient,ESSRenyi,MinIWNorm
9.536743e-06,31.379396,1082,2.3691568,0.012716887,63.914062,-10.897685,204.8357,0.023691567,[-0.365 -0.68  -0.484 -0.253  0.   ],2.2843739986419678,98.13411615143843,1,9.999996,2.518925,1.2716888,-81.56039,21.994537,10.82,1.2320554,100,0.21994537,100,8.139399,22.367512,188042.14,0.016715111,58.874958,10.0,39.699474,0.00016715111
-1.2969971e-06,36.271004,2325,1.9288514,0.010638441,73.84132,-10.217312,184.0209,0.019288514,[-0.717 -0.325 -0.827 -0.295 -0.187],10.972188711166382,114.23723406660045,2,9.999999,2.2881126,1.0638442,-105.27588,17.10189,12.43,1.200552,100,0.1710189,200,8.380893,23.324614,121491.44,0.19907713,58.357407,10.0,43.704144,0.0019907712
1.0986329e-05,37.865135,3987,7.203357,0.013246932,98.52309,-24.347687,296.82278,0.07203357,[-8.624e-01  6.557e-04 -1.177e+00 -7.471e-01 -2.185e-01],19.2716166973114,156.11125445691695,3,9.999999,10.595424,1.3246933,-139.16513,71.9524,16.62,0.97298205,100,0.71952397,300,8.785954,3.271269,1654505.5,0.0042776708,146.46727,10.0,9.438037,4.2776708e-05
-2.4108887e-05,-10.770026,6680,0.9170998,0.009737543,111.899506,-41.816578,420.8744,0.009170998,[-0.949  0.122 -1.39  -1.071 -0.446],28.810970544815063,259.1586878360562,4,9.999997,1.8080287,0.97375435,-200.36462,6.4290705,26.93,0.9301652,100,0.0642907,400,9.246842,52.993557,51325.97,0.20989008,49.239105,10.0,55.308857,0.0020989007
-7.476807e-06,5.6703644,9894,1.4000213,0.010030253,112.24541,-27.104641,297.25604,0.014000213,[-1.004  0.268 -1.504 -1.238 -0.489],38.860467195510864,311.2413384577285,5,9.999998,2.4008157,1.0030253,-249.5644,10.105938,32.14,0.8401886,100,0.10105938,500,9.367855,33.918385,91372.61,0.042579554,53.678432,10.0,41.652508,0.00042579553
2.8991699e-05,2347.5698,13938,106.42805,0.120438956,103.433495,-26.470535,284.73236,1.0642804,[-1.018  0.352 -1.653 -1.369 -0.579],49.085161447525024,394.21900340050627,6,9.999998,344.2275,12.043897,-269.54633,1069.2424,40.44,0.94339913,100,10.692424,600,9.496492,1.2644321,848488960.0,0.0067652995,2985.1372,10.0,0.29050556,6.7652996e-05
1.8920899e-05,-6.3991623,17808,0.9632978,0.010076787,107.05965,-29.70066,319.53326,0.009632978,[-0.747  0.274 -1.616 -1.578 -0.475],64.30497670173645,376.7887549024316,7,9.999998,1.8566117,1.0076789,-306.8288,6.4119596,38.7,0.8857429,100,0.06411959,700,9.472288,52.250587,27371.863,0.09001991,38.067352,10.0,53.861557,0.0009001991
-2.4414062e-06,-3.7589703,22275,1.058033,0.010551084,124.22898,-30.751392,322.1846,0.01058033,[-0.793  0.373 -1.676 -1.59  -0.533],75.57534527778625,436.5019119737286,8,9.999999,2.0022042,1.0551084,-323.40463,6.9736977,44.67,0.8406752,100,0.06973697,800,9.5434065,49.861595,53380.95,0.11567447,43.880463,10.0,49.944958,0.0011567447
-1.3427734e-05,33.44908,27531,2.9696064,0.012775481,123.800125,-38.22554,351.60562,0.029696062,[-0.77   0.436 -1.763 -1.624 -0.578],87.63114929199219,515.386695672986,9,10.0,3.2845817,1.2775482,-380.75095,25.232786,52.56,0.8251982,100,0.25232786,900,9.611372,15.617432,542525.56,0.048619576,109.71071,10.0,30.445278,0.00048619576
1.0681152e-05,664.72296,32871,30.724491,0.038055748,124.824165,-38.902977,355.0042,0.3072449,[-0.809  0.458 -1.818 -1.861 -0.594],100.85001635551453,523.7705928890125,10,10.0,55.95354,3.8055747,-385.01868,307.93668,53.4,0.6672415,100,3.0793667,1000,9.616882,1.5109808,102449960.0,1.8537166e-05,1010.7796,10.0,1.787197,1.8537166e-07
-2.6245118e-05,-10.952405,38878,2.0495055,0.011720248,120.48581,-46.569496,299.78976,0.020495053,[-0.706  0.453 -1.836 -1.985 -0.752],116.14810824394226,590.4643766693592,11,10.0,2.9101279,1.1720247,-434.71817,17.4227,60.07,0.5686046,100,0.174227,1100,9.659216,24.643232,155236.0,0.00967318,74.1874,10.0,34.36275,9.67318e-05
3.234863e-05,-40.99647,45418,0.7187271,0.010559522,101.070305,-51.428104,293.56577,0.0071872706,[-0.702  0.444 -1.835 -2.006 -0.85 ],130.12759923934937,643.7683166787145,12,9.999999,1.392553,1.0559521,-466.33536,4.991827,65.4,0.57934916,100,0.049918268,1200,9.687112,68.33983,18340.588,0.2697914,20.608475,10.0,71.810555,0.002697914
-1.8310546e-06,-33.933846,51854,1.4791242,0.011462528,117.83548,-50.193485,300.36243,0.014791242,[-0.702  0.481 -1.839 -2.002 -0.84 ],143.35788536071777,633.3589405669782,13,10.0,1.7957845,1.1462529,-457.1317,12.609029,64.36,0.6006515,100,0.12609029,1300,9.681761,37.521614,38572.156,0.13685933,35.08603,10.0,55.68597,0.0013685932
-2.1362305e-06,-41.540966,58657,0.48999628,0.010316675,122.8662,-50.712814,419.4105,0.004899963,[-0.746  0.559 -1.855 -1.984 -0.818],158.03345203399658,670.0551831289183,14,10.0,1.2621635,1.0316674,-463.11136,2.981565,68.03,0.5949865,100,0.02981565,1400,9.698824,81.59382,29264.873,0.23645557,16.231096,10.0,79.229034,0.0023645556
-1.7089844e-05,-21.79258,65391,0.7232067,0.009966067,105.98483,-42.088993,392.23544,0.007232067,[-0.749  0.59  -1.866 -1.96  -0.824],171.4558973312378,663.1565063790792,15,10.0,1.5915657,0.99660677,-134.77493,3.9716585,67.34,0.5664063,100,0.039716583,1500,9.69578,65.505226,35436.883,0.13106951,33.14784,10.0,62.83121,0.0013106951
4.486084e-05,-8.998542,72384,1.1930522,0.010562791,90.94883,-23.221214,235.84766,0.011930521,[-0.734  0.614 -1.873 -1.97  -0.853],185.49148082733154,689.0503528023565,16,10.0,2.1003957,1.056279,-133.39111,7.5738125,69.93,0.58715713,100,0.075738125,1600,9.706869,43.94178,37791.195,0.16536435,26.992638,10.0,47.610077,0.0016536436
-1.953125e-05,-49.627064,79945,0.2637783,0.010088414,132.35173,-55.221844,367.42624,0.0026377828,[-0.705  0.626 -1.89  -2.023 -0.832],201.8803412914276,745.8538817671626,17,10.0,1.0700208,1.0088414,-498.82547,1.9589287,75.61,0.57471055,100,0.019589286,1700,9.728987,93.601,18781.04,0.4879409,7.8219395,10.0,93.45613,0.004879409
1.9836425e-05,16.207016,87184,6.746371,0.017502058,86.38385,-28.789112,281.98718,0.06746371,[-0.727  0.647 -1.916 -2.072 -0.844],217.32575011253357,713.6493311756142,18,10.0,14.340389,1.750206,-145.81085,60.369205,72.39,0.46516883,100,0.60369205,1800,9.716803,6.305941,1546933.5,0.001138108,142.33958,10.0,6.9733114,1.1381079e-05
-1.7700195e-05,-6.356914,95480,1.1649988,0.011548205,92.71725,-30.06253,283.44025,0.011649987,[-0.705  0.695 -1.91  -2.056 -0.954],234.53197169303894,819.3560761921837,19,10.0,2.0434232,1.1548206,-154.44412,9.1244755,82.96,0.44456294,100,0.09124475,1900,9.753052,49.56125,48147.688,0.050647166,38.82083,10.0,48.93749,0.00050647167
3.3569336e-06,-60.174133,104034,0.24845769,0.0101653645,133.68457,-63.35036,280.9004,0.0024845768,[-0.722  0.749 -1.917 -2.005 -0.974],251.85983204841614,845.1625920074468,20,10.0,1.0574276,1.0165366,-553.552,1.7537286,85.54,0.43215176,100,0.017537287,2000,9.76066,94.362854,17729.22,0.5168078,5.2198544,10.0,94.569115,0.005168078
4.8217775e-05,1299.7982,112522,106.87223,0.11595013,99.3738,-29.439548,275.65833,1.0687221,[-0.728  0.763 -1.932 -2.012 -0.987],267.24273228645325,838.5558494533022,21,10.0,953.136,11.595015,-160.60678,1073.4131,84.88,0.3867979,100,10.734131,2100,9.758636,1.1634043,561840300.0,1.02453605e-05,2338.2336,10.0,0.104916826,1.02453605e-07
