ReturnStepMax,ReturnStepMaxmin,Bound,MinIW,Iteration,EpRewMean,MeanD2w0t,EmpiricalD2,InitialReturnMin,MaxD2w0t,EpThisIter,StdD2w0t,J_sample_variance,Weights,MeanEntropy,InitialReturnMean,EpisodesSoFar,InitialBound,StdIW,InitialReturnStd,EpLenMean,MinD2w0t,ReturnMeanIW,MaxIW,TimeElapsed,TimestepsSoFar,MeanIW,InitialReturnMax
8.955752,7.9115114,-758.4088,0.06078609,1,86.24389232912152,0.033846192,2.4968128,-70.958984,15.6106205,100,0.29303613,142734.05,[-0.24  -0.523  1.061 -0.742  0.   ],1.4307532,-5.722046e-07,100,-887.16077,0.4643902,60.153896,9.63,,-619.047,6.0186815,2.65674090385437,963,0.7733939,215.49176
9.084594,8.169196,-834.80664,0.16038196,2,99.93051710442366,0.028367618,1.4254675,-83.24326,3.5428612,100,0.19619425,120121.805,[-0.29  -0.436  0.875 -1.268  0.012],1.466463,-1.1901855e-05,200,-890.26434,0.45325667,63.66462,11.0,,-726.4374,4.754225,10.061254262924194,2063,0.90294546,217.18552
9.267028,8.534057,-891.7994,0.476266,3,127.42161476853545,0.02784277,1.0254645,-114.474335,1.2658157,100,0.16564175,25410.207,[-0.355 -0.548  0.766 -1.518  0.048],1.4619195,8.468628e-06,300,-902.9962,0.13032866,94.89301,13.75,,-793.0155,1.1560924,15.890027523040771,3438,0.9771611,365.0183
9.072095,8.144191,-857.1512,0.3455088,4,98.43221149361605,0.023225728,1.1384562,-91.510925,1.4744922,100,0.15629058,68304.59,[-0.435 -0.672  0.755 -1.435  0.043],1.4661533,1.5258789e-07,400,-895.6926,0.3574692,67.17514,10.85,,-765.0282,2.3755186,20.853935718536377,4523,0.9570278,272.2032
9.273955,8.547918,-859.0348,0.030571083,5,128.81520983167096,0.034794345,1.3220199,-116.35629,3.8926158,100,0.21345906,111560.82,[-0.545 -0.553  0.552 -1.683  0.047],1.3919536,4.5776366e-07,500,-901.157,0.41385418,88.52345,13.89,,-734.625,3.0641437,27.49033546447754,5912,0.9107212,352.61948
9.202005,8.404027,-879.67523,0.075267226,6,116.22132230533857,0.030486552,1.2846482,-106.99207,2.886012,100,0.1924681,122608.51,[-1.006 -0.527  0.359 -1.478 -0.027],1.2899154,2.2888185e-06,600,-898.9556,0.4237334,73.24251,12.63,,-764.5372,2.3175647,33.13583993911743,7175,0.9454417,311.69385
9.295665,8.591332,-858.3155,0.17795028,7,133.1139106165403,0.036019173,1.3940139,-112.00777,3.1377869,100,0.21460831,143761.38,[-1.121 -0.639  0.29  -1.384 -0.129],1.3570391,,700,-891.7393,0.46228614,72.21758,14.32,,-743.31226,3.3057897,38.76366567611694,8607,0.92615783,266.77945
9.301968,8.603936,-719.11115,0.062443327,8,134.41342718547162,0.04316407,1.9320862,-112.063385,8.073617,100,0.2799006,106086.73,[-1.127 -0.654  0.272 -1.568 -0.062],1.338367,1.5258789e-06,800,-896.9945,0.38540867,81.88548,14.45,,-574.8809,8.967384,44.54865550994873,10052,0.71511143,325.18704
9.306931,8.613866,-670.3783,0.0019122864,9,135.50889378993452,0.06595047,4.7658424,-123.11861,74.89612,100,0.76000124,185348.75,[-1.039 -0.126  0.151 -1.591 -0.081],1.2071311,5.340576e-06,900,-891.3153,0.6002195,82.506,14.56,,-475.21643,13.124091,52.36871790885925,11508,0.61786854,259.50458
9.560033,9.120067,-816.986,0.022710286,10,220.2631563243137,0.05700951,1.5352308,-189.27562,6.59594,100,0.27354166,118565.39,[-1.095  0.368 -0.092 -1.795 -0.212],1.1847049,3.0517579e-06,1000,-860.7224,0.4327099,120.040146,23.04,,-693.5353,2.0382087,60.84814238548279,13812,0.9050728,295.4395
