MaxD2w0t,InitialReturnMax,J_sample_variance,StdD2w0t,MinIW,MeanIW,ReturnMeanIW,Weights,EpLenMean,EpisodesSoFar,MinD2w0t,ReturnStepMaxmin,EmpiricalD2,InitialReturnMin,TimestepsSoFar,StdIW,InitialBound,EpThisIter,MeanEntropy,Iteration,InitialReturnMean,MaxIW,Bound,TimeElapsed,ReturnStepMax,MeanD2w0t,EpRewMean,InitialReturnStd
5.0871787,204.8357,219383.05,0.22506596,0.020597482,0.8949288,-717.3943,[-0.365 -0.68  -0.484 -0.253  0.   ],10.82,100,,8.139399,1.6813686,-81.56039,1082,0.5916185,-897.0181,100,1.3212649,1,9.536743e-06,3.862136,-845.9915,1.817552089691162,9.999996,0.031221738,98.13411615143843,63.914062
290.51596,190.00916,156144.5,2.0317428,0.0032349995,0.4481444,-322.46063,[-0.289 -0.825 -0.559 -0.459 -0.098],10.88,200,,8.150031,15.280592,-92.165535,2170,0.68892634,-895.2195,100,1.1497633,2,7.019043e-06,38.421303,-574.961,6.77573037147522,9.999993,0.09868701,98.73611507581141,63.154663
62.848408,324.2354,301053.06,0.6993493,0.015917184,0.7509539,-512.71454,[-0.913  0.109 -1.547 -1.154 -0.269],24.84,300,,9.183871,5.146151,-195.07257,4654,0.9692287,-855.7229,100,1.11977,3,1.3732911e-06,9.209753,-712.5998,16.07947611808777,9.999999,0.09487933,238.26369348997036,109.19692
201.80136,398.5743,103290.38,1.8049647,0.05079862,0.58941984,-363.88327,[-0.807  0.268 -1.619 -1.494 -0.299],33.64,400,,9.395226,13.498739,-263.30753,8018,1.2521393,-814.93695,100,1.0633337,4,-1.2969971e-05,150.86208,-585.0993,26.99470329284668,10.0,0.1672066,326.2276871945153,149.1896
10.24282,392.09763,549910.3,0.49307188,0.022951508,0.9672061,-535.2375,[-0.571  0.327 -1.76  -1.646 -0.356],45.58,500,,9.55204,3.2011929,-342.3602,12576,1.5843804,-746.3744,100,1.0113571,5,-1.739502e-05,22.536423,-688.7747,40.203518867492676,9.999998,0.13545495,445.59085577855893,156.64505
72.30386,397.57257,225679.36,2.0758379,0.0034043293,0.655783,-310.51828,[-0.482  0.36  -1.786 -1.725 -0.408],55.72,600,,9.632376,19.342554,-401.9284,18148,0.9634927,-692.62354,100,0.9291562,6,-1.2969971e-05,10.062115,-557.95447,53.88259840011597,10.0,0.38861626,546.957750489666,153.69583
34.062046,314.76907,199038.67,1.3956276,0.0031362406,0.65809923,-263.72455,[-0.419  0.445 -1.854 -1.834 -0.49 ],70.4,700,,9.709175,14.221911,-462.8982,25188,1.2460313,-615.55164,100,0.91196954,7,-2.7465821e-06,13.066325,-451.36102,71.56048083305359,10.0,0.3329739,693.7626265897306,138.19325
31.429966,317.35138,200633.61,1.0244608,0.021400698,0.85005134,-330.49503,[-0.342  0.499 -1.862 -1.834 -0.507],87.14,800,,9.764392,5.022956,-548.4969,33902,1.1507338,-553.91565,100,0.8717225,8,7.3242186e-06,9.838278,-498.59985,91.00478291511536,9.999999,0.34999624,861.1340872474979,170.53603
31.98297,349.58875,84154.14,1.5910248,0.0023555285,0.78921735,-238.58318,[-0.263  0.458 -1.919 -1.91  -0.547],98.62,900,,9.791466,6.9061084,-568.40045,43764,1.0870292,-526.1018,100,0.80840814,9,5.1879883e-06,9.2290125,-424.72516,112.91125273704529,10.0,0.5579586,975.9162295453805,197.14345
81.563705,332.5307,146046.58,1.761968,0.016656186,0.79936093,-249.88716,[-0.254  0.533 -1.925 -1.896 -0.611],103.99,1000,,9.801984,11.556976,-598.59906,54163,1.5145674,-496.51834,100,0.7908163,10,-2.746582e-05,68.04495,-418.17343,136.01171135902405,9.999999,0.49031493,1029.602949861212,181.63036
22.653255,240.62628,49508.004,1.0680313,0.010839731,0.836491,-232.09398,[-0.178  0.524 -1.934 -1.934 -0.628],130.07,1100,,9.840422,3.1942437,-682.91486,67170,0.7261041,-423.9643,100,0.8035141,11,-5.2490235e-05,5.461393,-381.12863,162.82489776611328,10.0,0.49133274,1290.3205319739018,189.76346
53.664482,328.75,108316.805,1.9532391,0.0074525606,0.80812174,-221.72105,[-0.217  0.601 -2.007 -1.919 -0.615],131.31,1200,,9.841885,8.642435,-661.1768,80301,1.3347938,-446.06805,100,0.7576533,12,-3.112793e-05,26.160765,-378.70526,190.41946125030518,10.0,0.6730628,1302.7175716237673,224.1131
31.955528,237.4082,56894.816,1.6530573,0.0045452784,0.7861444,-178.83754,[-0.156  0.576 -2.068 -1.936 -0.661],168.06,1300,,9.875576,7.5393605,-749.7651,97107,0.7890955,-359.15195,100,0.7700713,13,-3.112793e-05,7.410596,-323.6964,224.57006239891052,10.0,0.7610803,1670.1419040088704,206.36836
88.6984,257.53497,64320.652,3.1356668,0.00414951,0.7853561,-142.07645,[-0.201  0.583 -2.09  -2.011 -0.649],148.88,1400,,9.860317,17.550713,-726.07635,111995,1.15302,-382.0792,100,0.7397351,14,-3.479004e-05,16.781345,-304.62573,254.70889496803284,10.0,0.9059436,1478.3997207183897,173.79892
67.05348,186.6427,52387.348,2.143446,0.015184661,0.9904479,-134.12053,[-0.136  0.576 -2.123 -2.036 -0.679],200.93,1500,,9.896126,8.242276,-806.59454,132088,1.2713647,-303.3452,100,0.71310115,15,-4.272461e-05,24.267359,-271.41614,295.90144658088684,10.0,0.9049347,1998.8607426825838,187.7953
35.509113,151.06201,26174.73,2.2994633,0.008895944,0.8648537,-76.17559,[-0.086  0.543 -2.186 -2.027 -0.706],243.23,1600,,9.916592,9.284989,-822.34467,156411,1.0822138,-268.74213,100,0.6728657,16,2.532959e-05,15.473178,-216.48352,343.519837141037,10.0,1.3352236,2422.151877577029,178.82033
86.78367,104.84082,40547.87,2.8523164,0.008732204,0.9429157,-72.18476,[-0.055  0.564 -2.271 -2.062 -0.746],323.55,1700,,9.947693,7.536409,-888.4629,188766,0.8380816,-224.03825,100,0.64799935,17,-2.1362304e-05,12.097397,-201.59012,403.1802909374237,10.0,1.4998722,3227.01496388771,202.9952
3.7992568,58.697327,17361.365,0.7522757,0.05127896,1.0138186,-39.04639,[-0.025  0.551 -2.335 -2.048 -0.771],400.55,1800,,9.971577,2.2784922,-934.63,228821,0.74156374,-179.05743,100,0.6259254,18,1.953125e-05,9.535071,-166.40974,475.6726357936859,10.0,1.2603409,3999.756151249645,166.96307
2.7860315,64.489746,27655.965,0.6577141,0.043516237,1.0369747,-45.425373,[-0.015  0.522 -2.383 -2.048 -0.793],428.16,1900,,9.981783,2.1898272,-928.8537,271637,0.7395997,-185.34068,100,0.5974788,19,4.2114258e-05,6.8036,-172.66425,551.5718960762024,10.0,1.3335203,4277.635713137791,197.47281
1.261456,18.033813,8798.404,0.26933283,0.40896988,0.98527783,-15.111512,[-0.01   0.536 -2.428 -2.056 -0.821],465.51,2000,,9.986719,1.1166975,-945.65234,318188,0.2268546,-139.13734,100,0.5884309,20,2.746582e-05,2.175776,-137.35735,633.0046625137329,10.0,0.98052233,4651.929423500025,99.6054
1.7383635,31.870117,12489.452,0.3518013,0.08388862,1.0681564,-22.12164,[-0.006  0.535 -2.462 -2.052 -0.83 ],469.55,2100,,9.990372,1.5771422,-961.4626,365143,0.6014196,-153.1585,100,0.5683737,21,-4.5776367e-05,6.8816047,-146.8633,715.099662065506,10.0,1.202858,4693.156310346371,142.4492
1.9572885,25.463928,3122.6174,0.33578625,0.14295653,0.94074655,-13.3740015,[-0.004  0.515 -2.49  -2.033 -0.851],466.38,2200,,9.990587,1.4565054,-707.85596,411781,0.3755898,-146.73984,100,0.5537109,22,6.713867e-05,3.862656,-137.4233,796.6933233737946,10.0,1.1306145,4661.520336366106,105.895424
3.7524369,23.323608,16554.318,0.3055423,0.10249532,1.0107579,-18.795149,[-0.012  0.505 -2.567 -2.015 -0.865],477.02,2300,,9.99189,1.4388227,-960.03973,459483,0.3531305,-144.6771,100,0.5442483,23,1.953125e-05,2.4390066,-141.69916,879.9543619155884,10.0,1.1071337,4768.175371745488,138.42146
1.1956698,12.1397705,7482.5327,0.16433308,0.4271326,0.9702561,-10.068733,[ 3.887e-04  4.993e-01 -2.567e+00 -2.000e+00 -8.747e-01],487.5,2400,,9.99468,1.0809491,-941.8878,508233,0.17929238,-133.6189,100,0.54021007,24,-1.3427734e-05,1.8994168,-132.15866,964.7007296085358,10.0,1.0123636,4873.610666847201,95.961105
2.2840035,13.5130005,9590.182,0.24072672,0.2048012,1.0120103,-10.940212,[-0.004  0.5   -2.603 -2.007 -0.879],481.16,2500,,9.993267,1.2448382,-979.8352,556349,0.26895082,-134.9296,100,0.5345978,25,5.493164e-05,2.3545954,-133.22472,1048.1573467254639,10.0,1.0506492,4809.881958335539,99.79081
1.4696393,49.892334,33555.113,0.31192127,0.13492677,0.93110734,-43.1558,[ 0.007  0.498 -2.606 -2.005 -0.884],467.87,2600,,9.993563,1.3737996,-933.48694,603136,0.37694597,-171.31271,100,0.51877964,26,4.2114258e-05,2.911467,-166.91428,1128.8209059238434,10.0,1.1107236,4677.104607289873,199.90224
1.1604352,10.891602,9727.652,0.1263229,0.67668813,1.0125122,-10.51387,[ 0.01   0.508 -2.648 -2.028 -0.9  ],492.3,2700,,9.996532,1.0344636,-972.4882,652366,0.12904,-132.45947,100,0.51823366,27,-1.0375977e-05,2.2157245,-132.29056,1212.8357441425323,10.0,0.9990117,4922.039885797268,98.20092
1.3832445,3.1929932,295.97293,0.11216737,0.53677213,0.983285,-1.8547004,[ 0.005  0.511 -2.657 -2.033 -0.901],494.9,2800,,9.996462,1.0867567,-286.7348,701856,0.1817337,-124.7579,100,0.51707053,28,-4.699707e-05,2.3817484,-123.87737,1297.9849953651428,10.0,1.0274487,4948.017110130933,28.876198
1.0603455,9.8394165,8346.892,0.11078141,0.6414921,0.99592984,-9.174701,[-6.329e-04  5.058e-01 -2.675e+00 -2.035e+00 -9.019e-01],493.91,2900,,9.995747,1.0179397,-953.8743,751247,0.084687665,-131.37138,100,0.5168275,29,-2.1972657e-05,1.2465091,-130.9385,1382.574640750885,10.0,0.9956495,4937.944075725767,95.87069
1.1261241,8.025391,2581.1333,0.14353596,0.4908133,1.0248576,-5.7900443,[ 1.694e-03  5.069e-01 -2.718e+00 -2.037e+00 -9.021e-01],490.58,3000,,9.995752,1.0770695,-703.24347,800305,0.204036,-129.54848,100,0.5124502,30,-4.272461e-06,2.0077505,-127.95997,1465.6653859615326,10.0,1.0197959,4904.6540005166635,70.83958
1.3693784,10.757751,9656.467,0.13286522,0.36971477,1.0179224,-10.13051,[ 2.039e-03  4.951e-01 -2.748e+00 -2.034e+00 -9.065e-01],491.87,3100,,9.996199,1.0572157,-972.6189,849492,0.13481495,-132.31071,100,0.5116415,31,-2.3193359e-05,1.4789103,-131.94844,1550.4672119617462,10.0,1.0050218,4917.6633957039285,98.05227
1.0,0.09820557,0.0063823876,,1.0,1.0,-0.05150646,[ 0.008  0.495 -2.748 -2.032 -0.907],500.0,3200,1.0,0.01666832,1.0,-0.34674072,899492,,-121.72128,100,0.5116415,32,-5.7983398e-05,1.0,-121.72128,1634.6441612243652,10.0,1.0,4999.224521981162,0.07949888
10.048128,26.100647,16890.396,0.4685725,0.19670647,0.9488878,-20.706753,[ 0.008  0.495 -2.748 -2.032 -0.907],482.79,3300,,9.995733,1.6331056,-967.26294,947771,0.47990078,-147.62439,100,0.4981111,33,3.967285e-05,5.948605,-144.28322,1715.6363735198975,10.0,1.2051862,4826.770687618112,147.08263
1.2273186,17.398193,9904.839,0.17728303,0.29375678,0.9912467,-14.25933,[-0.005  0.498 -2.765 -2.04  -0.921],487.64,3400,,9.996069,1.1832753,-965.97705,996535,0.2933514,-138.94522,100,0.48673528,34,-0.00010925293,2.4372723,-136.94304,1798.9581615924835,10.0,1.0619897,4875.330622894618,119.351974
1.3676355,20.802979,17921.787,0.1897368,0.28793284,1.0264097,-19.411543,[-0.008  0.499 -2.795 -2.05  -0.932],483.69,3500,,9.99394,1.1016998,-972.56335,1044904,0.2047184,-142.2349,100,0.48193386,35,5.6762696e-05,1.8582951,-141.38135,1876.5454075336456,10.0,1.0051237,4835.327801429433,136.9954
1.2724433,20.667236,18602.992,0.1820817,0.3163321,0.99463713,-19.625174,[-1.622e-03  4.939e-01 -2.816e+00 -2.039e+00 -9.370e-01],484.75,3600,,9.994841,1.0932578,-972.7045,1093379,0.18695265,-142.13846,100,0.47704685,36,3.601074e-05,1.9052988,-141.6009,1948.140872478485,10.0,1.0066056,4846.138131332984,138.31696
1.0100801,10.030945,9754.516,0.099658445,0.8251821,1.002496,-9.907118,[ 0.004  0.488 -2.821 -2.038 -0.942],495.01,3700,,9.9973545,1.0050473,-983.3343,1142880,0.044428214,-131.63359,100,0.47534674,37,7.93457e-06,1.1547713,-131.60449,2020.2513554096222,10.0,0.9924614,4949.33247201092,98.82885
1.2767128,10.993408,9866.068,0.1432299,0.32143062,0.9835772,-10.257655,[ 0.003  0.487 -2.821 -2.035 -0.944],490.94,3800,,9.9965725,1.0783044,-982.3666,1191974,0.15123637,-132.56252,100,0.47396,38,-5.6152345e-05,1.5151447,-132.0898,2091.0266377925873,10.0,1.0106126,4908.4473322647655,99.01242
1.0,0.088012695,0.0047658468,,1.0,1.0,-0.04576537,[ 0.01   0.486 -2.821 -2.035 -0.945],500.0,3900,1.0,0.017456055,1.0,-0.22821045,1241974,,-121.715546,100,0.47396,39,-3.2958986e-05,1.0,-121.715546,2163.1265993118286,10.0,1.0,4999.328808042205,0.068679795
1.0,0.09613037,0.0047627403,,1.0,1.0,-0.05257586,[ 0.01   0.486 -2.821 -2.035 -0.945],500.0,4000,1.0,0.018440247,1.0,-0.1875,1291974,,-121.72235,100,0.47396,40,4.699707e-05,1.0,-121.72235,2236.0149614810944,10.0,1.0,4999.33303978728,0.0686673
1.0538939,10.27832,9632.813,0.11528861,0.5783946,0.9941975,-9.972689,[ 0.01   0.486 -2.821 -2.035 -0.945],493.43,4100,,9.996834,1.0219365,-983.07275,1341317,0.09869524,-131.86932,100,0.47052675,41,-4.699707e-05,1.42363,-131.74084,2306.686996459961,10.0,0.9967533,4933.41018158707,98.8362
1.0,0.10650635,0.0065523246,,1.0,1.0,-0.05164741,[ 0.012  0.485 -2.821 -2.034 -0.948],500.0,4200,1.0,0.01767826,1.0,-0.35247803,1391317,,-121.72143,100,0.47052675,42,6.164551e-05,1.0,-121.72143,2379.1025607585907,10.0,1.0,4999.332753810842,0.0805432
1.0,0.093933105,0.005123048,,1.0,1.0,-0.054238446,[ 0.012  0.485 -2.821 -2.034 -0.948],500.0,4300,1.0,0.01848507,1.0,-0.23065186,1441317,,-121.724014,100,0.47052675,43,3.173828e-05,1.0,-121.724014,2451.0563209056854,10.0,1.0,4999.349203324407,0.07121512
1.0,0.07946777,0.0037909164,,1.0,1.0,-0.04323754,[ 0.012  0.485 -2.821 -2.034 -0.948],500.0,4400,1.0,0.015864372,1.0,-0.21826172,1491317,,-121.71301,100,0.47052675,44,-1.2207031e-06,1.0,-121.71301,2522.715169906616,10.0,1.0,4999.354903070215,0.06126267
1.1232147,10.317139,9650.014,0.118471384,0.4392954,0.9991095,-10.018383,[ 0.012  0.485 -2.821 -2.034 -0.948],493.1,4500,,9.996967,1.0243798,-973.0621,1540627,0.10442301,-131.90547,100,0.4706393,45,3.0517578e-05,1.4447701,-131.7594,2593.527873277664,10.0,0.9959736,4930.141509446525,97.87386
1.0041636,0.39849854,7.306414,0.05847134,0.8809907,1.0068299,-0.29808846,[ 0.017  0.483 -2.822 -2.035 -0.948],498.29,4600,,9.997404,1.0029213,-30.317383,1590456,0.036285665,-122.00444,100,0.46899515,46,-3.173828e-05,1.1337985,-121.985054,2665.5310504436493,10.0,0.9980225,4982.14177245271,3.0479453
1.0392705,0.24371338,0.6045734,0.048919946,0.5140885,0.99348694,-0.10012126,[ 0.016  0.483 -2.822 -2.035 -0.95 ],498.82,4700,,9.9973545,1.0086868,-14.933289,1640338,0.06502273,-121.84272,100,0.4683261,47,-1.3427734e-05,1.1400676,-121.79553,2737.13188290596,10.0,1.0012103,4987.429883475513,1.502472
1.0340136,9.93927,8645.555,0.10103352,0.57083696,1.0035933,-9.329322,[ 0.019  0.483 -2.822 -2.035 -0.951],495.02,4800,,9.997328,1.0275016,-973.4488,1689840,0.11636437,-131.5365,100,0.46555895,48,1.4648437e-05,1.4823803,-131.18234,2807.9486348629,10.0,1.0040658,4949.428304092505,97.83531
2.540486,16.93341,11497.819,0.18991394,0.45814186,1.0123339,-14.146434,[ 0.019  0.485 -2.854 -2.042 -0.953],490.38,4900,,9.997021,1.2106582,-976.4339,1738878,0.35039142,-138.51735,100,0.46475893,49,6.408691e-05,7.2377844,-136.61119,2879.9477922916412,10.0,1.074234,4902.959599553026,119.757675
1.0278211,9.9151,9088.251,0.10067863,0.68849236,0.9969826,-9.5602865,[ 0.007  0.488 -2.88  -2.038 -0.954],495.02,5000,,9.997475,1.0230981,-973.46375,1788380,0.11043513,-131.53072,100,0.46027544,50,2.746582e-05,1.514678,-131.3724,2953.508670568466,10.0,1.0015328,4949.462118914647,97.83681
1.0655411,19.97931,17249.676,0.1563609,0.4106557,1.0173895,-18.797377,[ 0.006  0.485 -2.881 -2.037 -0.959],488.25,5100,,9.996397,1.0535153,-963.4049,1837205,0.16401723,-141.53482,100,0.45769373,51,-5.0048828e-05,1.71269,-140.79033,3024.234180212021,10.0,1.0028532,4881.50317164309,137.64186
1.0,0.121520996,0.08312223,0.02606816,1.0,1.0,-0.06307799,[ 0.007  0.488 -2.909 -2.051 -0.961],499.66,5200,,9.997616,1.0,-2.763855,1887171,,-121.73286,100,0.45769373,52,-2.746582e-05,1.0,-121.73286,3097.5393257141113,10.0,0.99932,4995.886405012049,0.2868686
1.0747334,0.38909912,2.3627815,0.058866274,0.49560916,1.0032418,-0.18171586,[ 0.007  0.488 -2.909 -2.051 -0.961],498.32,5300,,9.997534,1.0160164,-29.110168,1937003,0.08081803,-121.991035,100,0.45718917,53,-8.850098e-05,1.2265619,-121.90129,3168.572500705719,10.0,1.0030911,4982.4671125642935,2.9264667
1.051604,10.029297,8840.983,0.10217502,0.5958829,0.9920092,-9.437628,[ 0.011  0.488 -2.909 -2.051 -0.962],495.01,5400,,9.997562,1.0414461,-983.3391,1986504,0.13871928,-131.63907,100,0.45117605,54,3.2958986e-05,1.7098272,-131.35078,3239.3578848838806,10.0,1.0104555,4949.379976931216,98.82933
