EpThisIter,TimeElapsed,StdIW,EmpiricalD2,MeanEntropy,TimestepsSoFar,InitialReturnStd,MaxD2w0t,J_sample_variance,InitialBound,ReturnMeanIW,ReturnStepMax,Weights,InitialReturnMean,EpLenMean,MinD2w0t,MinIW,Bound,EpRewMean,InitialReturnMax,MeanD2w0t,StdD2w0t,MaxIW,ReturnStepMaxmin,EpisodesSoFar,InitialReturnMin,Iteration,MeanIW
100,1.7157690525054932,0.44025743,6.569395,1.5390571,511,23.996435,44.84124,111707.375,-803.77985,-532.5624,8.0378065,[-0.721 -0.154  1.027  0.472  0.   ],-3.8337707e-06,5.11,,0.05586787,-626.09644,41.073194125506745,64.50638,0.027089262,0.5107779,4.4050975,6.075651,100,-40.13447,1,0.7093286
100,8.685497760772705,0.496679,1.6053749,1.6500028,1222,38.97443,4.09719,151082.9,-862.35284,-722.70575,8.588621,[-0.863 -0.165  0.79  -0.015  0.12 ],-6.1035155e-07,7.11,,0.27921885,-818.5619,61.06510388082786,171.20813,0.019016685,0.16394107,3.5879726,7.1772537,200,-58.687122,2,0.9140331
100,13.180583477020264,0.84062415,3.0164905,1.4559464,1930,44.328445,16.42202,431236.6,-861.20496,-597.46564,8.581799,[-0.88  -0.101  0.709 -0.292  0.231],6.1035155e-07,7.08,,0.0006748725,-744.384,60.75913037197959,163.9148,0.02875565,0.31044033,10.42934,7.163599,300,-58.142975,3,0.7660228
100,18.164992332458496,0.5322192,1.7928398,1.3564693,3373,89.216705,6.256585,215389.11,-890.7888,-699.561,9.301271,[-1.087  0.348  0.312 -1.07   0.037],-6.4849855e-06,14.43,,0.012225795,-829.29065,134.2173513753599,242.30498,0.045259688,0.28616595,3.269577,8.602565,400,-121.35298,4,0.8509283
100,22.76964259147644,0.6896151,5.2269564,1.151717,4518,77.439896,58.487488,202827.52,-891.35,-447.00308,9.12101,[-1.182  0.495  0.206 -0.914 -0.062],-1.0375977e-05,11.45,,0.0042711343,-664.4535,104.43556633012659,214.29016,0.07343472,0.7827533,29.153378,8.242023,500,-96.079475,5,0.5851725
100,30.098317861557007,0.57589984,2.4711623,1.0818834,6787,132.9576,24.864786,204809.4,-867.75867,-658.20593,9.553887,[-1.177  0.685  0.012 -1.351 -0.267],-9.765625e-06,22.69,,0.00036165788,-798.7975,216.777727370487,340.34637,0.066693574,0.38942114,3.6274507,9.107777,600,-184.1353,6,0.85091734
100,35.6096465587616,0.9859527,6.5898085,0.98473185,9150,126.85755,90.3221,392982.6,-860.71533,-538.67944,9.571928,[-1.338  0.633 -0.063 -1.232 -0.337],-6.713867e-06,23.63,,0.0021827607,-740.46063,226.18462511800004,326.85895,0.110128805,0.8696549,12.833882,9.143858,700,-182.88577,7,0.7666618
100,44.398969650268555,0.42168304,2.8629792,1.0535662,12222,143.41714,12.834583,126008.01,-817.7833,-607.7798,9.669701,[-1.089  0.699 -0.197 -1.466 -0.434],2.4414062e-06,30.72,,0.091321744,-750.9312,297.05320781742944,250.00633,0.09659873,0.44262806,4.7413096,9.339402,800,-244.9568,8,0.8343812
100,53.266507625579834,0.7386366,2.7715988,0.94123626,15301,142.76038,9.4416685,208104.78,-818.7445,-553.74646,9.670403,[-1.032  0.762 -0.262 -1.536 -0.365],-3.3569336e-06,30.79,,0.009474944,-722.3553,297.7516652433004,269.52692,0.12227783,0.5385649,6.5507755,9.340809,900,-245.37213,9,0.82288396
100,63.807005405426025,0.49963912,2.0224228,0.93422115,19363,144.65086,8.360651,128203.37,-771.8455,-539.7292,9.749532,[-1.165  0.837 -0.339 -1.717 -0.478],7.476807e-06,40.62,,0.0019929807,-690.9072,396.025800633845,454.64413,0.107338,0.40093988,3.1607313,9.4990635,1000,-302.28647,10,0.813478
100,73.20611310005188,0.76512206,3.7728498,0.81734556,23296,134.16505,15.967536,266513.38,-771.34875,-509.68546,9.741317,[-1.358  0.929 -0.471 -1.694 -0.485],1.4190674e-05,39.33,,0.009595528,-708.29626,383.12583927425055,319.6074,0.17441496,0.7241514,5.152264,9.482635,1100,-306.70157,11,0.7829235
100,83.08043837547302,0.7879046,2.1905167,0.7713189,27673,108.04062,5.8090196,212111.94,-738.62164,-539.8443,9.767401,[-1.433  0.889 -0.526 -1.723 -0.602],-2.4414062e-06,43.77,,0.005625029,-669.01227,427.51901755946415,246.58478,0.11574211,0.39151567,6.3851414,9.534802,1200,-320.49554,12,0.894885
100,95.00218343734741,0.67403716,20.640087,0.7664351,32653,119.12306,113.01892,104727.34,-713.782,-306.83267,9.794982,[-1.478  1.004 -0.608 -1.857 -0.648],-8.544922e-06,49.8,,0.0056626005,-520.224,487.7899573436761,354.8067,0.2731612,2.0087526,5.6024256,9.589964,1300,-374.2536,13,0.59445757
100,107.03344964981079,0.83372056,8.403015,0.8036642,38054,124.1364,47.554024,222826.0,-687.4672,-417.57608,9.811049,[-1.368  1.062 -0.676 -2.039 -0.652],,54.01,,0.028451983,-593.3939,529.8945856146385,275.05542,0.21502933,0.94561094,11.711138,9.622099,1400,-400.4171,14,0.7717567
100,119.36976528167725,0.8513443,5.5194006,0.7467529,43690,139.33562,22.073914,297372.47,-678.292,-461.64484,9.8185005,[-1.311  1.126 -0.728 -2.193 -0.615],8.239746e-06,56.36,,0.0026374455,-625.7255,553.3706595431349,280.28662,0.20563066,0.77713686,6.454426,9.637002,1500,-411.0332,15,0.80817807
100,131.94032907485962,1.0782937,7.9379244,0.7427288,49793,117.4878,24.812813,221420.61,-659.07654,-386.97943,9.832368,[-1.382  1.076 -0.794 -2.219 -0.672],1.0375977e-05,61.03,,0.009579577,-560.58954,600.0692850378377,422.71936,0.23171242,0.86961526,14.694297,9.664736,1600,-146.93472,16,0.7848411
100,143.50698375701904,0.9265176,3.9348457,0.8045352,55261,100.356316,11.326756,263975.62,-681.1453,-481.98145,9.812911,[-1.52   1.096 -0.828 -2.111 -0.676],-5.1879883e-06,54.68,,0.05461189,-637.6452,536.5697234876291,283.74896,0.17687365,0.5762863,10.478509,9.625822,1700,-368.22437,17,0.87107366
100,158.14379358291626,0.73435307,10.092846,0.71342164,60917,98.08964,82.68235,151503.39,-668.7218,-315.5421,9.819209,[-1.44   1.114 -0.844 -2.128 -0.614],-5.065918e-05,56.56,,0.0020780708,-525.5082,555.3743934260297,236.00403,0.29755583,1.3608793,10.536536,9.638418,1800,-389.58624,18,0.62414956
100,172.18525958061218,0.53794163,23.55562,0.66676646,67358,138.86833,161.8016,84109.49,-641.05914,-217.44443,9.841119,[-1.422  1.228 -0.88  -2.17  -0.705],,64.41,,0.0028829703,-412.28143,633.8664381455986,294.8684,0.33708087,2.6364477,8.0054035,9.682239,1900,-452.67786,19,0.48176515
100,187.0823357105255,1.1015296,17.155827,0.6204135,74900,128.0653,59.39434,253590.19,-589.34875,-318.74277,9.863735,[-1.312  1.264 -0.888 -2.19  -0.752],5.4931643e-06,75.42,,0.0014490907,-505.37344,743.9224164994431,337.87247,0.3541935,1.7534792,12.576915,9.72747,2000,-499.29468,20,0.76880556
100,202.62184762954712,0.8857532,15.904498,0.65557843,82812,137.22443,49.39229,162165.11,-571.6246,-319.69376,9.870273,[-1.283  1.345 -0.98  -2.275 -0.798],-1.8615723e-05,79.12,,0.014620379,-498.51517,780.9354593723381,245.60968,0.3721464,1.5208157,9.754487,9.740545,2100,-526.0441,21,0.7559863
100,218.6917586326599,0.8269347,19.137306,0.65504384,91197,133.47081,64.077194,148083.61,-554.87665,-279.10382,9.877327,[-1.22   1.365 -1.03  -2.363 -0.763],2.2583008e-05,83.85,,0.001086328,-462.98505,828.2131495747988,316.1723,0.4210518,1.8838307,7.448888,9.754654,2200,-525.6423,22,0.6779826
100,234.16768312454224,0.8431653,18.863537,0.676522,99504,122.54507,42.014748,147497.62,-557.55457,-287.39432,9.876033,[-1.289  1.323 -1.041 -2.396 -0.764],4.1809082e-05,83.07,,0.006029834,-461.29697,820.4014865799754,327.05475,0.37162173,1.7243638,11.964975,9.7520685,2300,-542.80963,23,0.73808265
100,248.3936197757721,0.8432614,2.5943575,0.62114525,107903,103.14206,6.053934,152076.19,-547.3358,-341.782,9.877395,[-1.202  1.338 -1.112 -2.375 -0.742],-1.953125e-05,83.99,,0.052524164,-495.27313,829.6018353019365,264.68347,0.28312546,0.6808991,4.610312,9.754789,2400,-255.8917,24,0.8115069
100,256.01313877105713,0.89130664,16.909683,0.57470375,115784,146.75156,34.74537,143604.56,-573.90796,-257.9739,9.86971,[-1.165  1.261 -1.137 -2.383 -0.798],3.7841797e-05,78.81,,0.00040503163,-445.61615,777.8311447836484,236.47363,0.3871368,1.6077452,25.47683,9.73942,2500,-523.3705,25,0.6549168
100,271.39178466796875,0.6508699,20.861462,0.5288804,124825,120.916084,37.551582,70069.664,-523.8644,-165.84857,9.886399,[-1.109  1.298 -1.179 -2.465 -0.844],-3.967285e-06,90.41,,0.0006705405,-352.31494,893.8286818501521,274.26678,0.47251984,1.8528358,10.053734,9.7727995,2600,-567.3835,26,0.4972692
100,279.9219880104065,0.6091073,4.9914184,0.5681163,132951,136.1019,14.735548,93525.7,-561.72424,-309.37006,9.873613,[-1.169  1.265 -1.17  -2.446 -0.89 ],5.8898924e-05,81.26,,0.013027603,-473.0437,802.329342573774,256.6161,0.33009627,0.9077051,5.296326,9.747227,2700,-536.8769,27,0.7183444
100,288.82886695861816,0.9538894,10.273282,0.6188471,141612,93.940414,25.480783,216457.16,-535.8746,-285.8082,9.881383,[-1.364  1.442 -1.222 -2.565 -0.851],-1.15966795e-05,86.61,,0.017911563,-456.15656,855.8259277377921,285.4931,0.35770562,1.1124134,8.59528,9.762766,2800,-227.23895,28,0.7215661
100,298.18585419654846,1.15467,9.342757,0.5671561,149961,122.3458,18.993477,296010.1,-548.47003,-279.6918,9.876974,[-1.317  1.467 -1.244 -2.574 -0.8  ],,83.49,,0.00486418,-447.065,824.627913649986,214.81024,0.34080687,1.0496067,11.83807,9.753948,2900,-549.7513,29,0.6873348
100,308.5556175708771,0.66208255,30.544289,0.529842,159468,102.110146,68.3655,60526.695,-504.46097,-148.0997,9.891933,[-1.22   1.439 -1.279 -2.603 -0.852],2.532959e-05,95.07,,0.0004755801,-342.11334,940.42535358332,293.42328,0.56259495,2.5095372,17.245703,9.783867,3000,-597.96625,30,0.5009154
100,317.9038140773773,0.87204456,27.293373,0.5118887,169366,102.90284,43.22417,83130.52,-488.53894,-176.7422,9.896329,[-1.132  1.44  -1.295 -2.655 -0.889],5.4931643e-06,98.98,,0.00084758364,-359.10986,979.5373785012243,227.33032,0.5296466,2.22384,17.53276,9.792658,3100,-613.605,31,0.5838944
100,331.9190728664398,0.8557579,25.785473,0.5147214,178665,128.87898,47.47028,137313.19,-514.3084,-199.67644,9.889689,[-1.195  1.415 -1.271 -2.598 -0.907],-5.279541e-05,92.99,,0.007314921,-378.48386,919.6412315929888,253.77917,0.4723842,2.0723202,15.797549,9.779379,3200,-587.09607,32,0.568291
100,347.45665073394775,0.5935317,1.5335692,0.51855356,188585,109.44931,2.2921488,52296.81,-492.10675,-339.12045,9.896526,[-1.107  1.409 -1.264 -2.627 -0.904],-4.8828124e-06,99.2,,0.15342885,-470.7132,981.734409156005,290.83527,0.24610116,0.5017106,4.36891,9.793053,3300,-600.97345,33,0.95742327
100,365.8813998699188,1.0562806,14.675908,0.5029496,198818,84.2571,30.081215,209161.16,-475.64365,-214.61282,9.899663,[-1.137  1.469 -1.267 -2.611 -0.9  ],-2.6245118e-05,102.33,,0.0036785714,-385.35043,1013.0315622851155,277.84644,0.4694231,1.4865216,12.023007,9.799326,3400,-270.5987,34,0.6691487
100,385.60149908065796,0.8246593,14.545396,0.47533685,209701,117.343994,38.60649,127155.31,-463.8853,-204.1652,9.905665,[-1.078  1.478 -1.278 -2.706 -0.916],3.0517579e-06,108.83,,0.00012275085,-377.60785,1078.0326277882773,299.40533,0.54345924,1.6303031,10.533552,9.811331,3500,-640.5245,35,0.64454657
100,404.18172574043274,0.85514766,12.74679,0.5214086,220148,98.144806,22.667627,102884.41,-470.90057,-213.71072,9.901725,[-1.173  1.53  -1.267 -2.664 -0.944],-1.7089844e-05,104.47,,0.012979065,-380.1771,1034.4323672828841,218.24426,0.459822,1.3546748,10.409412,9.80345,3600,-307.89243,36,0.6986293
100,423.6542294025421,1.0247953,24.982637,0.52570987,230856,125.07919,43.34143,107323.94,-469.59402,-188.55144,9.903954,[-1.123  1.542 -1.279 -2.689 -0.898],7.507324e-05,107.08,,0.004582116,-357.216,1060.5141180243038,309.8709,0.5281151,2.112321,15.968922,9.807907,3700,-634.65314,37,0.67794263
