MeanIW,TimestepsSoFar,ReturnStepMaxmin,EpisodesSoFar,EpLenMean,MinIW,InitialBound,J_sample_variance,MinD2w0t,Bound,MaxD2w0t,MeanD2w0t,StdIW,InitialReturnMean,EpThisIter,InitialReturnStd,StdD2w0t,MeanEntropy,MaxIW,EpRewMean,EntropyCoefficient,ReturnMeanIW,InitialReturnMax,ReturnStepMax,EmpiricalD2,InitialReturnMin,Weights,Iteration,TimeElapsed
0.8872638,1332,8.486471,100,13.32,0.10847777,-887.1356,184045.23,,-811.73206,3.4802866,0.034975067,0.5712387,1.5258789e-06,100,69.61831,0.21866798,1.3138435,6.120579,123.11990727151723,10.0,-698.06067,269.1607,10.0,1.6762614,-113.47249,[-0.563 -1.093 -0.809 -1.04   0.   ],1,2.7401156425476074
0.48489672,2882,8.697651,200,15.5,0.005426752,-872.52673,158111.39,,-588.13745,167.0892,0.08619351,0.6355647,4.4250487e-06,100,65.70533,1.3207878,1.171849,62.610104,144.9067784074821,10.0,-362.47098,184.35449,9.999998,8.987438,-133.00198,[-0.564 -0.717 -1.14  -1.301 -0.105],2,13.639623165130615
0.7680716,5568,9.243754,300,26.86,0.008247644,-840.9655,196166.39,,-737.92236,9.766574,0.094189554,0.61256313,-9.460449e-06,100,130.08229,0.45764187,1.0548302,5.0283065,258.4435545666581,10.0,-561.79425,409.93213,9.999997,2.1164086,-206.45015,[-0.392 -0.089 -1.301 -1.619 -0.247],3,25.227606773376465
0.92996985,8630,9.335796,400,30.62,0.24497133,-820.81616,208034.48,,-767.1068,2.8357382,0.07219368,0.69972324,-1.0070801e-05,100,122.55895,0.28811428,1.0888671,7.325558,296.03093459173317,10.0,-644.07214,457.9289,9.999996,1.4387974,-245.5601,[-0.431 -0.028 -1.361 -1.647 -0.364],4,35.91728734970093
0.5990289,12257,9.438516,500,36.27,0.052161958,-782.95764,188074.9,,-566.2671,433.66663,0.20440656,0.7706987,-1.586914e-05,100,128.28218,3.577226,1.0665557,23.950848,352.51742052032773,10.0,-364.71292,365.694,9.999997,22.79627,-276.12106,[-0.542  0.098 -1.476 -1.747 -0.33 ],5,47.908567667007446
0.8084097,16575,9.526661,600,43.18,0.055774655,-754.0227,117311.695,,-670.38947,10.788399,0.13544866,0.55723685,7.6293945e-06,100,155.9659,0.5085951,0.9808246,3.6363878,421.5805794285069,10.0,-505.87585,518.5298,10.0,1.8675618,-315.56873,[-0.389  0.211 -1.509 -1.905 -0.352],6,63.01820659637451
0.8310227,21602,9.592414,700,50.27,0.016400114,-709.77716,208556.75,,-654.7823,6.7049775,0.13573553,0.6474157,-2.4414063e-05,100,153.81769,0.45397353,0.97656053,2.7511182,492.45529403383904,10.0,-523.1019,355.44006,9.999999,3.0063262,-360.90738,[-0.407  0.229 -1.537 -1.941 -0.438],7,76.37788581848145
0.81951874,26120,9.546829,800,45.18,0.0010194626,-731.37256,257726.84,,-665.9419,9.190569,0.16534868,0.8209275,-7.3242186e-06,100,141.02644,0.6017,0.8868646,7.545285,441.56281925316273,10.0,-510.29688,283.3743,10.0,3.5621982,-323.16528,[-0.474  0.198 -1.574 -1.832 -0.442],8,88.53360843658447
0.68961084,30479,9.531057,900,43.59,0.07074164,-735.76086,221891.67,,-596.97034,79.79488,0.22824326,0.8150016,-2.0446778e-05,100,113.98643,1.5906764,0.91407126,13.730192,425.6793118651924,10.0,-401.4427,280.41876,10.0,14.286971,-318.51505,[-0.566  0.188 -1.591 -1.873 -0.532],9,101.4254539012909
0.81273776,35676,9.6058855,1000,51.97,0.028071593,-703.11566,273129.97,,-587.6731,10.2696,0.20779957,1.1976312,4.5166016e-05,100,159.4654,0.70417017,0.8295899,21.223757,509.45882003802427,10.0,-419.58038,342.12564,9.999999,3.6295547,-368.71664,[-0.489  0.279 -1.611 -1.828 -0.505],10,113.86874389648438
