EpLenMean,Bound,InitialReturnMean,MinIW,EpisodesSoFar,EpRewMean,MaxD2w0t,J_sample_variance,InitialReturnStd,InitialReturnMax,InitialBound,ReturnStepMaxmin,Iteration,MeanEntropy,TimeElapsed,MeanIW,ReturnStepMax,TimestepsSoFar,ReturnMeanIW,MinD2w0t,EmpiricalD2,MeanD2w0t,StdD2w0t,Weights,MaxIW,StdIW,InitialReturnMin,EpThisIter
4.26,-658.8831,1.2779236e-06,3.4345062e-06,100,32.57945170589658,31.47824,962194.7,17.275867,54.38623,-767.52515,5.2955256,1,0.86329055,1.5304675102233887,0.7462034,7.6477585,426,-541.88153,,5.327504,0.028314663,0.42600957,[ 0.284  0.891 -0.359  1.021  0.   ],9.041115,1.3293447,-32.056885,100
4.65,-546.2844,6.67572e-07,1.1799546e-11,200,36.47560705823684,74.44808,694501.56,17.927216,59.754837,-786.0823,5.6884365,2,0.21765156,5.986798048019409,0.4860097,7.8442173,891,-354.72983,,10.872058,0.05169426,0.929505,[ 0.419  0.533 -0.158  1.025 -0.556],17.041372,1.1148745,-25.843716,100
5.13,-574.9801,-3.0517579e-06,0.0010966988,300,41.27521130108682,100.260025,336219.97,17.97293,55.108078,-802.5706,6.0917034,3,0.16712904,9.048790216445923,0.60321105,8.045851,1404,-453.13925,,14.862707,0.040916137,1.109127,[ 0.338  0.646 -0.289  0.761 -1.201],8.944464,0.7554352,-40.464386,100
4.66,-709.11914,-1.5640259e-06,0.0070816744,400,36.57905421211178,58.285503,258325.44,16.122572,41.28073,-782.8149,5.6991653,4,0.19885193,12.141580581665039,0.8532923,7.849582,1870,-634.88257,,5.7596765,0.020293223,0.49935383,[ 0.526  0.347  0.106  1.159 -1.252],7.0464835,0.6683372,-25.979103,100
4.38,-647.5145,,0.02024193,500,33.77783772096395,48.211838,275004.22,13.813964,43.961384,-771.128,5.423687,5,0.18831138,14.978188276290894,0.7753242,7.7118354,2308,-567.7724,,5.011937,0.017957285,0.40868184,[ 0.563  0.352  0.167  1.305 -1.22 ],5.069013,0.7022096,-33.278683,100
4.48,-688.32227,1.3732911e-06,0.00035932544,600,34.776989739328066,8.868451,390704.7,16.348185,61.33545,-779.1612,5.5254536,6,-0.16316207,17.768707513809204,0.82760733,7.7627215,2756,-609.97723,,2.3130877,0.015640872,0.18110813,[ 0.632  0.343  0.306  1.465 -1.231],6.9862337,0.83103675,-34.2079,100
4.47,-726.80133,-2.4223327e-06,0.1479617,700,34.67737944582419,5.643004,104452.51,13.092728,33.71942,-773.01465,5.5156403,7,-0.09210754,21.88431215286255,0.9187103,7.7578034,3203,-676.87933,,1.4550481,0.010446468,0.115430735,[ 0.699  0.239  0.351  1.473 -1.582],2.959497,0.43182546,-24.181356,100
4.89,-758.45233,3.4332277e-07,0.1675975,800,38.87612218204538,1.3129404,66494.82,15.400177,39.044804,-791.06836,5.900259,8,-0.20649739,24.272014617919922,0.95527726,7.9501266,3692,-716.6552,,1.1231216,0.010540005,0.10615779,[ 0.695  0.05   0.262  1.555 -1.511],2.2438428,0.34283102,-28.212032,100
4.5,-615.9912,-1.9073486e-06,1.2612445e-05,900,34.97906777799102,14.034614,791166.7,15.955899,42.82787,-776.3884,5.5462637,9,-0.48728544,28.686254501342773,0.74864346,7.773126,4142,-548.97894,,3.5898788,0.018036216,0.2267385,[ 0.71  -0.029  0.304  1.611 -1.625],7.2644625,1.1951077,-24.43021,100
4.74,-538.08594,4.3678283e-06,1.5678869e-06,1000,37.375446632520635,115.56797,529744.94,16.65609,49.73481,-787.6766,5.770256,10,-0.9404397,32.73827528953552,0.5387387,7.885115,4616,-400.3107,,6.5149903,0.03356236,0.7500681,[ 0.482  0.375  0.251  1.258 -1.906],4.842612,0.9587394,-26.741444,100
4.46,-696.14545,9.727478e-07,0.12424365,1100,34.57773608398098,24.90519,254844.02,15.160247,52.427197,-776.5354,5.5057163,11,-0.78434515,38.125659465789795,0.84153783,7.7528563,5062,-617.265,,4.451398,0.018412074,0.30392328,[ 0.54   0.078  0.504  1.421 -2.359],6.144099,0.68122065,-24.052353,100
4.69,-678.18463,-3.7002565e-06,0.013010698,1200,36.875860949778556,116.6918,352252.53,16.64326,50.164932,-785.812,5.725337,12,-0.75557226,41.14596176147461,0.8018378,7.8626566,5531,-596.19507,,6.80739,0.024578677,0.6840037,[ 0.556  0.131  0.466  1.345 -2.203],5.336914,0.788398,-36.237762,100
4.8,-675.7666,-3.0517577e-07,0.014490397,1300,37.97587881214657,27.339764,217890.4,16.22268,49.15558,-789.86145,5.823284,13,-0.69380146,45.73832035064697,0.8123509,7.9116416,6011,-607.29,,4.1812453,0.017189883,0.32481775,[ 0.367 -0.109  0.369  1.593 -2.175],3.210961,0.61237514,-27.328285,100
4.79,-642.8705,-3.0517577e-07,3.885892e-05,1400,37.87579007618906,172.87888,444544.94,14.8484745,40.00795,-787.5555,5.8145294,14,-0.832337,48.626285791397095,0.71929336,7.9072633,6490,-534.0733,,14.2894945,0.03871992,1.5510617,[ 0.369 -0.091  0.38   1.64  -2.113],5.699778,0.88866335,-27.254543,100
4.81,-652.98083,9.536743e-07,0.00077021756,1500,38.07588820837869,37.913692,273476.25,15.988994,39.829556,-788.2903,5.8319798,15,-0.855291,52.98376941680908,0.78252095,7.9159846,6971,-584.34955,,4.3337646,0.017347764,0.34384456,[ 0.301 -0.113  0.306  1.573 -2.251],3.2997649,0.68538034,-27.429804,100
4.78,-732.6613,-5.912781e-07,0.05376816,1600,37.776418373919206,9.536777,373887.34,16.038578,58.445305,-790.94946,5.806032,16,-0.82635564,55.2848060131073,0.8969032,7.903016,7449,-670.1273,,2.7851222,0.014232298,0.17642225,[ 0.251 -0.128  0.287  1.527 -2.274],4.5659027,0.8089244,-27.137875,100
4.86,-687.79205,2.0599366e-06,0.0062974184,1700,38.57645912723854,15.334862,299163.06,15.744624,48.541733,-791.9807,5.8750973,17,-1.0240431,59.981539726257324,0.81765085,7.9375434,7935,-613.39484,,2.1674926,0.014472301,0.18048862,[ 0.292 -0.253  0.342  1.654 -2.245],3.7245336,0.7182959,-27.917534,100
4.86,-731.3712,-9.536743e-07,0.033194512,1800,38.57412832087135,1.8668442,154048.58,15.75666,57.707417,-793.7407,5.8741264,18,-1.0785836,63.535192012786865,0.91002065,7.9370627,8421,-683.6102,,1.3417654,0.010842378,0.1104268,[ 0.368 -0.406  0.301  1.722 -2.443],2.6396492,0.5111568,-27.914642,100
4.99,-724.44104,,0.00432539,1900,39.87563678592482,109.27537,184292.2,17.047571,47.341152,-796.3487,5.982238,19,-1.0488353,66.72536182403564,0.8548445,7.9911103,8920,-645.023,,6.3357964,0.022307675,0.6571696,[ 0.377 -0.49   0.337  1.797 -2.497],3.8997881,0.5563691,-29.148663,100
4.89,-715.47266,-1.0871887e-06,0.104716025,2000,38.87608045588637,24.276115,156714.72,18.078917,57.41814,-794.8582,5.900259,20,-0.8906692,70.21055746078491,0.84634864,7.9501185,9409,-636.4641,,3.927709,0.019183155,0.29209808,[ 0.397 -0.51   0.341  1.763 -2.468],3.3381944,0.5151392,-28.165203,100
4.9,-780.8158,-1.0681152e-06,0.31860387,2100,38.976417123781324,1.1349802,48075.402,15.774864,57.30767,-795.1653,5.908744,21,-0.96666443,73.6634132862091,0.9786355,7.9543715,9899,-736.03796,,1.0682061,0.010210379,0.10266885,[ 0.342 -0.53   0.316  1.813 -2.31 ],1.6072361,0.28739884,-28.302147,100
4.74,-728.3042,-6.1035155e-07,0.06157796,2200,37.376622396708065,3.9316778,403014.06,14.050633,49.704315,-787.65967,5.770729,22,-0.98160064,76.46224403381348,0.9086211,7.885364,10373,-677.96246,,1.6607766,0.0123605905,0.13221587,[ 0.323 -0.551  0.271  1.838 -2.386],7.158215,0.83782893,-26.780472,100
4.77,-740.5673,-1.6021728e-06,0.04670125,2300,37.67587350248107,46.989025,259575.47,18.968866,94.21806,-796.87415,5.797015,23,-0.94483227,80.6189637184143,0.88713384,7.898506,10850,-663.05145,,3.4068933,0.015351145,0.32187626,[ 0.332 -0.758  0.408  1.976 -2.401],5.545181,0.6763055,-26.984428,100
4.75,-722.08655,1.5258789e-07,0.22946773,2400,37.47400667571577,3.3136902,224766.27,15.329658,40.385223,-786.0748,5.7785616,24,-0.83988917,83.02129101753235,0.9042607,7.889265,11325,-673.5707,,1.7618773,0.012038498,0.12758127,[ 0.334 -0.773  0.407  1.94  -2.364],5.714923,0.6356986,-26.855682,100
4.73,-468.6133,-5.264282e-06,8.792059e-06,2500,37.273870954277,80.968414,1061903.6,15.844965,49.837116,-787.25903,5.760639,25,-0.9822997,86.25260496139526,0.467825,7.880311,11798,-343.32092,,13.443437,0.03987552,0.85277253,[ 0.323 -0.717  0.352  1.878 -2.259],13.480972,1.3632275,-26.655212,100
5.29,-786.86694,6.294251e-07,0.11874461,2600,42.874251964045314,4.1969724,256521.44,16.790066,53.5526,-807.1831,6.20955,26,-0.97610515,90.64089751243591,0.95983833,8.104774,12327,-732.06274,,1.737103,0.012532313,0.12917103,[ 0.074 -0.598  0.013  1.761 -2.401],3.993764,0.65893316,-32.039764,100
5.23,-639.1081,-3.890991e-06,0.00014658827,2700,42.27213778614965,152.49168,216582.61,15.529151,44.96669,-803.5798,6.165267,27,-0.9902022,92.88929295539856,0.7001464,8.082627,12850,-529.1508,,12.877074,0.03629933,1.2842112,[ 0.063 -0.572  0.024  1.709 -2.395],5.8967433,0.60343575,-31.486835,100
5.41,-770.7943,-4.5776366e-07,0.040168285,2800,44.075821724298756,45.90775,390008.1,21.383041,113.912766,-821.05524,6.2942047,28,-0.8893294,96.06677794456482,0.87825984,8.147101,13391,-671.4678,,6.571709,0.024705278,0.44254228,[ 0.051 -0.568 -0.012  1.648 -2.409],4.173648,0.805534,-33.098724,100
5.16,-742.9663,-9.536743e-07,0.0016501707,2900,41.57443679195229,13.200819,267029.03,17.86611,45.708652,-801.62054,6.114127,29,-0.9217021,98.27130770683289,0.9035071,8.057062,13907,-686.6205,,2.1436527,0.01369571,0.17248212,[ 0.047 -0.487 -0.068  1.549 -2.308],4.922028,0.66651875,-30.772171,100
5.65,-779.80383,-1.0299683e-06,0.17692867,3000,46.474656575502564,4.869892,458477.8,17.24927,50.120907,-816.39215,6.45121,30,-0.9042879,102.15268802642822,0.9441678,8.225603,14472,-728.37445,,1.5386511,0.012854939,0.12690754,[ 0.003 -0.431 -0.127  1.562 -2.341],8.828614,0.87000746,-35.491043,100
5.08,-786.7087,-4.959106e-07,0.4802308,3100,40.77475837809743,1.0396593,12275.845,15.997344,55.58752,-800.9931,6.0530796,31,-0.94776237,105.0532386302948,0.98050123,8.026527,14980,-742.6242,,1.0185814,0.010280727,0.10147927,[ 0.022 -0.376 -0.12   1.554 -2.323],1.2574651,0.1416291,-30.035316,100
5.21,-729.37274,-2.002716e-06,0.0008070552,3200,42.075264489703244,3.3184774,295155.9,15.493929,54.317093,-804.9009,6.151743,32,-1.1401632,107.65594124794006,0.88393205,8.075867,15501,-672.9013,,1.6817801,0.013896597,0.13973483,[ 0.025 -0.376 -0.113  1.555 -2.367],3.1722496,0.70717204,-31.296612,100
5.49,-647.9282,7.6293946e-07,0.0022602067,3300,44.872434165386515,63.89209,1186865.8,22.826685,104.67845,-821.8264,6.3469715,33,-1.1894867,110.00411200523376,0.66814685,8.173485,16050,-509.46756,,13.560938,0.040463004,0.8911477,[ 0.087 -0.371 -0.043  1.521 -2.559],11.741108,1.3973676,-33.8338,100
5.62,-817.16644,-3.4332277e-07,0.8513213,3400,46.17440808240888,1.0159216,1700.1082,17.45834,77.27501,-820.68616,6.4321747,34,-1.1873926,114.4826328754425,0.9953638,8.216086,16612,-767.4066,,1.0034804,0.011259506,0.10560349,[-0.032 -0.298 -0.215  1.432 -2.609],1.1441814,0.049960084,-35.201347,100
5.61,-781.2774,2.2888183e-07,0.04846018,3500,46.07164696748211,9.544811,161749.56,23.935604,120.53493,-827.37354,6.424836,35,-1.1702752,116.94291830062866,0.92834383,8.212416,17173,-715.3826,,1.6597075,0.0131237125,0.13883929,[-0.024 -0.311 -0.216  1.442 -2.606],3.2035317,0.5113026,-34.95585,100
5.31,-563.1742,1.9454956e-06,0.0005896852,3600,43.073948328941796,18.609936,396956.84,16.492868,44.228806,-805.87976,6.2237215,36,-1.3793644,119.30287623405457,0.63959897,8.111855,17704,-483.0705,,3.766171,0.021384785,0.26733974,[-0.053 -0.357 -0.218  1.448 -2.589],5.0523996,0.81522894,-32.24167,100
5.62,-755.74786,5.340576e-07,0.0051580844,3700,46.17527003142751,104.94222,562188.06,18.967594,68.41531,-819.155,6.4324837,37,-1.381858,122.13792061805725,0.8575134,8.216241,18266,-661.9852,,8.973542,0.029281752,0.794255,[-0.26  -0.321 -0.388  1.416 -2.798],8.082048,0.94942427,-35.17134,100
5.67,-669.3186,-3.3950805e-06,0.021244664,3800,46.670410129384706,198.77136,217860.67,19.554094,85.61809,-823.3363,6.462227,38,-1.3720688,124.6150496006012,0.7380944,8.2311125,18833,-569.654,,10.547323,0.03417336,1.1719385,[-0.298 -0.333 -0.376  1.468 -2.801],3.7032804,0.5883704,-35.63453,100
5.34,-683.0271,7.4386594e-07,0.0007697043,3900,43.371435321470464,97.49811,319245.38,15.70239,43.93597,-806.64026,6.243988,39,-1.4137014,126.93534827232361,0.80083483,8.121992,19367,-610.842,,6.3107824,0.02326148,0.65079284,[-0.356 -0.376 -0.43   1.541 -2.791],6.0691466,0.7232823,-32.542805,100
5.39,-782.80963,-1.5258789e-06,0.14855048,4000,43.875180726558156,2.6004415,195599.81,19.115063,88.27882,-816.4034,6.280218,40,-1.4082937,131.2702920436859,0.95125484,8.140107,19906,-729.18787,,1.3271441,0.011721861,0.11425623,[-0.357 -0.343 -0.39   1.478 -2.833],4.772076,0.56227875,-32.96077,100
5.64,-695.2119,-3.6239624e-06,0.018378813,4100,46.37247811205254,79.73703,318646.1,18.348707,68.24184,-819.5673,6.444147,41,-1.4105234,133.29484128952026,0.79903424,8.222071,20470,-615.5724,,5.9113297,0.023017505,0.5505959,[-0.368 -0.346 -0.397  1.498 -2.827],5.360841,0.71808773,-35.37127,100
5.79,-593.7971,-3.8146973e-07,3.7939863e-05,4200,47.873695213284776,426.25,613710.9,21.688559,75.7197,-824.6529,6.5367146,42,-1.5502162,135.4079201221466,0.55353874,8.26834,21049,-422.6294,,31.076496,0.07660895,3.3125489,[-0.379 -0.332 -0.409  1.522 -2.829],6.660406,0.99539876,-36.740833,100
5.45,-764.25085,1.9836425e-06,0.0403627,4300,44.47132917209552,37.02482,436565.5,14.922801,33.638897,-807.54755,6.3197803,43,-1.5410106,138.00821232795715,0.91304857,8.159878,21594,-700.53064,,4.040025,0.018195344,0.31913546,[-0.504 -0.306 -0.503  1.465 -2.969],6.908418,0.8374516,-23.727741,100
6.1,-606.8977,-1.9073486e-06,0.0017046193,4400,50.970345196672994,47.24764,335137.47,17.296108,63.714214,-829.21454,6.711603,44,-1.6346692,140.11461806297302,0.6849792,8.355795,22204,-532.89844,,5.3620167,0.023602212,0.42049596,[-0.5   -0.309 -0.508  1.44  -2.96 ],7.4015994,0.72521037,-29.913105,100
5.71,-745.32135,3.3569336e-06,0.2214614,4500,47.07314004389218,3.064796,34661.33,18.002438,58.530937,-819.5245,6.4879704,45,-1.6213946,143.0369963645935,0.89112425,8.243982,22775,-689.08295,,1.138117,0.012344933,0.116545886,[-0.527 -0.316 -0.519  1.476 -3.053],2.5549219,0.23106642,-36.05437,100
5.68,-730.5176,-1.7166138e-07,0.013491923,4600,46.77363666085855,74.85342,356601.4,20.05163,128.08444,-830.18463,6.469592,46,-1.6190618,145.43860840797424,0.8260761,8.234796,23343,-637.17224,,5.998797,0.022936782,0.56205064,[-0.506 -0.348 -0.483  1.495 -3.04 ],4.5484657,0.75394374,-35.71769,100
5.56,-692.42535,-1.9073486e-06,0.001467646,4700,45.57193483244694,64.48203,770981.44,20.31517,77.84662,-819.2467,6.3927946,47,-1.6618191,149.068678855896,0.7450175,8.196392,23899,-572.67365,,9.289584,0.030788135,0.59968525,[-0.505 -0.338 -0.474  1.516 -3.038],7.3948226,1.1104767,-34.565365,100
5.65,-784.9254,2.4414062e-06,0.4306789,4800,46.4728572009866,1.2373432,27465.68,15.66373,40.941586,-814.46,6.450573,48,-1.6676625,151.74034118652344,0.9600067,8.225286,24464,-740.8129,,1.0680977,0.0117240865,0.10976258,[-0.539 -0.3   -0.557  1.464 -3.081],1.5521352,0.21045884,-25.636475,100
5.78,-785.4003,-4.3869018e-06,0.23405738,4900,47.77344076666474,10.338589,127935.8,17.067432,48.865093,-819.3039,6.5306025,49,-1.6624166,155.40849041938782,0.94183236,8.265301,25042,-729.33466,,1.5110408,0.013344959,0.13667317,[-0.563 -0.299 -0.6    1.466 -3.087],2.7165961,0.45407403,-26.859516,100
5.78,-719.3579,-1.5258789e-06,0.00085058494,5000,47.774850798403556,211.8034,371209.94,18.223064,66.8421,-822.7941,6.5310926,50,-1.6630633,157.91082239151,0.76922506,8.265546,25620,-592.3124,,18.38784,0.04987902,1.7126954,[-0.565 -0.262 -0.609  1.451 -3.081],8.79708,0.7731492,-36.721592,100
5.77,-694.67145,-2.5749207e-06,0.0007463428,5100,47.67189787165799,405.03595,427506.5,18.267841,84.539024,-825.61414,6.5240717,51,-1.6714978,160.71192979812622,0.76098126,8.262028,26197,-584.81384,,18.005522,0.04863694,2.4586906,[-0.555 -0.259 -0.61   1.42  -3.082],6.46603,0.8317978,-36.621246,100
6.28,-816.7134,-5.378723e-06,0.14349611,5200,52.77508629197563,1.7018802,111371.05,18.727839,62.123604,-832.5567,6.807353,52,-1.6649489,163.62260103225708,0.97681236,8.403676,26825,-765.31067,,1.1744227,0.013112063,0.116748564,[-0.541 -0.244 -0.611  1.378 -3.09 ],2.9409614,0.4191867,-41.489223,100
5.74,-796.062,-1.7547608e-06,0.3576185,5300,47.371376610410735,1.2167222,62002.773,18.404285,58.268658,-820.1779,6.5057096,53,-1.6680464,166.91326022148132,0.9674938,8.252853,27399,-748.34875,,1.0853047,0.011768533,0.10927149,[-0.536 -0.236 -0.618  1.381 -3.084],2.6628065,0.31302088,-36.33207,100
5.88,-823.16266,2.708435e-06,0.6823949,5400,48.77348123403441,1.0447065,5128.996,19.27298,109.38818,-832.16956,6.5896196,54,-1.6748104,170.84697723388672,0.9883114,8.294809,27987,-767.10114,,1.009469,0.011820559,0.10836273,[-0.534 -0.22  -0.627  1.364 -3.087],1.3267136,0.0884689,-27.764263,100
5.67,-722.7684,-2.0599366e-06,0.021732746,5500,46.672702912548175,97.560425,321545.2,18.709293,94.28076,-824.7893,6.463044,55,-1.625375,174.89662837982178,0.8115654,8.231517,28554,-623.64685,,8.530573,0.02876571,0.7331536,[-0.543 -0.212 -0.637  1.359 -3.094],4.91283,0.72542727,-35.651344,100
