StdIWNorm,Iteration,MinIWNorm,ReturnStepMax,EpLenMean,InitialBound,InitialReturnMax,MeanIW,MaxIW,TimestepsSoFar,InitialReturnStd,ESSRenyi,InitialReturnMean,EpRewMean,EpisodesSoFar,MeanEntropy,ReturnMeanIW,TimeElapsed,EmpiricalD2,EpThisIter,StdIW,MeanIWNorm,InitialReturnMin,ReturnStepMaxmin,Bound,MaxIWNorm,ESSClassic,MinIW,Weights,J_sample_variance
0.02434926,1,0.00015382675,9.999996,10.82,-25.087137,204.8357,1.2761252,22.70786,1082,63.914062,38.602757,9.536743e-06,98.13411615143843,100,1.2286139,59.975986,2.6605238914489746,2.5904887,100,2.4349258,0.012761251,-81.56039,8.139399,19.59824,0.2270786,21.548468,0.015382676,[-0.365 -0.68  -0.484 -0.253  0.   ],198914.84
0.026110062,2,2.3267663e-05,9.999992,12.37,-22.5651,184.2432,1.2663933,20.783104,2319,70.16606,23.726448,-8.392334e-06,113.63567723686765,200,1.0102837,52.059925,9.82332730293274,4.214706,100,2.6110063,0.012663933,-105.05193,8.372791,5.7343636,0.20783104,19.044434,0.0023267663,[-0.724 -0.328 -0.828 -0.289 -0.19 ],87992.695
0.015432288,3,0.0004328873,9.999998,15.49,-31.510706,257.28384,0.9924091,10.569539,3868,79.727104,46.662308,3.5095215e-06,144.8160165803807,300,0.9339188,43.224865,16.14730930328369,2.1430573,100,1.5432287,0.009924091,-131.51239,8.698004,-2.9042397,0.10569539,29.25579,0.04328873,[-0.87  -0.311 -0.981 -0.561 -0.409],38810.77
0.013516487,4,0.00058001705,9.999999,22.69,-33.689354,275.07263,1.171879,9.357455,6137,105.85484,42.40855,2.7008056e-05,216.78667582089054,400,0.8188507,76.41647,23.891696214675903,2.358015,100,1.3516486,0.011718789,-178.56433,9.108567,24.683632,0.093574554,42.912228,0.058001705,[-0.941 -0.115 -1.215 -0.869 -0.485],100577.52
0.004758528,5,0.0024428212,10.0,26.42,-37.60231,307.02155,0.91464514,3.0377378,8779,107.314926,75.05233,-3.6621093e-06,254.0723757448343,500,0.7988376,24.75363,33.07644295692444,1.3324037,100,0.47585285,0.009146451,-207.51752,9.233341,-18.650637,0.030377379,78.69865,0.24428213,[-1.364  0.062 -1.46  -1.058 -0.6  ],13427.194
0.014835194,6,0.00024952355,9.999993,29.04,-36.66434,299.3634,0.97419775,11.613171,11683,92.01022,35.017097,3.601074e-05,280.25478462124994,600,0.7121273,53.30919,41.94459891319275,2.855748,100,1.4835194,0.009741978,-229.33792,9.301301,-8.649792,0.1161317,30.129967,0.024952356,[-1.484  0.203 -1.561 -1.153 -0.62 ],129199.54
0.026047349,7,0.0014757845,10.0,35.79,-44.978054,367.244,1.2365701,23.123653,15262,94.07916,22.465656,-3.540039e-05,347.7510012512277,700,0.76020193,108.94602,51.83171892166138,4.4512386,100,2.604735,0.012365702,-268.14642,9.432859,14.051582,0.23123653,18.39249,0.14757845,[-1.47   0.345 -1.608 -1.157 -0.707],739991.44
0.053337645,8,2.8670676e-05,9.999998,33.62,-52.52166,428.83768,1.4479942,52.45788,18624,100.30075,14.498071,1.5106201e-05,326.04249348369046,800,0.6203736,146.0364,61.36919283866882,6.8974695,100,5.3337646,0.014479943,-261.6874,9.395746,8.098541,0.52457875,6.864093,0.0028670677,[-1.416  0.483 -1.607 -1.16  -0.659],1763727.9
0.017877558,9,0.0013386954,9.999999,46.69,-35.254528,287.85223,1.1089416,13.657585,23293,93.47058,43.1206,2.532959e-05,456.73249405624955,900,0.6481779,45.750736,73.88140273094177,2.319077,100,1.7877557,0.011089414,-138.3818,9.564473,-7.936722,0.13657585,27.785826,0.13386954,[-1.434  0.623 -1.656 -1.264 -0.799],46101.54
0.4547921,10,1.5266649e-07,10.0,46.88,-43.181374,263.8564,5.251383,457.22974,27981,89.02231,0.7162151,-1.2207031e-06,458.62636306186687,1000,0.4515719,1060.9495,85.60250091552734,139.62286,100,45.47921,0.05251382,-352.57443,9.565977,550.7092,4.572297,1.3157381,1.5266649e-05,[-1.391  0.684 -1.701 -1.347 -0.771],109159576.0
0.012633166,11,0.0023032709,9.999999,56.32,-50.80916,376.52426,1.1626489,9.546675,33613,112.374794,65.687744,-9.155273e-07,553.0143520956921,1100,0.4670463,22.309174,99.68917489051819,1.522354,100,1.2633165,0.011626489,-414.855,9.638305,-40.381046,0.09546675,45.857536,0.2303271,[-1.464  0.81  -1.859 -1.614 -0.967],28039.62
