MeanEntropy,Iteration,EpisodesSoFar,EpLenMean,StdIW,ReturnMeanIW,EntropyCoefficient,InitialReturnMean,MinD2w0t,InitialReturnMax,ReturnStepMaxmin,Bound,ReturnStepMax,MaxD2w0t,Weights,J_sample_variance,EpThisIter,StdD2w0t,EmpiricalD2,InitialReturnStd,MaxIW,EpRewMean,MeanD2w0t,MinIW,InitialBound,TimeElapsed,TimestepsSoFar,MeanIW,InitialReturnMin
1.1797991,1,20,6.55,0.45546466,-381.8206,10.0,-5.722046e-06,,111.95849,6.936001,-681.9292,9.999985,13.891576,[ 0.579 -0.554  0.227  0.402  0.   ],136045.16,20,0.33727336,3.616677,37.463646,3.1298864,55.4653527715394,0.029582905,0.005622313,-927.34753,0.8693516254425049,131,0.49462494,-33.569572
1.2669584,2,40,6.7,0.2898683,-557.80273,10.0,-1.335144e-06,,93.63409,7.0053043,-756.66,9.999996,8.06782,[ 0.537 -0.558  0.1   -0.036 -0.239],59207.684,20,0.20753933,2.7282197,37.914505,1.6628469,56.96775564452569,0.020980021,0.20020881,-924.8245,3.6579456329345703,265,0.70883816,-54.86759
1.1907855,3,60,10.45,0.42501247,-353.9055,10.0,2.670288e-06,,194.63245,8.077034,-655.10803,9.999998,11.958137,[ 0.392 -0.505 -0.311 -0.371 -0.152],76801.6,20,0.31873953,3.3837357,71.14283,11.221635,94.45249310044002,0.038390808,0.044773463,-989.6332,6.2775352001190186,474,0.46852568,-77.58322
1.1299611,4,80,16.85,0.31455824,-632.8251,10.0,8.010864e-06,,421.2374,8.801436,-917.65814,9.99998,3.4659076,[ 0.152 -0.03  -0.824 -1.026 -0.228],98987.54,20,0.25326824,1.3168182,145.57056,2.1673918,158.40193383493678,0.044849135,0.13555972,-1035.2977,9.40770411491394,811,0.77268094,-121.101364
1.0983859,5,100,17.6,0.25614923,-657.18164,10.0,-9.155274e-06,,367.98392,8.852202,-914.01263,9.99997,2.1715937,[ 0.132  0.081 -0.873 -1.042 -0.289],53093.383,20,0.21487759,1.1939135,129.36122,1.9585401,165.8991124008554,0.040368654,0.3713752,-1021.6269,11.971641540527344,1163,0.83605087,-131.94273
1.0239722,6,120,27.8,0.47085992,-497.25864,10.0,-2.670288e-06,,314.05048,9.268572,-822.2661,9.999973,6.259881,[ 0.031  0.222 -0.98  -1.172 -0.321],145916.17,20,0.39082757,1.9610322,124.99761,2.594616,267.832775316796,0.08499429,0.107213095,-964.1021,15.205812454223633,1719,0.68602735,-147.40144
1.073327,7,140,33.3,0.3094923,-532.6273,10.0,-9.9182125e-06,,287.86484,9.389245,-831.6831,9.999995,4.95073,[-0.029  0.337 -1.011 -1.171 -0.395],109536.97,20,0.39324188,2.0125396,158.86911,2.2010992,322.83084588645227,0.09744813,0.06303717,-936.7864,18.083991527557373,2385,0.71808577,-249.87798
1.0680048,8,160,23.75,0.40585414,-511.98663,10.0,-2.2888185e-06,,174.84402,9.1458845,-778.6261,9.999991,5.770258,[-0.017  0.401 -1.039 -1.124 -0.346],104481.47,20,0.33594492,2.085354,121.944016,3.4143844,227.35726861262577,0.07004366,0.10560853,-958.44543,20.732295036315918,2860,0.69474286,-195.06241
1.0558703,9,180,28.45,0.24941744,-404.51593,10.0,7.6293945e-06,,241.72359,9.28611,-757.73254,9.999992,18.35319,[-0.119  0.511 -1.086 -1.414 -0.351],45316.586,20,0.65498704,3.9418874,144.51357,4.3142576,274.34480246856924,0.11129131,0.08876222,-952.16425,24.111536741256714,3429,0.56383777,-207.23582
1.0369482,10,200,46.9,0.39411175,-593.11334,10.0,,,422.37128,9.564334,-870.0486,9.999999,1.8769164,[-0.265  0.447 -1.305 -1.493 -0.363],74459.89,20,0.34815565,1.2553056,227.65761,2.9343576,458.78354849846755,0.110527225,0.4193945,-900.0591,27.985034465789795,4367,0.97002834,-314.96857
