EpisodesSoFar,InitialReturnStd,StdD2w0t,EpThisIter,MaxIW,J_sample_variance,MeanD2w0t,EmpiricalD2,StdIW,InitialBound,TimeElapsed,MeanEntropy,InitialReturnMin,EpLenMean,MinIW,Iteration,ReturnStepMax,InitialReturnMean,ReturnMeanIW,ReturnStepMaxmin,MaxD2w0t,TimestepsSoFar,Bound,Weights,InitialReturnMax,EpRewMean,MinD2w0t,MeanIW
100,17.8335,0.522661,100,10.737982,633017.8,0.030236792,5.7006483,1.0615784,-780.8347,0.7214779853820801,0.89742476,-34.179596,4.48,2.2040253e-07,1,7.76255,-3.013611e-06,-488.39636,5.525119,66.49504,448,-647.55994,[-1.07   0.783  0.973  0.693  0.   ],70.38141,34.77622341676273,,0.6641918
200,12.456671,0.17757113,100,5.9736805,278998.2,0.015385655,2.4837513,0.72129774,-757.0129,4.11980128288269,1.1221856,-31.255623,4.17,0.31539556,2,7.596673,-4.959106e-07,-643.3565,5.193351,4.706456,865,-695.94055,[-1.133  0.954  0.938  0.887 -0.522],27.238335,31.678129360688676,,0.88909227
300,14.764571,0.32613543,100,10.052115,981235.06,0.022934014,4.459713,1.3509487,-764.5057,7.864187240600586,0.61402994,-21.53352,4.2,3.7272148e-06,3,7.613679,7.6293946e-07,-542.87195,5.2273617,28.188831,1285,-653.86865,[-1.153  0.94   0.886  0.855 -0.297],54.872986,31.977452195310324,,0.75243986
400,16.957468,0.9527573,100,4.724076,373364.28,0.032786462,11.200487,0.8139707,-793.8384,12.812570333480835,0.58081084,-27.896858,4.86,0.0024429702,4,7.9378357,2.2888183e-07,-531.7332,5.87568,104.14954,1771,-624.58044,[-1.266  0.995  0.738  0.61  -0.805],57.698887,38.57788382230588,,0.7169666
500,16.760414,0.43141958,100,7.628559,974319.5,0.031127205,7.0465264,1.2552636,-809.8867,17.23026943206787,0.2229447,-33.682175,5.46,7.2992964e-07,5,8.16394,8.010864e-07,-550.8989,6.3278923,20.329098,2317,-649.55963,[-1.329  0.919  0.67   0.4   -0.838],42.794632,44.57511812585981,,0.7172682
600,15.602134,0.55028135,100,5.3242354,351373.53,0.02369088,7.205904,0.79026914,-787.31824,22.634420156478882,0.27966312,-36.644127,4.73,0.022375986,6,7.880949,-2.861023e-06,-578.54846,5.761899,61.611008,2790,-664.4384,[-1.137  0.857  0.798  0.649 -1.196],49.81794,37.27689133603707,,0.77842337
700,16.734255,0.17339087,100,4.06088,254202.42,0.015882915,2.585641,0.66262,-812.68176,27.98542070388794,0.39089313,-33.384113,5.43,0.13979,7,8.153428,2.9373168e-06,-683.53827,6.3068714,8.957153,3333,-746.2146,[-1.27   1.008  0.677  0.392 -1.139],61.215797,44.27312023809495,,0.89541423
800,20.022621,0.31745562,100,3.9941764,247413.27,0.022256978,4.6799912,0.6229284,-824.75073,33.365403175354004,0.50726026,-37.548573,5.87,0.067920856,8,8.291994,1.5258789e-07,-640.71814,6.583992,26.635342,3920,-738.5737,[-1.217  1.175  0.577  0.172 -1.028],65.97737,48.67400707836482,,0.8239998
900,18.118471,0.14658579,100,4.0402017,309556.84,0.014298255,1.682555,0.73159665,-803.0895,38.33935737609863,0.23014596,-29.129406,4.99,0.004967706,9,7.991492,8.392334e-07,-663.6418,5.9830103,4.0524073,4419,-735.60974,[-1.229  1.16   0.615  0.325 -0.912],83.35213,39.87754591211578,,0.8816541
1000,19.977976,1.7504241,100,13.163265,1070491.8,0.043329872,15.097097,1.3524297,-804.9694,43.3004252910614,0.029947804,-31.212923,5.21,1.005569e-05,10,8.075707,-5.9127806e-06,-583.7189,6.1514177,342.3136,4940,-710.4995,[-1.225  1.094  0.596  0.381 -1.189],54.402287,42.074427222511865,,0.7750759
1100,18.877531,0.12144815,100,4.107932,257123.05,0.012930205,1.4556899,0.6478948,-819.9729,49.366487979888916,0.048642,-36.993656,5.81,0.15748757,11,8.2740965,7.05719e-07,-717.58044,6.5481977,2.4998684,5521,-768.0498,[-1.299  1.09   0.43   0.181 -1.389],48.542427,48.07249540349621,,0.92714936
1200,19.829468,0.25966978,100,6.8080573,494832.4,0.020771287,4.28944,0.9085436,-820.24805,53.83409094810486,0.13779947,-36.301846,5.74,0.09370301,12,8.253256,1.9836425e-06,-627.1876,6.5065184,17.759537,6095,-707.572,[-1.319  1.12   0.372  0.095 -1.37 ],58.288887,47.37368892247625,,0.8173742
1300,25.607273,0.17927639,100,3.450991,165294.95,0.019682841,1.8371235,0.5089131,-841.31494,59.16020083427429,0.30422387,-33.809593,6.53,0.22555178,13,8.463841,-4.959106e-07,-713.5399,6.9276886,4.966583,6748,-795.1067,[-1.429  1.263  0.084 -0.099 -1.281],86.1176,55.26888270252944,,0.90467024
1400,21.493958,2.702445,100,10.589246,464400.72,0.058262404,21.438217,0.8794128,-824.1521,63.34515690803528,0.19053943,-37.228207,5.84,4.1500556e-05,14,8.283255,-4.615784e-06,-540.379,6.5665216,482.00854,7332,-685.254,[-1.45   1.23   0.083 -0.084 -1.115],66.35842,48.374214759614816,,0.70735204
1500,32.94904,0.35526308,100,6.0704947,572332.5,0.032468002,4.2824655,0.9342205,-853.05927,68.49979662895203,-0.10808756,-47.717896,6.98,0.0001669518,15,8.562692,-2.4414062e-06,-568.80536,7.125386,21.21939,8030,-705.2063,[-1.443  1.19   0.053 -0.275 -1.228],116.103775,59.76758508677439,,0.7170108
1600,22.070036,0.17500882,100,3.4549236,241171.4,0.016652511,2.255459,0.5993487,-835.6535,73.95950961112976,-0.078893915,-33.337162,6.47,0.055657543,16,8.44955,-1.4877319e-06,-716.5792,6.899127,12.603718,8677,-792.6094,[-1.387  1.229  0.107 -0.201 -1.527],60.324604,54.66859159327371,,0.90704983
1700,23.863794,0.2756447,100,5.5474873,253494.98,0.02126395,4.0536604,0.6319035,-840.9265,78.16034054756165,-0.020891063,-32.041878,6.34,0.04374218,17,8.417688,1.7166137e-06,-647.4292,6.8353777,18.675352,9311,-740.21704,[-1.389  1.259  0.111 -0.146 -1.498],105.00836,53.368145252004226,,0.8282582
1800,25.707777,0.51137036,100,6.5177107,502636.3,0.028624317,5.960841,0.8651034,-846.7451,83.63648915290833,-0.07454812,-48.530678,7.04,0.0005815873,18,8.575012,2.2506713e-06,-676.84906,7.1500254,54.988388,10015,-773.00006,[-1.32   1.283  0.123 -0.263 -1.44 ],72.71562,60.36808581570822,,0.84843844
1900,20.548023,0.43484655,100,4.2595663,295562.34,0.025457444,6.1900897,0.68460333,-833.61475,88.93954586982727,-0.06457705,-41.15691,6.25,0.0101354,19,8.395294,-4.577637e-06,-512.42645,6.790594,46.134796,10640,-624.34296,[-1.467  1.336 -0.068 -0.166 -1.493],71.22475,52.47058452886598,,0.6615783
2000,23.666912,0.9141573,100,7.4892397,1042370.25,0.040640738,11.75574,1.2478943,-846.6158,94.34938859939575,-0.14471544,-48.57926,7.04,5.7587713e-05,20,8.574243,-6.4468386e-06,-547.2519,7.148488,100.199905,11344,-672.9614,[-1.465  1.322 -0.084 -0.27  -1.484],72.55616,60.36266700579167,,0.6950581
