InitialReturnMax,StdIW,EpLenMean,EpisodesSoFar,ReturnMeanIW,MinD2w0t,TimestepsSoFar,InitialBound,MaxD2w0t,Bound,InitialReturnMean,Iteration,ReturnStepMax,ReturnStepMaxmin,InitialReturnStd,EmpiricalD2,MaxIW,TimeElapsed,EpThisIter,InitialReturnMin,MeanD2w0t,StdD2w0t,J_sample_variance,Weights,EpRewMean,MeanIW,MeanEntropy,MinIW
198.71988,0.82602125,6.63,100,-603.23505,,663,-858.761,27.449427,-738.848,1.7547608e-06,1,8.486516,6.973036,42.018093,3.079896,16.49949,2.6517281532287598,100,-53.993774,0.023429248,0.27773857,358395.62,[ 0.534  0.875 -0.85  -0.538  0.   ],56.26560063912192,0.78968734,1.2914095,0.00777528
162.23553,0.682766,9.83,200,-386.27332,,1646,-881.7687,76.50606,-611.0305,-4.5776366e-07,2,8.977296,7.954611,59.633625,9.70505,26.129522,9.417408227920532,100,-72.8821,0.07854062,0.9936036,208575.03,[ 0.428  0.763 -0.977 -0.869 -0.128],88.24680542653714,0.51688164,1.0688107,8.095095e-05
305.22162,0.55001444,17.58,300,-611.70764,,3404,-885.6195,16.463657,-775.5952,-4.7302246e-06,3,9.425137,8.850275,97.901276,3.0810113,5.5111427,16.788618564605713,100,-137.33734,0.059712354,0.4067619,166297.02,[ 0.263  0.676 -1.109 -1.229 -0.35 ],165.69391137032332,0.7917604,1.0728939,0.07462877
402.54633,0.20820436,29.12,400,-719.70624,,6316,-837.30835,1.3729659,-831.7269,7.3242186e-06,4,9.651917,9.303837,141.35962,1.059794,1.603125,25.34130048751831,100,-221.20406,0.059702177,0.24026546,44533.562,[ 0.132  0.548 -1.184 -1.309 -0.346],281.06387363066364,0.9845853,1.0699649,0.27924284
398.62552,0.67462164,23.77,500,-537.68585,,8693,-861.6618,14.351269,-725.11456,-5.340576e-06,5,9.574008,9.148016,109.77323,2.7141066,11.318436,32.125964403152466,100,-196.37619,0.079875365,0.42961067,175817.39,[ 0.136  0.611 -1.213 -1.346 -0.349],227.57417452760689,0.7612416,1.0683669,0.036504824
456.74353,0.68478537,42.97,600,-499.9063,,12990,-768.80743,52.048294,-674.23224,4.577637e-06,6,9.762486,9.524976,175.92165,3.2827609,12.234917,42.33424782752991,100,-306.95538,0.14772065,0.7541356,143051.16,[-0.053  0.693 -1.453 -1.605 -0.351],419.49394972062896,0.83922064,1.0587094,0.09034066
482.5551,0.6557499,55.64,700,-489.1663,,18554,-715.7468,16.050892,-649.3494,6.1035157e-06,7,9.815425,9.630851,216.46336,2.6648703,6.249251,53.8392379283905,100,-377.71942,0.18479653,0.76935166,97878.51,[-0.175  0.596 -1.51  -1.611 -0.36 ],546.1301306239552,0.88690853,1.0537038,0.007887798
441.70255,0.92788774,72.26,800,-436.2343,,25780,-650.1176,7.635721,-590.1135,-1.0070801e-05,8,9.857293,9.714586,243.59512,2.2297585,9.346523,68.57888984680176,100,-448.4357,0.26114985,0.73035383,90380.24,[-0.243  0.55  -1.822 -1.581 -0.365],712.2879223500515,1.0053076,0.99475956,0.057840176
397.59497,1.0855737,83.99,900,-307.1195,,34179,-589.4053,28.93332,-473.50952,3.90625e-05,9,9.877307,9.754614,219.06693,5.538761,29.674238,84.93335628509521,100,-511.59167,0.36935145,1.2012001,102119.375,[-0.237  0.558 -1.97  -1.667 -0.424],829.594641687689,0.79345876,0.9461306,0.012328088
409.9859,0.94746226,100.59,1000,-231.6259,,44238,-544.25354,75.91647,-422.99548,4.6691894e-05,10,9.896908,9.793816,242.10812,7.939012,25.57661,103.42368531227112,100,-539.4494,0.7532688,2.8956242,61087.402,[-0.172  0.57  -2.026 -1.762 -0.473],995.5292549609483,0.71029687,0.8719327,0.0028236774
