Bound,TimestepsSoFar,ReturnStepMaxmin,InitialReturnStd,MeanIW,EpThisIter,MinD2w0t,EmpiricalD2,InitialBound,MeanD2w0t,MinIW,EpisodesSoFar,ReturnStepMax,MaxD2w0t,StdD2w0t,Iteration,TimeElapsed,J_sample_variance,EpRewMean,Weights,MeanEntropy,InitialReturnMin,EpLenMean,MaxIW,InitialReturnMax,ReturnMeanIW,InitialReturnMean,StdIW
-501.66824,108,6.2861557,23.186802,0.26966727,20,,5.2450533,-892.3489,0.029276263,0.0036170515,20,9.999937,25.8857,0.40992537,1,0.6113817691802979,60522.316,43.972453119759734,[-0.689  0.919 -0.673  0.288  0.   ],1.0496374,-32.965584,5.4,4.8968124,61.633488,-196.0062,2.2888185e-06,0.3189091
-777.7832,220,6.418562,23.846706,0.77520126,20,,2.4477165,-892.23083,0.018262783,0.3620903,40,9.999968,4.706363,0.18646997,2,2.541024684906006,47046.617,45.971881919175374,[-0.646  0.694 -0.67   0.091 -0.369],1.2137785,-34.866653,5.6,1.7234409,50.738533,-598.1491,3.8146973e-06,0.25913745
-636.2483,338,6.6004763,22.37668,0.36051002,20,,11.85964,-893.2556,0.0658032,3.0022977e-07,60,9.999803,40.19544,0.9055841,3,4.116553783416748,131563.36,48.970828166810136,[-0.731  0.719 -0.806 -0.09  -0.205],0.6439367,-37.776962,5.9,21.509579,38.701385,-265.21988,1.9073486e-06,0.5329557
-963.11194,541,8.019218,56.159042,0.9106338,20,,1.3832703,-994.8579,0.02393409,0.02834879,80,9.999985,1.9509478,0.16865283,4,5.844202756881714,190540.38,91.44746224228132,[-0.783  0.657 -0.808 -0.311 -0.775],0.57822555,-75.98637,10.15,2.268155,174.17041,-745.4631,1.1444092e-06,0.50363964
-681.8585,714,7.6756163,44.5025,0.46272403,20,,8.405052,-968.24243,0.04474561,0.037023395,100,9.999969,48.870674,0.64866847,5,7.427517890930176,85208.16,76.44690585588076,[-0.813  0.702 -0.8   -0.241 -0.841],0.5645739,-62.864597,8.65,1.9189154,117.34349,-370.96408,-6.866455e-06,0.34753564
-683.7669,830,6.5423927,20.310713,0.5871605,20,,10.950168,-896.3785,0.03552879,0.054748595,120,9.999907,33.98896,0.7060923,6,9.35926079750061,88324.86,47.972669046402,[-0.847  0.374 -0.566  0.258 -0.854],0.6204875,-36.86687,5.8,2.6738005,48.691303,-447.86115,-1.7166137e-06,0.3805153
-888.6421,1008,7.7420692,43.561718,0.84700584,20,,1.5353907,-966.1775,0.023376852,0.09187409,140,9.999996,3.9632819,0.18224932,7,11.314548969268799,233967.19,78.95218834687282,[-0.876  0.456 -0.738 -0.077 -0.798],0.48226425,-55.349094,8.9,2.5067272,106.789986,-680.5141,-4.9591063e-06,0.5847937
-797.1994,1186,7.7423,47.307903,0.7156896,20,,2.0756311,-977.7506,0.026742093,0.081803374,160,9.999998,8.689599,0.263319,8,12.983258485794067,59091.69,78.95322241389896,[-0.865  0.64  -0.774 -0.157 -0.937],0.52398676,-55.146854,8.9,1.7624067,139.26767,-576.1313,-3.0517579e-06,0.27946025
-718.85767,1329,7.191594,28.877684,0.6399336,20,,3.412414,-925.3358,0.022739261,0.0134864235,180,9.999837,11.914976,0.24442452,9,14.664995193481445,234117.58,61.459362526689596,[-1.06   0.881 -1.139 -0.286 -0.895],0.46173128,-39.585472,7.15,2.3218808,54.069527,-508.77515,6.1035157e-06,0.5779627
-728.1518,1474,7.230295,21.941858,0.60229033,20,,5.430829,-921.6094,0.038578756,4.3396603e-06,200,9.999971,13.913197,0.38955358,10,16.131062030792236,720349.1,62.4597179703871,[-1.07   0.921 -1.143 -0.132 -0.957],0.104309544,-30.931192,7.25,3.9033,44.014126,-474.6935,5.722046e-07,1.0256085
