ReturnStepMaxmin,StdIW,ESSClassic,InitialReturnMean,EpLenMean,J_sample_variance,MeanIWNorm,TimeElapsed,ESSRenyi,EpRewMean,ReturnMeanIW,MinIW,TimestepsSoFar,InitialReturnMax,InitialReturnStd,InitialBound,Iteration,Weights,EpThisIter,EntropyCoefficient,MaxIW,MaxIWNorm,Bound,MeanEntropy,MinIWNorm,StdIWNorm,EmpiricalD2,MeanIW,ReturnStepMax,InitialReturnMin,EpisodesSoFar
8.727355,969.94147,1.005766,-1.5258789e-06,15.85,77731504000.0,11.159716,0.8727123737335205,0.0041700816,148.41425640566592,62310.21,0.0025402277,317,280.11597,95.30761,-62.523476,1,[-0.822 -0.493 -0.474 -0.749  0.   ],20,10.0,4451.0703,222.55351,57010.207,1.2644044,0.00012701139,48.497074,4796.0693,223.1943,9.999997,-122.7415,20
8.943754,0.30479968,18.416998,-1.7547607e-05,19.15,14347.488,0.051982034,4.499584913253784,17.945784,181.38609163912903,14.829392,0.58781815,700,227.94513,96.04129,-49.78132,2,[ 0.479 -0.163 -0.81  -1.485 -0.155],20,10.0,1.7707423,0.08853712,-38.352684,1.2719338,0.029390907,0.015239984,1.1144679,1.0396407,9.999964,-131.11273,40
9.258193,0.5732251,16.158514,1.6784668e-05,27.35,42490.926,0.058782257,6.470239639282227,16.451061,263.3556960293623,46.22104,0.5566477,1247,307.71252,151.15259,-71.5512,3,[ 0.422 -0.097 -0.927 -1.628 -0.147],20,10.0,3.057687,0.15288435,-34.017086,1.2678592,0.027832387,0.028661255,1.215727,1.1756451,9.999993,-206.8641,60
9.194958,3.5772338,3.5688417,9.155274e-06,25.2,1340759.9,0.08335793,8.579916000366211,4.8341346,241.855792553022,261.93793,0.048653536,1751,307.6223,142.97302,-71.567245,4,[ 0.308  0.047 -1.038 -1.68  -0.151],20,10.0,16.634512,0.8317256,102.54814,1.1968111,0.0024326767,0.17886169,4.137245,1.6671585,9.9999485,-192.32945,80
9.230595,24.602247,1.2086467,-6.1035157e-06,26.45,19701262.0,0.3119719,11.057280778884888,0.63660187,254.3238696126116,952.5557,0.0032520837,2280,221.76166,130.46277,-48.763832,5,[ 0.588 -0.045 -1.067 -1.986 -0.222],20,10.0,113.43319,5.6716595,622.7716,1.0622648,0.00016260419,1.2301124,31.41681,6.239438,9.999943,-184.47418,100
9.498318,3.2123785,4.5708995,-4.577637e-06,40.6,200015.17,0.08742331,13.97711730003357,9.54801,395.81525948183037,128.61334,0.20534298,3092,316.42303,172.64864,-76.03338,6,[ 0.337  0.053 -1.228 -2.334 -0.357],20,10.0,15.09964,0.754982,14.149437,1.0953346,0.010267149,0.16061892,2.0946774,1.7484661,9.999971,-286.32748,120
9.58268,0.25968832,18.88484,2.2888184e-05,49.1,12141.18,0.05343313,16.979771852493286,17.783201,480.75451851239796,12.889442,0.5835739,4074,231.60025,95.72434,-63.268738,7,[ 0.217  0.089 -1.273 -2.255 -0.324],20,10.0,1.6309243,0.08154622,-55.107193,1.0715791,0.029178694,0.012984417,1.1246569,1.0686626,9.999989,-271.0208,140
9.615391,1.7481807,6.831897,-3.0517579e-06,53.15,177345.86,0.06296011,19.965524435043335,10.883963,521.2789738350504,97.36705,0.18438104,5137,365.87976,174.13051,-90.36713,8,[ 0.177  0.13  -1.312 -2.268 -0.347],20,10.0,8.334108,0.41670543,-29.07314,1.0584621,0.009219052,0.08740904,1.837566,1.2592021,9.999996,-369.1026,160
9.666698,0.23629951,18.917074,-4.577637e-06,61.85,46370.31,0.04938097,23.4834463596344,18.392319,608.1924653299492,17.228483,0.5010785,6374,371.07404,197.93715,-99.06961,9,[ 0.084  0.201 -1.366 -2.408 -0.36 ],20,10.0,1.499973,0.074998654,-86.50743,1.061038,0.025053924,0.011814977,1.0874104,0.9876194,9.999994,-400.4006,180
9.612648,0.39508066,17.642494,,52.9,61531.473,0.05403929,26.539854764938354,17.252522,518.754578362155,34.87009,0.44986075,7432,460.139,210.19438,-115.40388,10,[ 0.072  0.228 -1.416 -2.399 -0.358],20,10.0,1.7878028,0.089390144,-90.547585,1.0260001,0.022493038,0.019754034,1.1592509,1.0807856,10.0,-344.01077,200
