Iteration,InitialReturnMean,InitialReturnStd,TimestepsSoFar,MeanD2w0t,EpThisIter,StdIW,EntropyCoefficient,EmpiricalD2,MaxIW,TimeElapsed,ReturnStepMaxmin,MinD2w0t,Weights,ReturnStepMax,EpisodesSoFar,EpLenMean,J_sample_variance,InitialReturnMin,MeanEntropy,MeanIW,EpRewMean,StdD2w0t,MaxD2w0t,InitialReturnMax,ReturnMeanIW,MinIW,Bound,InitialBound
1,-6.1035155e-07,21.086748,479,0.048105363,100,0.9305808,10.0,16.782785,5.2346554,1.4843096733093262,5.815322,,[-0.689  0.919 -0.673  0.288  0.   ],9.9999895,100,4.79,507534.47,-37.118546,1.2906207,0.7031143,37.877669226613925,1.5767257,230.4489,67.4904,-529.0091,5.5959033e-05,-686.71246,-790.7634
2,-9.155273e-07,17.47351,922,0.0135959005,100,0.7508807,10.0,2.297462,6.335639,10.263296842575073,5.476323,,[-1.142  0.544 -1.007  1.268 -0.128],9.999992,200,4.43,314087.8,-33.706116,1.443713,0.90522975,34.28003925964859,0.15718406,5.7985,61.863388,-665.68884,0.23340328,-727.63873,-776.47815
3,-1.6403199e-06,19.245687,1377,0.009378783,100,0.2230306,10.0,1.044124,1.4736192,16.61066508293152,5.5955086,,[-1.153  0.404 -0.959  1.151  0.025],9.999966,300,4.55,28059.273,-34.83563,1.3759706,0.98873705,35.47970472040553,0.097885154,1.0950596,51.616985,-731.58435,0.23218773,-771.1955,-777.45935
4,7.05719e-07,19.313927,1851,0.023702705,100,0.86441153,10.0,6.101329,6.6514554,22.645915508270264,5.7709475,,[-1.406  0.255 -1.138  1.305 -0.043],9.999989,400,4.74,429190.62,-36.670258,1.179687,0.61197853,37.37711283285143,0.40606505,29.467484,85.736916,-457.1707,7.026996e-06,-586.5548,-793.3785
5,1.1444092e-06,15.059897,2293,0.024876064,100,1.0903614,10.0,4.3646975,9.901401,29.999438762664795,5.465435,,[-1.456  0.349 -1.097  1.758 -0.239],9.999999,500,4.42,655943.94,-33.648487,0.64429873,0.7335617,34.1786102136637,0.33317202,26.368813,61.929104,-532.96924,2.5453235e-07,-682.3784,-777.1046
6,-2.8991699e-06,14.989797,2776,0.018387977,100,1.0319631,10.0,4.347684,6.6964192,37.56382942199707,5.850251,,[-1.517  0.317 -1.159  1.651 -0.775],9.999999,600,4.83,620612.1,-27.642803,0.5165868,0.7742345,38.278354253700535,0.28366932,19.257748,57.959805,-577.92126,0.0034097019,-672.95703,-797.59924
7,6.4849854e-07,15.630054,3276,0.024486223,100,0.9093349,10.0,6.488414,7.096528,44.469051122665405,5.98997,,[-1.541  0.215 -1.189  1.493 -0.902],9.999985,700,5.0,490024.28,-29.26904,0.3294656,0.79488283,39.9748905646958,0.44988367,36.352264,56.270164,-598.77496,0.00010517214,-732.4099,-804.1868
8,1.335144e-07,12.780453,3750,0.022142109,100,0.8064209,10.0,6.266069,4.657322,52.11757850646973,5.771801,,[-1.595  0.274 -1.236  1.679 -1.089],9.999987,800,4.74,374682.8,-26.801353,0.41413945,0.8002554,37.379136102686445,0.4129005,29.730822,40.45307,-595.9839,0.040379673,-685.6552,-792.9794
9,2.5558472e-06,12.413912,4236,0.018763758,100,0.5831901,10.0,2.9473302,4.613492,58.943827390670776,5.8756695,,[-1.554  0.179 -1.164  1.894 -1.005],9.999962,900,4.86,201194.08,-27.965988,0.6283583,0.8075546,38.577785454784745,0.20553802,5.4333496,39.267033,-606.4062,0.23828422,-685.0328,-796.1264
10,-1.6021728e-06,14.924748,4723,0.010504753,100,0.3631939,10.0,1.1205416,1.9042532,65.11189675331116,5.8843336,,[-1.549  0.161 -1.172  1.955 -0.791],9.9999895,1000,4.87,75502.836,-28.027075,0.5107615,0.9682194,38.67832912325226,0.10602061,1.3145784,66.641655,-726.55786,0.20415193,-782.2962,-801.2063
11,1.8882752e-06,13.510348,5187,0.019761097,100,1.2038633,10.0,5.025112,9.36664,71.52823066711426,5.6801033,,[-1.416  0.29  -1.118  1.856 -0.908],9.999893,1100,4.64,818712.9,-25.823914,0.3460344,0.7980387,36.377590473881156,0.34467065,21.573618,41.417336,-592.20575,8.6094136e-05,-684.35675,-787.5864
12,2.4223327e-06,14.60856,5644,0.01697753,100,0.9299932,10.0,2.4498978,4.4622335,77.29492425918579,5.6145315,,[-1.417  0.443 -1.042  1.954 -1.073],9.999999,1200,4.57,485042.66,-35.112144,-0.057467308,0.8200525,35.67920228632503,0.1881611,5.620408,42.12014,-604.70746,9.037861e-06,-688.2255,-786.6756
13,2.0217894e-06,14.99067,6123,0.011509121,100,0.67373407,10.0,1.5849206,5.4178457,84.18368244171143,5.81485,,[-1.504  0.528 -1.194  1.923 -1.476],9.999972,1300,4.79,251475.95,-27.2513,-0.14660558,0.9201223,37.876500319123785,0.12089619,2.8869338,49.151897,-686.46216,0.09046161,-748.9833,-800.9683
14,-3.4332274e-06,11.933583,6610,0.038195465,100,1.1185224,10.0,12.163826,6.004057,91.30798721313477,5.8841286,,[-1.591  0.479 -1.204  2.023 -1.566],9.999994,1400,4.87,730058.25,-28.068527,-0.40331557,0.6846364,38.677838186891364,0.8271601,73.69271,39.129543,-510.72986,1.5141451e-06,-643.86896,-802.0531
15,-1.6212464e-06,12.056485,7082,0.017129447,100,0.59628755,10.0,3.8408196,3.5320632,97.974285364151,5.7527943,,[-1.501  0.604 -1.086  1.799 -1.822],9.999997,1500,4.72,204802.77,-26.613857,-0.27979198,0.8040214,37.17658331629509,0.24644588,16.817318,31.310902,-598.68695,0.072017886,-687.0588,-796.9408
16,-1.411438e-06,11.81323,7565,0.032280657,100,0.8162413,10.0,10.849187,7.2277684,106.10827994346619,5.849616,,[-1.522  0.588 -1.114  1.754 -1.699],9.999938,1600,4.83,383883.72,-27.682228,-0.35568488,0.71092397,38.276671909552604,0.8480536,91.37602,30.236706,-528.8119,7.628449e-05,-657.5549,-799.44415
17,-2.2888185e-06,13.668832,8039,0.015479106,100,0.8936264,10.0,2.683912,6.6230397,114.06031131744385,5.771164,,[-1.511  0.603 -1.099  1.848 -1.775],9.999998,1700,4.74,460511.88,-26.789131,-0.5756182,0.81017655,37.37765114619738,0.18417321,8.730176,49.647705,-604.15735,0.001699605,-702.2733,-802.24475
18,-2.7465821e-06,11.805603,8500,0.0142910965,100,1.0106955,10.0,3.0075643,9.532837,123.6205484867096,5.6527386,,[-1.526  0.673 -1.196  1.865 -1.995],9.999995,1800,4.61,580336.8,-25.553715,-0.5437011,0.8421439,36.079549315009146,0.1947514,12.011215,41.64196,-623.15845,0.06551362,-714.277,-797.36316
19,-7.6293944e-08,14.1536255,8996,0.011122362,100,0.33134368,10.0,1.1962246,2.2028277,129.2756266593933,5.9576197,,[-1.522  0.669 -1.199  1.811 -1.963],9.999948,1900,4.96,65613.73,-28.90664,-0.43039784,0.92674327,39.57476825146354,0.11135898,1.4947848,56.680885,-698.92725,0.5224358,-763.69763,-813.54395
20,-2.1743774e-06,12.681434,9486,0.010796492,100,0.45221397,10.0,1.2452185,2.4022617,137.98634934425354,5.9094105,,[-1.552  0.662 -1.234  1.816 -1.849],9.999987,2000,4.9,120412.24,-28.345882,-0.5302734,0.9333517,38.9780236215008,0.109039605,1.5430967,29.584919,-701.81683,0.13775575,-758.151,-803.256
21,1.4495849e-06,11.971712,9953,0.015350911,100,0.8158223,10.0,3.4216523,6.2226706,145.3443706035614,5.7067804,,[-1.556  0.683 -1.236  1.827 -1.949],9.999998,2100,4.67,381743.9,-26.131561,-0.54590195,0.8270922,36.67532725575278,0.22882852,15.309192,41.078674,-613.2346,0.00880832,-706.30695,-799.01904
22,-4.5776366e-07,15.697483,10448,0.01819604,100,0.8146139,10.0,4.36888,5.580576,152.8882532119751,5.9502544,,[-1.565  0.669 -1.254  1.776 -1.965],9.999987,2200,4.95,392814.9,-28.783672,-0.5355874,0.8197089,39.47684529893977,0.28015262,19.945192,83.633675,-616.5797,0.035760507,-731.9059,-819.40625
23,-6.8664554e-07,13.187696,10934,0.010125012,100,0.29178542,10.0,1.0658399,1.5966628,159.4498565196991,5.875972,,[-1.56   0.66  -1.254  1.72  -1.955],9.999992,2300,4.86,48168.617,-27.957943,-0.62128633,0.97332233,38.57859367792276,0.10222438,1.1324751,39.29199,-729.92303,0.24469228,-787.4124,-805.6503
24,-1.8501282e-06,14.883588,11439,0.021415992,100,0.74242926,10.0,5.6987176,4.626329,165.44845056533813,6.0302887,,[-1.585  0.658 -1.277  1.721 -2.04 ],10.0,2400,5.05,330861.56,-39.747253,-0.6229865,0.73266596,40.47647890869433,0.39749825,39.969307,46.66992,-553.4644,0.022808854,-663.3472,-814.79584
25,5.722046e-07,12.801695,11930,0.012214134,100,0.5369681,10.0,1.494927,2.8284056,171.87991070747375,5.9174557,,[-1.586  0.677 -1.268  1.769 -2.042],9.999993,2500,4.91,169057.98,-28.445278,-0.817868,0.8448603,39.07733497316711,0.124136955,2.1150212,29.494034,-635.173,0.007438512,-699.16736,-805.4875
26,-6.8664554e-07,13.435864,12401,0.017385809,100,1.0034679,10.0,4.285166,8.468053,179.1202368736267,5.7447433,,[-1.557  0.688 -1.254  1.782 -2.237],9.99999,2600,4.71,581822.56,-26.502632,-0.8214718,0.8489491,37.078846819635494,0.30600595,25.938473,40.751354,-632.7589,0.04187249,-725.2752,-803.40894
27,-1.4495849e-06,14.910557,12884,0.025619859,100,1.0044107,10.0,7.8910356,13.601646,185.05328512191772,5.8497944,,[-1.551  0.674 -1.246  1.74  -2.24 ],9.999993,2700,4.83,566199.2,-37.62271,-0.8229454,0.8709233,38.277230710918026,0.5532227,49.34427,48.831467,-649.4743,0.010541787,-762.30695,-809.9565
28,6.8664554e-07,13.327574,13369,0.026369793,100,0.85034615,10.0,8.067285,4.9300027,192.47543168067932,5.866745,,[-1.54   0.694 -1.259  1.669 -2.242],9.999986,2800,4.85,425280.56,-27.856123,-0.8335081,0.76775736,38.47682159976326,0.53614473,40.624786,48.572742,-574.6953,0.006190714,-710.8861,-810.5959
29,6.4849854e-07,11.765342,13842,0.017753098,100,0.9689581,10.0,4.3327994,7.862497,198.64471077919006,5.7624416,,[-1.551  0.711 -1.265  1.713 -2.252],9.999933,2900,4.73,535178.0,-26.716639,-0.83237237,0.8139067,37.27801769416197,0.2813129,19.739372,31.17323,-605.7691,0.027000017,-696.62213,-801.61633
30,3.8146973e-07,12.812425,14347,0.015832206,100,0.7870512,10.0,3.1350226,5.5941386,203.4364173412323,6.0304327,,[-1.543  0.687 -1.252  1.682 -2.251],9.999961,3000,5.05,367055.88,-19.903584,-0.748863,0.88900393,40.47674349386812,0.19303767,9.1326475,46.63067,-671.9912,0.07821405,-754.3462,-816.88135
31,8.773804e-07,13.050141,14840,0.019229129,100,1.0205451,10.0,4.8347487,6.6627445,211.83308386802673,5.93355,,[-1.521  0.636 -1.246  1.754 -2.168],9.99995,3100,4.93,602559.7,-28.63436,-0.73734874,0.87119555,39.27607923234829,0.32962075,30.477926,29.31015,-654.63367,0.039665163,-754.465,-807.3545
32,1.8501282e-06,13.249514,15310,0.021849267,100,0.8424387,10.0,6.1365724,6.8468018,217.62303519248962,5.7353706,,[-1.531  0.653 -1.251  1.796 -2.156],9.999981,3200,4.7,407007.84,-26.40813,-0.7731554,0.76102084,36.97807610872528,0.4278113,37.727337,50.04415,-564.59216,0.006576906,-667.97644,-804.66345
