EpisodesSoFar,EpRewMean,MeanEntropy,ReturnStepMaxmin,StdIW,Iteration,MeanIW,InitialReturnMax,StdD2w0t,MeanD2w0t,Bound,InitialReturnStd,EpLenMean,MinD2w0t,MinIW,InitialBound,MaxIW,ReturnMeanIW,TimeElapsed,EmpiricalD2,Weights,J_sample_variance,InitialReturnMin,InitialReturnMean,ReturnStepMax,MaxD2w0t,TimestepsSoFar,EpThisIter
100,38.27734754302482,1.0899628,5.8498344,1.2135123,1,0.741092,76.01043,0.26404035,0.020993354,-648.71277,19.080643,4.83,,0.00048808407,-796.1183,6.9944887,-548.80566,1.8208308219909668,3.8781059,[-0.988  0.254  0.004  0.811  0.   ],824103.1,-37.54718,1.0299683e-06,7.9249163,18.513672,483,100
200,44.87351928412351,0.48333243,6.347371,0.87700325,2,0.4544776,60.789482,0.88311386,0.05872173,-531.718,22.088053,5.49,,1.4537766e-11,-814.34106,8.052928,-345.09564,8.14602541923523,9.620726,[-1.046  0.191 -0.086  0.439 -0.329],467365.5,-33.859436,1.3923645e-06,8.173683,62.441055,1032,100
300,54.96659209098638,0.06729122,6.912799,1.2516539,3,0.73434466,60.12807,0.43928483,0.03856862,-697.6573,22.515078,6.5,,1.8261873e-05,-836.10236,6.8874545,-574.50916,13.403926134109497,5.6025753,[-1.251  0.101 -0.273  0.606 -0.936],994821.25,-33.605995,2.822876e-06,8.456399,27.261337,1682,100
400,54.96758447960149,0.2607786,6.913106,0.43882087,4,0.77938205,95.084274,0.24167144,0.024736084,-716.49646,27.174892,6.5,,0.14261058,-842.27576,3.8358498,-611.454,18.78145670890808,2.4799662,[-1.113  0.169 -0.143  0.673 -1.352],117022.625,-43.364407,-3.2043456e-06,8.456552,8.77416,2332,100
500,50.570509729915074,0.1857784,6.689945,0.93654287,5,0.80050594,81.90634,1.1417567,0.036698576,-744.4602,20.866116,6.06,,0.0017893149,-831.65094,6.6498775,-623.6078,22.587292671203613,11.326449,[-1.116  0.17  -0.099  0.663 -1.158],548180.6,-39.339287,-1.6784668e-06,8.34497,141.38486,2938,100
600,48.573156288892534,-0.19908664,6.5778685,0.9080525,6,0.49260962,57.20684,2.3929222,0.085294254,-564.8392,20.058203,5.86,,3.318281e-09,-822.8483,11.879876,-371.96017,26.825469732284546,30.01642,[-1.157  0.245 -0.111  0.827 -1.233],497878.06,-37.44891,1.1444092e-06,8.288934,264.75653,3524,100
700,53.77061110600684,-0.1790239,6.8559923,0.9893143,7,0.7327552,96.0138,1.8746235,0.04854116,-693.2588,21.910921,6.38,,0.004006236,-840.2508,6.005815,-573.1149,33.18456292152405,16.855415,[-1.136  0.37  -0.156  0.524 -1.618],625867.25,-32.479675,-1.7929077e-06,8.427996,286.90143,4162,100
800,49.37033467794593,-0.12938978,6.6230116,0.6110985,8,0.8628947,65.348015,0.35826838,0.02207378,-758.86896,19.327564,5.94,,0.014301481,-826.12463,3.5552185,-669.10443,38.1770384311676,5.05246,[-1.186  0.306 -0.113  0.702 -1.598],233578.88,-38.225895,-3.890991e-06,8.311505,29.134846,4756,100
900,55.66563827154415,-0.16448879,6.945407,0.8340435,9,0.80142206,85.81522,1.0654672,0.035562534,-738.711,23.671535,6.57,,0.0001520199,-841.82135,7.0825377,-631.7167,42.42090058326721,10.617702,[-1.194  0.306 -0.12   0.603 -1.548],450834.16,-44.11773,3.2424928e-06,8.472699,172.58484,5413,100
1000,51.27003549897339,-0.2801865,6.7275877,0.7073896,10,0.83334327,81.12457,0.14209615,0.015280107,-710.5596,19.588074,6.13,,0.012548683,-832.94336,4.2400455,-647.2348,47.029982566833496,1.8194385,[-1.211  0.292 -0.095  0.748 -1.583],307435.88,-40.034927,1.411438e-06,8.3637905,3.1910958,6026,100
1100,52.77421277407918,-0.7861334,6.8070774,1.2188076,11,0.43848097,53.21097,1.0968872,0.06863842,-512.072,20.217453,6.28,,6.9148853e-10,-830.87366,10.143457,-338.0147,51.965553522109985,15.616368,[-1.244  0.355 -0.154  0.64  -1.699],954017.94,-41.45732,-5.340576e-07,8.403537,108.62945,6654,100
1200,58.86898753233615,-0.8209561,7.0882473,1.0877463,12,0.59932125,99.79161,3.0512483,0.07861262,-616.773,21.501732,6.89,,0.0022257152,-849.0519,7.643772,-465.336,57.22708868980408,30.99913,[-1.151  0.245 -0.304  0.626 -2.205],746729.0,-37.319996,-2.2125244e-06,8.544121,365.98303,7343,100
1300,63.465485508130634,-0.67973447,7.2695236,0.6908792,13,0.7860264,95.585815,0.70514345,0.039763343,-743.72,27.207272,7.35,,0.06153047,-854.4757,3.33196,-625.4435,62.22583770751953,9.281487,[-1.178  0.302 -0.395  0.506 -2.24 ],315919.6,-41.521942,1.9073486e-06,8.63476,79.580765,8078,100
1400,61.76448402683357,-0.7680695,7.2045927,1.0543879,14,0.5899262,88.571625,5.348745,0.08363547,-608.1764,26.335148,7.18,,4.8496953e-05,-851.24725,9.570547,-459.08377,66.88125920295715,31.660822,[-1.156  0.37  -0.445  0.409 -2.099],704966.56,-49.828053,5.340576e-07,8.602296,1056.7915,8796,100
1500,74.16146414467521,-0.64506674,7.61555,0.7775732,15,0.7649202,77.08009,1.313235,0.052011117,-733.04175,28.99542,8.42,,0.057860035,-861.4529,4.140394,-616.1222,71.83458948135376,13.445927,[-1.173  0.443 -0.523  0.265 -2.187],421364.53,-51.50071,3.8146973e-07,8.807775,200.9481,9638,100
1600,65.96477818493825,-0.6426403,7.3591566,1.1055025,16,0.7453206,76.010666,2.0481818,0.055109493,-721.50854,24.645727,7.6,,0.005776073,-853.9897,7.7947254,-595.1141,76.36437225341797,17.883932,[-1.173  0.373 -0.494  0.374 -2.064],812102.56,-43.948128,-2.0599366e-06,8.679576,378.84354,10398,100
