MeanEntropy,EpisodesSoFar,MinIW,StdIW,InitialReturnStd,Iteration,TimeElapsed,EpThisIter,InitialReturnMax,ReturnStepMaxmin,EpLenMean,Weights,EpRewMean,Bound,MaxIW,ReturnStepMax,EmpiricalD2,InitialReturnMin,InitialBound,StdD2w0t,MinD2w0t,MaxD2w0t,MeanIW,TimestepsSoFar,ReturnMeanIW,MeanD2w0t,InitialReturnMean,J_sample_variance
1.4882593,100,0.24021913,0.4916113,39.109947,1,0.9208054542541504,100,149.81146,7.081008,6.88,[ 0.941 -1.008  0.601  0.023  0.   ],58.75866087921041,-807.8318,3.5687222,8.5405035,1.9461544,-56.505836,-856.40326,0.20630585,,7.5255446,0.8787689,688,-701.8549,0.021397317,7.2479247e-07,165509.25
1.4788404,200,0.012174543,0.57249564,36.064335,2,5.042766332626343,100,149.97406,7.069499,6.85,[ 0.856 -0.648  0.471  0.235  0.069],58.4629076786358,-734.3607,5.205768,8.534732,4.9195924,-46.368343,-855.94305,0.5107785,,38.424168,0.72660375,1373,-583.9485,0.03455562,2.2125244e-06,228437.47
1.4960732,300,0.0056817476,0.57870084,23.164793,3,7.894861936569214,100,120.59013,5.752204,4.72,[ 0.725 -0.44   0.328  0.821  0.06 ],37.17500478535945,-605.05707,5.4320583,7.87606,16.598322,-36.384537,-799.0049,1.4999161,,128.20555,0.6329146,1845,-463.62946,0.046212357,-8.010864e-07,179842.56
1.188837,400,3.6365363e-06,0.9401313,37.768837,4,11.723994255065918,100,125.66446,7.06952,6.85,[ 0.571 -0.44  -0.005  0.091  0.077],58.46304188362598,-695.7461,10.347611,8.53475,5.405155,-56.28359,-852.6988,0.5311805,,39.13946,0.67408466,2530,-518.0919,0.042556893,3.8146973e-07,544712.94
1.1801435,500,0.3454428,0.19757436,89.868866,5,15.916486978530884,100,353.19995,8.402333,12.61,[ 0.604 -0.115 -0.228 -0.632 -0.23 ],116.02669730613188,-894.0653,2.0600705,9.201166,1.0571214,-104.91351,-903.8662,0.16300374,,1.9363137,0.9867956,3791,-793.7126,0.026144825,6.4849855e-06,25174.361
1.1009631,600,0.050514944,0.47226983,88.19034,6,19.21639060974121,100,363.3901,8.478953,13.25,[ 0.534 -0.135 -0.193 -0.69  -0.239],122.4230329724777,-852.56165,5.6164184,9.239475,1.5674952,-100.86953,-903.2409,0.25080875,,10.305632,0.8970599,5116,-707.81165,0.036998887,1.0681152e-06,122779.1
1.0574944,700,0.047899943,0.33164403,108.23008,7,22.77903151512146,100,356.99664,8.789585,16.67,[ 0.722 -0.101 -0.24  -0.922 -0.318],156.61116936909332,-857.5404,3.5329678,9.394792,1.5224507,-137.99011,-894.53625,0.2609932,,15.954822,0.90667784,6783,-728.1208,0.04154742,1.2969971e-05,85052.52
1.1186167,800,0.22719611,0.30616724,92.552475,8,27.08891201019287,100,311.13647,8.515743,13.58,[ 0.692  0.041 -0.283 -0.922 -0.361],125.72186782754358,-865.31525,2.624335,9.257869,1.3129222,-113.40876,-899.098,0.2083453,,3.367076,0.9302437,8141,-750.83875,0.033623256,4.577637e-06,62807.516
1.0853108,900,0.3383628,0.2339067,88.11957,9,32.30452251434326,100,285.0161,8.378034,12.43,[ 0.593  0.159 -0.441 -0.923 -0.3  ],114.2194752552137,-886.0013,1.6372409,9.189016,1.062037,-103.70881,-898.39594,0.16416742,,1.3526047,0.97744435,9384,-791.9133,0.026179487,3.5095215e-06,42389.48
0.954135,1000,0.01112264,0.52165335,92.73099,10,36.29540657997131,100,354.5658,8.589969,14.3,[ 0.525  0.161 -0.559 -0.831 -0.334],132.91819000615885,-750.1969,5.589776,9.294978,2.46602,-109.68544,-900.51764,0.40454412,,14.59734,0.7260939,10814,-556.5838,0.055994112,-1.04522705e-05,133739.88
0.96207243,1100,0.018667214,0.7197471,116.56031,11,40.67809844017029,100,317.38873,9.060451,21.52,[ 0.432  0.304 -0.776 -1.12  -0.465],205.09044035169546,-716.3137,15.764266,9.530224,6.408089,-177.59694,-869.8141,0.73237026,,60.273308,0.7178006,12966,-517.3683,0.089140736,1.9073486e-06,180060.25
0.8951543,1200,0.0165082,0.48747078,136.49951,12,46.10629439353943,100,398.02777,9.287224,28.48,[ 0.217  0.325 -0.968 -1.343 -0.457],274.6500786098412,-586.17883,15.503063,9.643612,6.4378676,-218.40721,-838.84625,0.89465266,,78.33723,0.5621689,15814,-383.9999,0.11779937,2.7313232e-05,104362.37
0.8683476,1300,0.04590667,0.5237889,187.44313,13,52.88355565071106,100,630.7766,9.575746,48.23,[ 0.017  0.287 -1.044 -1.4   -0.524],472.0689739539823,-583.71216,7.8747454,9.787872,4.050921,-338.95108,-752.4617,1.4863373,,65.883,0.6908381,20637,-403.9321,0.20682815,1.6479493e-05,111984.39
0.8057021,1400,0.004786263,0.7788702,211.2633,14,60.93185901641846,100,490.0201,9.676428,63.57,[-0.071  0.255 -1.082 -1.408 -0.551],625.4150681486726,-536.022,8.003238,9.838214,4.6167293,-421.85013,-674.8158,1.1769074,,43.87137,0.6598292,26994,-348.00452,0.30327865,-3.692627e-05,189542.89
0.7490743,1500,0.017118469,1.7052962,248.1342,15,70.54426980018616,100,485.2888,9.68441,65.02,[-0.075  0.171 -1.081 -1.378 -0.613],639.9400272976741,-617.4185,19.725494,9.842205,4.5105276,-400.24927,-686.7051,1.0113243,,20.784685,1.0877379,33496,-444.6585,0.2932858,-2.5939942e-05,169605.27
0.70480335,1600,0.13100986,0.50066227,233.58452,16,80.6293318271637,100,486.1679,9.722549,74.11,[-0.051  0.226 -1.13  -1.482 -0.67 ],730.8188380868706,-608.8411,3.955435,9.861275,1.4161048,-462.98578,-636.5293,0.474339,,3.9331222,0.94148064,40907,-474.58374,0.19051953,2.1362305e-06,97968.266
