ReturnStepMax,MaxD2w0t,MeanD2w0t,InitialReturnMax,InitialReturnMin,J_sample_variance,EpThisIter,MeanIW,MinD2w0t,StdIW,MinIW,TimestepsSoFar,MeanEntropy,Iteration,StdD2w0t,Bound,MaxIW,ReturnMeanIW,InitialReturnStd,EmpiricalD2,InitialReturnMean,Weights,EpRewMean,EpLenMean,TimeElapsed,InitialBound,EpisodesSoFar,ReturnStepMaxmin
9.999997,12.498976,0.02525435,118.047806,-55.75707,416242.75,100,0.8207983,,0.8182443,0.0011904167,680,1.2451092,1,0.25760671,-764.65326,4.99704,-640.39484,39.1029,2.8223193,2.5939942e-06,[ 0.579 -0.554  0.227  0.402  0.   ],57.96556452200466,6.8,2.316157341003418,-861.2872,100,7.0486956
9.999999,2.8369875,0.020613745,252.4273,-61.780586,146330.66,100,0.88167304,,0.44971132,0.059797022,1538,1.1601496,2,0.15932132,-833.461,2.317348,-716.36945,51.708523,1.2646539,-5.722046e-07,[ 0.704 -0.613  0.34  -0.032 -0.174],75.75393540801258,8.58,9.1674222946167,-896.02594,200,7.6582613
9.999994,1.842528,0.015732782,161.91376,-50.24096,94563.15,100,0.9617645,,0.36580366,0.37886524,2268,1.1992192,3,0.12986459,-856.7416,3.2498796,-770.9414,44.160255,1.1259134,1.0299683e-06,[ 0.777 -0.312  0.34  -0.059 -0.259],62.95800385375897,7.3,14.905794382095337,-874.3974,300,7.2487755
9.999998,74.875336,0.035217453,137.33502,-52.8022,196706.88,100,0.74260485,,0.5921937,0.0041651945,2917,1.225222,4,0.6102578,-725.8375,5.2765927,-572.4483,39.416004,6.0455284,,[ 0.758 -0.225  0.315  0.032 -0.22 ],54.86621566030434,6.49,19.172688961029053,-859.9895,400,6.9079266
9.999994,2.4070933,0.019750563,260.8405,-76.74146,48272.137,100,0.9612711,,0.27182811,0.3493778,3834,1.2572268,5,0.14551987,-878.64624,2.358675,-773.0436,59.11082,1.1163539,-4.4250487e-06,[ 0.667 -0.302  0.143 -0.427 -0.194],81.64359756461374,9.17,25.47457218170166,-899.84973,500,7.8066807
9.999996,4.726135,0.030336153,285.2022,-91.14488,187662.97,100,0.91789514,,0.5454261,0.051057164,4923,1.1387774,6,0.21648714,-871.81726,4.0922995,-734.16406,74.60897,1.5007362,-5.0354006e-06,[ 0.808 -0.271  0.18  -0.592 -0.162],98.84068168487148,10.89,30.853546619415283,-906.4823,600,8.152563
9.999999,4.803597,0.03283795,228.71545,-102.189186,163551.64,100,0.8348582,,0.4744574,0.019573905,6135,1.0291488,7,0.21959962,-809.9236,3.247712,-683.6407,76.51974,1.462967,6.790161e-06,[ 0.872 -0.247  0.123 -0.778 -0.28 ],111.13043460852012,12.12,36.83456230163574,-900.10547,700,8.338363
9.999998,15.12193,0.04205623,271.8565,-98.0891,226624.83,100,0.75544953,,0.6256906,0.011028202,7310,0.8746854,8,0.33222976,-779.05365,5.3618174,-601.3451,83.865234,2.1724992,-9.765625e-06,[ 0.767 -0.081  0.016 -0.752 -0.39 ],107.42873590787968,11.75,42.6658501625061,-905.5532,800,8.285744
9.999999,15.240856,0.054761887,240.08557,-107.109924,188223.6,100,0.7571747,,0.5896812,0.058311142,8704,0.8736839,9,0.4131747,-766.85815,4.8030868,-590.4912,88.89151,2.8395655,-6.1798096e-06,[ 0.701 -0.122 -0.032 -0.838 -0.544],129.3181015897452,13.94,48.7204704284668,-898.602,900,8.553531
10.0,72.97172,0.07271028,231.43996,-153.50778,181512.1,100,0.809527,,0.59744257,0.052898355,10668,0.78809845,10,0.84676695,-761.47705,7.3488355,-611.92505,107.644325,3.509439,-1.2207031e-06,[ 0.717 -0.028 -0.166 -1.209 -0.545],186.29617674417608,19.64,56.71329975128174,-876.50665,1000,8.971102
9.999995,7.8909216,0.056680366,261.11853,-187.08168,166847.88,100,0.86974955,,0.51576084,0.016556272,13051,0.8171895,11,0.2726613,-785.37775,3.9193933,-667.26575,112.04767,1.8260558,-1.586914e-05,[ 0.701  0.144 -0.244 -1.328 -0.631],228.1679897597114,23.83,64.44209337234497,-857.0599,1100,9.149646
9.999997,5.7209597,0.05465901,270.11188,-160.15231,223086.0,100,0.8836,,0.6719868,0.10111442,14969,0.7826663,12,0.29047918,-800.14124,5.479876,-663.485,104.21211,1.8467447,8.544922e-06,[ 0.787  0.189 -0.199 -1.333 -0.602],181.68903190775615,19.18,70.56932282447815,-881.62585,1200,8.945682
9.999999,30.669664,0.11206078,325.9464,-221.92064,410882.88,100,0.72430545,,0.82130015,0.0014079951,17707,0.67724234,13,0.5915763,-727.39215,7.4457626,-536.5333,127.99462,4.3037047,1.1138916e-05,[ 0.728  0.299 -0.352 -1.592 -0.636],263.66022865902306,27.38,79.60971927642822,-843.74585,1300,9.259332
9.999998,12.655763,0.09473119,367.1098,-188.57257,392622.1,100,0.7516492,,0.8779069,0.0039982395,20114,0.57318646,14,0.5181048,-740.723,13.046066,-548.7099,111.87184,3.197735,-9.460449e-06,[ 0.757  0.368 -0.363 -1.516 -0.742],230.5697174762133,24.07,87.42443513870239,-863.1375,1400,9.158268
9.999999,1.4419215,0.060648065,397.64383,-232.50278,54534.188,100,0.98133814,,0.3236005,0.19559859,22968,0.53395337,15,0.24688783,-826.38904,2.8861775,-706.36224,111.442665,1.100002,5.4931643e-06,[ 0.667  0.515 -0.53  -1.598 -0.846],275.2693385681108,28.54,95.7248260974884,-839.0893,1500,9.290076
10.0,252.80237,0.15202305,305.23383,-204.52496,337568.62,100,0.55597013,,0.77530235,0.0021917447,25559,0.47208324,16,2.252516,-625.1207,14.987271,-390.91452,101.72379,20.566626,7.93457e-06,[ 0.723  0.496 -0.532 -1.596 -0.885],248.96583833994654,25.91,103.47694659233093,-847.3397,1600,9.217741
9.999998,34.93281,0.13572995,396.2539,-245.55278,247894.77,100,0.7032205,,0.6176804,0.010395766,28744,0.46476203,17,0.7406039,-710.72253,5.69044,-511.02496,122.7547,6.2817163,-1.800537e-05,[ 0.412  0.448 -0.617 -1.591 -0.947],308.34892527528143,31.85,113.06404614448547,-820.64386,1700,9.36257
10.0,167.94968,0.15077464,323.07642,-241.20755,275450.5,100,0.68457943,,0.7364104,0.013579385,31874,0.47516474,18,1.57713,-679.92633,17.93301,-467.95718,126.51871,14.205752,1.4038086e-05,[ 0.442  0.483 -0.632 -1.439 -0.954],302.86015962497845,31.3,121.68670177459717,-820.61646,1800,9.352089
9.999999,42.825165,0.18275577,349.2577,-267.14047,152158.58,100,0.55958486,,0.6913287,0.0046882825,35409,0.37184763,19,0.9818328,-573.76544,12.579763,-345.19772,141.91191,6.8526263,9.155273e-07,[ 0.282  0.407 -0.646 -1.448 -0.944],343.337984906139,35.35,131.78263092041016,-800.9985,1900,9.425065
10.0,125.38266,0.25566146,385.6062,-343.4508,189047.72,100,0.52877396,,0.7446063,0.024319705,40016,0.331269,20,1.8843691,-501.59784,23.264605,-285.04575,154.04984,12.718323,8.544922e-06,[ 0.135  0.412 -0.698 -1.515 -1.047],450.4858933050798,46.07,143.28424763679504,-745.3331,2000,9.5565815
10.0,230.62523,0.3700653,430.5469,-488.923,60088.22,100,0.7213375,,0.8025632,0.05125515,48033,0.29699546,21,2.8118334,-453.5423,22.369041,-274.6796,204.07431,7.818581,-9.765625e-06,[-0.01   0.376 -0.726 -1.486 -1.088],791.3599415427152,80.17,161.81211256980896,-603.1339,2100,9.742052
10.0,36.722977,0.4736885,413.48676,-562.85345,95414.06,100,0.8821286,,0.8133766,0.04171716,58204,0.23445696,22,1.5537262,-468.6051,9.567535,-310.02734,205.8982,3.195329,-1.586914e-05,[-0.071  0.363 -0.751 -1.486 -1.122],1006.6785157328512,101.71,182.91657328605652,-532.08325,2200,9.795094
10.0,13.2255745,0.44765297,308.6801,-636.11725,59742.227,100,0.8779561,,0.65393704,0.083145514,71079,0.25988996,23,0.9103647,-409.09933,6.2741294,-266.2196,214.78365,2.5504975,4.272461e-06,[-0.082  0.363 -0.788 -1.524 -1.184],1277.007394118281,128.75,209.44034051895142,-450.97482,2300,9.837036
10.0,9.938191,0.5132678,326.9655,-601.0918,80719.0,100,0.8670972,,0.83233017,0.037327535,84153,0.21732198,24,1.0358391,-397.8587,9.749048,-249.8631,227.78764,3.237821,-1.5258789e-06,[-0.092  0.37  -0.907 -1.47  -1.159],1296.9477688470963,130.74,236.0457558631897,-457.13052,2400,9.840128
10.0,34.613155,0.7606512,284.9251,-698.45966,58164.953,100,0.9777789,,1.1685424,0.014054683,100292,0.16984469,25,1.6377814,-348.54327,11.48179,-203.89763,235.15614,4.8157663,-6.5612796e-05,[-0.095  0.414 -0.971 -1.515 -1.202],1603.423001064231,161.39,267.46023440361023,-400.21207,2500,9.870213
10.0,4.036662,0.40420583,278.87836,-693.8369,49111.88,100,0.8673914,,0.52914083,0.070014074,115945,0.14763114,26,0.62316334,-347.89117,3.8119214,-218.5535,234.4074,1.5904918,5.3710937e-05,[-0.077  0.411 -1.022 -1.547 -1.249],1554.7225228398054,156.53,298.668345451355,-404.5615,2600,9.864891
10.0,19.27002,0.74868435,212.76343,-550.85583,39086.957,100,0.9432263,,0.80999094,0.04351323,135485,0.1318404,27,1.2038789,-295.79358,7.9629993,-157.19615,197.06918,3.4712195,-2.5634765e-05,[-0.083  0.432 -1.087 -1.558 -1.271],1943.4859678393043,195.4,335.51118063926697,-329.13623,2700,9.892464
