Bound,StdIWNorm,TimeElapsed,InitialBound,EpThisIter,Iteration,ESSClassic,EmpiricalD2,ReturnStepMaxmin,InitialReturnMean,MeanIWNorm,J_sample_variance,InitialReturnMin,ReturnStepMax,StdIW,MeanIW,MaxIWNorm,ReturnMeanIW,EpLenMean,MinIWNorm,MeanEntropy,ESSRenyi,EpisodesSoFar,TimestepsSoFar,InitialReturnMax,Weights,EpRewMean,MaxIW,InitialReturnStd,MinIW
68.13503,0.37234455,0.6659154891967773,-36.35765,20,1,2.1322222,10.105932,8.2312975,9.155274e-06,0.12862517,731680.5,-87.12381,9.99997,7.4468913,2.5725036,1.747104,183.71541,11.4,0.0021302593,1.4666742,1.9790356,20,228,132.7594,[-0.563 -1.093 -0.809 -1.04   0.   ],103.91822374619062,34.94208,60.17866,0.042605184
-33.94378,0.010978709,3.6836869716644287,-41.12452,20,2,19.006678,1.0637628,8.777795,-1.0681152e-05,0.04802408,10764.326,-119.35897,9.999999,0.21957417,0.96048164,0.086401284,8.471569,16.5,0.032593198,1.5027993,18.801184,40,558,150.16545,[-0.585 -1.336 -0.889 -1.577  0.048],154.91680675333387,1.7280257,90.26654,0.65186393
-35.00209,0.029751735,5.408637523651123,-45.17035,20,3,15.53665,1.2321064,8.438327,1.4495849e-05,0.055508625,11814.308,-100.03737,9.999928,0.5950347,1.1101725,0.14272821,15.13714,12.9,0.029323583,1.5645447,16.232365,60,816,164.93884,[-0.739 -1.343 -0.935 -1.504  0.084],118.92674642656603,2.8545642,66.74856,0.5864717
256.59805,0.5336323,7.6358866691589355,-64.31596,20,4,1.7435415,6.5095954,8.84586,3.8146973e-06,0.16491117,3848067.0,-147.77563,10.0,10.672646,3.2982228,2.4804387,420.69324,17.5,0.0004985739,1.4900155,3.0723875,80,1166,234.84872,[-0.767 -1.283 -0.997 -1.7    0.146],164.90127714736064,49.608772,87.88357,0.009971477
-39.820465,0.034132443,10.468408823013306,-48.799496,20,5,15.278559,1.2251482,8.759293,-1.0681152e-05,0.061400432,9209.135,-119.30885,9.999989,0.68264884,1.2280085,0.14110224,14.193937,16.3,0.018372169,1.4503433,16.324556,100,1492,178.19052,[-0.83  -0.853 -1.004 -1.27   0.071],152.8881263966769,2.8220448,73.12385,0.36744338
-14.30233,0.11733325,12.460259914398193,-43.91829,20,6,3.2926686,3.5491035,8.927764,-1.487732e-05,0.052088458,153541.38,-160.36685,9.999993,2.346665,1.0417693,0.54894704,68.435585,18.85,0.0009085452,1.2868749,5.635226,120,1869,156.96506,[-0.893 -0.606 -1.177 -1.405  0.031],178.39411785984265,10.97894,78.45639,0.018170904
22.601547,0.11206804,14.618277311325073,-66.60776,20,7,5.414936,3.4929428,8.889092,-6.1035157e-06,0.06828485,280832.97,-141.71558,9.99998,2.2413607,1.3656969,0.46588564,147.08754,18.2,0.0027608923,1.1138889,5.725831,140,2233,243.2171,[-1.067 -0.237 -1.416 -1.44  -0.132],171.8905637851023,9.317713,105.6148,0.055217844
-20.378075,0.076873854,17.177282094955444,-38.841225,20,8,8.557345,1.7794307,9.152699,,0.06647905,26129.006,-125.22208,9.999993,1.5374771,1.329581,0.3230421,31.434296,23.95,0.0051763374,1.0428828,11.23955,160,2712,141.8281,[-1.162 -0.197 -1.518 -1.67  -0.305],229.35349335141763,6.4608417,73.37433,0.10352675
-50.567898,0.031538494,19.422043085098267,-59.115814,20,9,15.505843,1.2518647,9.24979,1.0681152e-05,0.058582056,11637.514,-215.86047,9.999989,0.63076985,1.1716411,0.14610973,15.574886,27.05,0.028953979,1.043907,15.976168,180,3253,131.41873,[-1.195 -0.061 -1.551 -1.553 -0.376],260.3532376900234,2.9221945,83.00315,0.57907957
-32.91705,0.018642165,21.49643349647522,-46.311764,20,10,17.60388,1.1691144,9.226087,2.2888185e-06,0.050529677,7449.2485,-161.21104,9.999995,0.3728433,1.0105934,0.10296204,17.157825,26.2,0.023981882,1.04159,17.106966,200,3777,169.10666,[-1.247  0.062 -1.648 -1.595 -0.375],251.8616557574253,2.0592408,77.081665,0.47963762
-53.10578,0.022308476,23.812801122665405,-64.371155,20,11,15.994713,1.198209,9.271403,-3.0517579e-06,0.044580128,12125.995,-218.55412,9.999999,0.44616953,0.8916025,0.124800794,17.356642,27.85,0.022540253,1.0272193,16.691578,220,4334,235.05022,[-1.385  0.186 -1.779 -1.636 -0.377],268.3542625677601,2.4960158,109.14886,0.45080504
-64.548004,0.031759392,26.011483192443848,-70.88138,20,12,15.709618,1.2588409,9.404853,4.577637e-06,0.060772497,20909.217,-258.8222,9.999984,0.6351878,1.2154499,0.14468405,14.979543,34.15,0.021781232,1.0142452,15.887631,240,5017,190.26208,[-1.453  0.298 -1.872 -1.659 -0.392],331.3375625246939,2.8936808,81.97189,0.43562463
-50.817165,0.01237725,28.320618629455566,-60.622276,20,13,18.76837,1.1221279,9.333897,-2.5939942e-05,0.04831665,9705.011,-121.79953,9.999985,0.247545,0.96633303,0.082988955,13.400311,30.6,0.02937078,1.0248286,17.82328,260,5629,221.36115,[-1.354  0.309 -1.917 -1.726 -0.405],295.80839969970486,1.6597791,76.572395,0.5874156
-50.415596,0.06144063,31.219053030014038,-82.94554,20,14,11.795118,1.7617571,9.467761,-2.5177002e-05,0.07366662,42368.574,-302.8742,9.999993,1.2288127,1.4733322,0.19038059,59.678986,38.2,0.007498234,0.98608476,11.352303,280,6393,240.39832,[-1.428  0.344 -1.984 -1.838 -0.394],371.83413145579846,3.8076117,111.19071,0.14996468
