ReturnStepMax,MinIW,ReturnStepMaxmin,MinIWNorm,TimestepsSoFar,StdIWNorm,MaxIW,ESSRenyi,ESSClassic,ReturnMeanIW,EpRewMean,MeanEntropy,EpLenMean,EntropyCoefficient,InitialReturnMax,InitialBound,Iteration,EmpiricalD2,EpThisIter,InitialReturnMean,MaxIWNorm,MeanIWNorm,MeanIW,Bound,InitialReturnMin,J_sample_variance,TimeElapsed,Weights,StdIW,EpisodesSoFar,InitialReturnStd
9.999937,0.4835128,6.2861557,0.02417564,108,0.016298035,1.8899423,16.705635,17.879313,5.36913,43.972453119759734,1.3695924,5.4,10.0,61.633488,-2.689577,1,1.1972008,20,2.2888185e-06,0.094497114,0.04732302,0.94646037,0.5965872,-32.965584,1088.9979,0.5370995998382568,[-0.689  0.919 -0.673  0.288  0.   ],0.32596073,20,23.186802
9.999816,0.7232888,6.3529863,0.03616444,218,0.011699137,1.752413,18.740927,18.912943,1.122376,44.97021119593613,1.419793,5.5,10.0,51.648186,-0.44851208,2,1.0671831,20,1.5258789e-06,0.08762065,0.048798583,0.9759717,0.708457,-33.92706,620.97235,2.268266439437866,[-0.715  1.019 -0.783  0.056 -0.049],0.23398274,40,23.001837
9.999986,0.6621305,6.8393507,0.033106524,345,0.02233446,2.2658482,17.907383,17.264816,9.678947,53.46489340881534,1.4471699,6.35,10.0,96.92478,-12.346019,3,1.1168578,20,-3.8146973e-06,0.11329241,0.056112967,1.1222594,-3.901392,-51.529076,3977.037,3.5091261863708496,[-0.736  0.826 -0.737  0.101  0.001],0.4466892,60,37.916145
9.999872,0.3641939,6.2151756,0.018209694,451,0.01711736,1.6874353,17.937069,18.066103,2.9633484,42.969877676819486,1.3455441,5.3,10.0,53.587616,-0.20387268,4,1.1150094,20,2.2888185e-06,0.08437177,0.052318145,1.0463628,0.9222641,-32.018555,786.5257,4.696285247802734,[-0.674  1.013 -0.817 -0.172  0.028],0.34234717,80,22.213917
9.999995,0.64207053,6.0298414,0.032103527,552,0.015476482,2.170702,19.16861,18.252443,7.341842,40.47533956139394,1.3709352,5.05,10.0,143.00153,-25.707146,5,1.0433725,20,-3.0517579e-06,0.1085351,0.050016917,1.0003383,-18.951662,-38.98432,5557.5913,5.9882588386535645,[-0.693  1.078 -0.784 -0.29  -0.073],0.30952963,100,39.712753
9.999986,0.09903534,7.3566885,0.004951767,704,0.11358789,10.412322,9.39043,8.338383,39.809456,65.95535973929638,1.2038178,7.6,10.0,76.73639,-7.3057804,6,2.1298277,20,-5.722046e-06,0.5206161,0.09604919,1.9209836,21.178307,-63.113647,25891.682,7.3072755336761475,[-0.646  1.347 -0.872 -0.534 -0.048],2.271758,120,43.611736
9.99992,0.73837924,7.5521183,0.036918964,868,0.007738908,1.2971174,19.299173,19.531363,0.8969357,71.96335834656699,1.233429,8.2,10.0,52.929657,-2.457202,7,1.0363138,20,4.577637e-06,0.064855866,0.049960636,0.9992126,-1.5250044,-39.841713,523.79144,8.813693284988403,[-0.866  2.121 -1.435 -1.027 -0.215],0.15477815,140,21.628656
9.999996,0.5169541,6.8660984,0.025847707,996,0.061487727,5.9447403,10.938497,9.923788,21.574764,53.97150378464043,1.3964491,6.4,10.0,96.304504,-14.0397835,8,1.8284048,20,9.536743e-07,0.297237,0.06102089,1.2204177,-0.12337685,-42.210617,17582.473,9.922603607177734,[-0.853  2.202 -1.482 -1.127 -0.186],1.2297544,160,33.193596
9.999988,0.04052662,7.3750505,0.0020263311,1149,0.09252805,8.708317,6.00721,7.4191017,41.23877,66.45951696679728,1.3442364,7.65,10.0,58.529095,-2.0643616,9,3.3293328,20,7.6293946e-07,0.43541583,0.07105477,1.4210955,25.434153,-53.872166,15006.863,11.29992938041687,[-0.939  2.162 -1.525 -1.147 -0.023],1.8505611,180,37.427746
9.999982,0.23327471,7.4553766,0.011663736,1307,0.019106599,1.9297446,17.350494,17.219204,6.925021,68.94866530801059,1.3146688,7.9,10.0,107.95888,-16.123402,10,1.152705,20,-6.866455e-06,0.09648723,0.047545042,0.95090085,-11.671298,-65.76253,2281.2095,12.570569038391113,[-0.8    1.933 -1.404 -1.38  -0.075],0.38213193,200,46.633957
9.999968,0.27952093,8.234472,0.013976047,1535,0.045337718,3.6259255,12.35133,12.128968,14.73618,103.9363084444359,1.3599559,11.4,10.0,83.84371,-11.0138235,11,1.6192589,20,-5.340576e-06,0.18129627,0.056280214,1.1256043,-2.4085283,-88.221695,4221.709,13.965695142745972,[-0.754  1.929 -1.396 -1.527 -0.104],0.9067544,220,42.059544
