ReturnStepMax,InitialReturnMean,InitialReturnMax,Weights,MeanD2w0t,EpThisIter,Iteration,MeanEntropy,EmpiricalD2,J_sample_variance,MinIW,ReturnMeanIW,MinD2w0t,InitialReturnMin,EpRewMean,EpisodesSoFar,StdIW,StdD2w0t,Bound,TimeElapsed,MeanIW,InitialReturnStd,ReturnStepMaxmin,TimestepsSoFar,EpLenMean,MaxIW,MaxD2w0t,InitialBound
9.009151,,211.03122,[-0.869 -0.961  0.603 -0.497  0.   ],0.05230993,100,1,1.1868854,3.5724792,668194.1,0.00050560536,-572.42255,,-75.48879,91.44288085566065,100,1.0603721,0.52463585,-764.0663,3.285628318786621,0.72143185,63.044582,8.018307,1015,10.15,16.249933,24.110023,-888.4038
9.2217,1.2207031e-06,171.77197,[-0.992 -0.654  0.264 -0.915 -0.232],0.029260797,100,2,1.254395,1.1921737,123199.59,0.47832844,-782.03546,,-110.432106,119.32878239399788,200,0.43487832,0.18030593,-869.94446,11.158730745315552,0.9706528,66.85512,8.44341,2309,12.94,4.357302,1.5653862,-884.84393
9.215521,7.019043e-06,380.98425,[-1.093 -0.735  0.216 -0.936 -0.165],0.029501943,100,3,1.3110064,1.2229859,76598.55,0.3146545,-753.1194,,-98.91959,118.32728757369352,300,0.33748537,0.18356518,-869.2694,15.59286642074585,0.9355483,71.26281,8.431044,3593,12.84,2.4442022,2.3117993,-903.59235
9.180071,1.6784668e-06,177.43472,[-1.093 -0.71   0.163 -1.094 -0.108],0.08437938,100,4,1.0650893,6.9593554,284985.38,8.6981476e-05,-407.34793,,-94.78019,112.82306060326904,400,0.66691655,0.8160481,-628.29626,21.17391061782837,0.51250917,64.94225,8.360153,4822,12.29,10.69133,43.195984,-886.0228
9.448295,-1.2817382e-05,239.5248,[-1.342 -0.045 -0.202 -1.423 -0.354],0.05651082,100,5,1.1578255,1.8714283,151563.56,0.074276455,-674.49585,,-155.36009,173.28171348909132,500,0.4423508,0.30787858,-808.5548,28.30497169494629,0.8495402,84.66032,8.896591,6656,18.34,2.8125424,4.2250776,-875.5442
9.422805,-9.002685e-06,138.83829,[-1.387 -0.114 -0.241 -1.527 -0.261],0.11963127,100,6,1.1285244,6.5858507,403029.5,0.020297708,-504.92557,,-140.50366,165.0875391778873,600,0.83456224,0.9109397,-697.10254,32.588677167892456,0.65633404,63.587776,8.845626,8408,17.52,7.0990295,39.51368,-867.3059
9.53477,-1.2664795e-05,330.17984,[-1.602  0.278 -0.332 -1.261 -0.29 ],0.060504843,100,7,1.2081398,1.5487087,104926.414,0.19102418,-710.13574,,-179.81024,207.38123961590318,700,0.42047197,0.29704434,-846.1154,37.69075083732605,0.92221385,111.14551,9.069542,10583,21.75,3.4601955,3.7035513,-869.0724
9.503902,-1.8463135e-05,216.84732,[-1.659  0.264 -0.392 -1.33  -0.211],0.12186933,100,8,1.1170527,14.642119,178326.44,0.010797275,-343.142,,-171.90686,193.78460379806612,800,0.6476257,1.6720052,-563.0231,42.49956202507019,0.49229142,89.887856,9.007808,12622,20.39,21.710804,153.24022,-864.53766
9.650121,-2.8991699e-06,441.71692,[-1.429  0.636 -0.566 -1.724 -0.302],0.0788146,100,9,1.0497688,1.567847,159056.16,0.036218997,-604.9756,,-233.72551,279.756976051978,900,0.5396565,0.3304764,-752.4265,48.314377307891846,0.83795094,125.93584,9.300247,15521,28.99,3.5409153,4.0673575,-836.3146
9.666957,6.5612794e-06,305.09158,[-1.546  0.713 -0.616 -1.647 -0.369],0.1107624,100,10,0.9276918,2.5369477,329472.1,0.037873447,-525.6268,,-247.14963,294.84214898022054,1000,0.849568,0.480248,-699.3978,53.60003089904785,0.7690574,118.56546,9.333914,18571,30.5,5.865818,9.435727,-818.8513
