EpRewMean,InitialReturnMean,TimeElapsed,StdD2w0t,MeanEntropy,Weights,InitialReturnStd,EpThisIter,Iteration,Bound,MaxD2w0t,MeanIW,EpisodesSoFar,InitialReturnMin,EmpiricalD2,ReturnStepMaxmin,ReturnMeanIW,ReturnStepMax,TimestepsSoFar,StdIW,MaxIW,EpLenMean,InitialReturnMax,MinIW,J_sample_variance,MeanD2w0t,MinD2w0t,InitialBound
103.91822374619062,9.155274e-06,0.7640435695648193,0.3000762,1.2289733,[-0.563 -1.093 -0.809 -1.04   0.   ],60.17866,20,1,-652.8878,5.9160833,0.47134298,20,-87.12381,2.4743795,8.2312975,-374.47833,9.99997,228,0.39447704,5.4209595,11.4,132.7594,0.005277457,105247.54,0.04147139,,-985.03876
157.3974747860527,-8.392334e-06,3.6839005947113037,0.2836766,1.3140893,[-0.756 -0.693 -1.177 -1.195 -0.19 ],62.133217,20,2,-865.2253,5.2905684,0.8042699,40,-104.68223,2.3183365,8.793746,-623.2917,9.999984,563,0.43746695,4.642864,16.75,108.654434,0.3105285,107985.875,0.048850216,,-973.0677
181.3812831141043,2.670288e-06,5.72699236869812,0.49583668,1.1321216,[-0.69  -0.446 -1.465 -1.321 -0.105],81.28055,20,3,-819.6422,9.245232,0.5882715,60,-152.46236,3.0763783,8.943214,-453.32382,10.0,946,0.4831061,4.7943635,19.15,181.78334,0.0023190184,147063.73,0.08271226,,-985.9885
195.38224256047693,-1.373291e-05,7.585053443908691,0.23575626,1.1949781,[-0.724 -0.53  -1.436 -1.241 -0.287],109.883224,20,4,-956.2886,1.9528705,0.8606326,80,-140.00616,1.2217274,9.015322,-681.82684,9.999981,1357,0.3147048,1.7002157,20.55,345.28275,0.31913292,94410.38,0.048197486,,-1014.0275
221.88415450969836,-7.6293946e-07,9.606914758682251,0.6311192,1.1448867,[-0.78  -0.536 -1.462 -1.226 -0.224],104.78088,20,5,-663.5499,29.25871,0.43736368,100,-124.099884,6.5219316,9.127958,-294.81366,9.999987,1821,0.3227716,6.7915015,23.2,313.06653,0.11243087,30271.432,0.08462931,,-995.82263
232.36494514027913,6.866455e-06,11.953561067581177,1.006939,1.0399265,[-0.578 -0.043 -1.6   -1.525 -0.274],137.72418,20,6,-781.38403,38.33337,0.55208254,120,-185.65578,8.0302105,9.1641245,-361.43793,9.999995,2306,0.5308254,4.9578986,24.25,262.58508,0.040959936,97756.03,0.1398031,,-986.43536
419.3159364574325,3.0517579e-06,15.069958925247192,0.54808456,0.99479103,[-0.994  0.405 -1.835 -1.856 -0.379],129.53784,20,7,-690.361,7.206735,0.55169237,140,-332.146,3.67518,9.525774,-348.21274,9.999998,3165,0.45686343,2.6352463,42.95,206.47455,0.0078072194,97115.695,0.148952,,-880.2718
351.3173511027262,1.2207031e-05,17.87328815460205,0.86534816,0.94377834,[-1.078  0.37  -1.797 -1.646 -0.424],130.37538,20,8,-506.25702,32.79037,0.27337036,160,-235.0291,8.090099,9.436653,-141.74733,9.99999,3888,0.2649046,2.7678542,36.15,294.53616,0.04654494,10338.472,0.14443657,,-929.1874
443.7982654639982,-2.3651122e-05,20.74962329864502,0.5303617,0.85954434,[-0.965  0.501 -1.84  -1.843 -0.475],183.68558,20,9,-615.73706,4.387293,0.44149113,180,-335.95172,2.2705564,9.550592,-273.98752,9.999992,4796,0.321106,2.3747363,45.4,275.09607,0.06577186,64902.76,0.15689357,,-886.71545
524.763066500832,-9.155274e-06,24.036975145339966,0.9497391,0.78106594,[-1.04   0.56  -1.944 -1.977 -0.559],87.60593,20,10,-684.77747,34.132957,0.58018386,200,-128.32697,7.8445535,9.617313,-295.45377,9.999998,5866,0.5675731,4.657056,53.5,171.10751,0.01901428,97197.91,0.2251141,,-818.51935
